C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717327|*Water|C0043047|16949|MH|RtM via: Water;checkForceMH Boosted|TI|MM|658^5^0
41717327|*Nostoc|C0995554|10481|MH|RtM via: Nostoc parmelioides;checkForceMH Boosted|TI|MM|822^19^0
41717327|Nostoc parmelioides|C3956242|8808|NM|RtM via: Nostoc parmelioides;Forced New Lookup:nostoc parmelioides|TI|MM|822^19^0
41717327|*Freshwater|C0016710|49539|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM;RC|297^10^0;149^10^0
41717327|*Habitats|C0871648|29703|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|160^8^0
41717327|*Natural Springs|C3179043|18312|MH|RtM via: Natural Springs|TI|MM|459^7^0
41717327|*Phaeophyceae|C0002031|15453|ET|Entry Term Replacement for "Phaeophyta";RtM via: Algae, Brown (eukaryote);Forced Non-Leaf Node Lookup:phaeophyceae|TI|MM;RC|319^11^0;62^11^0;48^12^0
41717327|North America|C0028405|5544|MH|RtM via: North America|TI|MM|1168^13^0;236^13^0
41717335|Rabbits|C3887509|18037|CT|CT Text Lookup: rabbit|TI|MM;RC|73^7^0
41717335|Cattle|C0007452|18037|CT|RtM via: Cattle;Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM|495^6^0
41717335|Animals|C0003062|18037|CT|RtM via: Cattle;Lagomorpha;CT Treecode Lookup: B01.050.150.900.649.313.968 (Lagomorpha);CT Text Lookup: cattle;CT Text Lookup: rabbit;RtM via: Cattle;Lagomorpha;CT Treecode Lookup: B01.050.150.900.649.313.968 (Lagomorpha);CT Text LookCT Text Lookup: rabbit|TI|MM;RC|495^6^0;73^7^0
41717335|Oregon|C0029195|17037|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM;RC|425^6^0;221^6^0
41717335|Washington|C0043038|17034|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM;RC|382^10^0;246^10^0;117^10^0
41717335|*Habitat|C0871648|15273|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|558^7^0
41717335|*Lagomorpha|C0022962|12168|MH|RtM via: Brachylagus idahoensis|TI|MM;RC|644^13^0;579^13^0;194^13^0;82^22^0;67^13^0
41717335|*Agriculture|C0001829|4455|MH|RtM via: Agriculture|TI|MM|527^12^0
41717335|*Records|C0034869|4308|MH|RtM via: Records|TI|MM|185^7^0
41717336|Animals|C0003062|217378|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids);Moths;CT Treecode Lookup: B01.050.500.131 (Moths)||MM;RC
41717336|United States|C0041703|217378|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|1344^8^0
41717336|*Picea|C0949850|216378|MH|RtM via: Picea;RtM via: Picea pungens;RtM via: Picea engelmannii;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|1318^6^0;21^6^0;946^13^0;510^17^0
41717336|*Trees|C0040811|162252|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1272^4^0;795^4^0;764^5^0;566^5^0;295^4^0
41717336|*Conifer|C0682475|119118|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM;RC|1306^7^0
41717336|*Viscaceae|C0949846|73803|MH|RtM via: Arceuthobium microcarpum;Forced Leaf Node Lookup:arceuthobiums;checkForceMH Boosted|TI|MM|889^24^0
41717336|*Aphids|C0003562|73320|MH|RtM via: Aphids;RtM via: Elatobium abietinum;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM;RC|1222^5^0;28^5^0;35^19^0
41717336|*Mistletoe|C0042785|66006|MH|RtM via: Mistletoe;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mistletoes|TI|MM|1084^9^0
41717336|*Introduced Species|C2936532|52314|MH|Forced Leaf Node Lookup:invasive pest;checkForceMH Boosted|TI|MM|74^13^0
41717336|Arizona|C0003787|40134|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|167^7^0
41717336|*Survivorship|C0038955|27636|MH|RtM via: survivorship;Forced Leaf Node Lookup:survivorship|TI|MM|800^12^0
41717336|*Forests|C0086312|115224|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1329^7^0;271^7^0;106^7^0
41717336|*Viscum album|C0331018|29637|MH|RtM via: Viscum album|TI|MM|1084^9^0
41717336|*Population Dynamics|C0032667|12345|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|1277^19^0
41717336|*Moths|C0026593|6087|MH|RtM via: Areas <moth>|TI|MM;RC|374^5^0
41717336|*Outbreaks|C0012652|2478|ET|Entry Term Replacement for "Disease Outbreaks";RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|416^9^0
41717336|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|876^9^0;1094^9^0
41717337|Animals|C0003062|175959|CT|Trout;CT Treecode Lookup: B01.050.150.900.493 (Trout);Oncorhynchus mykiss;CT Treecode Lookup: B01.050.150.900.493 (Oncorhynchus mykiss);Livestock;CT Treecode Lookup: B01.050.050 (Livestock);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes);CT Text Lookup: fish|TI|MM;RC|1062^4^0
41717337|*Oncorhynchus mykiss|C0036108|166080|MH|RtM via: Redband Trout;RtM via: Oncorhynchus mykiss;Forced Leaf Node Lookup:oncorhynchus mykiss;Forced Leaf Node Lookup:redband trout;checkForceMH Boosted|TI|MM;RC|979^13^0;44^13^0;59^19^0
41717337|*Temperature|C0039476|88876|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1408^12^0;1216^11^0;659^12^0;476^12^0;109^11^0;843^11^0
41717337|*Livestock|C2936506|42946|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM;RC|1481^9^0
41717337|*Water|C0043047|35960|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1402^5^0;1210^5^0;653^5^0;470^5^0
41717337|*Biomass|C0005535|33239|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|1294^7^0;1005^7^0;33^7^0
41717337|Idaho|C0020787|17567|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|209^5^0
41717337|*Seafood|C0206208|5151|MH|RtM via: Trout (substance)|TI|MM|1288^5^0;1152^5^0
41717337|*Natural Springs|C3179043|3618|MH|RtM via: Natural Springs|TI|MM|703^7^0;528^7^0
41717337|*Perciformes|C0030983|3033|MH|RtM via: Hemicaranx amblyrhynchus|TI|MM|1029^12^0;918^12^0;743^12^0;339^12^0;173^12^0
41717338|*Trees|C0040811|260724|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1500^5^0;1099^5^0;531^5^0;264^5^0;38^4^0;414^5^0
41717338|*Populus|C0522458|249405|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;Forced Leaf Node Lookup:populus fremontii;Forced Leaf Node Lookup:cottonwoods;checkForceMH Boosted|TI|MM;RC|156^10^0;168^17^0
41717338|*Rivers|C0337050|200775|MH|RtM via: Rivers;RtM via: Streams;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|599^5^0;342^5^0;1720^6^0;1051^6^0
41717338|*Seasons|C0036497|140052|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|1437^6^0;1171^6^0;864^8^0
41717338|*Droughts|C0013140|129450|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|284^7^0
41717338|*Ecosystem|C0162358|125964|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|1832^10^0
41717338|Arizona|C0003787|40497|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM;RC|621^7^0;232^7^0
41717338|*Vapor Pressure|C0563290|40035|MH|Forced Leaf Node Lookup:vapor pressure|TI|MM|790^14^0
41717338|*Forests|C0086312|154548|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1672^7^0
41717338|*Xylem|C1720877|84957|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM;RC|512^5^0
41717338|*Groundwater|C0596631|45141|MH|RtM via: Groundwater;Forced Non-Leaf Node Lookup:groundwaters|TI|MM;RC|457^11^0
41717338|*Plant Leaves|C0242724|30837|MH|RtM via: Plant Leaves|TI|MM;RC|118^4^0
41717339|Animals|C0003062|88849|CT|Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|70^4^0
41717339|*Ponds|C0337048|81334|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM;RC|791^4^0
41717339|*Water|C0043047|21673|MH|RtM via: Water;checkForceMH Boosted|TI|MM|889^5^0
41717339|*Museums|C0026863|18955|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|944^6^0
41717339|Nevada|C0027951|16618|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|111^6^0
41717339|*Gastrointestinal Microbiome|C4018878|16606|MH|Forced Leaf Node Lookup:gut|TI|MM|928^3^0
41717339|*River|C0337050|87849|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM;RC|104^5^0
41717339|*Invertebrates|C0021948|78516|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM;RC|1032^13^0
41717339|*Fishes|C0016163|55764|MH|RtM via: Fishes|TI|MM;RC|70^4^0
41717339|*Habitat|C0871648|51555|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|807^8^0;585^7^0;339^7^0
41717340|Animals|C0003062|123280|CT|Dace;CT Treecode Lookup: B01.050.150.900.493 (Dace);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Cypriniformes;CT Treecode Lookup: B01.050.150.900.493 (Cypriniformes)||MM;RC
41717340|*Rivers|C0337050|111384|MH|RtM via: Streams;RtM via: Rivers;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|678^6^0;959^5^0;844^5^0;502^5^0;221^5^0;89^5^0;257^5^0;321^5^0;388^5^0;444^5^0
41717340|Nevada|C0027951|14130|MH|RtM via: Nevada <Geographic Area>;RtM via: White Pine County, NV;Forced Leaf Node Lookup:nevada|TI|MM|132^6^0;111^19^0
41717340|*Dace|C0524538|122280|ET|Entry Term Replacement for "Cyprinidae";RtM via: Dace;RtM via: Lepidomeda albivallis;RtM via: Rhinichthys osculus|TI|MM;RC|517^4^0;553^21^0;228^21^0;251^21^0;692^19^0
41717340|*Cypriniformes|C0010614|33831|MH|RtM via: Catostomus commersoni;Forced Non-Leaf Node Lookup:catostomus|TI|MM;RC|438^5^1;457^6^1;407^10^0
41717340|*Seasons|C0036497|7245|MH|RtM via: Summer;RtM via: spring (season)|TI|MM;RC|35^6^0;750^6^0;24^6^0
41717341|Cattle|C0007452|105589|CT|RtM via: Cattle;Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM|338^6^0;177^6^0;30^6^0
41717341|Animals|C0003062|105589|CT|RtM via: Cattle;Coyotes;CT Treecode Lookup: B01.050.150.900.649.313.750 (Coyotes);Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior);CT Text Lookup: cattle;CT Text Lookup: home range;CT Text Lookup: home ranges|TI|MM;RC|338^6^0;177^6^0;30^6^0;565^11^0
41717341|*Coyotes|C0325005|104589|MH|RtM via: Coyotes;Forced Leaf Node Lookup:canis latrans;Forced Leaf Node Lookup:coyotes;checkForceMH Boosted|TI|MM;RC|832^7^0;659^7^0;505^7^0;427^7^0;242^7^0;94^13^0;85^7^0;905^7^0
41717341|*Homing Behavior|C0019861|39790|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM;RC|565^11^0
41717341|Texas|C0039711|5287|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM;RC|122^5^0
41717341|Ecosystem|C0162358|534|MH|||RC
41717341|*Travel|C0040802|438|MH|RtM via: travel|TI|MM|667^8^0;513^8^0
41717342|Animals|C0003062|78421|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
41717342|*Trees|C0040811|77421|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1189^5^0
41717342|*Prosopis|C0330802|40668|MH|RtM via: Prosopis <angiosperm>;RtM via: Prosopis juliflora;Forced Leaf Node Lookup:mesquites;checkForceMH Boosted|TI|MM|1145^8^0;804^8^0
41717342|*Creosote|C0010303|19539|MH|RtM via: Creosote;Forced Leaf Node Lookup:creosote;checkForceMH Boosted|TI|MM|1240^8^0
41717342|*Acacia|C0000869|18780|MH|Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|1182^6^0
41717342|*Salix|C0995181|18780|MH|Forced Leaf Node Lookup:willows;checkForceMH Boosted|TI|MM|1162^6^0
41717342|*Specialization|C0037776|9945|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM;RC|697^11^0
41717342|Arizona|C0003787|9678|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|278^7^0
41717342|*Birds|C0005595|64809|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|366^4^0;89^5^0
41717342|*Habitat|C0871648|44271|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|946^7^0;609^7^0;171^7^0;52^7^0
41717342|*Seasons|C0036497|9384|MH|RtM via: spring (season)|TI|MM;RC|223^6^0
41717342|*Breeding|C0006159|9051|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|860^8^0
41717342|*Surveys|C0038951|114|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|510^8^0;386^7^0
41717342|North America|C0028405|1413|MH|RtM via: North America|TI|MM|113^13^0
41717343|Animals|C0003062|84079|CT|Passeriformes;CT Treecode Lookup: B01.050.150.900.248 (Passeriformes);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
41717343|*Grassland|C0442534|21316|MH|Forced Leaf Node Lookup:grasslands;Forced Leaf Node Lookup:prairies|TI|MM;RC|61^9^0;1238^9^0;167^7^0;403^7^0;578^7^0;1002^7^0;1380^7^0
41717343|North Dakota|C0028408|12449|MH|RtM via: North Dakota (geographic location);Forced Leaf Node Lookup:north dakota|TI|MM;RC|236^12^0
41717343|*Rotation|C0035868|9485|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM;RC|1298^8^0
41717343|*Fire|C0016141|83079|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1345^4^0;1037^4^0;837^4^0
41717343|*Habitat|C0871648|60096|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|304^7^0;92^7^0
41717343|*Passeriformes|C0600537|24045|MH|RtM via: Brown-headed cowbird;RtM via: Genus Calcarius;Forced Non-Leaf Node Lookup:passerines|TI|MM;RC|1077^20^0;1099^14^0;698^8^0;71^10^0;1248^10^0;513^9^0
41717343|*Animals, Wild|C0003070|15297|MH|RtM via: Animals, Wild|TI|MM|1391^4^0;1019^4^0;197^8^0
41717343|*Breeding|C0006159|6624|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1229^8^0;504^8^0;263^8^0
41717343|Poaceae|C0018210|1000|MH|Forced Non-Leaf Node Lookup:grass||MM;RC|161^5^0;397^5^0;572^5^0;1374^5^0
41717344|Animals|C0003062|217738|CT|Trout;CT Treecode Lookup: B01.050.150.900.493 (Trout);Oncorhynchus mykiss;CT Treecode Lookup: B01.050.150.900.493 (Oncorhynchus mykiss);Oncorhynchus;CT Treecode Lookup: B01.050.150.900.493 (Oncorhynchus);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|713^4^0
41717344|Humans|C0086418|1000|CT|Forced Humans: Transients and Migrants||MM
41717344|*Oncorhynchus mykiss|C0036108|183204|MH|RtM via: Oncorhynchus mykiss;Forced Leaf Node Lookup:oncorhynchus mykiss;Forced Leaf Node Lookup:trout, rainbow;Forced Leaf Node Lookup:rainbow trout;checkForceMH Boosted|TI|MM;RC|1133^19^0;1118^13^0;1111^14^0;1272^13^0
41717344|*Rivers|C0337050|169482|MH|RtM via: Streams;RtM via: Rivers;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|1192^6^0;919^7^0;728^7^0;471^7^0;311^7^0;93^7^0;1376^5^0;799^5^0;142^5^0;375^7^0;450^7^0;947^7^0;157^5^0
41717344|*Oncorhynchus|C0029023|84357|MH|RtM via: Salmo clarki;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oncorhynchus|TI|MM;RC|1101^15^0;52^15^0;69^19^0
41717344|Wyoming|C0043287|28479|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM;RC|184^7^0
41717344|*Transients and Migrants|C0040705|25860|MH|RtM via: Migrants;Forced Leaf Node Lookup:migrants|TI|MM|238^7^0
41717344|*Habitat|C0871648|69231|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1204^7^0;542^7^0;337^7^0
41717344|*Ecology|C0013546|41532|MH|RtM via: Ecology|TI|MM|41^7^0
41717344|*Natural Springs|C3179043|19071|MH|RtM via: Natural Springs|TI|MM|119^7^0
41717345|Animals|C0003062|253547|CT|Peromyscus;CT Treecode Lookup: B01.050.150.900.649.313.992 (Peromyscus);Sciuridae;CT Treecode Lookup: B01.050.150.900.649.313.992 (Sciuridae)||MM;RC
41717345|*Juniperus|C0330152|252547|MH|RtM via: Juniper;RtM via: Juniperus;Forced Leaf Node Lookup:junipers;checkForceMH Boosted|TI|MM;RC|944^7^0;446^7^0;471^7^0
41717345|*Trees|C0040811|188533|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|1152^4^0;971^4^0
41717345|*Peromyscus|C0031171|57574|MH|RtM via: Peromyscus crinitus;RtM via: Peromyscus truei;Forced Leaf Node Lookup:peromyscus;checkForceMH Boosted|TI|MM;RC|1045^12^0;165^12^0;822^12^0;142^16^0;128^12^0
41717345|Wyoming|C0043287|23654|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM|34^7^0
41717345|*Logistic Models|C0023965|22823|MH|Forced Leaf Node Lookup:logistic regressions|TI|MM|638^19^0
41717345|*Woodland|C0086312|135087|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|952^8^0
41717345|*Habitat|C0871648|57744|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|731^7^0;497^7^0;414^7^0;280^7^0
41717345|*Sciuridae|C0036409|2286|MH|RtM via: Tamias dorsalis;Forced Non-Leaf Node Lookup:chipmunks|TI|MM|761^14^0;94^14^0;110^15^0;100^8^0;767^8^0
41717346|Animals|C0003062|130727|CT|Beaver;CT Treecode Lookup: B01.050.150.900.649.313.992 (Beaver)||MM;RC
41717346|United States|C0041703|130727|CT|Forced Leaf Node Lookup:american|TI|MM;RC|99^8^0
41717346|*Tamaricaceae|C1084540|129727|MH|RtM via: Tamarix;Forced Leaf Node Lookup:tamarisks;checkForceMH Boosted|TI|MM;RC|1008^8^0;959^8^0;714^8^0;577^8^0;330^8^0;39^8^0
41717346|*Populus|C0522458|96079|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;Forced Leaf Node Lookup:cottonwoods;checkForceMH Boosted|TI|MM;RC|1073^10^0;661^10^0;405^10^0;299^10^0;223^10^0;546^10^0
41717346|*Trees|C0040811|75979|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|672^5^0;234^5^0
41717346|*Olive, Russian|C1082050|71585|ET|Entry Term Replacement for "Elaeagnaceae";RtM via: Elaeagnus;checkForceMH Boosted|TI|MM;RC|990^13^0;941^13^0;697^13^0;558^13^0;311^13^0;21^13^0
41717346|*Rivers|C0337050|57610|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|796^5^0;347^6^0;883^5^0
41717346|*Beaver|C0004900|22445|ET|Entry Term Replacement for "Rodentia";RtM via: Castor;checkForceMH Boosted|TI|MM;RC|1130^7^0;1049^7^0;724^6^0;603^6^0;489^6^0;277^7^0;130^7^0
41717346|Montana|C0026506|15752|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM;RC|385^7^0
41717346|*Woods|C0043217|20667|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|63^5^0
41717347|Animals|C0003062|171043|CT|Ephemeroptera;CT Treecode Lookup: B01.050.500.131 (Ephemeroptera);Diptera;CT Treecode Lookup: B01.050.500.131 (Diptera);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Holometabola;CT Treecode Lookup: B01.050.500.131 (Holometabola);Insecta;CT Treecode Lookup: B01.050.500.131 (Insecta)||MM;RC
41717347|Male|C0086582|171043|CT|CT Text Lookup: male|TI|MM;RC|346^4^0
41717347|*Ephemeroptera|C1003004|170043|MH|RtM via: Ephemeroptera;RtM via: Caurinella idahoensis;Forced Leaf Node Lookup:ephemeroptera;checkForceMH Boosted|TI|MM;RC|565^13^0;126^21^0
41717347|*Diptera|C0012578|120381|MH|RtM via: Diptera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dipteras|TI|MM;RC|556^7^0
41717347|*Larvae|C0023047|90270|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|799^6^0;745^6^0;431^6^0;208^6^0;194^6^0
41717347|*Rivers|C0337050|18822|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM|534^6^0
41717347|*Nostoc|C0995554|15942|MH|RtM via: Nostoc parmelioides;checkForceMH Boosted|TI|MM|487^19^0
41717347|Nostoc parmelioides|C3956242|15898|NM|RtM via: Nostoc parmelioides;Forced New Lookup:nostoc parmelioides|TI|MM|487^19^0
41717347|Idaho|C0020787|15744|MH|RtM via: Idaho (geographic location);RtM via: Idaho County, ID;Forced Leaf Node Lookup:idaho|TI|MM|71^5^0;57^12^0
41717347|*Holometabola|C1004458|29379|MH|RtM via: Trichoptera|TI|MM|596^11^0
41717347|*Insecta|C0021585|27573|MH|RtM via: Plecoptera (Burmeister, 1839);Forced Non-Leaf Node Lookup:trichoptera|TI|MM;RC|580^10^0;596^11^0
41717347|*Diet|C0012155|3552|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|718^4^0
41717347|*Family Characteristics|C0015579|2370|MH|RtM via: Cohabiting|TI|MM|627^12^0
41717347|*Genitalia|C0017420|1164|MH|RtM via: Genitalia;Forced Non-Leaf Node Lookup:genitalia|TI|MM|420^9^0
41717348|*Grass|C0018210|59953|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM;RC|92^5^0
41717348|*Sympatry|C3179134|14518|MH|RtM via: Sympatry;Forced Leaf Node Lookup:sympatry|TI|MM|1439^8^0;1188^9^0;615^9^0;351^8^0
41717348|*Stains|C0038128|11485|ET|Entry Term Replacement for "Coloring Agents";RtM via: Stains;checkForceMH Boosted|TI|MM|1607^12^0;1259^12^0;582^12^0
41717348|Colorado|C0009399|10159|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|121^8^0
41717348|*Pollen|C0032385|58209|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|1639^6^0;1252^6^0;1064^6^0;575^6^0
41717348|*Chromosome Pairing|C0598501|53892|MH|RtM via: Chromosome Pairing|TI|MM;RC|1503^18^0
41717348|*Chromosome Aberrations|C0008625|20808|MH|RtM via: Chromosome Aberrations|TI|MM|1503^10^1;1522^9^1
41717348|*Translocation, Genetic|C0040715|15738|MH|RtM via: Chromosomal translocation|TI|MM|1222^13^0
41717348|*Chromosome|C0008633|17199|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;RtM via: Meiotic chromosome;Forced Non-Leaf Node Lookup:chromosome|TI|MM|1041^10^0;550^10^0;1495^18^0;1503^10^0
41717348|*Mother Cells|C0038250|117|ET|Entry Term Replacement for "Stem Cells";RtM via: Stem cells;Forced Non-Leaf Node Lookup:mother cells|TI|MM|1071^12^0
41717349|Humans|C0086418|45006|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|42^5^0;460^5^0
41717349|*Off-Road Motor Vehicles|C0028892|44006|MH|RtM via: Off-Road Motor Vehicles;Forced Leaf Node Lookup:off-road motor vehicles|TI|MM;RC|71^22^0
41717349|*Soil|C0037592|26195|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|858^4^0;670^4^0;575^4^0;284^4^0;21^4^0
41717349|*Motorcycles|C0026616|24128|MH|RtM via: Motorcycles;Forced Leaf Node Lookup:motorcycles|TI|MM|522^10^0
41717349|*Coleogyne|C1135878|7388|ET|Entry Term Replacement for "Rosaceae";RtM via: Coleogyne;RtM via: Coleogyne ramosissima;checkForceMH Boosted|TI|MM|1239^9^0;151^21^0
41717349|Nevada|C0027951|4799|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|1286^6^0;235^6^0
41717349|*Motor Vehicle|C0175845|13425|ET|Entry Term Replacement for "Motor Vehicles";RtM via: Motor Vehicles;Forced Non-Leaf Node Lookup:motor vehicles|TI|MM|1210^13^0
41717349|*Bicycling|C0005377|12588|MH|RtM via: Bicycling (recreational activity)|TI|MM;RC|1150^6^0;59^6^0
41717349|*Sports|C0038039|2076|MH|RtM via: Hiking|TI|MM|1139^6^0
41717349|*Seasons|C0036497|894|MH|RtM via: spring (season)|TI|MM|206^6^0
41717357|Animals|C0003062|30667|CT|Snails;CT Treecode Lookup: B01.050.500.644 (Snails);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
41717357|Utah|C0042124|17964|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM;RC|1014^4^0;881^4^0;144^4^0
41717357|*Sympatry|C3179134|13071|MH|RtM via: Sympatry;Forced Leaf Node Lookup:sympatry|TI|MM|1162^8^0
41717357|Nevada|C0027951|11046|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|907^6^0;133^6^0
41717357|*Limestone|C0205688|7437|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted|TI|MM|1657^9^0
