C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
1522330|Tundra|C3850151|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|58^6^0;265^6^0
1522331|Animals|C0003062|332117|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
1522331|Humans|C0086418|332117|CT|Forced Lookup:population level|TI|MM;RC|1191^16^0
1522331|Maryland|C0024858|56579|MH|RtM via: Maryland (geographic location);Forced Leaf Node Lookup:maryland|TI|MM|489^8^0;258^8^0
1522331|North Carolina|C0028407|49712|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM|677^14^0;409^14^0;375^14^0
1522331|Virginia|C0042753|49580|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM|725^8^0;507^8^0
1522331|North Dakota|C0028408|44072|MH|RtM via: North Dakota (geographic location);Forced Leaf Node Lookup:north dakota|TI|MM|693^12^0
1522331|South Dakota|C0037717|44072|MH|RtM via: South Dakota;Forced Leaf Node Lookup:south dakota|TI|MM|707^12^0
1522331|New Jersey|C0027971|43583|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM|520^10^0
1522331|*Population Growth|C0032671|38888|MH|RtM via: Population Growth;Forced Leaf Node Lookup:population growth|TI|MM|1015^17^0;907^17^0
1522331|Montana|C0026506|37094|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|668^7^0
1522331|*Bays|C3203003|37082|MH|Forced Leaf Node Lookup:bay|TI|MM|298^3^0
1522331|Chlamydia|C0008148|331117|MH|||RC
1522331|Chlamydia Infections|C0008149|211909|MH|||RC
1522331|*Birds|C0005595|6579|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|950^5^0
1522331|*Anseriformes|C0325486|2514|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|763^4^0;239^5^0;798^4^0
1522331|*Survey|C0038951|726|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|68^6^0
1522331|Tundra|C3850151|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|118^6^0
1522332|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248 (Birds)||MM
1522332|*Censuses|C0007663|102061|MH|RtM via: Censuses;Forced Leaf Node Lookup:censuses|TI|MM|1688^8^0;766^6^0;157^6^0;263^8^0
1522332|*Population Density|C0032665|64361|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM|1036^15^0
1522332|Northern Ireland|C0028415|50021|MH|RtM via: Northern Ireland;Forced Leaf Node Lookup:northern ireland|TI|MM|1355^16^0;370^16^0
1522332|Wales|C0043015|50021|MH|RtM via: Country of Wales;Forced Leaf Node Lookup:wales|TI|MM|465^5^0
1522332|*Emigration and Immigration|C0013976|43064|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM|891^11^0
1522332|*Water|C0043047|42038|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1666^5^0
1522332|Iceland|C0020750|41558|MH|RtM via: Iceland;RtM via: Icelanders;Forced Leaf Node Lookup:iceland|TI|MM|753^7^0;427^7^0;134^7^0;24^9^0
1522332|*Grassland|C0442534|39788|MH|Forced Leaf Node Lookup:grasslands|TI|MM|1579^9^0
1522332|United Kingdom|C0041700|39788|MH|Forced Lookup:britain|TI|MM|122^7^0;657^7^0;1773^7^0;479^11^0
1522332|Chlamydophila psittaci|C0008150|247293|MH|||RC
1522332|Psittacosis|C0029291|211439|MH|||RC
1522332|*Birds|C0005595|14295|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|1559^5^0;1413^5^0;906^5^0;310^5^0
1522332|*Breeding|C0006159|11223|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|34^8^0
1522332|Anseriformes|C0325486|1000|MH|Forced Non-Leaf Node Lookup:swan||MM|51^4^0
1522332|England|C0014282|10233|MH|RtM via: England|TI|MM|1404^7^0;1260^7^0;395^7^0
1522332|Scotland|C0036453|10233|MH|RtM via: Scotland|TI|MM|411^8^0
1522332|Europe|C0015176|1764|MH|RtM via: Europe|TI|MM|967^6^0
1522333|*Lakes|C0337049|82721|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|339^5^0;169^4^0;75^4^0
1522333|*Molting|C0282576|44191|MH|RtM via: Molting;Forced Leaf Node Lookup:moltings|TI|MM|474^7^0;391^7^0;229^7^0;64^7^0
1522333|*Bays|C3203003|41185|MH|RtM via: Bay (geographic);Forced Leaf Node Lookup:bays|TI|MM|308^4^0
1522333|Iceland|C0020750|37837|MH|RtM via: Iceland;Forced Leaf Node Lookup:iceland|TI|MM|254^7^0;88^7^0
1522333|Chlamydia|C0008148|425906|MH|||RC
1522333|Chlamydia Infections|C0008149|136672|MH|||RC
1522334|Animals|C0003062|534704|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes)|TI|MM
1522334|*Censuses|C0007663|60623|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|672^3^0;148^6^0
1522334|Sweden|C0038995|53984|MH|RtM via: Sweden;Forced Leaf Node Lookup:sweden|TI|MM;RC|82^6^0
1522334|Coxiella burnetii|C0010240|533704|MH|||RC
1522334|Q Fever|C0034362|509283|MH|||RC
1522334|*Birds|C0005595|15747|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|576^5^0
1522334|*Anseriformes|C0325486|7353|MH|RtM via: Genus Cygnus;RtM via: Cygnus olor;Forced Non-Leaf Node Lookup:swan|TI|MM|697^5^0;1042^10^0;764^9^0;32^11^0;20^10^0;189^4^0;769^4^0
1522334|*Surveys|C0038951|5505|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|545^7^0;278^7^0
1522334|*Habitats|C0871648|4029|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|605^8^0
1522335|Animals|C0003062|156209|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes)|TI|MM
1522335|*Wetlands|C1721088|97041|MH|RtM via: Bog;RtM via: Wetlands;Forced Leaf Node Lookup:wetlands;Forced Leaf Node Lookup:bogs|TI|MM|1376^4^0;663^8^0;360^7^0
1522335|*Bays|C3203003|58220|MH|RtM via: Bay (geographic);Forced Leaf Node Lookup:bays|TI|MM|1460^4^0;682^3^0;540^3^0;557^3^0;698^3^0
1522335|*Lakes|C0337049|35896|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|1361^5^0;1426^5^0;1450^5^0
1522335|*Molting|C0282576|31366|MH|RtM via: Molting;Forced Leaf Node Lookup:moltings|TI|MM|1482^7^0
1522335|Estonia|C0014908|24085|MH|RtM via: Estonia;Forced Leaf Node Lookup:estonia|TI|MM|1554^7^0;1123^7^0;1001^7^0;129^7^0
1522335|Chlamydophila pneumoniae|C0085504|155209|MH|||RC
1522335|Chlamydia Infections|C0008149|55914|MH|||RC
1522335|Europe|C0015176|37641|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM|113^6^0
1522335|*Birds|C0005595|21543|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|1517^5^0;935^5^0;605^5^0;344^5^0;437^5^0;973^5^0
1522335|*Anseriformes|C0325486|5808|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|1490^5^0;1051^5^0;485^5^0;814^4^0
1522335|*Breeding|C0006159|3573|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1508^8^0;1296^8^0;1389^8^0;1086^8^0;1188^8^0;1258^8^0
1522335|Russia|C0035970|1959|MH|RtM via: Russia|TI|MM|273^6^0
1522336|Humans|C0086418|262789|CT|CT Text Lookup: human|TI|MM;RC|415^5^0
1522336|*Lakes|C0337049|40435|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|1122^4^0
1522336|Russia|C0035970|39277|MH|RtM via: Russia;RtM via: Russians;Forced Leaf Node Lookup:russians|TI|MM|212^6^0;796^7^0
1522336|Finland|C0016132|39268|MH|RtM via: Finnish ethnic group;Forced Leaf Node Lookup:finnish|TI|MM|804^7^0
1522336|Chlamydia trachomatis|C0008151|261789|MH|||RC
1522336|Chlamydia Infections|C0008149|219633|MH|||RC
1522336|*Human Activity|C0020115|546|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activity|TI|MM|415^14^0
1522336|*Breeding|C0006159|249|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1279^8^0;1145^8^0;977^8^0;739^5^0;654^8^0;481^8^0;190^8^0;1352^8^0
1522336|Far East|C0015631|6|MH|RtM via: Far East|TI|MM|955^12^0
1522337|Japan|C0022341|110247|MH|RtM via: Japan;Forced Leaf Node Lookup:japan|TI|MM|618^5^0;524^5^0;251^5^0;127^5^0
1522337|*Oryza|C0086740|107778|MH|RtM via: Oryza sativa;RtM via: Rice (Dietary);Forced Leaf Node Lookup:rice;checkForceMH Boosted|TI|MM|590^4^0
1522337|*Bread|C0006138|60690|MH|RtM via: Bread;Forced Leaf Node Lookup:breads|TI|MM|599^5^0
1522337|Chlamydia trachomatis|C0008151|391755|MH|||RC
1522337|Chlamydia Infections|C0008149|324785|MH|||RC
1522337|*Farming|C0001829|8169|ET|Entry Term Replacement for "Agriculture";RtM via: Agriculture;Forced Non-Leaf Node Lookup:farming|TI|MM|889^7^0
1522337|North America|C0028405|5316|MH|RtM via: North America|TI|MM|856^13^0
1522337|Europe|C0015176|4245|MH|RtM via: Europe|TI|MM|845^6^0
1522338|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248.050 (Anseriformes)||MM
1522338|*Seasons|C0036497|40132|MH|RtM via: Seasonal Variation;RtM via: Summer;Forced Leaf Node Lookup:seasonal variations|TI|MM|939^18^0;1242^6^0
1522338|Chlamydia trachomatis|C0008151|279270|MH|||RC
1522338|Chlamydia Infections|C0008149|215830|MH|||RC
1522338|*Tundra|C3850151|23778|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|527^6^0;393^6^0
1522338|*Forest|C0086312|9954|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|520^6^0
1522338|*Surveys|C0038951|5202|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|1062^7^0;483^7^0;27^7^0
1522338|*Breeding|C0006159|2160|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1212^8^0;800^8^0;508^8^0;38^8^0;997^8^0
1522338|Anseriformes|C0325486|1000|MH|Forced Non-Leaf Node Lookup:swan||MM|292^4^0;374^4^0
1522338|Russia|C0035970|9|MH|RtM via: Russia|TI|MM|171^6^0
1522339|Animals|C0003062|334179|CT|Reindeer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Reindeer)||MM
1522339|*Reindeer|C0035005|129248|MH|RtM via: Reindeer;Forced Leaf Node Lookup:reindeer;checkForceMH Boosted|TI|MM|384^17^0;374^8^0;499^8^0
1522339|*Temperature|C0039476|66283|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|931^11^0
1522339|*Seasons|C0036497|65944|MH|RtM via: spring (season);RtM via: Autumn;Forced Leaf Node Lookup:seasonal|TI|MM|647^6^0;658^6^0;676^8^0
1522339|*Censuses|C0007663|62800|MH|RtM via: Censuses;Forced Leaf Node Lookup:censuses|TI|MM|142^8^0
1522339|*Ships|C0036971|61747|MH|RtM via: Boat (physical object);Forced Leaf Node Lookup:boat|TI|MM|624^4^0
1522339|Chlamydia trachomatis|C0008151|333179|MH|||RC
1522339|Chlamydia Infections|C0008149|302280|MH|||RC
1522339|*Birds|C0005595|7404|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|727^5^0
1522339|*Anseriformes|C0325486|3822|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|548^4^0;355^4^0;205^4^0
1522339|*Breeding|C0006159|2475|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|958^8^0;701^8^0;579^8^0;108^8^0;756^8^0;836^8^0
1522339|Asia, Northern|C3658205|6|MH|RtM via: Asia, Northern;Forced Non-Leaf Node Lookup:northern asia|TI|MM|120^13^0
1522340|Animals|C0003062|395193|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes)|TI|MM
1522340|*Taiga|C3850011|66807|MH|RtM via: Taiga;Forced Leaf Node Lookup:taigas|TI|MM|676^5^0
1522340|Siberia|C0037045|44280|MH|RtM via: Siberia;Forced Leaf Node Lookup:siberia|TI|MM|420^7^0
1522340|Chlamydia trachomatis|C0008151|394193|MH|||RC
1522340|Chlamydia Infections|C0008149|290734|MH|||RC
1522340|*Tundra|C3850151|21552|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|637^6^0;386^6^0;665^6^0;693^6^0
1522340|*Birds|C0005595|14916|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|936^5^0
1522340|*Anseriformes|C0325486|4020|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|40^4^0;159^4^0;441^4^0;700^4^0
1522340|*Breeding|C0006159|2319|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|755^8^0;537^8^0
1522340|Russia|C0035970|6090|MH|RtM via: Russia|TI|MM|902^6^0
1522340|Asia|C0003980|2844|MH|RtM via: Asia|TI|MM|796^4^0
1522340|*Longitudinal Studies|C0023981|258|MH|RtM via: Continuous|TI|MM|306^10^0
1522341|*Wetlands|C1721088|38883|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|684^7^0
1522341|*Droughts|C0013140|38544|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|576^8^0
1522341|*Seasons|C0036497|38331|MH|RtM via: Summer;RtM via: Winter;RtM via: Autumn;RtM via: spring (season);Forced Leaf Node Lookup:seasonal|TI|MM|405^6^0;366^6^0;359^6^0;398^6^0;156^8^0;300^8^0
1522341|*Ships|C0036971|37233|MH|RtM via: Boat (physical object);Forced Leaf Node Lookup:boat|TI|MM|207^4^0
1522341|Chlamydia trachomatis|C0008151|394513|MH|||RC
1522341|Chlamydia Infections|C0008149|275249|MH|||RC
1522341|*Surveys|C0038951|801|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|222^7^0
1522341|Demography|C0011298|1000|MH|Forced Non-Leaf Node Lookup:demographics||MM|705^11^0
1522342|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248 (Bird)||MM
1522342|*Wetlands|C1721088|63691|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|744^7^0;800^8^0;431^7^0;320^7^0
1522342|Chile|C0008107|30116|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM|853^5^0;690^5^0;359^5^0
1522342|Chlamydophila pneumoniae|C0085504|116286|MH|||RC
1522342|Chlamydia Infections|C0008149|95390|MH|||RC
1522342|*Bird|C0005595|8325|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM|126^4^0
1522342|*Anseriformes|C0325486|3906|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|779^5^0;605^5^0;383^4^0;241^5^0
1522342|*Breeding|C0006159|2316|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|622^8^0;549^6^0;664^8^0
1522342|Mediterranean Region|C0282645|6|MH|RtM via: Mediterranean Region|TI|MM|335^20^0
1522343|Animals|C0003062|194657|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes)|TI|MM
1522343|Japan|C0022341|93298|MH|RtM via: Japan;Forced Leaf Node Lookup:japanese|TI|MM|1179^5^0;920^5^0;732^5^0;238^5^0;121^5^0;623^8^0;1120^8^0
1522343|*Lakes|C0337049|56681|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|1049^4^0;356^4^0;98^4^0
1522343|*Rivers|C0337050|52964|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|795^5^0;418^5^0
1522343|Chlamydophila pneumoniae|C0085504|193657|MH|||RC
1522343|Chlamydia trachomatis|C0008151|190053|MH|||RC
1522343|*Mouth|C0226896|7947|MH|RtM via: Oral cavity;Forced Non-Leaf Node Lookup:mouth|TI|MM|777^5^0;400^5^0
1522343|*Birds|C0005595|6552|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|840^4^0;192^5^0
1522343|*Anseriformes|C0325486|2451|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|876^5^0;659^5^0;536^5^0;33^4^0
1522343|*Telemetry|C0039451|2208|MH|RtM via: Telemetry;Forced Non-Leaf Node Lookup:telemetry|TI|MM|156^9^0
1522343|*Islands|C0022130|12711|MH|RtM via: Islands|TI|MM|1129^7^0;909^7^0;632^7^0
1522343|China|C0008115|3060|MH|RtM via: China|TI|MM|387^5^0
1522343|Russia|C0035970|9|MH|RtM via: Russia|TI|MM|436^6^0
1522344|Animals|C0003062|243296|CT|Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese)||MM;RC
1522344|*Geese|C0017225|127678|MH|RtM via: Geese;Forced Leaf Node Lookup:geese;checkForceMH Boosted|TI|MM|1044^5^0;474^5^0;98^5^0;233^5^0
1522344|Chlamydia trachomatis|C0008151|242296|MH|||RC
1522344|Chlamydophila psittaci|C0008150|221953|MH|||RC
1522344|*Aircraft|C0001881|2655|MH|RtM via: Aircraft;Forced Non-Leaf Node Lookup:aircraft|TI|MM|276^8^0;211^8^0
1522344|*Truck|C0557776|876|ET|Entry Term Replacement for "Motor Vehicles";RtM via: Truck (physical object);Forced Non-Leaf Node Lookup:trucks|TI|MM|842^6^0;520^5^0
1522344|Canada|C0006823|1000|MH|Forced Non-Leaf Node Lookup:canada||MM|91^6^0;226^6^0
1522345|Adult|C0001675|182745|CT|CT Text Lookup: adult|TI|MM;RC|756^6^0
1522345|Adolescent|C0205653|182745|CT|RtM via: Juvenile|TI|MM;RC|1152^9^0
1522345|Humans|C0086418|182745|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|1227^5^0
1522345|Idaho|C0020787|62267|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|160^5^0;224^5^0
1522345|Montana|C0026506|62267|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|180^7^0
1522345|Wyoming|C0043287|62267|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM|167^7^0;231^7^0
1522345|Oregon|C0029195|55289|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|240^6^0
1522345|Utah|C0042124|55289|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|252^4^0
1522345|Chlamydophila pneumoniae|C0085504|181745|MH|||RC
1522345|Chlamydia Infections|C0008149|95173|MH|||RC
1522345|*Habitats|C0871648|1587|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1312^7^0;928^8^0
1522345|*Breeding|C0006159|1584|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|377^8^0
1522345|Canada|C0006823|9|MH|RtM via: Canada|TI|MM|346^6^0
1522346|*Zea mays|C0010028|451926|MH|RtM via: Maize;RtM via: Zea;RtM via: Zea mays;Forced Leaf Node Lookup:zea mays;Forced Leaf Node Lookup:corn;checkForceMH Boosted|TI|MM|977^4^0;983^8^0
1522346|*Triticum|C0087114|417390|MH|RtM via: Triticum aestivum;RtM via: Wheat (Dietary);RtM via: Wheat - grass (plant);Forced Leaf Node Lookup:triticum;Forced Leaf Node Lookup:wheat;checkForceMH Boosted|TI|MM|1050^5^0;1057^8^0
1522346|*Water|C0043047|80398|MH|RtM via: Water;checkForceMH Boosted|TI|MM|356^5^0
1522346|*Wetlands|C1721088|79543|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|1142^7^0
1522346|*Lakes|C0337049|76297|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|32^4^0
1522346|*Seasons|C0036497|72109|MH|RtM via: spring (season);RtM via: Winter;RtM via: Autumn;Forced Leaf Node Lookup:seasonal|TI|MM|1682^6^0;1170^6^0;908^6^0;836^6^0;750^6^0;59^6^0;1043^6^0;1693^6^0;1323^6^0;1016^6^0;888^6^0;636^6^0;438^6^0;70^6^0;1082^8^0
1522346|RNA Polymerase I|C0035678|130859|MH|||RC
1522346|DNA, Ribosomal|C0012933|115953|MH|||RC
1522346|*Surveys|C0038951|213|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|336^7^0;388^7^0
1522346|Tundra|C3850151|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|113^6^0;196^6^0;260^6^0;493^6^0;586^6^0;773^6^0;1226^6^0;1472^6^0;1609^6^0
1522347|Humans|C0086418|94840|CT|Length of Stay;CT Treecode Lookup: E02.760 (Length of Stay);Length of Stay;CT Treecode Lookup: N02.421.585 (Length of Stay)||MM;RC
1522347|Animals|C0003062|94840|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks)||MM;RC
1522347|*Rivers|C0337050|23037|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1038^5^0;405^5^0;239^5^0;42^5^0
1522347|*Length of Stay|C0023303|20316|MH|Forced Leaf Node Lookup:length of stay|TI|MM|832^14^0
1522347|DNA, Mitochondrial|C0012929|93840|MH|||RC
1522347|Transcription, Genetic|C0040649|92262|MH|||RC
1522347|*Ducks|C0013268|7314|MH|RtM via: Cygnus columbianus columbianus|TI|MM|119^30^0;1111^12^0;105^12^0
1522347|*Surveys|C0038951|4431|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|627^7^0;173^7^0;195^7^0
1522347|Tundra|C3850151|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|105^6^0;1111^6^0
1522347|Mississippi|C0026221|12|MH|RtM via: Mississippi (geographic location)|TI|MM|1026^11^0;30^11^0
1522348|Animals|C0003062|26210|CT|Anseriformes;CT Treecode Lookup: B01.050.150.900.248 (Anseriformes)|TI|MM
1522348|*Cause of Death|C0007465|7516|MH|Forced Leaf Node Lookup:cause of death|TI|MM|691^14^0
1522348|Base Sequence|C0004793|25210|MH|||RC
1522348|Electrophoresis, Polyacrylamide Gel|C0013862|17673|MH|||RC
1522348|*Anseriformes|C0325486|246|MH|RtM via: Cygnus olor;Forced Non-Leaf Node Lookup:swan|TI|MM|31^11^0;20^9^0;25^4^0
1522349|Humans|C0086418|1000|CT|Forced Humans: Farmers||MM
1522349|*Triticum|C0087114|78066|MH|RtM via: Triticum aestivum;RtM via: Wheat (Dietary);RtM via: Wheat - grass (plant);Forced Leaf Node Lookup:triticum;Forced Leaf Node Lookup:wheat;checkForceMH Boosted|TI|MM|84^5^0;91^8^0
1522349|*Biomass|C0005535|24994|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|508^7^0;277^7^0
1522349|North Carolina|C0028407|12643|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM|232^14^0
1522349|*Farmers|C0221460|12079|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|1012^7^0
1522349|*Edible Grain|C4042883|57468|MH|RtM via: Cereals|TI|MM|381^5^0
1522349|*Seed|C0036563|25872|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|527^4^0;296^4^0;312^4^0
1522349|Tundra|C3850151|1000|MH|Forced Non-Leaf Node Lookup:tundras||MM|20^6^0;475^6^0
1522350|Animals|C0003062|72753|CT|Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese)||MM;RC
1522350|*Geese|C0017225|43841|MH|RtM via: Geese;Forced Leaf Node Lookup:geese;checkForceMH Boosted|TI|MM|849^5^0
1522350|*Biomass|C0005535|17554|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|958^7^0;783^7^0;374^7^0;202^7^0
1522350|Ireland|C0022067|15517|MH|RtM via: Ireland;Forced Leaf Node Lookup:ireland|TI|MM|144^7^0
1522350|*Grassland|C0442534|15511|MH|Forced Leaf Node Lookup:grasslands|TI|MM|92^10^0
1522350|Vasodilation|C0042401|71753|MH|||RC
1522350|Endothelium, Vascular|C0014261|50554|MH|||RC
1522350|*Weather|C0043085|10335|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|1222^7^0
1522351|Humans|C0086418|1000|CT|Forced Humans: Farmers||MM
1522351|*Edible Grain|C4042883|47420|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|755^7^0
1522351|*Brassica napus|C0330502|47006|MH|RtM via: Brassica napus;Forced Leaf Node Lookup:brassica napus;checkForceMH Boosted|TI|MM|1272^12^0;910^12^0;638^14^0;624^12^0
1522351|*Seasons|C0036497|43972|MH|RtM via: Seasonal Variation;RtM via: Winter;Forced Leaf Node Lookup:seasonal variations|TI|MM|234^18^0;748^6^0;611^6^0;470^6^0
1522351|*Agricultural Crops|C0242775|36316|ET|Entry Term Replacement for "Crops, Agricultural";RtM via: Agricultural Crops;checkForceMH Boosted;Forced Non-Leaf Node Lookup:agricultural crops|TI|MM|585^18^0
1522351|*Rivers|C0337050|34540|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|800^5^0;146^5^0
1522351|*Water|C0043047|33064|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1313^5^0;1000^5^0
1522351|*Farmers|C0221460|23155|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|1181^7^0
1522351|Blood Gas Monitoring, Transcutaneous|C0005801|128088|MH|||RC
1522351|Partial Pressure|C0030604|47919|MH|||RC
1522351|*Habitat|C0871648|18294|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|673^7^0;293^7^0;20^7^0
1522351|*Surveys|C0038951|3129|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|194^7^0
1522351|Scotland|C0036453|9|MH|RtM via: Scotland|TI|MM|161^8^0
1522352|Humans|C0086418|34265|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|1207^5^0
