C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\zeitpflapflapfla\input.txt
43230740|Animals|C0003062|13594|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)|TI|MM
43231474|*Plant Leaves|C0242724|9441|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1794^6^0
43231474|*Plant Roots|C0242726|8640|MH|RtM via: Plant Roots|TI|MM|1179^5^0
43231474|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|1162^9^0;1662^9^0
43231483|Animals|C0003062|205459|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
43231483|*Hordeum|C0004755|204459|MH|RtM via: Hordeum;RtM via: Hordeum vulgare;RtM via: Barley (Dietary);Forced Leaf Node Lookup:barley;checkForceMH Boosted|TI|MM|1729^6^0;1457^6^0;147^6^0;1272^6^0
43231483|*Avena|C0331496|161937|MH|RtM via: Avena (plant);Forced Leaf Node Lookup:oats;checkForceMH Boosted|TI|MM|1904^4^0;1555^4^0;1332^4^0;1214^4^0
43231483|*Aphids|C0003562|68163|MH|RtM via: Aphids;RtM via: Metopolophium dirhodum;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM|1609^5^0;1649^22^0;536^22^0
43231483|*Lolium|C0023969|54111|MH|RtM via: Lolium multiflorum;Forced Leaf Node Lookup:lolium;checkForceMH Boosted|TI|MM|1503^18^0;393^18^0
43231483|*Carmine|C0007250|49098|MH|RtM via: Carmine;Forced Leaf Node Lookup:carmine;checkForceMH Boosted|TI|MM|1356^7^0
43231483|*Luteovirus|C0206264|39447|MH|RtM via: Barley yellow dwarf virus|TI|MM|1272^25^0
43231483|*Seed|C0036563|19392|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|2124^4^0
43231483|*Crops, Agricultural|C0242775|15747|MH|RtM via: Agricultural Crops|TI|MM|2146^5^0;1838^5^0
43231483|*Plant Leaves|C0242724|10737|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1389^6^0;1479^6^0
43231483|*Stunting|C0018273|6030|ET|Entry Term Replacement for "Growth Disorders";RtM via: Growth Disorders;Forced Non-Leaf Node Lookup:stuntings|TI|MM|1430^8^0;1490^8^0
43231484|*Ziram|C0043505|173768|MH|RtM via: Ziram;Forced Leaf Node Lookup:ziram;checkForceMH Boosted|TI|MM|1932^5^0;954^5^0
43231484|*Zineb|C0043503|134060|MH|RtM via: Zineb;Forced Leaf Node Lookup:zineb;checkForceMH Boosted|TI|MM|1795^5^0;802^5^0
43231484|*Captan|C0006937|111386|MH|RtM via: Captan;Forced Leaf Node Lookup:captan;checkForceMH Boosted|TI|MM|1784^6^0;1479^6^0;791^6^0
43231484|*Chloranil|C0008172|105033|MH|RtM via: Chloranil;RtM via: Spergon;Forced Leaf Node Lookup:chloranil;Forced Leaf Node Lookup:spergon;checkForceMH Boosted|TI|MM|861^9^0;1855^7^0
43231484|*Fungicides, Industrial|C0392419|99623|MH|RtM via: Industrial fungicide;Forced Leaf Node Lookup:fungicides;checkForceMH Boosted|TI|MM|1675^10^0;1538^9^0;1199^10^0
43231484|nabam|C0068332|58284|NM|RtM via: nabam;Forced SCR Leaf Node Lookup:nabam|TI|MM|1864^5^0;872^5^0
43231484|methyldithiocarbamate|C0066344|42081|NM|RtM via: Vapam;Forced SCR Leaf Node Lookup:vapam|TI|MM|1142^5^0;54^5^0
43231484|*Thiram|C0039962|37628|MH|Forced Leaf Node Lookup:tmtd;checkForceMH Boosted|TI|MM|985^4^0;1963^4^0
43231484|*Disinfectants|C0012682|24490|MH|RtM via: Disinfectants;checkForceMH Boosted;Forced Non-Leaf Node Lookup:disinfectants|TI|MM|1127^13^0
43231484|*Soil|C0037592|21988|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1670^4^0;1570^4^0;1122^4^0;1194^4^0
43231484|*Half-Life|C0018517|19555|MH|RtM via: Half-Life;Forced Leaf Node Lookup:half-lifes|TI|MM|1843^9^0;2005^9^0
43231484|*Temperature|C0039476|18814|MH|Forced Leaf Node Lookup:temperatures|TI|MM|1278^11^0
43231484|*Ethylenebis(dithiocarbamates)|C0015090|58283|HM|RtM via: nabam|TI|MM|1864^5^0;872^5^0
43231484|*Thiocarbamates|C0039882|42080|HM|RtM via: Vapam|TI|MM|1142^5^0;54^5^0
43231484|allyl alcohol|C0051225|11098|NM|RtM via: allyl alcohol|TI|MM|1157^12^0
43231484|*Propanols|C0175804|11097|HM|RtM via: allyl alcohol|TI|MM|1157^12^0
43231484|*Formaldehyde|C0016564|6063|MH|RtM via: Formaldehyde;Forced Non-Leaf Node Lookup:formaldehyde|TI|MM|1174^12^0;86^11^0
43231484|*Mercury|C0025424|2520|MH|RtM via: Mercury;Forced Non-Leaf Node Lookup:hg|TI|MM|898^2^0
43231485|Animals|C0003062|7831|CT|Ascaris;CT Treecode Lookup: B01.050.500.500 (Ascaris);Rhabditida;CT Treecode Lookup: B01.050.500.500 (Rhabditida);Tylenchida;CT Treecode Lookup: B01.050.500.500 (Tylenchida)||MM;RC
43231485|*Secale|C0086964|902|MH|Forced Leaf Node Lookup:rye;checkForceMH Boosted|TI|MM|490^3^0
43231485|*Soils|C0037592|607|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|742^5^0
43231485|*Ascaris|C0003954|6831|MH|RtM via: Ascaris|TI|MM|627^7^0
43231485|*Rhabditida|C0162607|1332|MH|RtM via: Ditylenchus dipsaci|TI|MM|636^19^0;326^19^0;206^19^0
43231485|*Tylenchida|C0041438|729|MH|RtM via: Ditylenchus dipsaci|TI|MM|636^19^0;326^19^0;206^19^0
43231485|*Postural Orthostatic Tachycardia Syndrome|C1299624|558|MH|RtM via: Postural Orthostatic Tachycardia Syndrome|TI|MM|465^4^0
43231486|Female|C0086287|8161|CT|Forced Animals Lookup:gilt|TI|MM;RC|1643^4^0
43231486|Animals|C0003062|8161|CT|Forced Animals Lookup:gilt;Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)|TI|MM|1643^4^0
43231486|Swine|C0039005|8161|CT|Forced Animals Lookup:gilt|TI|MM|1643^4^0
43231486|*Population Density|C0032665|4751|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|3414^18^0;2212^18^0
43231486|*Parasites|C0030498|3132|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|3316^8^0;3054^10^0;3162^9^0;2775^8^0;2662^8^0;2567^9^0;2327^9^0;2234^9^0;2135^9^0
43231486|*Restraint, Physical|C0035260|1821|MH|RtM via: Chemical restraint (procedure)|TI|MM|2901^8^0
43231486|*Eggs|C0013710|1695|MH|RtM via: Egg Food Product|TI|MM|2119^4^0
43231486|*Insect|C0021585|1128|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|3362^7^0;2931^6^0;2380^6^0
43231486|*Symbiosis|C0039029|540|MH|RtM via: Parasitism|TI|MM|3194^10^0;3334^10^0;3000^10^0;2862^10^0;2049^10^0;1912^10^0
43233006|*Hordeum|C0004755|23950|MH|RtM via: Hordeum;RtM via: Hordeum vulgare;RtM via: Barley (Dietary);Forced Leaf Node Lookup:barley;checkForceMH Boosted|TI|MM|1736^6^0;1412^6^0
43233006|*Silicic Acid|C0037105|7876|MH|RtM via: Silicic Acid;Forced Leaf Node Lookup:silicic acid;checkForceMH Boosted|TI|MM|1860^12^0
43233006|*Magnesium Oxide|C0024477|5080|MH|Forced Leaf Node Lookup:mgo;checkForceMH Boosted|TI|MM|1142^3^0;2730^3^0
43233006|*Edible Grain|C4042883|14388|MH|RtM via: Cereals|TI|MM|2152^5^0
43233006|*Cations|C0007447|2691|MH|RtM via: Cations;Forced Non-Leaf Node Lookup:cations|TI|MM|2776^6^0;2465^7^0
43233006|*Minerals|C0026162|2139|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|1624^7^0
43233006|*Sulfur|C0038774|1749|MH|RtM via: Sulfur;Forced Non-Leaf Node Lookup:sulfur|TI|MM|2593^6^0;1815^6^0
43233006|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|2125^9^0
43233008|*Tobacco|C0086707|8659|MH|RtM via: Nicotiana tabacum;Forced Leaf Node Lookup:nicotiana tabacums;checkForceMH Boosted|TI|MM|330^17^0;180^17^0
43233008|*Plant Leaves|C0242724|5589|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|320^6^0
43233008|*Ascomycota|C0003965|564|MH|RtM via: Oidium|TI|MM|121^6^0
43231782|*Beta vulgaris|C0330391|63147|MH|RtM via: Beets;RtM via: Beta vulgaris;Forced Leaf Node Lookup:beet;checkForceMH Boosted|TI|MM|2302^4^0;1672^4^0;1527^4^0;1324^4^0;1461^4^0
43231782|*Cotyledon|C0242769|34860|MH|RtM via: Cotyledon plant;Forced Leaf Node Lookup:cotyledons|TI|MM|1619^10^0
43231782|*Seedlings|C0242437|27030|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|2166^9^0;2082^9^0;1731^9^0;1532^9^0;1466^9^0
43231782|*Soil|C0037592|20106|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1775^4^0
43231782|*Water|C0043047|14844|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1956^5^0
43231782|*Seeds|C0036563|15822|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|2307^5^0;2185^5^0;1677^4^0;1573^5^0;1329^4^0
43231782|*Atmosphere|C0004178|12390|MH|RtM via: Atmosphere, planetary;Forced Non-Leaf Node Lookup:atmospheres|TI|MM|1930^10^0
43231782|*Dietary Supplements|C0242295|8394|MH|RtM via: Dietary Supplements|TI|MM|1226^10^0
43231782|*Mitosporic Fungi|C0011746|5697|MH|RtM via: Cercospora beticola|TI|MM|1373^19^0;115^19^0;2263^10^0;2010^10^0;1557^10^0;1187^10^0;947^10^0;754^10^0;274^10^0
43231782|*Mycelium|C0949695|3741|MH|RtM via: Mycelium;Forced Non-Leaf Node Lookup:myceliums|TI|MM|2274^8^0;2021^8^0
43231782|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infections||MM|1359^10^0;1975^10^0
43231783|*Chenopodiaceae|C0446248|123110|MH|RtM via: Chenopodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chenopodiaceae|TI|MM|373^14^0
43231783|*Umbelliferae|C0524878|105968|ET|Entry Term Replacement for "Apiaceae";RtM via: Apiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:umbelliferae|TI|MM|540^12^0
43231783|*Polygonaceae|C0524882|104804|MH|RtM via: Polygonaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:polygonaceae|TI|MM|496^12^0
43231783|*Compositae|C0446228|101741|ET|Entry Term Replacement for "Asteraceae";RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:compositae|TI|MM|389^10^0
43231783|*Cucurbitaceae|C0446254|98606|MH|RtM via: Cucurbitaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cucurbitaceae|TI|MM|427^13^0
43231783|*Leguminosae|C0023263|96623|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM|468^11^0
43231783|*Verbenaceae|C0331276|84833|MH|RtM via: Verbenaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:verbenaceae|TI|MM|572^11^0
43231783|*Aizoaceae|C0996706|80732|MH|RtM via: Aizoaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:aizoaceae|TI|MM|330^9^0
43231783|*Labiatae|C0524904|73556|ET|Entry Term Replacement for "Lamiaceae";RtM via: Lamiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:labiatae|TI|MM|458^8^0
43231783|*Scrophulariaceae|C0331181|73265|MH|RtM via: Scrophulariaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:scrophulariaceae|TI|MM|510^16^0
43231783|*Caryophyllaceae|C0949997|69209|MH|RtM via: Caryophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllaceae|TI|MM|356^15^0
43231783|*Tombusvirus|C0206350|66352|MH|RtM via: Tomato bushy stunt virus;Forced Leaf Node Lookup:tomato bushy stunt virus;checkForceMH Boosted|TI|MM|773^24^0
43231783|*Solanaceae|C0446224|52310|MH|RtM via: Solanaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanaceae|TI|MM|528^10^0
43231783|*Crassulaceae|C0949972|36263|MH|RtM via: Crassulaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:crassulaceae|TI|MM|401^12^0
43231783|*Valerianaceae|C0949845|34226|MH|RtM via: Valerianaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:valerianaceae|TI|MM|554^13^0
43231783|*Amaranthaceae|C0949809|67116|MH|RtM via: Amaranthaceae;Forced Non-Leaf Node Lookup:amaranthaceae|TI|MM|341^13^0
43231783|*Ericales|C0600625|14262|MH|RtM via: Polemoniaceae|TI|MM|481^13^0
43231783|*Specificities, Host|C2936412|4560|ET|Entry Term Replacement for "Host Specificity";RtM via: Host Specificity|TI|MM|987^12^0
43231784|Animals|C0003062|17362|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
43231784|*Aphids|C0003562|5412|MH|RtM via: Aphids;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM|299^5^0;367^6^0
43231784|*Stomach|C0038351|16362|MH|RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|356^7^0
43231784|*Upper Gastrointestinal Tract|C3203348|9036|MH|RtM via: Stomach structure|TI|MM|356^7^0
43231784|*Records|C0034869|633|MH|RtM via: Records|TI|MM|316^9^0
43231784|*Viscera|C0042779|570|MH|RtM via: Stomach structure|TI|MM|356^7^0
43231784|*Esophagus|C0014876|15207|MH|RtM via: Esophagus;Forced Non-Leaf Node Lookup:oesophagus|TI|MM|341^10^0;48^10^0
43231784|*Longitudinal Studies|C0023981|129|MH|RtM via: Continuous|TI|MM|410^10^0
43231785|Animals|C0003062|19679|CT|Insects;CT Treecode Lookup: B01.050.500.131 (Insects)|TI|MM
43231785|*Ultraviolet Rays|C0041625|18679|MH|RtM via: Ultraviolet Rays;Forced Leaf Node Lookup:uv light|TI|MM|689^8^0
43231785|*Light, Visible|C0242377|16185|ET|Entry Term Replacement for "Light";RtM via: Light, Visible|TI|MM|645^13^0
43231785|ACP5 protein, human|C1566918|8398|NM|RtM via: ACP5 protein, human|TI|MM|600^4^0;452^4^0
43231785|*Tartrate-Resistant Acid Phosphatase|C0297331|8397|HM|RtM via: ACP5 protein, human|TI|MM|600^4^0;452^4^0
43231785|*Insects|C0021585|1038|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|546^7^0
43231393|Animals|C0003062|48638|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
43231393|*Dieldrin|C0012141|47638|MH|RtM via: Dieldrin;Forced Leaf Node Lookup:dieldrin;checkForceMH Boosted|TI|MM|440^8^0
43231393|*Malathion|C0024547|43315|MH|RtM via: Malathion;Forced Leaf Node Lookup:malathion;checkForceMH Boosted|TI|MM|1972^9^0;1046^9^0
43231393|*Diazinon|C0012013|42313|MH|RtM via: Diazinon;Forced Leaf Node Lookup:diazinon;checkForceMH Boosted|TI|MM|1986^8^0;1060^8^0
43231393|*Parathion|C0030514|38600|MH|RtM via: Parathion;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parathion|TI|MM|1919^9^0;984^9^0
43231393|*Beta vulgaris|C0330391|21343|MH|RtM via: Beta vulgaris;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|1453^11^0;1459^5^0
43231393|*Aphids|C0003562|19852|MH|RtM via: Aphids;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM|1774^6^0;1558^6^0
43231393|methyl demeton|C0066060|19424|NM|RtM via: Metasystox;Forced SCR Leaf Node Lookup:metasystox|TI|MM|1819^10^0;923^10^0
43231393|*Gastrointestinal Microbiome|C4018878|7508|MH|Forced Leaf Node Lookup:gut|TI|MM|644^3^0
43231393|*Hexachlorocyclohexane|C0005038|22860|MH|RtM via: Lindane|TI|MM|433^6^0
43231393|*Organothiophosphorus Compounds|C0029258|19423|HM|RtM via: Metasystox|TI|MM|1819^10^0;923^10^0
43231393|*Insecticides|C0021576|10527|MH|RtM via: Chlorthion|TI|MM|1933^10^0;998^10^0
43231393|*Hydrocarbons, Chlorinated|C0020247|9606|MH|RtM via: Hydrocarbons, Chlorinated;Forced Non-Leaf Node Lookup:chlorinated hydrocarbons|TI|MM|2018^24^0;1650^24^0
43231393|Sugars|C0242209|1000|MH|Forced Non-Leaf Node Lookup:sugars||MM|1453^5^0
43231394|*Lupinus|C0330813|1473|MH|RtM via: Lupinus albus;Forced Leaf Node Lookup:lupinus;checkForceMH Boosted|TI|MM|760^13^0
43231394|*Fungus|C0016832|3309|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|1088^6^0;814^6^0;1177^6^0
43231394|*Communicable Diseases|C0009450|1680|MH|RtM via: Severe infection|TI|MM|724^16^0
43231394|*Weather|C0043085|1173|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|1129^7^0;688^7^0
43231394|*Diagnostic Tests, Routine|C0011930|444|MH|RtM via: Fungi Measurement|TI|MM|1088^6^0;814^6^0
43231395|*Seedlings|C0242437|27960|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|369^9^0;79^9^0
43231395|*Beta vulgaris|C0330391|13434|MH|RtM via: Beta vulgaris;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|822^11^0;828^5^0
43231395|*Seed|C0036563|16914|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|516^4^0;310^4^0;35^4^0
43231395|*Plants|C0032098|11679|MH|RtM via: Plants|TI|MM;RC|1341^6^0;876^6^0;497^6^0;187^6^0;141^6^0
43231395|*Vegetables|C0042440|4056|MH|RtM via: Sugar beet (substance)|TI|MM;RC|822^11^0
43231395|*Body Weights and Measures|C0005912|2112|MH|RtM via: Weighing patient|TI|MM|596^6^0;442^6^0
43231395|Sugars|C0242209|1000|MH|Forced Non-Leaf Node Lookup:sugars||MM|822^5^0
43231405|Animals|C0003062|11066|CT|Slug;CT Treecode Lookup: B01.050.500.644 (Slug);Insects;CT Treecode Lookup: B01.050.500.131 (Insects);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|1371^7^0
43231405|*Tobacco Mosaic Virus|C0040333|6869|MH|RtM via: Tobacco Mosaic Virus;Forced Leaf Node Lookup:tobacco mosaic virus;checkForceMH Boosted|TI|MM|1778^20^0;1283^20^0
43231405|*Insects|C0021585|5406|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1415^7^0
43231405|*Sedentary Behavior|C1532253|4839|MH|RtM via: Physical Inactivity|TI|MM|1897^10^0
43231405|*Inhibition, Psychological|C0021467|4746|MH|RtM via: Psychological inhibition|TI|MM|1809^10^0;1622^10^0
43231405|*Virus Diseases|C0042769|4197|MH|RtM via: Virus Diseases|TI|MM|1499^14^0
43231405|*Snails|C0037378|8685|MH|RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM|1435^6^0;1188^6^0
43231405|*Mucus|C0026727|1917|MH|RtM via: Mucous body substance;Forced Non-Leaf Node Lookup:mucus|TI|MM|1516^5^0
43231405|*Aging|C0001811|942|MH|RtM via: Aging;Forced Non-Leaf Node Lookup:aging|TI|MM|1668^5^0
43231405|Mouth|C0226896|1000|MH|Forced Non-Leaf Node Lookup:mouth||MM|1969^5^0
43231406|*Plant Growth Regulators|C0032082|5975|MH|RtM via: Plant Growth Regulators;checkForceMH Boosted|TI|MM|764^23^0;595^23^0
43231406|*Water|C0043047|1979|MH|RtM via: Water;checkForceMH Boosted|TI|MM|641^5^0
43231406|*Manure|C0024765|1382|MH|RtM via: Manure;checkForceMH Boosted|TI|MM|804^8^0
43231406|*Running|C0035953|1125|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|541^7^0
43231406|*Sociology|C0037468|363|MH|RtM via: Sociology|TI|MM|964^12^0
43231407|Animals|C0003062|32457|CT|Heteroptera;CT Treecode Lookup: B01.050.500.131 (Heteroptera);Hemiptera;CT Treecode Lookup: B01.050.500.131 (Hemiptera)||MM;RC
43231407|*Heteroptera|C0544262|31457|MH|RtM via: Heteroptera;RtM via: Piesma;checkForceMH Boosted;Forced Non-Leaf Node Lookup:heteropteras|TI|MM|472^11^0;733^6^0;436^6^0;347^6^0;38^6^0
43231407|*Beta vulgaris|C0330391|10678|MH|RtM via: Beta vulgaris;Forced Leaf Node Lookup:beet;checkForceMH Boosted|TI|MM|503^10^0;509^4^0
43231407|*Hibernation|C0019516|5495|MH|RtM via: Hibernation;Forced Leaf Node Lookup:hibernations|TI|MM|718^11^0
43231407|*Digestion|C0012238|591|MH|RtM via: Sucking|TI|MM|492^7^0
43231407|*Vegetables|C0042440|573|MH|RtM via: Sugar beet (substance)|TI|MM|503^10^0
43231407|*DNA Viruses|C0012923|507|MH|RtM via: AS virus|TI|MM|533^5^0
43231407|*Eating|C0013470|432|MH|RtM via: Sucking|TI|MM|492^7^0
43231407|Sugars|C0242209|1000|MH|Forced Non-Leaf Node Lookup:sugars||MM|503^5^0
43231418|*Soils|C0037592|14138|ET|Entry Term Replacement for "Soil";RtM via: Soil;RtM via: Humus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:humus|TI|MM|3353^5^0;3161^5^0;2997^5^0;2467^5^0;2404^5^0;2012^5^0;3378^5^0;3422^5^0;3452^5^0
43231418|*Edible Grain|C4042883|14077|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|3063^6^0;3126^5^0
43231418|*Sand|C4759711|11473|MH|RtM via: Sand;Forced New Lookup:sand;checkForceMH Boosted|TI|MM|3465^4^0;3471^5^0;2398^5^0;1798^4^0
43231418|*Copper|C0009968|8218|MH|RtM via: Copper;RtM via: Hypocupremia;Forced Leaf Node Lookup:copper;checkForceMH Boosted|TI|MM|3316^6^0;2781^6^0;2619^6^0;3514^17^0;3220^17^0;2519^17^0;1984^17^0
43231418|*Depression|C0011570|2381|MH|Forced Leaf Node Lookup:depressions|TI|MM|2121^11^0
43231418|*Seed|C0036563|7857|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|2651^4^0
43231418|*Minerals|C0026162|4098|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|3414^7^0;3251^7^0
43231418|*Protective Agents|C0033613|3597|MH|RtM via: Protective Agents;RtM via: Protectants|TI|MM|2656^11^0
43231419|Humans|C0086418|124183|CT|CT Text Lookup: man|TI|MM;RC|158^3^0
43231419|Male|C0086582|124183|CT|CT Text Lookup: man|TI|MM;RC|158^3^0
43231419|*Weed Control|C2936495|123183|MH|RtM via: Weed Control;Forced Leaf Node Lookup:weed control|TI|MM|765^12^0
43231419|*Mineral Oil|C0026156|30099|MH|RtM via: Mineral Oil;Forced Leaf Node Lookup:mineral oil;checkForceMH Boosted|TI|MM|880^11^0
43231419|*Conifer|C0682475|27846|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|1104^7^0
43231419|*Paraffin|C0030415|27135|MH|RtM via: Paraffin;Forced Leaf Node Lookup:paraffin;checkForceMH Boosted|TI|MM|993^8^0
43231419|*Petroleum|C0031264|25815|MH|RtM via: Petroleum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:petroleums|TI|MM|1002^9^0
43231419|*Seedlings|C0242437|25500|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1112^9^0
43231419|*Herbicides|C0019236|24534|MH|RtM via: Herbicides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:herbicides|TI|MM|1148^9^0;866^10^0
43231419|Austria|C0004348|10686|MH|RtM via: Austrians;Forced Leaf Node Lookup:austrians|TI|MM|984^8^0
43231419|*Lacquer|C0022902|10473|MH|RtM via: Lacquer;Forced Leaf Node Lookup:lacquers|TI|MM|923^7^0
43231419|*Gastrointestinal Microbiome|C4018878|10467|MH|Forced Leaf Node Lookup:gut|TI|MM|333^3^0
43231419|*Plant Weeds|C2936212|47982|MH|RtM via: Plant Weeds|TI|MM|1078^5^0
43231419|*Gasoline|C0017113|14484|MH|RtM via: Gasoline|TI|MM|931^6^0
43231419|*Forest|C0086312|4065|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1327^6^0;781^6^0;822^6^0
43231419|*Transition Temperature|C1257885|666|MH|RtM via: Boiling Point Temperature|TI|MM|939^13^0
43231420|*Humulus|C0330543|14177|MH|RtM via: Humulus;Forced Leaf Node Lookup:hops;checkForceMH Boosted|TI|MM|1912^4^0;1316^4^0
43231420|*Virus Particles|C0042760|1750|ET|Entry Term Replacement for "Virion";RtM via: Virion;checkForceMH Boosted;Forced Non-Leaf Node Lookup:virus particles|TI|MM|2307^15^0
43231420|*Color|C0009393|1372|MH|Forced Leaf Node Lookup:colours|TI|MM|1735^6^0
43231420|*Electrons|C0013852|1372|MH|Forced Leaf Node Lookup:electrons|TI|MM|2201^8^0
43231420|*Crops, Agricultural|C0242775|4686|MH|RtM via: Agricultural Crops|TI|MM|1514^5^0
43231420|*Plant Leaves|C0242724|2637|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|2184^6^0;2096^6^0;1685^6^0
43231420|*Biological Phenomena|C0005520|1428|MH|RtM via: Tissue Growth|TI|MM|1781^6^0;1394^7^0
43231429|*Beta vulgaris|C0330391|18946|MH|RtM via: Beets;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|1625^5^0
43231429|*Edible Grain|C4042883|17919|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|1967^5^0;1760^6^0;1737^5^0;1514^7^0
43231429|*Fungicides, Industrial|C0392419|11212|MH|RtM via: Industrial fungicide;Forced Leaf Node Lookup:fungicides;checkForceMH Boosted|TI|MM|2087^9^0
43231429|*Soils|C0037592|8801|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|2165^5^0;2015^5^0
43231429|*Sand|C4759711|6239|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|2009^5^0
43231429|*Dust|C0013330|5033|MH|RtM via: Dust;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dust|TI|MM|2097^4^0
43231429|*Respect|C0679133|3572|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|1245^8^0
