C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\tranamermicrsoci\input.txt
10.2307/3224628|Animals|C0003062|68320|CT|Animal Shells;CT Treecode Lookup: A13.080 (Animal Shells);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea)||MM;RC
10.2307/3225259|*Hawks|C0325553|2962|MH|Forced Leaf Node Lookup:hawk;checkForceMH Boosted|TI|MM|557^4^0
10.2307/3225259|*Spiruroidea|C0037988|2962|MH|Forced Leaf Node Lookup:tetrameres;checkForceMH Boosted|TI|MM|28^10^0
10.2307/3225259|*Wetlands|C1721088|1481|MH|Forced Leaf Node Lookup:marsh|TI|MM|551^5^0
10.2307/3225259|*Birds|C0005595|8853|MH|RtM via: Aves;RtM via: Circus cyaneus;RtM via: Egretta thula|TI|MM;RC|763^5^0;563^14^0;551^10^0;91^11^0
10.2307/3225259|Nematoda|C1704319|1366|MH|||RC
10.2307/3225259|*Biliary Tract|C0005423|279|MH|RtM via: Papilla;RtM via: Papilla of duodenum|TI|MM|355^8^0
10.2307/3225259|*Mucous Membrane|C0026724|195|MH|RtM via: Muscularis Mucosae;Forced Non-Leaf Node Lookup:mucosa|TI|MM|714^17^0;725^6^0
10.2307/3225259|*Cyst|C0010709|192|ET|Entry Term Replacement for "Cysts";RtM via: Cyst;Forced Non-Leaf Node Lookup:cyst|TI|MM|702^4^0
10.2307/3225259|Louisiana|C0024024|27|MH|RtM via: Louisiana (geographic location)|TI|MM|582^9^0;125^9^0
10.2307/3225260|*Plankton|C0032071|7978|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM|145^8^0
10.2307/3225260|*Peridinium|C0031056|7021|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Peridinium;RtM via: Peridinium wisconsinense;checkForceMH Boosted|TI|MM;RC|258^10^0;46^24^0
10.2307/3225260|*Lakes|C0337049|3703|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|166^4^0
10.2307/3225260|*Color|C0009393|1185|MH|RtM via: Color;RtM via: Red color|TI|MM|286^5^0;282^9^0;112^9^0;28^14^0
10.2307/3225260|*Erythrocytes|C0014792|960|MH|RtM via: Erythrocytes|TI|MM|282^3^1;302^5^1
10.2307/3225260|*Erythema|C0041834|93|MH|RtM via: Redness|TI|MM|282^9^0;112^9^0;28^14^0
10.2307/3225260|*Excipients|C0015237|57|MH|RtM via: Coloring Excipient|TI|MM|286^5^0
10.2307/3225260|Cell Size|C0162658|1000|MH|Forced Non-Leaf Node Lookup:cell sizes||MM|206^9^0
10.2307/3225261|*Fertilizers|C0015919|87236|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilizers;checkForceMH Boosted|TI|MM;RC|352^10^0
10.2307/3225261|*Tobacco|C0086707|80486|MH|RtM via: Nicotiana;RtM via: Nicotiana tabacum;Forced Leaf Node Lookup:tobaccos;checkForceMH Boosted|TI|MM;RC|196^7^0
10.2307/3225261|*Soil|C0037592|37783|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|271^4^0;28^4^0
10.2307/3225261|Soil Microbiology|C0037593|1487|MH|||RC
10.2307/3225261|Agriculture|C0001829|1030|MH|||RC
10.2307/3225261|*Numbers, Cell|C0007584|303|ET|Entry Term Replacement for "Cell Count";RtM via: Cell Count;Forced Non-Leaf Node Lookup:cell numbers|TI|MM|429^12^0;238^12^0
10.2307/3225261|*Restraint, Physical|C0035260|231|MH|RtM via: Chemical restraint (procedure)|TI|MM|380^8^0
10.2307/3225265|Animals|C0003062|47335|CT|Strongylocentrotus;CT Treecode Lookup: B01.050.500.408 (Strongylocentrotus)||MM;RC
10.2307/3225265|borax|C0053942|36388|NM|RtM via: Borax;Forced SCR Leaf Node Lookup:borax|TI|MM|360^5^0
10.2307/3225265|strong silver protein|C0075331|34141|NM|RtM via: strong silver protein;Forced SCR Leaf Node Lookup:protargol|TI|MM|268^9^0
10.2307/3225265|Azure A|C0052826|24181|NM|RtM via: Azure A;Forced SCR Leaf Node Lookup:azure a|TI|MM|347^7^0
10.2307/3225265|*Carmine|C0007250|14409|MH|RtM via: Carmine;Forced Leaf Node Lookup:carmine;checkForceMH Boosted|TI|MM|366^7^1;382^6^1
10.2307/3225265|*Hematoxylin|C0018964|13050|MH|RtM via: HEMATOXYLIN HARRIS'S;Forced Leaf Node Lookup:hematoxylin;checkForceMH Boosted|TI|MM|317^6^1;325^11^1
10.2307/3225265|*Silver|C0037125|12336|MH|Forced Leaf Node Lookup:silver;checkForceMH Boosted|TI|MM|278^6^0
10.2307/3225265|*Strongylocentrotus|C1081118|11454|MH|RtM via: Strongylocentrotus droebachiensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:strongylocentrotus|TI|MM;RC|147^33^0
10.2307/3225265|*Oligohymenophorea|C0085334|46335|MH|RtM via: Plagiopyliella pacifica;RtM via: Thyrophylax vorax|TI|MM;RC|713^23^0;738^17^0;67^17^0;967^14^0;1002^11^0
10.2307/3225265|*Borates|C0006007|36387|HM|RtM via: Borax|TI|MM|360^5^0
10.2307/3225265|*Ciliophora|C0085330|35355|MH|RtM via: Ciliata|TI|MM;RC|904^8^0;59^7^0
10.2307/3225265|*Silver Proteins|C0382507|34140|HM|RtM via: strong silver protein|TI|MM|268^9^0
10.2307/3225265|*Azure Stains|C0004524|24180|HM|RtM via: Azure A|TI|MM|347^7^0
10.2307/3225265|*Hymenostomatida|C0085335|8799|MH|RtM via: Hymenostomatida;Forced Non-Leaf Node Lookup:hymenostomatidas|TI|MM|1090^21^0;1096^15^0
10.2307/3225265|*Intestines|C0021853|1464|MH|RtM via: Intestines;Forced Non-Leaf Node Lookup:intestines|TI|MM|109^10^0
10.2307/3225265|*Morphogenesis|C0026559|768|MH|RtM via: Morphogenesis;Forced Non-Leaf Node Lookup:morphogenesis|TI|MM|659^13^0
10.2307/3225265|Coloring Agents|C1566391|1000|MH|Forced Non-Leaf Node Lookup:stains||MM;RC|382^6^0
10.2307/3225266|Animals|C0003062|22425|CT|CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|66^7^0
10.2307/3225266|*Melatonin|C0025219|21425|MH|RtM via: Melatonin;Forced Leaf Node Lookup:melatonin;checkForceMH Boosted|TI|MM|100^9^0
10.2307/3225266|*Serotonin|C0036751|19322|MH|RtM via: Serotonin;Forced Leaf Node Lookup:serotonin;checkForceMH Boosted|TI|MM|85^9^0
10.2307/3225266|gold chloride|C0061790|18291|NM|RtM via: gold chloride;Forced SCR Leaf Node Lookup:gold chloride|TI|MM|367^13^0
10.2307/3225266|*Caffeine|C0006644|11678|MH|RtM via: Caffeine;Forced Leaf Node Lookup:caffeine;checkForceMH Boosted|TI|MM;RC|75^8^0
10.2307/3225266|*Electrons|C0013852|6307|MH|RtM via: Electrons;Forced Leaf Node Lookup:electrons|TI|MM|313^8^0
10.2307/3225266|*Gold Compounds|C0206108|18290|HM|RtM via: gold chloride|TI|MM|367^13^0
10.2307/3225266|*Transmission Electron Microscopy|C0678118|17574|ET|Entry Term Replacement for "Microscopy, Electron, Transmission";RtM via: Transmission Electron Microscopy;Forced Non-Leaf Node Lookup:transmission electron microscopy|TI|MM|327^32^0
10.2307/3225266|*Microtubule|C0026046|9459|ET|Entry Term Replacement for "Microtubules";RtM via: Microtubules;Forced Non-Leaf Node Lookup:microtubules|TI|MM;RC|773^11^0
10.2307/3225266|*Cell Count|C0007584|7617|MH|RtM via: Cell Count|TI|MM|199^6^0
10.2307/3225266|*Pigmentation|C0031911|5061|MH|RtM via: Pigmentation;Forced Non-Leaf Node Lookup:pigmentations|TI|MM;RC|726^7^0;615^7^0;565^12^0
10.2307/3225266|*Nervous System|C0027763|1518|MH|RtM via: Nervous system structure;Forced Non-Leaf Node Lookup:nervous system|TI|MM|48^14^0
10.2307/3225267|*Vacuoles|C0042219|30965|MH|RtM via: Vacuole;Forced Leaf Node Lookup:vacuoles|TI|MM|266^8^0
10.2307/3225267|*Lipid Droplets|C0230704|29831|MH|RtM via: Lipid droplet;Forced Leaf Node Lookup:lipid droplets|TI|MM|447^14^0
10.2307/3225267|*Glycogen|C0017911|20342|MH|RtM via: Glycogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycogen|TI|MM;RC|744^8^0
10.2307/3225267|*Electrons|C0013852|13019|MH|RtM via: Electrons;Forced Leaf Node Lookup:electrons|TI|MM|932^8^0;228^8^0;96^8^0
10.2307/3225267|*Rough Endoplasmic Reticulum|C0230779|96096|ET|Entry Term Replacement for "Endoplasmic Reticulum, Rough";RtM via: Rough endoplasmic reticulum;Forced Non-Leaf Node Lookup:rough endoplasmic reticulum|TI|MM|382^27^0
10.2307/3225267|*Smooth Endoplasmic Reticulum|C0230789|81168|ET|Entry Term Replacement for "Endoplasmic Reticulum, Smooth";RtM via: Smooth Endoplasmic Reticulum;Forced Non-Leaf Node Lookup:smooth endoplasmic reticulum|TI|MM|335^28^0
10.2307/3225267|*Microtubules|C0026046|14190|MH|RtM via: Microtubules;Forced Non-Leaf Node Lookup:microtubules|TI|MM;RC|495^12^0
10.2307/3225267|Mitochondria|C0026237|1000|MH|Forced Non-Leaf Node Lookup:mitochondria||MM;RC|420^12^0;677^12^0
10.2307/3225267|Digestive System|C0012240|1000|MH|Forced Non-Leaf Node Lookup:digestive system||MM|585^16^0
10.2307/3225268|Animals|C0003062|40636|CT|Chromadorea;CT Treecode Lookup: B01.050.500.500 (Chromadorea);Nematoda;CT Treecode Lookup: B01.050.500.500 (Nematoda);Sensilla;CT Treecode Lookup: A13.093 (Sensilla)||MM;RC
10.2307/3225268|Male|C0086582|40636|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|383^5^0
10.2307/3225268|*Sensilla|C2936471|2615|MH|RtM via: Setae;Forced Leaf Node Lookup:setae|TI|MM|287^5^0
10.2307/3225268|Florida|C0016253|2363|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM;RC|86^7^0
10.2307/3225268|Schizothrix calcicola|C1490884|2337|NM|RtM via: Schizothrix calcicola;Forced New Lookup:schizothrix calcicola|TI|MM|458^21^0
10.2307/3225268|*Chromadorea|C4316919|39636|MH|RtM via: Eubostrichus;RtM via: Catanema sp.;RtM via: Eubostrichus dianeae|TI|MM;RC|485^12^0;392^12^0;180^8^1;200^2^1;148^20^0
10.2307/3225268|*Nematoda|C1704319|14481|MH|RtM via: Nematodes;RtM via: Phylum Nematoda;Forced Non-Leaf Node Lookup:nematodes|TI|MM;RC|58^9^0
10.2307/3225268|*Cyanobacteria|C1047211|681|MH|RtM via: Schizothrix calcicola;Forced Non-Leaf Node Lookup:blue-green alga|TI|MM;RC|458^21^0;442^15^0
10.2307/3225268|*Color|C0009393|288|MH|RtM via: Blue green color|TI|MM;RC|442^10^0
10.2307/3225268|*Habits|C0018464|45|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|573^6^0
10.2307/3225270|Female|C0086287|21265|CT|CT Text Lookup: both sexes|TI|MM;RC|579^10^0
10.2307/3225270|Male|C0086582|21265|CT|CT Text Lookup: both sexes;CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|579^10^0;231^5^0
10.2307/3225270|Animals|C0003062|21265|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/3225270|*Copepoda|C0323853|20265|MH|RtM via: Harpacticoida;RtM via: Copepoda;RtM via: Pseudotachidius;RtM via: Zosime;RtM via: Pseudomesochra;Forced Leaf Node Lookup:harpacticoidas;Forced Leaf Node Lookup:copepods;checkForceMH Boosted|TI|MM;RC|687^13^0;107^8^0;847^15^0;821^6^0;255^6^0;767^14^0;354^14^0
10.2307/3225270|North Carolina|C0028407|1560|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM|120^14^0
10.2307/3225270|Norway|C0028423|1392|MH|RtM via: Norwegians (ethnic group);Forced Leaf Node Lookup:norwegian|TI|MM|422^9^0
10.2307/3225270|*Mandible|C0024687|753|MH|RtM via: Mandible;Forced Non-Leaf Node Lookup:mandibles|TI|MM|490^8^0
10.2307/3225270|*Marital Status|C0024819|645|MH|RtM via: Unreported|TI|MM|668^10^0
10.2307/3225270|*Chlorophyta|C0002032|315|MH|RtM via: Gemina|TI|MM|530^6^0;386^6^0;369^6^0
10.2307/3225271|Animals|C0003062|2848|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/3225271|North Carolina|C0028407|144|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM|99^14^0
10.2307/3225271|*Copepoda|C0323853|1848|MH|RtM via: Cletodidae;RtM via: Cylindropsyllidae;RtM via: Mesocletodes|TI|MM|372^10^0;350^17^0;196^12^0
10.2307/3225271|Animal Distribution|C3494412|144|MH|||RC
10.2307/3225272|Animals|C0003062|32692|CT|Arachnida;CT Treecode Lookup: B01.050.500.131 (Arachnida);Life Cycles;CT Treecode Lookup: B05.500 (Life Cycles);Life Cycles;CT Treecode Lookup: G07.345.500.550.500 (Life Cycles)||MM;RC
10.2307/3225272|Arkansas|C0003790|2557|MH|RtM via: Arkansas;Forced Leaf Node Lookup:arkansas|TI|MM|236^8^0
10.2307/3225272|Missouri|C0026222|2557|MH|RtM via: Missouri;Forced Leaf Node Lookup:missouri|TI|MM|223^8^0
10.2307/3225272|Oregon|C0029195|2557|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|149^6^0
10.2307/3225272|*Caves|C0600051|31692|MH|RtM via: Cavern|TI|MM;RC|210^4^0
10.2307/3225272|*Habitat|C0871648|11994|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|456^7^0
10.2307/3225272|*Arachnida|C0003704|8952|MH|RtM via: Apochthonius|TI|MM;RC|506^12^0;61^12^0
10.2307/3225272|*Life Cycles|C0023675|4443|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages|TI|MM|468^11^0
10.2307/3225273|Animals|C0003062|231689|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese);Metacercariae;CT Treecode Lookup: B05.500 (Metacercariae);Metacercariae;CT Treecode Lookup: G07.345.500.550.500 (Metacercariae);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Cercaria;CT Treecode Lookup: B05.500 (Cercaria);Cercaria;CT Treecode Lookup: G07.345.500.550.500 (Cercaria);Lymnaea;CT Treecode Lookup: B01.050.500.644 (Lymnaea);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda)||MM;RC
10.2307/3225273|*Ducks|C0013268|230689|MH|RtM via: Ducks;RtM via: Anas discors;RtM via: Aythya affinis;RtM via: Anas platyrhynchos;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM;RC|1318^5^0;472^5^0;734^16^0;571^16^0;489^16^0;507^12^0;525^8^0
10.2307/3225273|*Geese|C0017225|227566|MH|RtM via: Geese;Forced Leaf Node Lookup:geese;checkForceMH Boosted|TI|MM;RC|482^5^0
10.2307/3225273|*Metacercariae|C2936402|118741|MH|RtM via: Metacercariae;Forced Leaf Node Lookup:metacercariae;checkForceMH Boosted|TI|MM|1217^13^0;1042^13^0
10.2307/3225273|*Lymnaea|C0024201|56653|MH|RtM via: Lymnaea stagnalis;Forced Leaf Node Lookup:lymnaeas;checkForceMH Boosted|TI|MM|945^17^0
10.2307/3225273|*Seasons|C0036497|53381|MH|RtM via: Summer;RtM via: spring (season);RtM via: Autumn;Forced Leaf Node Lookup:seasonal|TI|MM;RC|795^6^0;1088^6^0;666^6^0;1099^4^0;860^4^0;683^4^0;37^8^0;256^8^0;1003^8^0
10.2307/3225273|*Temperature|C0039476|40604|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1331^11^0
10.2307/3225273|*Water|C0043047|33212|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1325^5^0
10.2307/3225273|*Cercaria|C0321907|73653|MH|RtM via: Cercaria|TI|MM|1203^9^0;1028^9^0
10.2307/3225273|*Trematoda|C0040818|17013|MH|RtM via: Cotylurus flabelliformis;RtM via: Cercaria <Heterophyidae>|TI|MM|142^24^0;1203^9^0;1028^9^0
10.2307/3225273|*Helminthiasis|C0018889|11010|MH|RtM via: Helminthiasis|TI|MM;RC|758^19^0
10.2307/3225273|*Population Dynamics|C0032667|4515|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM|46^19^0
10.2307/3225273|*Habits|C0018464|102|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|195^6^0
10.2307/3225274|Animals|C0003062|269297|CT|Cercaria;CT Treecode Lookup: B05.500 (Cercaria);Cercaria;CT Treecode Lookup: G07.345.500.550.500 (Cercaria);Echinostomatidae;CT Treecode Lookup: B01.050.500.500 (Echinostomatidae);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
10.2307/3225274|*Cercaria|C0321907|268297|MH|RtM via: Cercaria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cercaria|TI|MM;RC|226^8^0;133^9^0;47^9^0
10.2307/3225274|*Parasites|C0030498|46550|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|336^9^0
10.2307/3225274|*Echinostomatidae|C0013513|180894|MH|RtM via: Echinostomatidae;Forced Non-Leaf Node Lookup:echinostomatidae|TI|MM;RC|167^23^0;174^16^0
10.2307/3225274|*Trematoda|C0040818|80430|MH|RtM via: Paryphostomum;RtM via: Cercaria <Heterophyidae>|TI|MM;RC|248^9^0;226^8^0;133^9^0;47^9^0
10.2307/3225275|*Lakes|C0337049|25227|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|786^4^0;210^4^0
10.2307/3225275|polyurethane foam|C0071696|21661|NM|RtM via: polyurethane foam;Forced SCR Leaf Node Lookup:polyurethane foam|TI|MM|70^17^0
10.2307/3225275|*Water|C0043047|9042|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|193^5^0
10.2307/3225275|Michigan|C0025939|2079|MH|RtM via: Michigan (geographic location);RtM via: Cheboygan County, MI;Forced Leaf Node Lookup:michigan|TI|MM|234^8^0;216^16^0
10.2307/3225275|*Polyurethanes|C0032616|21660|HM|RtM via: polyurethane foam|TI|MM;RC|70^17^0
10.2307/3225276|Animals|C0003062|16816|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/3225276|*Lakes|C0337049|8216|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|193^4^0
10.2307/3225276|Svalbard|C0038976|1958|MH|RtM via: Spitsbergen;Forced Leaf Node Lookup:spitsbergen|TI|MM;RC|599^11^0;145^11^0
10.2307/3225276|*Water|C0043047|1952|MH|RtM via: Water;checkForceMH Boosted|TI|MM|662^5^0
10.2307/3225276|Alaska|C0001905|1625|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|630^6^0;213^6^0
10.2307/3225276|*Maxilla|C0024947|1556|MH|RtM via: Maxilla;Forced Leaf Node Lookup:maxillas|TI|MM|460^7^0;401^7^0
10.2307/3225276|*Brackish Water|C0337056|15816|ET|Entry Term Replacement for "Saline Waters";RtM via: Brackish Water|TI|MM|550^14^0
10.2307/3225276|*Copepoda|C0323853|9999|MH|RtM via: Ectinosoma;RtM via: Pseudobradya;RtM via: Halectinosoma|TI|MM;RC|118^10^0;231^12^0;28^12^0;522^13^0
10.2307/3225277|Animals|C0003062|82210|CT|Metacercariae;CT Treecode Lookup: B05.500 (Metacercariae);Metacercariae;CT Treecode Lookup: G07.345.500.550.500 (Metacercariae);Cercaria;CT Treecode Lookup: B05.500 (Cercaria);Cercaria;CT Treecode Lookup: G07.345.500.550.500 (Cercaria);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Lymnaea;CT Treecode Lookup: B01.050.500.644 (Lymnaea);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
10.2307/3225277|*Metacercariae|C2936402|81210|MH|RtM via: Metacercariae;Forced Leaf Node Lookup:metacercariae;checkForceMH Boosted|TI|MM|475^13^0;302^13^0
10.2307/3225277|*Lymnaea|C0024201|25887|MH|RtM via: Lymnaea stagnalis;Forced Leaf Node Lookup:lymnaeas;checkForceMH Boosted|TI|MM;RC|46^17^0
10.2307/3225277|*Temperature|C0039476|18651|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|744^11^0;684^11^0;504^11^0;448^11^0;217^12^0
10.2307/3225277|*Cercaria|C0321907|63084|MH|RtM via: Cercaria|TI|MM|135^9^0
10.2307/3225277|*Trematoda|C0040818|27606|MH|RtM via: Cercaria <Heterophyidae>|TI|MM;RC|135^9^0
10.2307/3225277|*Specificities, Host|C2936412|3468|ET|Entry Term Replacement for "Host Specificity";RtM via: Host Specificity|TI|MM|533^12^0
10.2307/3225277|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|280^9^0
10.2307/3225278|*Ponds|C0337048|28222|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM;RC|111^4^0
10.2307/3225278|*Lakes|C0337049|28027|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|92^4^0
10.2307/3225278|*Plankton|C0032071|23440|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM;RC|65^8^0
10.2307/3225278|*Seasons|C0036497|5401|MH|RtM via: Summer;Forced Leaf Node Lookup:seasonal|TI|MM;RC|124^6^0;160^8^0
10.2307/3225278|*Swimming|C0039003|4279|MH|RtM via: Swimming;Forced Leaf Node Lookup:swimming|TI|MM|203^8^0
10.2307/3225278|Newfoundland and Labrador|C1956182|3106|MH|RtM via: Newfoundland (geographic location);Forced Leaf Node Lookup:newfoundland|TI|MM|79^12^0
10.2307/3225278|*Hymenostomatida|C0085335|528|MH|RtM via: Epistylis|TI|MM|28^9^0
10.2307/3225278|*Habits|C0018464|123|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|212^6^0
10.2307/3225279|Animals|C0003062|17710|CT|Isoptera;CT Treecode Lookup: B01.050.500.131 (Isoptera)||MM;RC
10.2307/3225279|*Isoptera|C0598701|12550|MH|RtM via: Isoptera;Forced Leaf Node Lookup:termites;checkForceMH Boosted|TI|MM;RC|47^7^0
10.2307/3225279|*Oxymonadida|C1025792|16710|MH|RtM via: Pyrsonympha vertens|TI|MM|66^19^0
10.2307/3225279|*Cell Membrane|C0007603|2268|MH|RtM via: Plasma membrane;Forced Non-Leaf Node Lookup:cell membranes|TI|MM|253^13^0
10.2307/3225279|*Cell Differentiation|C0007589|1398|MH|RtM via: Cell Differentiation process;Forced Non-Leaf Node Lookup:differentiation|TI|MM;RC|285^15^0
10.2307/3225280|Animals|C0003062|1102|CT|Leeches;CT Treecode Lookup: B01.050.500.091 (Leeches)||MM;RC
10.2307/3225280|*Leeches|C0023209|102|MH|RtM via: Cambarincola meyeri|TI|MM|41^19^0
10.2307/3225214|*Micrasterias|C1063317|13446|MH|RtM via: Micrasterias;Forced Leaf Node Lookup:micrasterias;checkForceMH Boosted|TI|MM;RC|146^12^0
10.2307/3225214|*Microscopy, Electron, Scanning|C0026020|13434|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|364^28^0
10.2307/3225214|*Diploidy|C0012568|2370|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM|246^7^0
10.2307/3225214|*Electrons|C0013852|2367|MH|RtM via: Electrons;Forced Leaf Node Lookup:electrons|TI|MM|37^8^0
10.2307/3225214|*Desmidiales|C1063448|4440|MH|RtM via: Cosmarium;RtM via: Staurastrum|TI|MM|119^9^0;91^11^0
10.2307/3225214|*Cell Division|C0007590|3315|MH|RtM via: Cell division;Forced Non-Leaf Node Lookup:cell divisions|TI|MM;RC|453^13^0
10.2307/3225214|*Morphogenesis|C0026559|2292|MH|RtM via: Morphogenesis;Forced Non-Leaf Node Lookup:morphogenesis|TI|MM;RC|416^13^0
10.2307/3225215|Animals|C0003062|9076|CT|Mollusk;CT Treecode Lookup: B01.050.500.644 (Mollusk);Mercenaria;CT Treecode Lookup: B01.050.500.644 (Mercenaria)||MM;RC
10.2307/3225215|*Glycogen|C0017911|2945|MH|RtM via: Glycogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycogen|TI|MM;RC|337^8^0;248^8^0
10.2307/3225215|*Water|C0043047|1964|MH|RtM via: Water;checkForceMH Boosted|TI|MM|441^5^0
10.2307/3225215|*Mercenaria|C0998165|1892|MH|RtM via: Mercenaria campechiensis;Forced Leaf Node Lookup:mercenarias|TI|MM|89^24^0
10.2307/3225215|*Ions|C0022023|8076|MH|RtM via: Ions;Forced Non-Leaf Node Lookup:ions|TI|MM|431^4^0
10.2307/3225215|*Mollusk|C0026391|7923|ET|Entry Term Replacement for "Mollusca";RtM via: Mollusca;Forced Non-Leaf Node Lookup:molluscs|TI|MM;RC|81^7^0
10.2307/3225215|*Membranes|C0025255|2349|MH|RtM via: Tissue membrane|TI|MM|149^9^0
10.2307/3225215|*Body Fluids|C0005889|558|MH|RtM via: Portion of urine|TI|MM|456^5^0
10.2307/3225216|*Heterochromatin|C0019397|62206|MH|RtM via: Nuclear heterochromatin;Forced Leaf Node Lookup:heterochromatins;checkForceMH Boosted|TI|MM|785^23^0;793^15^0
10.2307/3225216|*Intermediate Filaments|C0021770|52439|MH|RtM via: Neurofilaments;Forced Leaf Node Lookup:neurofilaments|TI|MM|1020^14^0
10.2307/3225216|*Golgi Apparatus|C0018042|223224|MH|RtM via: Golgi Apparatus|TI|MM;RC|850^5^0;333^5^0
10.2307/3225216|*Endoplasmic Reticulum|C0014239|199911|MH|RtM via: Endoplasmic Reticulum;Forced Non-Leaf Node Lookup:endoplasmic reticulum|TI|MM;RC|827^21^0
10.2307/3225216|*Rough Endoplasmic Reticulum|C0230779|67266|ET|Entry Term Replacement for "Endoplasmic Reticulum, Rough";RtM via: Rough endoplasmic reticulum;Forced Non-Leaf Node Lookup:rough endoplasmic reticulum|TI|MM|297^27^0
10.2307/3225216|*Ganglia|C0017067|47556|MH|RtM via: Ganglia|TI|MM;RC|1118^8^0;98^8^0
10.2307/3225216|*Cytoplasmic Vesicles|C0887884|44124|MH|RtM via: Cytoplasmic Vesicles;Forced Non-Leaf Node Lookup:cytoplasmic vesicles|TI|MM|861^20^0;359^20^0
10.2307/3225216|*Neurons|C0027882|34569|MH|RtM via: Neurons;RtM via: neuron type;RtM via: Small neuron;RtM via: neuronal;Forced Non-Leaf Node Lookup:neurons|TI|MM;RC|939^7^0;698^7^0;612^6^0;215^6^0;72^7^0;1150^12^0;156^16^0;1096^8^0;165^7^0;917^7^0
10.2307/3225217|Animals|C0003062|60283|CT|Life Cycle;CT Treecode Lookup: B05.500 (Life Cycle);Life Cycle;CT Treecode Lookup: G07.345.500.550.500 (Life Cycle);Larva;CT Treecode Lookup: B05.500 (Larva);Larva;CT Treecode Lookup: G07.345.500.550.500 (Larva);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|400^7^0
10.2307/3225217|*Larva|C0023047|27451|MH|RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larva|TI|MM;RC|555^5^0;54^5^0
