C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668651|*Patient Discharge|C0030685|3775|MH|Forced Leaf Node Lookup:discharge|TI|MM|1444^9^0
10.2307/3668651|France|C0016674|12246|MH|RtM via: France;Forced Non-Leaf Node Lookup:france|TI|MM;RC|3857^6^0;3530^6^0;3310^6^0;2846^6^0;2553^6^0;1490^6^0;1162^6^0;786^6^0;452^6^0;381^6^0
10.2307/3668651|Europe|C0015176|8895|MH|RtM via: Western Europe;RtM via: Europe;Forced Non-Leaf Node Lookup:western europe|TI|MM|1937^14^0;3377^6^0;2779^6^0;1215^6^0;688^6^0;335^6^0
10.2307/3668651|*Power Plant|C0032864|5721|ET|Entry Term Replacement for "Power Plants";RtM via: Power Plants;Forced Non-Leaf Node Lookup:power plant|TI|MM|1432^11^0
10.2307/3668651|*Acclimatization|C0000934|3810|MH|RtM via: Acclimatization;RtM via: Acclimated;Forced Non-Leaf Node Lookup:acclimatization|TI|MM|1523^15^0;3767^13^0
10.2307/3668651|*Consultation|C0009818|672|ET|Entry Term Replacement for "Referral and Consultation";RtM via: Consultation;Forced Non-Leaf Node Lookup:consultations|TI|MM|3140^12^0
10.2307/3668651|*Electron Microscopy|C0026019|72|ET|Entry Term Replacement for "Microscopy, Electron";RtM via: Electron Microscopy;Forced Non-Leaf Node Lookup:electron microscopy|TI|MM|1117^19^0
10.2307/3668651|Cell Proliferation|C0596290|1000|MH|Forced Non-Leaf Node Lookup:proliferation||MM|495^13^0
10.2307/3668651|North America|C0028405|3459|MH|RtM via: North America|TI|MM|661^13^0
10.2307/3668653|*Diatoms|C0162769|49071|MH|RtM via: Diatoms;Forced Leaf Node Lookup:diatoms;checkForceMH Boosted|TI|MM;RC|1767^7^0;1405^7^0;913^7^0;190^6^0;94^7^0
10.2307/3668653|*Benchmarking|C0525063|11344|MH|RtM via: Benchmarks;Forced Leaf Node Lookup:metrics|TI|MM|1450^7^0
10.2307/3668653|*Sand|C4759711|9826|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|723^5^0
10.2307/3668653|*Biodiversity|C0282469|80709|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM;RC|1859^12^0
10.2307/3668653|*Habitat|C0871648|72960|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|622^7^0
10.2307/3668653|*Ecology|C0013546|47331|MH|RtM via: Ecology|TI|MM|1264^12^0
10.2307/3668653|Germany|C0017480|4362|MH|RtM via: Germany;Forced Non-Leaf Node Lookup:germany|TI|MM;RC|131^7^0
10.2307/3668653|*Nutrient|C0678695|2481|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|383^8^0
10.2307/3668653|*Survey|C0038951|348|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|853^6^0;180^6^0
10.2307/3668653|Europe|C0015176|2163|MH|RtM via: central europe|TI|MM|143^14^0
10.2307/3668654|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.090 (Amphibians)||MM
10.2307/3668654|*Rivers|C0337050|344755|MH|RtM via: Rivers;RtM via: Streams;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|975^5^0;532^5^0;314^6^0
10.2307/3668654|*Water Quality|C0597680|286013|MH|RtM via: Water Quality;Forced Leaf Node Lookup:water quality|TI|MM;RC|1650^13^0;636^13^0
10.2307/3668654|*Soil|C0037592|180452|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|1529^4^0;268^5^0
10.2307/3668654|*Lakes|C0337049|167810|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|1111^4^0
10.2307/3668654|*Sand|C4759711|161559|MH|RtM via: Sand;Forced New Lookup:sand;Forced New Lookup:sands;checkForceMH Boosted|TI|MM|505^4^0;216^5^0
10.2307/3668654|*Wetlands|C1721088|142349|MH|RtM via: Bog;Forced Leaf Node Lookup:bogs|TI|MM;RC|275^4^0
10.2307/3668654|*Clay|C0055863|132397|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM|981^4^0;858^4^0;546^4^0
10.2307/3668654|*Estuaries|C3494468|114434|MH|RtM via: Estuaries;Forced Leaf Node Lookup:estuary|TI|MM|1087^7^0;344^7^0
10.2307/3668654|*Charophyte|C1671906|100262|ET|Entry Term Replacement for "Charophyceae";RtM via: Charophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:charophytes|TI|MM;RC|1535^11^0;1311^11^0;1201^11^0;1020^11^0;385^10^0
10.2307/3668654|*Water|C0043047|78059|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1624^5^0;1272^5^0;702^5^0
10.2307/3668654|*Grassland|C0442534|51164|MH|Forced Leaf Node Lookup:grasslands|TI|MM|302^10^0
10.2307/3668654|*Brackish Water|C0337056|92973|ET|Entry Term Replacement for "Saline Waters";RtM via: Brackish Water|TI|MM;RC|1150^8^1;1171^5^1
10.2307/3668654|*Agriculture|C0001829|36531|MH|RtM via: Agriculture|TI|MM;RC|166^12^0
10.2307/3668654|*Fertilizers|C0015919|33606|MH|RtM via: Fertilizers|TI|MM|1514^10^0
10.2307/3668654|*Amphibians|C0002668|11910|MH|RtM via: Amphibians;Forced Non-Leaf Node Lookup:amphibians|TI|MM|1457^10^0
10.2307/3668747|*Arisaema|C0331461|100|MH|RtM via: Arisaema;Forced Leaf Node Lookup:arisaemas;checkForceMH Boosted|TI|MM;RC|55^8^0
10.2307/3668747|Thailand|C0039725|50|MH|RtM via: Thailand;Forced Leaf Node Lookup:thailand|TI|MM;RC|69^8^0
10.2307/3668748|Male|C0086582|12955|CT|CT Text Lookup: man|TI|MM;RC|161^3^0
10.2307/3668748|Humans|C0086418|12955|CT|CT Text Lookup: man|TI|MM;RC|161^3^0
10.2307/3668748|Senegal|C0036644|625|MH|RtM via: Senegal;Forced Leaf Node Lookup:senegal|TI|MM|91^7^0
10.2307/3668748|*Name|C0027365|11955|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|32^4^0
10.2307/3668748|*Record|C0034869|1437|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|118^8^0
10.2307/3668748|*Language|C0023008|915|MH|RtM via: Languages|TI|MM|50^8^0
10.2307/3668749|Cameroon|C0006802|41|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM;RC|222^8^0;110^8^0
10.2307/3668749|*Rubiaceae|C0524885|48|MH|RtM via: Aulacocalyx|TI|MM|28^11^0
10.2307/3668750|*Sequence Alignment|C0080143|34658|MH|RtM via: Sequence Alignment;Forced Leaf Node Lookup:sequence alignments|TI|MM;RC|1058^19^0
10.2307/3668750|*Phylogeny|C0031797|15440|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|830^12^0;512^12^0;85^12^0
10.2307/3668750|*Cetrimonium|C0055151|4996|MH|Forced Leaf Node Lookup:ctab;checkForceMH Boosted|TI|MM|328^4^0
10.2307/3668750|*Polymorphism, Restriction Fragment Length|C0035268|2498|MH|Forced Leaf Node Lookup:rflp|TI|MM|149^4^0
10.2307/3668750|DNA, Ribosomal|C0012933|2474|MH|||RC
10.2307/3668750|*Phaeophyta|C0002031|1605|MH|RtM via: Padina boergesenii;RtM via: Dictyota <Phaeophyceae>|TI|MM|455^18^0;125^8^0
10.2307/3668750|*Gene Amplification|C0017256|816|MH|RtM via: Gene Amplification|TI|MM|170^9^1;189^11^1
10.2307/3668751|*DNA, Ribosomal Spacer|C0887861|79019|MH|RtM via: DNA, Ribosomal Spacer;checkForceMH Boosted|TI|MM;RC|63^13^1;93^6^1
10.2307/3668751|*Phylogeny|C0031797|22013|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|738^12^0
10.2307/3668751|*Trichomes|C3658255|6617|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM|977^8^0
10.2307/3668751|*Lamiales|C1080876|8106|MH|RtM via: Streptocarpus shumensis;RtM via: Streptocarpus sect. Saintpaulia;RtM via: Streptocarpus <genus>;RtM via: Streptocarpus <subgenus>|TI|MM|639^21^0;357^21^0;1028^11^0;814^11^0;246^11^0;135^11^0;166^13^0
10.2307/3668751|*Polymorphism, Genetic|C0032529|2760|MH|RtM via: Genetic Polymorphism|TI|MM;RC|908^12^0
10.2307/3668751|*Nucleotides|C0028630|2310|MH|RtM via: Nucleotides;Forced Non-Leaf Node Lookup:nucleotides|TI|MM|897^10^0
10.2307/3668752|*Hyphae|C0521057|9094|MH|RtM via: Hyphae;Forced Leaf Node Lookup:hyphae|TI|MM;RC|328^6^0
10.2307/3668752|Cameroon|C0006802|1063|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|111^8^0
10.2307/3668752|*Polyporaceae|C0032579|4968|MH|RtM via: Perenniporia dendrohyphidia|TI|MM;RC|150^27^0;28^12^0
10.2307/3668752|*Spores, Fungal|C0038029|4695|MH|RtM via: Kingdom Fungi basidiospore|TI|MM;RC|289^13^0
10.2307/3668752|*Basidiomycota|C0004810|3366|MH|RtM via: Kingdom Fungi basidiospore|TI|MM;RC|289^13^0
10.2307/3668753|Animals|C0003062|192861|CT|Wool;CT Treecode Lookup: A13.970 (Wool);CT Text Lookup: wool|TI|MM;RC|717^4^0
10.2307/3668753|Humans|C0086418|1000|CT|Forced Humans: Aliens||MM
10.2307/3668753|*Panicum|C1140672|191861|MH|RtM via: Panicum;Forced Leaf Node Lookup:panicum;checkForceMH Boosted|TI|MM;RC|1986^7^0;61^7^0
10.2307/3668753|*Zea mays|C0010028|168323|MH|RtM via: Maize;RtM via: Zea mays;Forced Leaf Node Lookup:maize;checkForceMH Boosted|TI|MM;RC|1030^5^0
10.2307/3668753|*Edible Grain|C4042883|63098|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|1071^7^0
10.2307/3668753|*Plant Weeds|C2936212|48080|MH|RtM via: Noxious Weeds;Forced Leaf Node Lookup:noxious weeds;checkForceMH Boosted|TI|MM|1013^13^0
10.2307/3668753|Belgium|C0004950|31109|MH|RtM via: Belgium;RtM via: Belgians;Forced Leaf Node Lookup:belgians;Forced Leaf Node Lookup:belgium|TI|MM|1997^7^0;1495^7^0;831^7^0;81^7^0
10.2307/3668753|*Wool|C0043220|16249|MH|RtM via: Wool;Forced Leaf Node Lookup:wool|TI|MM|717^4^0
10.2307/3668753|*Seeds|C0036563|20472|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1090^5^0;1110^5^0
10.2307/3668753|*Confusion|C0009676|2523|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|1744^8^0;1586^8^0
10.2307/3668753|*Aliens|C0002049|645|ET|Entry Term Replacement for "Emigrants and Immigrants";RtM via: Aliens|TI|MM|722^6^0
10.2307/3668754|Animals|C0003062|91879|CT|Lookup: Add Animals;Forced Animals Added: Bees||MM;RC
10.2307/3668754|Bees|C0004923|91879|CT|RtM via: Abrupta|TI|MM|1274^7^0
10.2307/3668754|*Psychotria|C1001324|90879|MH|RtM via: Psychotria;Forced Leaf Node Lookup:psychotrias;checkForceMH Boosted|TI|MM;RC|342^10^0
10.2307/3668754|*Germination|C0242735|51651|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|823^11^0
10.2307/3668754|New Caledonia|C0027964|29544|MH|RtM via: New Caledonia;Forced Leaf Node Lookup:new caledonia|TI|MM;RC|1011^13^0
10.2307/3668754|Philippines|C0031529|24864|MH|RtM via: Philippines;Forced Leaf Node Lookup:philippines|TI|MM|1092^11^0
10.2307/3668754|*Color|C0009393|24738|MH|RtM via: Color;RtM via: Green color;RtM via: Pale color;Forced Leaf Node Lookup:colours|TI|MM|752^6^0;702^8^0;857^4^0
10.2307/3668754|Hawaii|C0018619|23781|MH|RtM via: Hawaii;Forced Leaf Node Lookup:hawaii|TI|MM|1137^6^0
10.2307/3668754|Fiji|C0016080|20958|MH|RtM via: Fiji;Forced Leaf Node Lookup:fiji|TI|MM|1029^4^0
10.2307/3668754|*Introns|C0021920|19461|MH|RtM via: Introns;Forced Leaf Node Lookup:introns|TI|MM;RC|168^6^0
10.2307/3668754|New Guinea|C0027966|19125|MH|RtM via: New Guinea;Forced Leaf Node Lookup:new guinea|TI|MM|1105^10^0
10.2307/3668754|*Pyrenes|C0034243|13050|MH|RtM via: Pyrenes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pyrenes|TI|MM|772^7^0
10.2307/3668754|*Ethanol|C0001962|12888|MH|RtM via: Ethanol;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ethanol|TI|MM|879^7^0
10.2307/3668754|*Base Sequence|C0004793|12537|MH|Forced Leaf Node Lookup:nucleotide sequences|TI|MM|125^19^0
10.2307/3668754|*DNA, Chloroplast|C0242962|42864|MH|RtM via: Chloroplast DNA|TI|MM;RC|176^5^0
10.2307/3668754|*Rubiaceae|C0524885|18303|MH|RtM via: Margaritopsis;RtM via: Margaritopsis membranacea;RtM via: Readea;RtM via: Chazaliella;RtM via: Psychotrieae|TI|MM|931^13^0;566^13^0;551^13^0;467^13^0;270^13^0;1178^25^0;520^6^0;288^6^0;492^11^0;245^11^0;72^12^0
10.2307/3668754|Australia|C0004340|14832|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM;RC|1117^9^0
10.2307/3668754|*Fatty Acids, Unsaturated|C0015690|12159|HM|RtM via: 9-(4-chlorophenyl)-7,7-dimethyl-5,8-nonadienoic acid|TI|MM|176^5^0
10.2307/3668754|*Seeds|C0036563|9591|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|846^5^0
10.2307/3668754|Africa|C0001737|6549|MH|RtM via: Africa|TI|MM|993^6^0
10.2307/3668663|Male|C0086582|14720|CT|CT Text Lookup: he|TI|MM;RC|428^2^0
10.2307/3668663|Humans|C0086418|1000|CT|Forced Humans: Researcher||MM
10.2307/3668663|*Wetlands|C1721088|13720|MH|RtM via: Bog;Forced Leaf Node Lookup:bogs|TI|MM|860^4^0
10.2307/3668663|Burundi|C0006448|12986|MH|RtM via: Burundi;Forced Leaf Node Lookup:burundi;Forced Leaf Node Lookup:urundi|TI|MM|3465^7^0;2854^6^0;1501^7^0;879^6^0
10.2307/3668663|Rwanda|C0035978|12986|MH|RtM via: Rwanda;Forced Leaf Node Lookup:ruanda;Forced Leaf Node Lookup:rwanda|TI|MM|3802^3^0;3793^6^0;3536^6^0;3318^6^0;3079^6^0;2847^6^0;1949^6^0;1833^6^0;1574^6^0;1355^6^0;1111^6^0;872^6^0
10.2307/3668663|Congo|C0009738|12040|MH|RtM via: Congo;Forced Leaf Node Lookup:congo|TI|MM|2899^5^0;2577^5^0;2430^5^0;923^5^0;556^5^0;402^5^0
10.2307/3668663|*Lakes|C0337049|11608|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|654^4^0
10.2307/3668663|*Peat|C0030739|11032|ET|Entry Term Replacement for "Soil";RtM via: Peat;checkForceMH Boosted|TI|MM|855^4^0
10.2307/3668663|*Alprostadil|C0002335|10307|MH|RtM via: Muse;Forced Leaf Node Lookup:muse;checkForceMH Boosted|TI|MM|2354^4^0
10.2307/3668663|*Museums|C0026863|7129|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|332^6^0
10.2307/3668663|Belgium|C0004950|4411|MH|RtM via: Belgium;Forced Leaf Node Lookup:belgium|TI|MM|354^7^0;64^7^0
10.2307/3668663|*Researcher|C0035173|12351|ET|Entry Term Replacement for "Research Personnel";RtM via: Research Personnel|TI|MM;RC|451^10^0
10.2307/3668663|*Government|C0018104|8286|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|1935^10^0
10.2307/3668663|*Genocide|C0017426|4983|MH|RtM via: Genocide;Forced Non-Leaf Node Lookup:genocide|TI|MM|1977^8^0
10.2307/3668663|*Temperature|C0039476|3129|MH|RtM via: Temperature|TI|MM|3393^5^0
10.2307/3668663|*Pollen|C0032385|1278|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1004^6^0
10.2307/3668663|Ecology|C0013546|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|219^9^0
10.2307/3668663|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2161^3^0
10.2307/3668664|Zambia|C0043445|22346|MH|RtM via: Zambia;Forced Leaf Node Lookup:zambia|TI|MM|157^6^0
10.2307/3668664|Zimbabwe|C0043476|17738|MH|RtM via: Zimbabwe;Forced Leaf Node Lookup:zimbabwe|TI|MM|1399^8^0;165^8^0
10.2307/3668664|*Copper|C0009968|6706|MH|RtM via: Copper;Forced Leaf Node Lookup:copper;checkForceMH Boosted|TI|MM|90^6^0;334^6^0
10.2307/3668664|Democratic Republic of the Congo|C0043444|5054|MH|RtM via: Katanga -- geographic area;Forced Leaf Node Lookup:katanga;Geo Lookup:katangas|TI;AB|MM|1382^7^0;148^7^0
10.2307/3668664|South Africa|C0037712|14055|MH|RtM via: South Africa|TI|MM|838^5^1;852^6^1;126^5^1;140^6^1
10.2307/3668664|ETS translocation variant 6 protein|C1563388|2665|NM|RtM via: ETV6 protein, human|TI|MM|1464^4^0
10.2307/3668664|*Proto-Oncogene Proteins c-ets|C0072461|2664|HM|RtM via: ETV6 protein, human|TI|MM|1464^4^0
10.2307/3668664|*Consultation|C0009818|1509|ET|Entry Term Replacement for "Referral and Consultation";RtM via: Consultation|TI|MM|2344^12^0
10.2307/3668664|*Repressor Proteins|C0035147|1236|HM|RtM via: ETV6 protein, human|TI|MM|1464^4^0
10.2307/3668665|United States|C0041703|11678|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|1028^8^0
10.2307/3668665|Animals|C0003062|11678|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock)|TI|MM
10.2307/3668665|Ethiopia|C0015024|10678|MH|RtM via: Ethiopia;Forced Leaf Node Lookup:ethiopia|TI|MM|3912^8^0;2676^3^0;2455^3^0;2445^8^0;2239^8^0;1711^8^0;1603^8^0;710^3^0;501^8^0;279^8^0;90^8^0
10.2307/3668665|Eritrea|C0014716|10675|MH|RtM via: Eritrea;Forced Leaf Node Lookup:eritrea|TI|MM|3925^7^0;2252^7^0;1616^7^0;835^8^0;292^7^0;103^7^0
10.2307/3668665|*Livestock|C2936506|7055|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|2914^9^0;945^9^0
10.2307/3668665|*Universities|C0041740|2857|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|2877^10^0;909^10^0;996^10^0;2965^10^0
10.2307/3668665|*Research Institute|C0035172|2346|ET|Entry Term Replacement for "Academies and Institutes";RtM via: Research Institutes|TI|MM|2924^18^0;955^18^0
10.2307/3668665|*Record|C0034869|1743|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|380^8^0;189^8^0
10.2307/3668665|*Biological Phenomena|C0005520|1452|MH|RtM via: Tissue Growth|TI|MM|718^5^0;465^6^0
10.2307/3668665|*Agriculture|C0001829|1038|MH|RtM via: Agriculture|TI|MM|2864^12^0;896^12^0
10.2307/3668666|Humans|C0086418|76485|CT|African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)||MM;RC
10.2307/3668666|*Manilkara|C1092985|75485|MH|RtM via: Manilkara;Forced Leaf Node Lookup:manilkaras;checkForceMH Boosted|TI|MM|1087^9^0;170^9^0
10.2307/3668666|*Pouteria|C1086529|71606|MH|RtM via: Pouteria;RtM via: Pouteria alnifolia;Forced Leaf Node Lookup:pouterias;checkForceMH Boosted|TI|MM|1149^8^0;236^8^0;1711^18^0;703^18^0
10.2307/3668666|*Sapotaceae|C0949976|69877|MH|RtM via: Sapotaceae;RtM via: Vitellaria paradoxa;RtM via: Chrysophyllum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sapotaceae|TI|MM|1898^10^0;1364^10^0;1184^10^0;950^10^0;812^10^0;267^10^0;52^10^0;1556^19^0;588^19^0;1388^13^0;1072^13^0;417^13^0;155^13^0
10.2307/3668666|*Mimusops|C1135906|66326|MH|RtM via: Mimusops;Forced Leaf Node Lookup:mimusops;checkForceMH Boosted|TI|MM|1687^8^0;1117^8^0;678^8^0;202^8^0
10.2307/3668666|*Rainforest|C3850019|39331|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|653^11^0;490^11^0
10.2307/3668666|*Trees|C0040811|23594|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|368^5^0
10.2307/3668666|Cote d'Ivoire|C0022326|10327|MH|RtM via: Ivory Coast;Forced Leaf Node Lookup:ivory coast|TI|MM|795^11^0;35^11^0
10.2307/3668666|*Grassland|C0442534|10018|MH|Forced Leaf Node Lookup:savannas|TI|MM|669^7^0
10.2307/3668666|*African Continental Ancestry Group|C1257891|222|MH|RtM via: West Africans|TI|MM|740^12^0
10.2307/3668667|*Cyperaceae|C0950025|80801|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|919^10^0;312^10^0
10.2307/3668667|*Poaceae|C0018210|38996|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|904^7^0;300^7^0
10.2307/3668667|*Wetlands|C1721088|25676|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|75^7^0
10.2307/3668667|*Ecosystem|C0162358|14132|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|83^10^0
10.2307/3668667|Guinea-Bissau|C0018387|6440|MH|RtM via: Guinea-Bissau;Forced Leaf Node Lookup:guinea-bissau|TI|MM|28^13^0
10.2307/3668667|*Survey|C0038951|3270|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|103^6^0
10.2307/3668668|Humans|C0086418|25686|CT|CT Text Lookup: individuals|TI|MM;RC|692^11^0
10.2307/3668668|*Ficus|C0969754|24686|MH|RtM via: Ficus;Forced Leaf Node Lookup:ficus;checkForceMH Boosted|TI|MM|4191^5^0;1765^5^0
10.2307/3668668|*Latex|C0023115|22235|MH|RtM via: Latex;Forced Leaf Node Lookup:latex;checkForceMH Boosted|TI|MM|4758^5^0;2309^5^0;2328^5^0;4777^5^0
10.2307/3668668|*Factor Analysis, Statistical|C0015483|22192|MH|RtM via: Analysis, Factor;Forced Leaf Node Lookup:factor analysis|TI|MM|353^15^0
10.2307/3668668|*Trees|C0040811|13247|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|2408^4^0;715^4^0
10.2307/3668668|*Croton|C0330569|10595|MH|RtM via: Croton macrostachyus;Forced Leaf Node Lookup:crotons;checkForceMH Boosted|TI|MM|4167^20^0;1740^20^0
10.2307/3668668|*Dracaena|C0327250|10400|MH|RtM via: Dracaena arborea;Forced Leaf Node Lookup:dracaena;checkForceMH Boosted|TI|MM|4008^16^0;3883^16^0;1604^16^0;1489^16^0
10.2307/3668668|*Cola|C0684195|10244|MH|RtM via: Genus Cola;Forced Leaf Node Lookup:cola;checkForceMH Boosted|TI|MM|4831^4^0;4349^4^0;4051^4^0;3867^4^0;2395^4^0;1877^4^0;1648^4^0;1472^4^0
10.2307/3668668|*Orchidaceae|C0949956|9499|MH|RtM via: Orchidaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:orchidaceae|TI|MM|3782^11^0;3428^11^0;1376^11^0;1043^11^0
10.2307/3668668|*Altitude|C0002349|8467|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|2818^8^0;2606^8^0;339^8^0
10.2307/3668668|Cameroon|C0006802|5200|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|192^8^0
10.2307/3668668|*Ferns|C0331729|21036|MH|RtM via: Ferns|TI|MM|1220^13^0;946^13^0
10.2307/3668668|*Magnoliopsida|C0330209|16704|MH|RtM via: Magnoliopsida|TI|MM|1115^12^0;889^12^0
10.2307/3668668|*Survey|C0038951|6621|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|72^8^0
10.2307/3668668|*Record|C0034869|6033|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|676^8^0
10.2307/3668669|*Poaceae|C0018210|30202|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|1216^7^0;603^7^0
10.2307/3668669|*Asteraceae|C0446228|20281|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|1192^10^0;581^10^0
10.2307/3668669|*Checklist|C1707357|4798|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|250^9^0
10.2307/3668669|*Universities|C0041740|3076|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|435^10^0
10.2307/3668669|Uganda|C0041573|2662|MH|RtM via: Uganda;Forced Leaf Node Lookup:uganda;Geo Lookup:kampalas|TI;AB|MM|102^6^0
10.2307/3668669|*Habitats|C0871648|4242|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|307^8^0
10.2307/3668669|*Botany|C0006038|3582|MH|RtM via: Botany;Forced Non-Leaf Node Lookup:botany|TI|MM|416^6^0
10.2307/3668669|*Marijuana Abuse|C0024809|426|MH|RtM via: Marijuana Abuse|TI|MM|148^4^0;77^4^0
10.2307/3668669|*Software|C0037585|150|MH|RtM via: Compiler|TI|MM|240^7^0
10.2307/3668670|*Capacity Building|C2718026|6585|MH|RtM via: Capacity Building;Forced Leaf Node Lookup:capacity building|TI|MM|502^17^0
10.2307/3668670|*Universities|C0041740|3405|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|1360^8^0;1135^8^0;763^8^0;459^8^0;47^10^0
10.2307/3668670|*L Forms|C0022828|1674|MH|RtM via: L Forms;checkForceMH Boosted|TI|MM|1010^1^1;1126^5^1
10.2307/3668670|Africa, Southern|C0001746|4164|MH|RtM via: Africa, Southern;Forced Non-Leaf Node Lookup:southern africa|TI|MM|246^15^0
10.2307/3668670|*Academies and Institutes|C0000877|2901|MH|RtM via: Institutes|TI|MM|1360^8^0;1135^8^0;763^8^0;459^8^0;58^9^0
10.2307/3668670|*Natural Resources|C0027492|1542|MH|RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|1360^8^0;1135^8^0;763^8^0;459^8^0;72^17^0
10.2307/3668670|*United Nations|C0041701|2673|MH|RtM via: United Nations;Forced Non-Leaf Node Lookup:united nations|TI|MM|32^14^0
10.2307/3668671|Humans|C0086418|17973|CT|CT Text Lookup: staff|TI|MM;RC|433^5^0
10.2307/3668671|*Gardens|C4019428|16973|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|637^7^0
10.2307/3668671|*Checklist|C1707357|6509|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|305^10^0
10.2307/3668671|*Expeditions|C0015315|4271|MH|RtM via: Expeditions;Forced Leaf Node Lookup:expeditions|TI|MM|356^11^0
