10.2307/20460169|Animals|D000818|28850|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/20460169|Humans|D006801|1000|CT|Forced Humans:D Siblings||MM
10.2307/20094842|*Halothane|D006221|15286|MH|RtM via: halothane;Forced Leaf Node Lookup:halothane;checkForceMH Boosted|TI|MM;RC|631^9^0
10.2307/20094842|*Oxygen|D010100|7151|MH|RtM via: oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM;RC|644^6^0
10.2307/20094842|*Naltrexone|D009271|42511|HM|RtM via: nalmefene;RtM via: nalmefene hydrochloride|TI|MM;RC|1005^9^0;892^23^0
10.2307/20094842|*Fentanyl|D005283|37429|HM|RtM via: Carfentanil citrate;RtM via: carfentanil|TI|MM;RC|124^19^0;502^11^0;277^11^0
10.2307/20094842|*Proboscidea Mammal|D056662|22260|MH|RtM via: Order Proboscidea (organism);RtM via: Family Elephantidae (organism)|TI|MM|1098^9^0;873^9^0;714^9^0;405^9^0;177^9^0;1164^8^0;519^8^0;244^8^0
10.2307/20094842|*Time Factors|D013997|1764|MH|RtM via: Short duration|TI|MM;RC|662^14^0
10.2307/20094842|Body Weight|D001835|1000|MH|Forced Non-Leaf Node Lookup:body weights||MM|159^11^0
10.2307/20094842|Pharmaceutical Preparations|D004364|1000|MH|Forced Non-Leaf Node Lookup:drugs||MM|750^5^0
10.2307/20094851|Animals|D000818|15624|CT|Whale, Killer;CT Treecode Lookup: B01.050.150.900.649.313.875 (Whale, Killer);Whale;CT Treecode Lookup: B01.050.150.900.649.313.875 (Whale);Cetacea;CT Treecode Lookup: B01.050.150.900.649.313.875 (Cetacea)||MM;RC
10.2307/20094851|Female|D005260|15624|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|60^6^0
10.2307/20094851|*Cephadroxyl|D002434|14624|ET|Entry Term Replacement for "Cefadroxil";RtM via: cefadroxil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cefadroxil|TI|MM|706^10^0
10.2307/20094851|*Whale, Killer|D050685|12123|MH|RtM via: Orcinus orca;Forced Leaf Node Lookup:killer whales;Forced Leaf Node Lookup:orcinus orca;checkForceMH Boosted|TI|MM;RC|67^12^0;81^12^0
10.2307/20094851|*Whale|D014907|11198|ET|Entry Term Replacement for "Whales";RtM via: Whales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:whales|TI|MM;RC|984^5^0;662^5^0;546^5^0;333^5^0;193^5^0
10.2307/20094851|*Erysipelothrix|D004888|11179|MH|RtM via: Erysipelothrix rhusiopathiae;Forced Leaf Node Lookup:erysipelothrix rhusiopathiae;checkForceMH Boosted|TI|MM;RC|628^28^0
10.2307/20094851|*Erysipelas|D004886|5750|MH|RtM via: Erysipelas;Forced Leaf Node Lookup:erysipelas|TI|MM|794^10^0;275^10^0
10.2307/20094851|*Anti-Bacterial Agents|D000900|5037|MH|RtM via: Antibiotic therapy;RtM via: Antibiotics;Forced Non-Leaf Node Lookup:antibiotic therapy|TI|MM;RC|757^18^0
10.2307/20094851|*Tongue Diseases|D014060|3753|MH|RtM via: Residue on Tongue|TI|MM|181^6^0
10.2307/20094851|*Blister|D001768|2238|MH|RtM via: Skin Vesicle;RtM via: Vesicle (morphologic abnormality)|TI|MM|820^7^0;589^7^0;387^7^0;131^7^0
10.2307/20094851|*Tongue|D014059|1053|MH|RtM via: Tongue;Forced Non-Leaf Node Lookup:tongues|TI|MM|181^6^0
10.2307/20094851|*Agglutination|D000371|126|MH|RtM via: agglutination;Forced Non-Leaf Node Lookup:agglutination|TI|MM|1026^13^0
10.2307/20094851|*Palpation|D010173|87|MH|RtM via: Palpation;Forced Non-Leaf Node Lookup:palpations|TI|MM|369^9^0
10.2307/20094851|Eating|D004435|1000|MH|Forced Non-Leaf Node Lookup:food intake||MM|396^11^0
10.2307/20094851|Bacterial Vaccines|D001428|1000|MH|Forced Non-Leaf Node Lookup:bacterin||MM|286^8^0
10.2307/20460244|Animals|D000818|19083|CT|Galago;CT Treecode Lookup: B01.050.150.900.649.313.988.700 (Galago);Lorisidae;CT Treecode Lookup: B01.050.150.900.649.313.988.700 (Lorisidae);Lesser Galagos;CT Treecode Lookup: B01.050.150.900.649.313.988.700 (Lesser Galagos)||MM;RC
10.2307/20460244|*Galago|D005701|18083|MH|RtM via: Galago senegalensis;Forced Leaf Node Lookup:galagos;checkForceMH Boosted|TI|MM;RC|54^19^0
10.2307/20460244|*Lorisidae|D008142|12230|MH|RtM via: Lorisidae;Forced Leaf Node Lookup:lorisidae;checkForceMH Boosted|TI|MM;RC|75^16^0;82^9^0
10.2307/20460244|*Lesser Galagos|D000080623|6694|ET|Entry Term Replacement for "Galagidae";RtM via: Galagoides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lesser galagos|TI|MM|38^14^0
10.2307/20460244|*Anesthesiology|D000776|3183|MH|RtM via: Anesthesiology|TI|MM|173^10^0
10.2307/20460244|*Anesthesia|D000758|2457|MH|RtM via: Anesthesia procedures;Forced Non-Leaf Node Lookup:anesthesia|TI|MM|173^10^0
10.2307/20460244|*Arrhythmias, Cardiac|D001145|2241|MH|RtM via: Electrocardiogram abnormal (finding)|TI|MM|260^5^0;231^5^0
10.2307/20460244|*Electrocardiograms|D004562|1629|ET|Entry Term Replacement for "Electrocardiography";RtM via: Electrocardiogram;RtM via: Electrocardiography;Forced Non-Leaf Node Lookup:electrocardiograms|TI|MM|211^18^0;260^5^0;231^5^0
10.2307/20460244|*Physical Examinations|D010808|324|ET|Entry Term Replacement for "Physical Examination";RtM via: Physical Examination;Forced Non-Leaf Node Lookup:physical examinations|TI|MM|138^21^0
10.2307/20460244|Dental Prophylaxis|D003777|1000|MH|Forced Non-Leaf Node Lookup:dental prophylaxis||MM|115^18^0
10.2307/20094848|Animals|D000818|37522|CT|Mites;CT Treecode Lookup: B01.050.500.131 (Mites);Hedgehogs;CT Treecode Lookup: B01.050.150.900.649.313.961 (Hedgehogs)||MM;RC
10.2307/20094848|*Mites|D008925|20068|MH|RtM via: Mites;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mites|TI|MM;RC|679^5^0;472^5^0;270^4^0
10.2307/20094848|*Hedgehogs|D006364|14324|MH|RtM via: Atelerix albiventris;RtM via: Genus Atelerix;Forced Leaf Node Lookup:hedgehogs;checkForceMH Boosted|TI|MM;RC|177^20^0;688^17^0;158^17^0;166^9^0;696^9^0
10.2307/20094848|*Ivermectin|D007559|12722|MH|RtM via: ivermectin;Forced Leaf Node Lookup:ivermectin;checkForceMH Boosted|TI|MM;RC|569^10^0;393^10^0
10.2307/20094848|amitraz|C014983|8271|NM|RtM via: amitraz;Forced SCR Leaf Node Lookup:amitraz|TI|MM|615^7^0;584^7^0;254^7^0;107^7^0
10.2307/20094848|*Injections, Intramuscular|D007273|4084|MH|RtM via: Intramuscular Route of Drug Administration;RtM via: Intramuscular injection;Forced Leaf Node Lookup:intramuscular injections|TI|MM|357^23^0
10.2307/20094848|*Acariasis|D008924|36522|ET|Entry Term Replacement for "Mite Infestations";RtM via: Mite Infestations;Forced Non-Leaf Node Lookup:acariasis|TI|MM;RC|129^9^0
10.2307/20094848|*Toluidines|D014052|8270|HM|RtM via: amitraz|TI|MM;RC|615^7^0;584^7^0;254^7^0;107^7^0
10.2307/20094886|Animals|D000818|29977|CT|Alligators and Crocodiles;CT Treecode Lookup: B01.050.150.900.833 (Alligators and Crocodiles)||MM;RC
10.2307/20094886|*Amikacin|D000583|28977|MH|RtM via: amikacin;RtM via: amikacin sulfate;Forced Leaf Node Lookup:amikacin sulfate;checkForceMH Boosted|TI|MM;RC|1472^8^0;1303^8^0;1175^8^0;988^8^0;464^8^0;360^8^0;235^16^0
10.2307/20094886|*Gentamycin|D005839|18773|ET|Entry Term Replacement for "Gentamicins";RtM via: gentamicin;RtM via: gentamicin sulfate;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gentamicin sulfate|TI|MM;RC|791^10^0;596^10^0;449^10^0;301^10^0;138^18^0
10.2307/20094886|*Alligators and Crocodiles|D000489|7299|MH|RtM via: Alligator mississippiensis;RtM via: Alligators;Forced Leaf Node Lookup:alligators;checkForceMH Boosted|TI|MM;RC|71^26^0;50^19^0;1323^10^0;1008^10^0;813^10^0;618^10^0;59^10^0
10.2307/20094886|*Injections|D007267|1311|MH|RtM via: Injection Route of Drug Administration|TI|MM;RC|1459^9^0;1364^9^0;1162^9^0;1047^9^0;851^9^0;346^9^0;400^10^0
10.2307/20094886|*Serum|D044967|465|MH|RtM via: Serum|TI|MM;RC|1280^5^0;965^5^0;768^5^0;573^5^0
10.2307/20094886|*Body Weight|D001835|213|MH|RtM via: Body Weight;Forced Non-Leaf Node Lookup:body weights|TI|MM|185^11^0
10.2307/20094846|Animals|D000818|6814|CT|Forced Lookup:odocoileus;Forced Lookup:deer;Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);Hoof and Claw;CT Treecode Lookup: A13.491 (Hoof and Claw)|TI|MM;RC|110^10^0;104^4^0;847^4^0;933^4^0
10.2307/20094846|*Deer|D003670|4530|MH|RtM via: Odocoileus virginianus;Forced Lookup:odocoileus;Forced Lookup:deer|TI|MM;RC|834^17^0;110^22^0;91^17^0;104^4^0;847^4^0;933^4^0
10.2307/20094846|*Diet, Protein-Restricted|D018753|3565|MH|RtM via: Diet, Protein-Restricted;Forced Leaf Node Lookup:low-protein diets|TI|MM|643^16^0;394^16^0
10.2307/20094846|*Hoof and Claw|D006724|1345|MH|RtM via: Entire hoof;RtM via: Hoof;Forced Leaf Node Lookup:hoof|TI|MM|889^4^0;453^4^0;287^4^0;76^4^0
10.2307/20094846|*Dietary Protein|D004044|2532|ET|Entry Term Replacement for "Dietary Proteins";RtM via: Dietary Proteins;Forced Non-Leaf Node Lookup:dietary protein|TI|MM|43^15^0
10.2307/20094846|*Biological Phenomena|D001686|741|MH|RtM via: Tissue Growth|TI|MM|894^6^0;458^6^0;292^6^0;81^6^0
10.2307/20094846|*Thinness|D013851|714|MH|RtM via: Underweight|TI|MM|570^18^0
10.2307/20094846|Toes|D014034|1000|MH|Forced Non-Leaf Node Lookup:toe||MM|728^3^0
10.2307/20094870|Animals|D000818|26350|CT|Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);Proboscidea Mammal;CT Treecode Lookup: B01.050.150.900.649.833 (Proboscidea Mammal)||MM;RC
10.2307/20094870|Female|D005260|26350|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|51^6^0
10.2307/20094870|*Elephants|D004606|25350|MH|RtM via: Elephants;RtM via: Loxodonta africana;Forced Leaf Node Lookup:african elephants;Forced Leaf Node Lookup:elephants;Forced Leaf Node Lookup:loxodonta;checkForceMH Boosted|TI|MM;RC|524^8^0;58^16^0;76^27^0
10.2307/20094870|*Leukocytosis|D007964|9057|MH|RtM via: Leukocytosis;RtM via: Neutrophilia (disorder);Forced Leaf Node Lookup:leukocytosis|TI|MM|461^12^0;475^12^0
10.2307/20094870|*Xylose|D014994|7467|MH|RtM via: xylose;Forced Leaf Node Lookup:d-xylose;checkForceMH Boosted|TI|MM|539^6^0;537^8^0
10.2307/20094870|*Alkaline Phosphatase|D000469|7447|MH|Forced Leaf Node Lookup:alkaline phosphatase;checkForceMH Boosted|TI|MM;RC|304^20^0
10.2307/20094870|*Lymphocytosis|D008218|5916|MH|RtM via: Lymphocytosis;Forced Leaf Node Lookup:lymphocytosis|TI|MM|505^13^0
10.2307/20094870|*Hypoalbuminemia|D034141|4821|MH|RtM via: Hypoalbuminemia;Forced Leaf Node Lookup:hypoalbuminemia|TI|MM|386^15^0
10.2307/20094870|*Cachexia|D002100|4323|MH|RtM via: Cachexia;Forced Leaf Node Lookup:cachexia|TI|MM|733^8^0;214^8^0
10.2307/20094870|*Laboratories|D007753|3708|MH|Forced Leaf Node Lookup:laboratory|TI|MM|265^10^0
10.2307/20094870|*Proboscidea Mammal|D056662|14925|MH|RtM via: Family Elephantidae (organism)|TI|MM|524^8^0
10.2307/20094870|*Leukocyte Disorders|D007960|10221|MH|RtM via: Lymphocyte count increased;RtM via: White blood cell count increased (lab result);RtM via: Neutrophilia (finding)|TI|MM|505^13^0;461^12^0;475^12^0
10.2307/20094870|*Malabsorption Syndromes|D008286|5268|MH|RtM via: Malabsorption|TI|MM|546^13^0
10.2307/20094870|*Diarrhea|D003967|5109|MH|RtM via: Diarrhea;RtM via: Intermittent diarrhea;RtM via: Chronic diarrhea;Forced Non-Leaf Node Lookup:diarrheas|TI|MM|809^8^0;224^8^0;138^21^0;129^7^1;151^8^1
10.2307/20094870|*Neutropenia|D009503|2478|MH|RtM via: Neutropenia;Forced Non-Leaf Node Lookup:neutropenias|TI|MM|488^11^0
10.2307/20094870|*Hypertriglyceridemia|D015228|1542|MH|RtM via: Hypertriglyceridemia;Forced Non-Leaf Node Lookup:hypertriglyceridemias|TI|MM|430^20^0
10.2307/20094870|*Hyperbilirubinemia|D006932|1485|MH|RtM via: Hyperbilirubinemia;Forced Non-Leaf Node Lookup:hyperbilirubinemias|TI|MM|350^18^0
10.2307/20094870|*Edema|D004487|1371|MH|RtM via: Edema;Forced Non-Leaf Node Lookup:edema|TI|MM|246^5^0
10.2307/20094870|*Biopsy|D001706|1323|MH|RtM via: Biopsy of rectum (procedure);Forced Non-Leaf Node Lookup:biopsies|TI|MM|626^15^0;633^8^0
10.2307/20094870|*Lymphocyte|D008214|438|ET|Entry Term Replacement for "Lymphocytes";RtM via: Lymphocyte;Forced Non-Leaf Node Lookup:lymphocyte|TI|MM|565^10^0
10.2307/20094870|*Weight Gain|D015430|237|MH|RtM via: Failure to gain weight;Forced Non-Leaf Node Lookup:weight gains|TI|MM|164^16^0;169^11^0
10.2307/20094870|Stomatognathic Diseases|D009057|1000|MH|Forced Non-Leaf Node Lookup:dental disease||MM|653^14^0
10.2307/20094870|Hypoglycemia|D007003|1000|MH|Forced Non-Leaf Node Lookup:hypoglycemia||MM|416^12^0
10.2307/20094885|Animals|D000818|109226|CT|Simian Acquired Immunodeficiency Syndrome;CT Treecode Lookup: C22 (Simian Acquired Immunodeficiency Syndrome);Saimiri;CT Treecode Lookup: B01.050.150.900.649.313.988.400.600 (Saimiri);Presbytini;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.199 (Presbytini);Cercopithecus;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.199 (Cercopithecus);Macaques;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.199 (Macaques);Papio;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.199 (Papio);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|1506^7^0
10.2307/20094885|Humans|D006801|109226|CT|Forced Leaf Node Lookup:humans|TI|MM;RC|1645^6^0;505^5^0
10.2307/20094885|*Simian Immunodeficiency Virus|D015302|83318|MH|RtM via: Simian immunodeficiency virus;Forced Leaf Node Lookup:simian immunodeficiency viruses;checkForceMH Boosted|TI|MM;RC|953^31^0
10.2307/20094885|*Spumavirinae|D016092|77680|ET|Entry Term Replacement for "Spumavirus";RtM via: Spumavirinae;RtM via: Spumavirus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:spumavirinae|TI|MM;RC|140^12^0
10.2307/20094885|*Simian Acquired Immunodeficiency Syndrome|D016097|74399|MH|RtM via: Simian Acquired Immunodeficiency Syndrome;Forced Leaf Node Lookup:simian acquired immunodeficiency syndrome;Forced Leaf Node Lookup:saids|TI|MM;RC|723^5^0;680^41^0
10.2307/20094885|Saimiri boliviensis|C000630511|58921|NM|RtM via: Saimiri sciureus;Forced SCR Leaf Node Lookup:saimiri sciureus|TI|MM|615^16^0
10.2307/20094885|*Saimiri|D012453|58920|MH|RtM via: Genus Saimiri;RtM via: Saimiri sciureus;Forced Leaf Node Lookup:squirrel monkeys|TI|MM|615^16^0;597^16^0
10.2307/20094885|*Presbytini|D000080542|57606|MH|RtM via: Presbytis;Forced Leaf Node Lookup:presbytis;Forced Leaf Node Lookup:langurs;checkForceMH Boosted|TI|MM|637^7^0;646^9^0
10.2307/20094885|*Leukemia Virus, Gibbon Ape|D017989|45527|MH|RtM via: Leukemia Virus, Gibbon Ape;Forced Leaf Node Lookup:gibbon ape leukemia virus;checkForceMH Boosted|TI|MM|401^25^0
10.2307/20094885|*Human T-lymphotropic virus 1|D015368|37940|MH|RtM via: Human T-lymphotropic virus 1;Forced Leaf Node Lookup:htlv-1;checkForceMH Boosted|TI|MM|534^6^0
10.2307/20094885|*Sarcoma Virus, Woolly Monkey|D012842|37745|MH|RtM via: Sarcoma Virus, Woolly Monkey;Forced Leaf Node Lookup:simian sarcoma virus;checkForceMH Boosted|TI|MM|379^20^0
10.2307/20094885|*Cercopithecus|D002521|36154|MH|RtM via: Cercopithecus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cercopithecus|TI|MM;RC|1048^13^0
10.2307/20094885|*Lentiviruses|D016086|34606|ET|Entry Term Replacement for "Lentivirus";RtM via: Genus: Lentivirus group;RtM via: Subfamily lentivirinae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lentivirinae|TI|MM|121^12^0;97^12^0
10.2307/20094885|*Macaques|D008251|32623|ET|Entry Term Replacement for "Macaca";RtM via: Macaca;checkForceMH Boosted;Forced Non-Leaf Node Lookup:macaques|TI|MM;RC|1114^8^0;904^8^0;790^12^0;796^6^0
10.2307/20094885|*Lentiviruses, Primate|D017958|25339|MH|RtM via: Lentiviruses, Primate;checkForceMH Boosted;Forced Non-Leaf Node Lookup:primate lentiviruses|TI|MM|924^20^0
10.2307/20094885|*Papio|D010215|22777|MH|RtM via: Papio;checkForceMH Boosted;Forced Non-Leaf Node Lookup:papios|TI|MM|1063^5^0
10.2307/20094885|*Leukocytes, Mononuclear|D007963|18364|MH|RtM via: Peripheral blood mononuclear cell (cell);Forced Lookup:peripheral blood mononuclear|TI|MM|1434^34^0
10.2307/20094885|*Coculture Techniques|D018920|17860|MH|RtM via: Coculture Techniques;Forced Leaf Node Lookup:cocultivations|TI|MM|1410^13^0
10.2307/20094885|*Retrovirus Infections|D012192|52800|ET|Entry Term Replacement for "Retroviridae Infections";RtM via: Retroviridae Infections;Forced Non-Leaf Node Lookup:retrovirus infections|TI|MM;RC|1290^21^0
10.2307/20094885|*Deltaretrovirus|D017977|18111|MH|RtM via: T-Cell Leukemia Viruses, Human;RtM via: Simian T-lymphotropic virus|TI|MM|505^27^0;436^29^0
10.2307/20094885|*Western Blotting|D015153|6609|ET|Entry Term Replacement for "Blotting, Western";RtM via: Western Blotting;Forced Non-Leaf Node Lookup:western blottings|TI|MM;RC|1369^16^0
10.2307/20094885|*Cercocebus|D016664|4842|MH|RtM via: Cercocebus;Forced Non-Leaf Node Lookup:cercocebus|TI|MM|1029^17^0;1036^10^0
10.2307/20094885|*ELISA|D004797|1659|ET|Entry Term Replacement for "Enzyme-Linked Immunosorbent Assay";RtM via: Enzyme-Linked Immunosorbent Assay;Forced Non-Leaf Node Lookup:elisa|TI|MM|1332^5^0
10.2307/20094885|*Immunofluorescence|D005455|1074|ET|Entry Term Replacement for "Fluorescent Antibody Technique";RtM via: Fluorescent Antibody Technique;RtM via: Immunofluorescence assay;Forced Non-Leaf Node Lookup:immunofluorescence|TI|MM|1339^18^0
10.2307/20094885|Leukemia, T-Cell|D015458|1000|MH|Forced Non-Leaf Node Lookup:t-cell leukemias||MM|511^15^0
10.2307/20094868|*Nylons|D009757|6932|MH|RtM via: Nylon suture;Forced Leaf Node Lookup:nylons;checkForceMH Boosted|TI|MM;RC|585^13^0
10.2307/20094868|*Suture|D013537|32967|ET|Entry Term Replacement for "Sutures";RtM via: Surgical sutures;RtM via: Suture Joint;RtM via: Nylon suture;Forced Non-Leaf Node Lookup:sutures|TI|MM;RC|448^6^0;585^13^0;591^7^0;222^6^0
10.2307/20094868|*Suture Techniques|D013536|15147|MH|RtM via: Suture Techniques|TI|MM;RC|222^13^0
10.2307/20094868|*Muscle, Skeletal|D018482|2043|MH|RtM via: Skeletal muscle structure;Forced Non-Leaf Node Lookup:skeletal muscles|TI|MM;RC|401^15^0
10.2307/20094874|Animals|D000818|25966|CT|Gorilla gorilla;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.400.375 (Gorilla gorilla);Ape Diseases;CT Treecode Lookup: C22 (Ape Diseases)||MM;RC
10.2307/20094874|*Gorilla gorilla|D006071|24966|MH|RtM via: Gorilla <Western Gorilla>;RtM via: Gorilla gorilla gorilla;Forced Leaf Node Lookup:gorilla gorillas;Forced Leaf Node Lookup:gorillas;checkForceMH Boosted|TI|MM;RC|223^7^0;75^7^1;84^15^1
10.2307/20094874|Familial cyclic vomiting syndrome|C536228|3324|NM|RtM via: Cyclical vomiting syndrome (disorder);Forced SCR Leaf Node Lookup:periodic vomiting|TI|MM|130^17^0
10.2307/20094874|*Deglutition Disorders|D003680|2392|MH|RtM via: Deglutition Disorders;Forced Leaf Node Lookup:dysphagia|TI|MM|119^9^0
10.2307/20094874|*Cardia|D002299|2026|MH|RtM via: Cardia of stomach;Forced Leaf Node Lookup:cardia|TI|MM|211^6^0
10.2307/20094874|*Lethargy|D053609|1645|MH|RtM via: Lethargy;Forced Leaf Node Lookup:lethargy|TI|MM|153^8^0
10.2307/20094874|Ape Diseases|D018420|3553|MH|||RC
10.2307/20094874|*Vomiting|D014839|3323|HM|RtM via: Cyclical vomiting syndrome (disorder)|TI|MM|130^17^0
10.2307/20094874|*Pneumonia, Aspiration|D011015|2292|MH|RtM via: Aspiration Pneumonia|TI|MM|254^20^0
10.2307/20094874|*Endoscopy|D004724|219|MH|RtM via: Endoscopy (procedure)|TI|MM|29^22^0
10.2307/20094874|*Leiomyoma|D007889|162|MH|RtM via: Fibroid Tumor;RtM via: Uterine Fibroids;Forced Non-Leaf Node Lookup:leiomyomas|TI|MM|351^9^0
10.2307/20460142|Animals|D000818|34192|CT|Phoca;CT Treecode Lookup: B01.050.150.900.649.313.750 (Phoca);Elephant Seal;CT Treecode Lookup: B01.050.150.900.649.313.750 (Elephant Seal);Caniformia;CT Treecode Lookup: B01.050.150.900.649.313.750 (Caniformia)||MM;RC
10.2307/20460142|*Phoca|D046049|33192|MH|RtM via: Seal, Harbor;Forced Leaf Node Lookup:phoca vitulina;Forced Leaf Node Lookup:harbor seals;checkForceMH Boosted|TI|MM;RC|90^11^0;103^14^0
10.2307/20460142|*Tiletamine|D013992|12868|MH|RtM via: tiletamine hydrochloride;Forced Leaf Node Lookup:tiletamine hydrochloride;checkForceMH Boosted|TI|MM|465^24^0
10.2307/20460142|*Thiamylal|D013840|11575|MH|RtM via: thiamylal sodium;Forced Leaf Node Lookup:thiamylal sodium;checkForceMH Boosted|TI|MM|549^16^0
10.2307/20460142|*Ketamine|D007649|10672|MH|RtM via: ketamine hydrochloride;Forced Leaf Node Lookup:ketamine hydrochloride;checkForceMH Boosted|TI|MM|437^22^0
10.2307/20460142|*Phencyclidine|D010622|10576|MH|RtM via: Phencyclidine Hydrochloride;Forced Leaf Node Lookup:phencyclidine hydrochloride;checkForceMH Boosted|TI|MM|408^27^0
10.2307/20460142|*Halothane|D006221|10444|MH|RtM via: halothane;Forced Leaf Node Lookup:halothane;checkForceMH Boosted|TI|MM|658^9^0
10.2307/20460142|*Nitrous Oxide|D009609|9904|MH|RtM via: nitrous oxide;Forced Leaf Node Lookup:nitrous oxide;checkForceMH Boosted|TI|MM|640^13^0
10.2307/20460142|*Gallamine Triethiodide|D005703|8101|MH|RtM via: gallamine triethiodide;Forced Leaf Node Lookup:gallamine triethiodide;checkForceMH Boosted|TI|MM|567^22^0
10.2307/20460142|*Tubocurarine|D014403|8101|MH|RtM via: tubocurarine chloride;Forced Leaf Node Lookup:tubocurarine chloride;checkForceMH Boosted|TI|MM|617^21^0
10.2307/20460142|*Chlorides|D002712|7828|MH|RtM via: Chlorides;RtM via: chloride ion;Forced Leaf Node Lookup:chloride;checkForceMH Boosted|TI|MM|607^8^0
10.2307/20460142|*Drugs|D004364|5255|ET|Entry Term Replacement for "Pharmaceutical Preparations";RtM via: Pharmaceutical Preparations;checkForceMH Boosted;Forced Non-Leaf Node Lookup:drugs|TI|MM|531^5^0
10.2307/20460142|*Caniformia|D010872|17814|MH|RtM via: Seals (Animal)|TI|MM;RC|388^4^0;173^4^0
10.2307/20460142|*Anesthetic Agents|D000777|6069|ET|Entry Term Replacement for "Anesthetics";RtM via: Anesthetics;Forced Non-Leaf Node Lookup:anesthetic agents|TI|MM|45^17^0
10.2307/20460142|*Chlorine|D002713|246|MH|RtM via: chloride ion|TI|MM|607^8^0
10.2307/20460142|*Research|D012106|60|MH|RtM via: Study|TI|MM|399^7^0
10.2307/20094852|Animals|D000818|20479|CT|Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);Proboscidea Mammal;CT Treecode Lookup: B01.050.150.900.649.833 (Proboscidea Mammal)||MM;RC
10.2307/20094852|*Elephants|D004606|19479|MH|RtM via: Asiatic Elephants;RtM via: Elephants;Forced Leaf Node Lookup:elephas maximus;Forced Leaf Node Lookup:elephants;checkForceMH Boosted|TI|MM;RC|277^14^0;70^14^0;86^15^0;149^8^0;76^8^0;283^8^0
10.2307/20094852|Malaysia|D008296|2080|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaysia|TI|MM|297^8^0;130^8^0
10.2307/20094852|*Salmonella Food Poisoning|D012478|10188|MH|RtM via: Salmonella food poisoning|TI|MM|257^13^0
10.2307/20094852|*Proboscidea Mammal|D056662|9090|MH|RtM via: Family Elephantidae (organism)|TI|MM|149^8^0
10.2307/20094852|*Salmonellosis|D012480|8232|ET|Entry Term Replacement for "Salmonella Infections";RtM via: Salmonella infections;Forced Non-Leaf Node Lookup:salmonellosis|TI|MM|257^13^0
10.2307/20094852|Salmonella enterica subsp. enterica|C000635798|7267|NM|RtM via: Salmonella Blockley|TI|MM|29^19^0
10.2307/20094852|*Salmonella|D012475|7266|MH|RtM via: Salmonella Blockley;RtM via: Salmonella species;Forced Non-Leaf Node Lookup:salmonella|TI|MM|29^19^0;216^13^0
10.2307/20460246|Animals|D000818|25774|CT|Iguanas;CT Treecode Lookup: B01.050.150.900.833 (Iguanas);Lizards;CT Treecode Lookup: B01.050.150.900.833 (Lizards)||MM;RC
10.2307/20460246|*Iguanas|D007076|24774|MH|RtM via: Iguana iguana;RtM via: Iguanas;Forced Leaf Node Lookup:iguanas;checkForceMH Boosted|TI|MM;RC|1027^14^0;836^14^0;291^14^0;614^6^0;432^7^0;102^15^0;298^7^0;794^7^0;843^7^0;1034^7^0;266^6^0;667^6^0
10.2307/20460246|*Abscess|D000038|9203|MH|RtM via: Abscess;Forced Leaf Node Lookup:abscesses|TI|MM;RC|826^9^0;592^7^0;79^9^0;340^9^0
10.2307/20460246|*Antibiotic|D000900|5833|ET|Entry Term Replacement for "Anti-Bacterial Agents";RtM via: Antibiotic therapy;RtM via: Antibiotics;checkForceMH Boosted;Forced Non-Leaf Node Lookup:antibiotic therapy|TI|MM;RC|1137^18^0
10.2307/20460246|*Neisseria|D009343|4933|MH|RtM via: Neisseria species;checkForceMH Boosted;Forced Non-Leaf Node Lookup:neisseria|TI|MM|363^17^0;31^17^0;935^9^0;908^9^0;693^9^0;210^9^0
10.2307/20460246|*Debridement|D003646|2554|MH|Forced Leaf Node Lookup:debridements|TI|MM|1092^11^0
10.2307/20460246|District of Columbia|D004219|2554|MH|Forced Leaf Node Lookup:washington, d.c.|TI|MM|153^16^0
