41971826|Animals|D000818|2410|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41972331|Ghana|D005869|646921|MH|RtM via: Ghana;Forced Leaf Node Lookup:ghana|TI|MM|1177^5^0;184^5^0
41972331|*Forests|D065928|3096|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|864^7^0;587^6^0;266^6^0;104^6^0;147^6^0
41972331|*Birds|D001717|2340|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|819^5^0
41972331|*Mammals|D008322|2304|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM|826^7^0
41972331|*Regeneration|D012038|39|MH|RtM via: regenerated;Forced Non-Leaf Node Lookup:regenerations|TI|MM|666^12^0;70^12^0;417^12^0;765^12^0
41971684|*Acer|D031002|3822|MH|RtM via: Acer palmatum;Forced Leaf Node Lookup:maples;Forced Leaf Node Lookup:acer;checkForceMH Boosted|TI|MM|1724^13^0;735^13^0;759^5^0
41971684|*Introduced Species|D058865|3012|MH|RtM via: Invasive Species;Forced Leaf Node Lookup:invasive species;checkForceMH Boosted|TI|MM|429^16^0
41971684|*Crataegus|D027825|2481|MH|RtM via: Crataegus;RtM via: Hawthorn plant;Forced Leaf Node Lookup:hawthorns;checkForceMH Boosted|TI|MM|914^8^0
41971684|*Pennisetum|D031782|2310|MH|RtM via: Pennisetum setaceum;Forced Leaf Node Lookup:pennisetums;checkForceMH Boosted|TI|MM|1226^19^0;191^19^0
41971684|*Hydrocharitaceae|D031321|2259|MH|RtM via: Hydrilla verticillata;Forced Leaf Node Lookup:hydrillas;checkForceMH Boosted|TI|MM|1507^21^0;481^21^0
41971684|*Camellia|D028244|2244|MH|RtM via: Camellia japonica;RtM via: Camellia sasanqua;RtM via: Thea Plant;checkForceMH Boosted;Forced Non-Leaf Node Lookup:camellias|TI|MM|1753^17^0;767^17^0;787^15^0;1788^17^0;805^17^0;839^8^0;794^8^0
41971684|*Eichhornia|D031806|2058|MH|RtM via: Eichhornia crassipes;Forced Leaf Node Lookup:eichhornias;checkForceMH Boosted|TI|MM|1485^20^0;459^20^0
41971684|*Quercus|D029963|2007|MH|RtM via: Quercus acutissima;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|1590^18^0;565^18^0
41971684|*Amaranthus|D027721|1743|MH|RtM via: Amaranthus blitum;Forced Leaf Node Lookup:amaranthus;checkForceMH Boosted|TI|MM|1303^17^0;267^17^0
41971684|*Marsileaceae|D043964|1605|MH|RtM via: Marsilea quadrifolia;Forced Leaf Node Lookup:marsileas;checkForceMH Boosted|TI|MM|1204^20^0;169^20^0
41971684|Arkansas|D001131|1104|MH|RtM via: Arkansas;Forced Leaf Node Lookup:arkansas|TI|MM|1968^8^0;1612^8^0;1374^8^0;1293^8^0;1179^8^0;1010^8^0;587^8^0;356^8^0;257^8^0;144^8^0
41971684|Japan|D007564|801|MH|Forced Leaf Node Lookup:japanese|TI|MM|750^8^0
41971684|*Saxifragales|D000076607|2154|MH|RtM via: Myriophyllum spicatum|TI|MM|1532^21^0;508^21^0
41971684|*Cenchrus|D031741|1929|MH|RtM via: Pennisetum setaceum|TI|MM|1226^19^0;191^19^0
41971684|*Ericales|D020448|1659|MH|RtM via: Cleyera;RtM via: Ternstroemia gymnanthera|TI|MM|1927^7^0;955^7^0;1901^24^0;929^24^0
41971684|*Hamamelidaceae|D029201|1362|MH|RtM via: Loropetalum chinense|TI|MM|1825^20^0;849^20^0
41971684|*Flower|D035264|345|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|878^6^0
41971684|*Acanthaceae|D027901|93|MH|RtM via: Thunbergia alata;Forced Non-Leaf Node Lookup:thunbergia|TI|MM|1249^16^0;216^16^0
41972085|Humans|D006801|1816|CT|Chinese;CT Treecode Lookup: M01.686 (Chinese)||MM;RC
41972085|China|D002681|723|MH|RtM via: China;Forced Leaf Node Lookup:chinese|TI|MM|512^5^0;135^7^0
41972085|India|D007194|816|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM|650^5^0;525^5^0;282^5^0;155^5^0
41972085|*Chinese|D044466|213|ET|Entry Term Replacement for "Asian Continental Ancestry Group";RtM via: Chinese People|TI|MM|135^7^0
41972085|*Zingiberaceae|D030521|66|MH|RtM via: Hedychium dekianum;Forced Non-Leaf Node Lookup:hedychiums|TI|MM|387^18^0;21^18^0
41971451|Brazil|D001938|18798|MH|RtM via: Brazil;RtM via: Rio de Janeiro;Forced Leaf Node Lookup:brazil;Geo Lookup:rio de janeiro|TI;AB|MM;RC|2079^6^0;1289^6^0;946^6^0;231^6^0;1066^14^0;180^14^0
41971451|*Opuntia|D029747|5157|MH|RtM via: Opuntia;Forced Leaf Node Lookup:opuntia;checkForceMH Boosted|TI|MM|1530^7^0;444^7^0
41971451|*Rosa|D027826|2634|MH|RtM via: Rosa;Forced Leaf Node Lookup:rose;checkForceMH Boosted|TI|MM|1610^4^0;525^4^0
41971451|*Ecology|D004463|1356|MH|RtM via: Ecology|TI|MM|769^7^0
41971451|*Survey|D011795|867|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|1050^8^0;721^6^0
41971451|*Burkitt Lymphoma|D002051|378|MH|RtM via: African Burkitt's lymphoma|TI|MM|935^7^0
41971451|*Forest|D065928|243|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|280^6^0
41971451|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2063^3^0
41972521|Animals|D000818|3448|CT|RtM via: Bees;RtM via: Apis mellifera|TI|MM;RC|91^4^0;1094^14^0;1028^14^0;301^14^0
41972521|Bees|D001516|3448|CT|RtM via: Bees;RtM via: Apis mellifera;Forced Leaf Node Lookup:apis;Forced Leaf Node Lookup:bees|TI|MM|91^4^0;1094^14^0;1028^14^0;301^14^0
41972521|*Islands|D062312|1473|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|127^7^0
41972521|*Fabaceae|D007887|1008|MH|RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM|1292^8^0;524^8^0
41972521|*Asteraceae|D019659|993|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|1259^10^0;491^10^0
41972521|*Solanaceae|D019657|843|MH|RtM via: Solanaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanaceae|TI|MM|1307^10^0;542^10^0
41972521|*Rubiaceae|D019666|834|MH|RtM via: Rubiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|1276^9^0;508^9^0
41972521|*Rivers|D045483|585|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|193^5^0
41972521|VMBP protocol|C036046|1369|NM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|*Vincristine|D014750|1368|HM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|*Cisplatin|D002945|945|HM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|*Preservation, Biological|D011309|846|MH|RtM via: Biologic Preservation|TI|MM|144^12^0
41972521|*Antineoplastic Combined Chemotherapy Protocols|D000971|249|HM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|*Bleomycin|D001761|438|HM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|*Methotrexate|D008727|747|HM|RtM via: VMBP protocol|TI|MM|944^4^0
41972521|Americas|D000569|213|MH|RtM via: Americas;Forced Non-Leaf Node Lookup:americas|TI|MM|698^8^0
41972521|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1255^3^0;1447^3^0
41971779|*Agave|D027882|10555|MH|RtM via: Agave tequilana;Forced Leaf Node Lookup:agaves;checkForceMH Boosted|TI|MM;RC|689^15^0;161^15^0;1078^5^0;812^5^0;677^5^0;537^5^0;329^5^0;149^5^0;871^5^0
41971779|Mexico|D008800|689|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|962^6^0
41971779|*Pinta|D010874|1515|MH|RtM via: Pinta|TI|MM|724^4^0;683^4^0;196^4^0;155^4^0
41971779|*Apocynaceae|D029062|969|MH|RtM via: Asclepiadoideae|TI|MM|1031^15^0;603^15^0;507^15^0;76^15^0
41971779|*Biological Phenomena|D001686|570|MH|RtM via: Tissue Growth|TI|MM|1053^7^0;841^6^0
41971779|*Habit|D006184|561|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|799^5^0
41971779|*Plant Leaves|D018515|399|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|877^6^0
41971779|Growth and Development|D048788|1000|MH|Forced Non-Leaf Node Lookup:growth and development||MM|841^22^0
41971877|Animals|D000818|7459|CT|Hydrozoa;CT Treecode Lookup: B01.050.500.308 (Hydrozoa)|TI|MM
41971877|*Ferns|D029624|3857|MH|RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ferns|TI|MM|143^5^0
41971877|*Gardens|D000072506|3380|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|219^7^0
41971877|*Ponds|D061005|1553|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|206^5^0
41971877|*Water|D014867|1298|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|213^5^0
41971877|*Tracheophyta|D064028|6459|MH|RtM via: Salvinia minima;RtM via: Salvinia auriculata;RtM via: Salvinia oblongifolia;RtM via: Salvinia molesta|TI|MM|265^15^0;21^15^0;1527^8^0;638^8^0;1240^19^0;404^19^0;1063^8^1;1127^12^1;815^8^1;836^12^1;1419^7^1
41971877|*Gardening|D051639|2199|MH|RtM via: Gardening|TI|MM|219^7^0
41971877|*Hydrozoa|D037402|1635|MH|RtM via: Salvinia minima;RtM via: Salvinia auriculata;RtM via: Salvinia oblongifolia;RtM via: Salvinia molesta|TI|MM|265^15^0;21^15^0;1527^8^0;638^8^0;1240^19^0;404^19^0;1063^8^1;1127^12^1;815^8^1;836^12^1;1419^7^1
41971877|*Habitats|D017753|900|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1671^8^0;742^8^0
41971877|*Plant Leaves|D018515|438|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|499^4^0
41971877|California|D002140|0|MH|RtM via: California|TI|MM|1607^10^0;1430^10^0;1105^10^0;880^10^0;579^10^0;308^10^0;93^10^0
41971606|*Capparaceae|D031483|9008|MH|RtM via: Monilicarpa tenuisiliqua;RtM via: Anisocapparis speciosa;RtM via: Capparaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:capparaceae|TI|MM|3309^24^0;1475^24^0;2518^22^0;677^22^0;3606^11^0;1892^11^0;1785^11^0;2368^13^0;1979^13^0;521^13^0;114^13^0;3421^11^0;3274^11^0;2701^11^0;1595^11^0;1439^11^0;780^11^0
41971606|*Nectars|D057048|7574|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM|2943^7^0;2135^9^0
41971606|Colombia|D003105|7091|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM;RC|3393^8^0;1572^8^0
41971606|*Capparis|D031484|6664|MH|RtM via: Capparis;Forced Leaf Node Lookup:capparis;checkForceMH Boosted|TI|MM|2649^8^0;1926^8^0;74^8^0
41971606|*Fruit|D005638|5164|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|3262^5^0;3142^6^0
41971606|*Inflorescence|D056626|3815|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|2825^13^0
41971606|Brazil|D001938|3731|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|3510^6^0;2456^6^0;1690^6^0;615^6^0
41971606|*Cotyledon|D018548|3566|MH|RtM via: Cotyledon plant;Forced Leaf Node Lookup:cotyledons|TI|MM|2295^9^0;2357^9^0
41971606|Argentina|D001118|3332|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|2486^9^0;643^9^0
41971606|Paraguay|D010239|3332|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|2464^8^0;623^8^0
41971606|Bolivia|D001838|3329|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|2417^7^0;573^7^0
41971606|Venezuela|D014687|3329|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM|3406^9^0;1583^9^0
41971606|*Constriction|D003250|2534|MH|RtM via: Constriction procedure;Forced Leaf Node Lookup:constrictions|TI|MM|3242^12^0
41971606|*Virtues|D028722|1979|MH|Forced Leaf Node Lookup:virtues|TI|MM|2760^6^0
41971606|*Pollen Grains|D011058|4380|ET|Entry Term Replacement for "Pollen";RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|3060^13^0;2178^13^0
41971606|*Flowers|D035264|3705|MH|RtM via: Flowers;RtM via: Plant Calyx;Forced Non-Leaf Node Lookup:flowers|TI|MM|2849^7^0;2042^7^0;2877^5^0;2069^7^0
41971606|*Plant Leaves|D018515|1416|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|3630^6^0
41971606|*Seeds|D012639|1311|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|3220^5^0;2261^5^0
41971606|Cryptococcosis|D003453|1000|MH|Forced Non-Leaf Node Lookup:toruloses||MM|3133^8^0
41971606|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|86^3^0
41971654|Humans|D006801|6916|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)||MM;RC
41971654|*Chenopodium|D027462|5866|MH|RtM via: Chenopodium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chenopodiums|TI|MM;RC|1185^11^0;114^11^0
41971654|Procera|C077451|4422|NM|RtM via: Procera;Forced SCR Leaf Node Lookup:procera|TI|MM|1891^7^0;820^7^0
41971654|*Ambrosia|D031164|2399|MH|RtM via: Ambrosia;Forced Leaf Node Lookup:ambrosias;checkForceMH Boosted|TI|MM|1203^8^0;132^8^0
41971654|*African Americans|D001741|880|MH|RtM via: African American;Forced Leaf Node Lookup:blacks|TI|MM|1242^5^0;171^5^0
41971654|*Chenopodiaceae|D019663|5916|MH|RtM via: Dysphania melanocarpa;RtM via: Amaranthaceae <Dysphania>|TI|MM;RC|1213^21^0;142^21^0;1134^9^0;55^9^0
41971654|*Metal Ceramic Alloys|D016876|4421|HM|RtM via: Procera|TI|MM|1891^7^0;820^7^0
41971654|*Dental Porcelain|D003776|2351|HM|RtM via: Procera|TI|MM|1891^7^0;820^7^0
41971654|*Titanium|D014025|2021|HM|RtM via: Procera|TI|MM|1891^7^0;820^7^0
41971654|SPEG protein, human|C100675|1000|NM|Forced SCR Human Protein Found: speg|TI|MM|483^4^0
41971654|*Muscle Proteins|D009124|1000|MH|Forced HM Human Protein SCR Found|TI|MM
41971654|*Protein-Serine-Threonine Kinases|D017346|1000|MH|Forced HM Human Protein SCR Found|TI|MM
41971859|*Capparis|D031484|617|MH|RtM via: Capparis;Forced Leaf Node Lookup:capparis;checkForceMH Boosted|TI|MM|860^8^0;315^8^0;361^8^0;906^8^0
41971859|Peru|D010568|538|MH|RtM via: Peru;Forced Leaf Node Lookup:peru|TI|MM|296^4^0
41971859|Ecuador|D004484|493|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|797^7^0;273^7^0
41971859|*Capparaceae|D031483|340|MH|RtM via: Capparaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:capparaceae|TI|MM|1053^11^0;645^11^0;497^11^0;116^11^0
41971859|*Microsurgery|D008866|96|MH|RtM via: Hook|TI|MM|601^4^0;43^4^0
41971859|*Radiopharmaceuticals|D019275|96|MH|RtM via: VARIOUS DRUG CLASSES IN ATC|TI|MM|514^9^0
41971859|*Plant Structures|D018514|87|MH|RtM via: Thorn substance|TI|MM|250^5^0
41971859|*Woodlands|D065928|72|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|236^9^0
41971412|*Taxus|D020946|14698|MH|RtM via: Taxus canadensis;RtM via: Taxus brevifolia;Forced Leaf Node Lookup:taxus;checkForceMH Boosted|TI|MM;RC|818^10^0;1681^5^0;1265^5^0;1143^5^0;933^5^0;703^3^0;453^5^0;55^5^0;724^7^1;735^3^1
41971412|Asia|D001208|4548|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM;RC|972^4^0;447^4^0
41971412|North America|D009656|2859|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|1152^13^0;953^13^0;632^13^0;511^13^0;396^13^0;1052^13^0
41971412|Europe|D005060|2622|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM;RC|1042^6^0
41971412|China|D002681|2010|MH|RtM via: China;Forced Non-Leaf Node Lookup:china|TI|MM;RC|1451^5^0;589^5^0
41971412|*Plant Leaves|D018515|1320|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|93^4^0;234^4^0
41971412|*Epidermal Cells|D000078404|42|MH|RtM via: Epidermal cells;Forced Non-Leaf Node Lookup:epidermal cells|TI|MM|187^15^0
41971412|Canada|D002170|1000|MH|Forced Non-Leaf Node Lookup:canada||MM|818^6^0
24621093|Humans|D006801|198029|CT|American Natives;CT Treecode Lookup: M01.686 (American Natives)||MM;RC
24621093|*Mescaline|D008635|69696|MH|RtM via: Peyote preparation;RtM via: Mescaline;Forced Leaf Node Lookup:mescaline;Forced Leaf Node Lookup:peyote;checkForceMH Boosted|TI|MM|3663^6^0;3309^6^0;2057^6^0;1894^6^0;1761^6^0;1447^6^0;276^6^0;157^6^0;1061^9^0;918^9^0;724^9^0;107^9^0;1493^6^0;3352^6^0
24621093|*Powders|D011208|45962|MH|RtM via: Powder dose form;Forced Leaf Node Lookup:powder;checkForceMH Boosted|TI|MM|554^6^0
24621093|*Methanol|D000432|44696|MH|RtM via: methanol;Forced Leaf Node Lookup:methanol;checkForceMH Boosted|TI|MM|596^8^0;644^8^0
24621093|*Methylene Chloride|D008752|44507|MH|RtM via: methylene chloride;Forced Leaf Node Lookup:dichloromethane;checkForceMH Boosted|TI|MM|703^15^0
24621093|*Cactus|D029421|23239|ET|Entry Term Replacement for "Cactaceae";RtM via: Lophophora williamsii;RtM via: Cactaceae;checkForceMH Boosted|TI|MM|3663^6^0;3309^6^0;2057^6^0;1871^21^0;1894^6^0;1761^6^0;1447^6^0;276^6^0;134^21^0;157^6^0;283^5^0
24621093|*Chromatography, High Pressure Liquid|D002851|22492|MH|RtM via: High pressure liquid chromatography procedure;Forced Leaf Node Lookup:hplc|TI|MM|2622^4^0;795^4^0
24621093|*Water|D014867|22336|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|2513^4^0;693^5^0
24621093|*American Natives|D000086562|22063|MH|Forced New Lookup:native american|TI|MM|1329^15^0;3186^15^0
24621093|Indonesia|D007214|22063|MH|Forced Leaf Node Lookup:madura|TI|MM|2852^6^0
24621093|Texas|D013781|22063|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|2214^5^0;422^5^0
24621093|Enterovirus A, Human|D029821|197029|MH|||RC
24621093|Enterovirus Infections|D004769|127265|MH|||RC
24621093|*Phytochemical|D064209|1167|ET|Entry Term Replacement for "Phytochemicals";RtM via: Phytochemicals;Forced Non-Leaf Node Lookup:phytochemical|TI|MM|23^13^0
24621093|Plant Extracts|D010936|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM|763^8^0
41971961|*Scutellaria|D031363|570|MH|RtM via: Scutellaria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:scutellaria|TI|MM|647^11^0;106^11^0
41971961|Arizona|D001130|480|MH|RtM via: Coconino County, AZ;RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|53^17^0;857^7^0;607^7^0;310^7^0;72^7^0
41971961|VMBP protocol|C036046|1126|NM|RtM via: VMBP protocol|TI|MM|563^4^0
41971961|*Burkitt Lymphoma|D002051|1125|MH|RtM via: African Burkitt's lymphoma|TI|MM|291^7^0
41971961|*Vincristine|D014750|1125|HM|RtM via: VMBP protocol|TI|MM|563^4^0
41971961|*Cisplatin|D002945|816|HM|RtM via: VMBP protocol|TI|MM|563^4^0
41971961|*Antineoplastic Combined Chemotherapy Protocols|D000971|225|HM|RtM via: VMBP protocol|TI|MM|563^4^0
41971961|*Bleomycin|D001761|342|HM|RtM via: VMBP protocol|TI|MM|563^4^0
41971961|*Methotrexate|D008727|570|HM|RtM via: VMBP protocol|TI|MM|563^4^0
41971445|Mexico|D008800|738|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|1223^6^0
41971445|*Habitat|D017753|3210|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1678^7^0;574^7^0
41971445|*Forests|D065928|2364|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1368^7^0
41971445|*Pinus|D028223|1725|MH|RtM via: Pinus <genus>|TI|MM|1363^4^0
41971445|*Flowers|D035264|354|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|1347^7^0
41971408|crataegus extract|C007145|9518|NM|RtM via: hawthorn leaf with flower extract|TI|MM|700^9^0;40^9^0
41971408|*Crataegus|D027825|9517|MH|RtM via: Crataegus flava;RtM via: hawthorn leaf with flower extract;Forced Leaf Node Lookup:crataegus|TI|MM|1276^15^0;583^15^0;700^9^0;40^9^0
41971408|Antigua and Barbuda|D000958|679|MH|RtM via: Antigua;Forced Leaf Node Lookup:antigua|TI|MM|752^7^0
41971408|*Caryophyllaceae|D029748|906|MH|RtM via: Haya|TI|MM|1303^4^0
41971408|*Plant Extracts|D010936|279|HM|RtM via: hawthorn leaf with flower extract|TI|MM|700^9^0;40^9^0
41971408|*Behavior Therapy|D001521|222|MH|RtM via: System Support Mapping|TI|MM|521^4^0
24621063|Rats|D051381|170522|CT|PC12 Cells;CT Treecode Lookup: A11.251.210.190.750 (PC12 Cells);PC12 Cells;CT Treecode Lookup: A11.251.860.180.750 (PC12 Cells);PC12 Cells;CT Treecode Lookup: A11.299.500 (PC12 Cells)||RC
24621063|Animals|D000818|170522|CT|PC12 Cells;CT Treecode Lookup: A11.251.210.190.750 (PC12 Cells);PC12 Cells;CT Treecode Lookup: A11.251.860.180.750 (PC12 Cells);PC12 Cells;CT Treecode Lookup: A11.299.500 (PC12 Cells)||RC
24621063|*Marantaceae|D032426|90688|MH|RtM via: Calathea;RtM via: Calathea guzmanioides;Forced Leaf Node Lookup:calatheas;checkForceMH Boosted|TI|MM|698^8^0;397^8^0;21^8^0;1109^8^1;1145^12^1
24621063|relacin|C580565|85064|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|1401^7^0
24621063|*Inflorescence|D056626|42380|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|312^13^0
24621063|bcl-2-Associated X Protein|D051028|169522|MH|||RC
24621063|PC12 Cells|D016716|97105|MH|||RC
24621063|*Dipeptides|D004151|85063|HM|RtM via: relacin|TI|MM|1401^7^0
24621063|*Deoxyguanosine|D003849|54257|HM|RtM via: relacin|TI|MM|1401^7^0
24621063|*Plant Leaves|D018515|31746|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|500^4^0;294^4^0
24621063|*Forest|D065928|2076|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|159^6^0
24621063|*Habitat|D017753|1761|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|166^7^0
24621063|*Habit|D006184|240|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|287^5^0
24621063|Panama|D010176|3|MH|RtM via: Panama|TI|MM|59^6^0
41972165|*Environment|D004777|156|MH|RtM via: Para (geographic area)|TI|MM|276^4^0
41972165|*Tracheophyta|D064028|69|MH|RtM via: Tracheophyta|TI|MM|92^15^0
41971659|*Rivers|D045483|2734|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|583^5^0;407^5^0
41971659|*Foraminifera|D056908|1241|MH|RtM via: Foraminifera;Forced Leaf Node Lookup:forams;checkForceMH Boosted|TI|MM|886^5^0
41971659|*Rubiaceae|D019666|1129|MH|RtM via: Ixora;RtM via: Rubiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM;RC|1386^5^0;1258^5^0;1020^5^0;926^5^0;590^5^0;477^5^0;213^5^0;135^5^0;842^9^0;51^9^0
41971659|Brazil|D001938|283|MH|RtM via: Brazil;RtM via: Tocantins;Forced Leaf Node Lookup:brazil|TI|MM;RC|204^6^0;1601^9^0;1484^9^0;1352^9^0;1185^9^0;875^9^0;785^9^0;680^9^0;554^9^0;397^9^0;95^9^0
41971659|*Forests|D065928|651|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|660^7^0;443^7^0
41971659|*Agaricales|D000363|84|MH|RtM via: Galera|TI|MM|1455^6^0;1226^6^0
41972199|*Cyperus|D029786|244|MH|RtM via: Cyperus pilosus;Forced Leaf Node Lookup:cyperus;checkForceMH Boosted|TI|MM|21^15^0
41972199|Texas|D013781|116|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|179^5^0;56^5^0
41972199|*Environment|D004777|183|MH|RtM via: Para (geographic area)|TI|MM|174^4^0
24621077|*Orchidaceae|D029595|19336|MH|RtM via: Orchidaceae;RtM via: Orchideae;RtM via: Orchidinae;RtM via: Orchidoideae;RtM via: Platanthera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:orchidaceae|TI|MM|1403^11^0;57^11^0;1447^9^0;100^9^0;1467^10^0;120^10^0;1427^12^0;80^12^0;2322^11^0;2204^11^0;1665^11^0;1370^11^0;898^11^0;811^11^0;318^11^0;21^11^0
24621077|*Wetlands|D053833|16483|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|556^7^0
24621077|*Museums|D009144|13750|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|2590^4^0;2563^6^0;1161^6^0
24621077|*Universities|D014495|13423|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|2415^10^0;1013^10^0;1088^10^0;2490^10^0
24621077|Mississippi|D008922|13255|MH|RtM via: Mississippi (geographic location);Forced Leaf Node Lookup:mississippi|TI|MM|2763^11^0;2590^4^0;2397^11^0;2276^11^0;1702^11^0;1335^11^0;1056^11^0;885^11^0;364^11^0;1149^11^0;2458^11^0;2551^11^0
24621077|Hydrogels|D020100|52439|MH|||RC
24621077|Enzymes, Immobilized|D004800|25057|MH|||RC
24621077|*Science, Natural|D010811|1680|ET|Entry Term Replacement for "Natural Science Disciplines";RtM via: Natural Science Disciplines;Forced Non-Leaf Node Lookup:natural sciences|TI|MM|2590^4^0;2573^15^0;1171^15^0
24621077|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1716^3^0;1927^3^0
