10.2307/2963520|Animals|D000818|38668|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel);Mytilus;CT Treecode Lookup: B01.050.500.644 (Mytilus);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/1942541|*Habitat|D017753|19413|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1590^7^0
10.2307/1942541|*Plants|D010944|18321|MH|RtM via: Plants|TI|MM;RC|2692^6^0;1828^5^0;1487^6^0;1049^5^0;814^6^0;331^6^0;175^6^0
10.2307/1942541|*Forest|D065928|7776|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1964^6^0;1128^6^0;37^6^0
10.2307/1942541|*Solanaceae|D019657|3219|MH|RtM via: Witheringia solanacea;Forced Non-Leaf Node Lookup:solanaceae|TI|MM|223^21^0;1284^11^0;268^10^0
10.2307/2937101|Humans|D006801|53605|CT|Forced Lookup:study population;checkForceMH Boosted|TI|MM|1776^16^0;3320^16^0
10.2307/2937101|Animals|D000818|53605|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera);Hawks;CT Treecode Lookup: B01.050.150.900.248 (Hawks);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);CT Text Lookup: mammalian|TI|MM;RC|1325^9^0
10.2307/2937101|*Herbivory|D060434|36098|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores;Forced Leaf Node Lookup:herbivory|TI|MM;RC|3020^9^0;2851^9^0;2357^9^0;2105^10^0;2021^9^0;1311^9^0;791^10^0
10.2307/2937101|*Viola|D032413|18668|MH|RtM via: Viola cazorlensis;Forced Leaf Node Lookup:violas;checkForceMH Boosted|TI|MM|197^17^0
10.2307/2937101|*Fruit|D005638|16651|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|3058^5^0;2750^5^0;2441^5^0;1170^5^0;3231^5^0
10.2307/2937101|*Hawks|D046428|16352|MH|Forced Leaf Node Lookup:hawk;checkForceMH Boosted|TI|MM|422^4^0
10.2307/2937101|*Larvae|D007814|10414|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|1377^6^0
10.2307/2937101|*Sand|D000080463|9598|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|1451^5^0
10.2307/2937101|*Soil|D012987|9166|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|2054^4^0;1457^5^0
10.2307/2937101|*Individuality|D007206|9013|MH|RtM via: Individuality;Forced Leaf Node Lookup:individual differences|TI|MM|605^22^0
10.2307/2937101|*Pollination|D054817|52605|MH|RtM via: Pollination|TI|MM;RC|377^10^0
10.2307/2937101|*Flowers|D035264|23601|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|3047^6^0;2781^6^0;2335^6^0;2290^7^0;2156^6^0;1162^6^0;949^6^0;264^7^0;2954^6^0
10.2307/2937101|*Reproduction|D012098|18921|MH|RtM via: flowering;RtM via: Reproduction|TI|MM;RC|2262^9^0;3853^12^0;2803^12^0;2315^12^0;2082^12^0
10.2307/2937101|*Seed|D012639|12210|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|2602^4^0;2497^4^0;1537^4^0;1181^4^0;149^4^0;1479^4^0
10.2307/2937101|*Fecundity|D005298|11637|ET|Entry Term Replacement for "Fertility";RtM via: Fertility;Forced Non-Leaf Node Lookup:fecundity|TI|MM;RC|1904^9^0;631^9^0;138^9^0;687^9^0
10.2307/2937101|*Moths|D009036|5769|MH|RtM via: Macroglossum stellatarum;Forced Non-Leaf Node Lookup:moth|TI|MM|433^24^0;427^4^0
10.2307/2937101|*Phenotype|D010641|2280|MH|RtM via: Trait;RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|3866^6^0;1815^6^0;667^6^0;3607^9^0;3249^10^0;1707^10^0
10.2307/2937235|Animals|D000818|41880|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
10.2307/2937235|*Predatory Behavior|D011235|40880|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|193^9^0
10.2307/2937235|*Conservation of Natural Resources|D003247|6182|MH|RtM via: Carrying Capacity;Forced Leaf Node Lookup:carrying capacity|TI|MM|1570^17^0;728^17^0
10.2307/2937235|*Kinetics|D007700|4802|MH|RtM via: Kinetics;Forced Leaf Node Lookup:kinetics|TI|MM|340^8^0
10.2307/2937235|*Birth Rate|D001723|4721|MH|RtM via: Birth Rate;Forced Leaf Node Lookup:birth rates|TI|MM|1315^10^0;410^11^0
10.2307/2937235|Food Chain|D020387|4534|MH|||RC
10.2307/2937235|Population Dynamics|D011157|2277|MH|||RC
10.2307/2937235|*Biological Phenomena|D001686|2073|MH|RtM via: Tissue Growth|TI|MM|553^6^0;156^5^0;52^6^0
27646050|Animals|D000818|48724|CT|Butterflies;CT Treecode Lookup: B01.050.500.131 (Butterflies)||MM;RC
27646050|Female|D005260|48724|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;CT Text Lookup: oviposition;Forced Non-Leaf Node Lookup:females|TI|MM;RC|1150^6^0;1418^6^0;2062^6^0;387^11^0
27646050|*Butterflies|D002080|40764|MH|RtM via: Butterflies;RtM via: Papilio machaon;Forced Lookup:butterflies;Forced Leaf Node Lookup:butterflies;checkForceMH Boosted|TI|MM|873^11^0;542^11^0;886^15^0;555^15^0;505^15^0
27646050|*Petasites|D036901|33141|MH|RtM via: Petasites frigidus;Forced Leaf Node Lookup:petasites;checkForceMH Boosted|TI|MM|752^18^0
27646050|*Cnidium|D031048|30561|MH|RtM via: Cnidium cnidiifolium;Forced Leaf Node Lookup:cnidiums;checkForceMH Boosted|TI|MM|620^20^0
27646050|*Coumaric Acids|D003373|26946|MH|RtM via: Coumaric Acids;Forced Leaf Node Lookup:hydroxycinnamic acid;checkForceMH Boosted|TI|MM|1567^3^0;1451^20^0
27646050|*Artemisia dracunculus|D019306|22932|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia arctica;RtM via: Artemisia dracunculus;RtM via: Artemisia frigida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisia dracunculus|TI|MM|730^17^0;983^21^0;1883^17^0
27646050|*Chromatography, High Pressure Liquid|D002851|15498|MH|RtM via: APPARATUS, HIGH PRESSURE LIQUID CHROMATOGRAPHY;RtM via: High pressure liquid chromatography procedure;Forced Leaf Node Lookup:high-performance liquid chromatography|TI|MM|1256^38^0
27646050|*Oviposition|D010058|13767|MH|RtM via: Oviposition;Forced Leaf Node Lookup:ovipositions|TI|MM|1968^11^0;1170^11^0;958^9^0;387^11^0;2021^11^0
27646050|Intestinal Mucosa|D007413|47724|MH|||RC
27646050|Epithelial Cells|D004847|34028|MH|||RC
27646050|*Bioassays|D001681|2139|ET|Entry Term Replacement for "Biological Assay";RtM via: Biological Assay;Forced Non-Leaf Node Lookup:bioassays|TI|MM|1369^9^0;1101^9^0
27646050|Plant Extracts|D010936|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM|1057^8^0;1219^8^0;1319^8^0;1945^7^0
23047064|Humans|D006801|83786|CT|CT Text Lookup: individuals|TI|MM|801^11^0
23047064|Adult|D000328|83786|CT|Forced Leaf Node Lookup:adults|TI|MM|1854^6^0;1965^6^0;405^5^0;674^5^0;820^5^0;1180^5^0;1527^5^0;1692^5^0;1791^5^0;2154^5^0
23047064|*Trees|D014197|61181|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|680^5^0;411^5^0
23047064|*Seedlings|D036226|47876|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|917^9^0;743^9^0
23047064|*Emigration and Immigration|D004641|37792|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM;RC|2236^11^0;549^11^0
23047064|*Soil|D012987|30268|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1078^4^0
23047064|*Multidimensional Scaling Analysis|D000084142|22768|MH|RtM via: Multidimensional Scaling Analysis;Forced New Lookup:multidimensional scaling|TI|MM|1393^24^0
23047064|Population Dynamics|D011157|82786|MH|||RC
23047064|*Forests|D065928|16233|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|46^7^0
23047064|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|1093^2^0
23047064|China|D002681|543|MH|RtM via: China|TI|MM|70^5^0
10.2307/1943001|Animals|D000818|45314|CT|Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|1949^7^0
10.2307/1943001|*Thoracica|D001468|44314|MH|RtM via: Balanus glandula;RtM via: Chthamalus dalli;RtM via: Thoracica;Forced Leaf Node Lookup:barnacles;Forced Leaf Node Lookup:balanus;checkForceMH Boosted|TI|MM;RC|537^16^0;448^16^0;2709^8^0;2163^9^0;2008^8^0;2097^9^0;1812^8^0;1641^9^0;1251^9^0;438^8^0;185^9^0;3130^10^0;1706^10^0;1388^10^0;1327^10^0;1169^10^0;3089^7^0;2641^7^0;1652^7^0;1455^7^0;1435^7^0;1311^7^0;1152^7^0;1031^7^0;665^7^0;527^8^0;1869^8^0
10.2307/1943001|*Macroalgae|D012624|10816|ET|Entry Term Replacement for "Seaweed";RtM via: Seaweed;checkForceMH Boosted;Forced Non-Leaf Node Lookup:macroalgae|TI|MM;RC|3187^10^0;559^10^0;218^10^0
10.2307/1943001|*Fucus|D044645|9776|MH|RtM via: Fucus distichus;Forced Leaf Node Lookup:fucus;checkForceMH Boosted|TI|MM|593^15^0
10.2307/1943001|*Larvae|D007814|3748|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted|TI|MM|1509^6^0
10.2307/1943001|Oregon|D009922|3079|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|140^6^0
10.2307/1943001|*Rhodophyta|D000461|7599|MH|RtM via: Endocladia muricata|TI|MM;RC|614^19^0
10.2307/1943001|*Habitats|D017753|7383|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:intertidal community|TI|MM;RC|3242^8^0;104^20^0
10.2307/1943001|*Gastropoda|D049851|3393|MH|RtM via: Limpet (invertebrate)|TI|MM;RC|3150^7^0;3052^7^0;2183^6^0;2031^6^0;2154^7^0
10.2307/1943001|*Weather|D014887|888|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|1560^7^0
10.2307/2937300|Animals|D000818|12448|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/2937300|*Islands|D062312|11448|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|1036^7^0;828^7^0;67^7^0
10.2307/2937300|*Plant|D010944|5220|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|384^5^0
10.2307/2937300|*Bird|D001717|3936|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:avifauna|TI|MM;RC|1992^4^0;42^8^0
10.2307/2937300|*Multivariate Analysis|D015999|921|MH|RtM via: multiple regression|TI|MM|711^19^0
10.2307/2937300|*Stochastic Processes|D013269|771|MH|RtM via: Stochastic Processes;Forced Non-Leaf Node Lookup:stochastic processes|TI|MM|1709^20^0
10.2307/2963472|Animals|D000818|26575|CT|Lizards;CT Treecode Lookup: B01.050.150.900.833 (Lizards);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|260^7^0
10.2307/2963472|*Lizards|D008116|25575|MH|RtM via: Varanus panoptes;RtM via: Lizards;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lizards|TI|MM;RC|518^16^0;509^7^0;437^7^0;113^7^0
10.2307/2963472|*Body Temperature|D001831|14265|MH|RtM via: Body Temperature;Forced Leaf Node Lookup:body temperatures|TI|MM;RC|692^17^0
10.2307/2963472|*Thermoregulation|D001833|15291|ET|Entry Term Replacement for "Body Temperature Regulation";RtM via: Physiologic Thermoregulation;Forced Non-Leaf Node Lookup:thermoregulations|TI|MM;RC|450^16^0;357^16^0
10.2307/2963472|*Habitats|D017753|7869|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|144^8^0
10.2307/2963472|*Ecology|D004463|5163|MH|RtM via: Ecology|TI|MM|78^7^0
10.2307/2963472|*Monitoring, Physiologic|D008991|384|MH|RtM via: Patient Monitoring|TI|MM|501^7^0
10.2307/1942456|Animals|D000818|18396|CT|Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes);CT Text Lookup: fish|TI|MM;RC|749^4^0
10.2307/1942456|*Zooplankton|D015048|17396|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM;RC|1071^11^0;755^11^0;451^11^0;174^11^0
10.2307/1942456|*Predatory Behavior|D011235|16180|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|235^9^0
10.2307/1942456|*Temperature|D013696|4093|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1053^12^0
10.2307/1942456|*Laboratories|D007753|2599|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|491^10^0
10.2307/1942456|*Fishes|D005399|6090|MH|RtM via: Fishes|TI|MM;RC|749^4^0
10.2307/1942456|*Biological Phenomena|D001686|5235|MH|RtM via: cellular entity retention|TI|MM|343^9^0
10.2307/1942456|*Physiological Phenomena|D010829|4554|MH|RtM via: Reflecting;RtM via: biologic consumption|TI|MM|1187^9^0;1111^11^0
10.2307/1942456|*Perciformes|D010473|4191|MH|RtM via: Pomoxis annularis|TI|MM;RC|375^13^0;126^17^0;111^13^0
10.2307/1942456|*Probability|D011336|573|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probabilities;Forced Non-Leaf Node Lookup:probability|TI|MM|671^13^0;587^11^0;358^11^0
10.2307/1942456|*Model, Computer|D003198|447|ET|Entry Term Replacement for "Computer Simulation";RtM via: Computer simulation;Forced Non-Leaf Node Lookup:computer models|TI|MM|30^14^0
10.2307/1942156|Animals|D000818|38230|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids);Arthropods;CT Treecode Lookup: B01.050.500.131 (Arthropods);Beetles;CT Treecode Lookup: B01.050.500.131 (Beetles);Gryllidae;CT Treecode Lookup: B01.050.500.131 (Gryllidae);Leafhoppers;CT Treecode Lookup: B01.050.500.131 (Leafhoppers);Grasshoppers;CT Treecode Lookup: B01.050.500.131 (Grasshoppers);Flea;CT Treecode Lookup: B01.050.500.131 (Flea)||MM;RC
10.2307/1942156|*Ambrosia|D031164|37230|MH|RtM via: Ambrosia artemisiifolia;Forced Leaf Node Lookup:ambrosias;Forced Leaf Node Lookup:ragweeds;checkForceMH Boosted|TI|MM|77^23^0;3041^7^0;2400^7^0;2272^7^0;2240^7^0;2047^7^0;1874^7^0;1787^7^0;1664^7^0;1566^7^0;1384^7^0;68^7^0
10.2307/1942156|*Food Chain|D020387|36532|MH|RtM via: Food Web;Forced Leaf Node Lookup:food webs|TI|MM;RC|3381^8^0;3192^8^0;2532^8^0;2423^8^0;2353^8^0;2127^8^0;1690^8^0;1454^8^0;1247^8^0;707^8^0
10.2307/1942156|*Raphanus|D031224|28204|MH|RtM via: Raphanus raphanistrum;Forced Leaf Node Lookup:raphanus raphanistrum;Forced Leaf Node Lookup:wild radish;Forced Leaf Node Lookup:radish;checkForceMH Boosted|TI|MM|3026^11^0;2384^11^0;1431^11^0;1216^11^0;1107^11^0;719^11^0;41^21^0;28^11^0;1549^6^0;1270^11^0
10.2307/1942156|*Aphids|D001042|23157|MH|RtM via: Aphids;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM|1359^5^0;1185^6^0;902^6^0
10.2307/1942156|*Herbivory|D060434|21670|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM;RC|3078^10^0;2055^10^0;1854^10^0;1495^10^0
10.2307/1942156|*Beetles|D001517|14917|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM;RC|958^7^0
10.2307/1942156|*Gryllidae|D006135|13196|MH|Forced Leaf Node Lookup:crickets;checkForceMH Boosted|TI|MM|1531^8^0;2307^8^0
10.2307/1942156|*Seasons|D012621|10435|MH|RtM via: Seasons;RtM via: Summer;RtM via: Autumn;Forced Leaf Node Lookup:seasons|TI|MM|2376^6^0;2174^6^0;1841^6^0;1324^6^0;742^6^0;2371^4^0
10.2307/1942156|*Grasshoppers|D006110|8989|MH|RtM via: Grasshoppers;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasshoppers|TI|MM|1514^12^0;860^12^0
10.2307/1942156|*Flea|D005423|7597|ET|Entry Term Replacement for "Siphonaptera";RtM via: Fleas;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flea|TI|MM|953^4^0
10.2307/1942156|*Specialization|D013038|6775|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|2601^11^0
10.2307/1942156|*Plants|D010944|13629|MH|RtM via: Plants;RtM via: Host plants|TI|MM;RC|3462^5^0;2835^5^0;2091^5^0;2021^5^0;1914^5^0;1392^6^0;1170^5^0;1059^5^0;623^5^0;2830^10^0
10.2307/1942156|*Population Dynamics|D011157|7179|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|287^19^0
10.2307/1942156|*Pollen|D011058|5799|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|2006^6^0;834^6^0
10.2307/1942156|*Plant Distribution|D063148|4497|ET|Entry Term Replacement for "Plant Dispersal";RtM via: Plant Dispersal|TI|MM|409^12^1;425^5^1
10.2307/1942156|*Nutrient|D000078622|2235|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|2811^8^0;2677^8^0;1964^8^0;1006^8^0
10.2307/1942156|*Seeds|D012639|1893|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1556^5^0;1418^4^0;1020^4^0;846^4^0
10.2307/1942156|*Plant Leaves|D018515|1197|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|1882^6^0;888^4^0;828^4^0
10.2307/1942156|*Isotope|D007554|960|ET|Entry Term Replacement for "Isotopes";RtM via: Isotopes;Forced Non-Leaf Node Lookup:isotopes|TI|MM|401^7^0
10.2307/1942156|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:interspecific competition||MM;RC|2932^25^0
10.2307/1942660|*Trees|D014197|54306|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|3585^5^0;3111^5^0;2760^5^0;1098^4^0;585^5^0
10.2307/1942660|*Ecosystem|D017753|28895|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|3874^9^0
10.2307/1942660|*Biomass|D018533|28319|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|3950^7^0;1823^7^0;1699^7^0;1523^7^0;1381^7^0;243^7^0
10.2307/1942660|*Magnesium|D008274|24295|MH|RtM via: Dietary Magnesium;RtM via: magnesium;Forced Leaf Node Lookup:magnesium;checkForceMH Boosted|TI|MM|3209^9^0
10.2307/1942660|*Seedlings|D036226|17956|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|524^9^0
10.2307/1942660|*Nitrogen|D009584|17369|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|4254^8^0;3452^8^0;3188^8^0;3501^8^0
10.2307/1942660|*Potassium|D011188|16178|MH|RtM via: potassium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:potassium|TI|MM;RC|3198^9^0
10.2307/1942660|*Wood|D014934|10847|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|2944^5^0;2491^4^0;2221^4^0;2012^4^0;1512^4^0;2299^4^0;2609^4^0
10.2307/1942660|*Wind|D014919|10199|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|2861^4^0
10.2307/1942660|New York|D009518|7520|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|421^8^0
10.2307/1942660|*Altitude|D000531|7448|MH|Forced Leaf Node Lookup:altitudes|TI|MM|59^8^0;4284^8^0
10.2307/1942660|*Plant Bark|D024301|7448|MH|Forced Leaf Node Lookup:bark|TI|MM|1486^4^0;1955^4^0;2230^4^0;2263^4^0;2500^4^0
10.2307/1942660|*Forests|D065928|30378|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|4297^7^0;191^6^0;72^7^0
10.2307/1942660|*Conservation of Natural Resources|D003247|5682|MH|RtM via: Natural regeneration|TI|MM|439^12^0;28^12^0
10.2307/1942660|*Calcium, Dietary|D002136|4872|MH|RtM via: Calcium, Dietary|TI|MM|3224^7^0
10.2307/1942660|*Biological Transport|D001692|3036|MH|RtM via: Import into cell;RtM via: import across plasma membrane|TI|MM|4161^6^0;3571^6^0
10.2307/1942660|*Nutrients|D000078622|1134|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|4334^8^0;3884^8^0;4091^9^0;3562^8^0;3820^9^0;3399^8^0;3304^9^0;282^8^0;3595^8^0;3918^8^0;3981^8^0
10.2307/1942660|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|28^12^0;439^12^0
10.2307/1942660|Respiration|D012119|1000|MH|Forced Non-Leaf Node Lookup:respiration||MM|2957^11^0
10.2307/1942660|Fibrinogen|D005340|1000|MH|Forced Non-Leaf Node Lookup:factor i||MM|4131^8^0
10.2307/1943008|*Mosses|D044002|44277|ET|Entry Term Replacement for "Bryophyta";RtM via: Polytrichum;RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM;RC|92^11^0;2502^6^0;2392^4^0;2365^6^0;2191^6^0;2098^4^0;1625^4^0;1459^4^0;1096^4^0;86^4^0
10.2307/1943008|*Soil|D012987|33618|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|2528^4^0;2357^4^0;1914^4^0;1807^4^0;1599^4^0;2046^4^0
10.2307/1943008|*Ecosystem|D017753|32538|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|2397^9^0;2169^9^0;1716^9^0;1464^9^0;1243^9^0;1101^9^0;49^9^0;105^9^0
10.2307/1943008|*Nitrogen Fixation|D009586|28323|MH|RtM via: Nitrogen Fixation;Forced Leaf Node Lookup:dinitrogen fixation|TI|MM;RC|889^19^0
10.2307/1943008|*Nitrogen|D009584|27735|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|1217^8^0;59^8^0;1859^8^0;2292^8^0
10.2307/1943008|*Biomass|D018533|23811|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|2674^7^0;2516^7^0;1764^7^0;1630^7^0;2617^7^0
10.2307/1943008|*Sand|D000080463|22224|MH|RtM via: Sand;Forced Leaf Node Lookup:sands;checkForceMH Boosted|TI|MM|162^5^0
10.2307/1943008|*Particulate Matter|D052638|9354|MH|RtM via: Particulate Matter;checkForceMH Boosted;Forced Non-Leaf Node Lookup:particulate matter|TI|MM|920^11^1;940^6^1;440^18^0
10.2307/1943008|*Feedback|D005246|7857|MH|RtM via: Feedback - evaluative response process;RtM via: Feedback - system communication;Forced Leaf Node Lookup:feedbacks|TI|MM|2453^8^0
10.2307/1943008|New Hampshire|D009513|7083|MH|RtM via: New Hampshire;Forced Leaf Node Lookup:new hampshire|TI|MM|189^13^0
10.2307/1943008|*Hydrology|D062070|4299|MH|RtM via: Hydrology|TI|MM|1313^10^0;475^10^0
10.2307/1943008|Soil Microbiology|D012988|1617|MH|||RC
10.2307/1943008|*Biochemical Phenomena|D001669|936|MH|RtM via: export across plasma membrane|TI|MM|1416^8^0
10.2307/1943008|*Biological Phenomena|D001686|453|MH|RtM via: cellular entity retention|TI|MM|2586^9^0;2223^9^0;2141^9^0
10.2307/2963492|*Soil|D012987|25924|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|180^4^0
10.2307/2963492|*Nitrogen|D009584|25918|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|152^8^0
10.2307/2963492|*Carbon|D002244|23197|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM;RC|141^6^0
10.2307/2963492|*Temperature|D013696|4753|MH|Forced Leaf Node Lookup:temperatures|TI|MM;RC|60^11^0
10.2307/2963492|*Tundra|D065929|34995|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM;RC|106^6^0
10.2307/2963492|*Plant|D010944|7917|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|113^5^0
10.2307/1942338|Humans|D006801|18529|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)|TI|MM
10.2307/1942338|*Pseudotsuga|D028224|12594|MH|RtM via: Pseudotsuga menziesii;Forced Leaf Node Lookup:pseudotsugas;checkForceMH Boosted|TI|MM|417^21^0;654^11^0;714^11^0
10.2307/1942338|*Soils|D012987|12399|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|643^5^0;552^5^0;703^5^0;973^5^0
10.2307/1942338|*Abies|D028202|11667|MH|RtM via: Abies lasiocarpa;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM|457^16^0;831^5^0;904^5^0
10.2307/1942338|*Pinus ponderosa|D041604|11289|MH|RtM via: Pinus ponderosa;Forced Leaf Node Lookup:pinus ponderosas;checkForceMH Boosted|TI|MM|383^15^0
10.2307/1942338|*Festuca|D031751|7494|MH|RtM via: Festuca;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|592^7^0;666^7^0;775^7^0
