43519415|Humans|D006801|10474417|CT|Forced Humans: man|TI|MM;RC
43519251|*Plant|D010944|10179|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|801^5^0;295^5^0
43519251|Soil|D012987|1662|MH|||RC
43519251|*Probability|D011336|747|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|502^11^0
43519499|*Phylogeny|D010802|4503|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships|TI|MM;RC|240^25^0
43519499|*Respect|D000078682|537|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|303^8^0
43519499|*Cluster Analysis|D016000|2604|MH|RtM via: statistical cluster|TI|MM;RC|335^16^0;161^16^0
43519499|*Computer Program|D012984|1467|ET|Entry Term Replacement for "Software";RtM via: Computer software|TI|MM;RC|509^16^0
43519499|*Bryopsida|D019068|366|MH|RtM via: Didymodon|TI|MM|45^9^0
43519499|*Causality|D015984|339|MH|RtM via: Due to|TI|MM|183^9^0
43519499|Computers|D003201|1000|MH|Forced Non-Leaf Node Lookup:computers||MM|509^8^0
43519539|*Plant|D010944|3009|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|112^5^0
43519539|*Tracheophyta|D064028|1347|MH|RtM via: Tracheophyta|TI|MM|197^15^0
43519539|*Data Management|D000079803|1140|MH|RtM via: Databases|TI|MM|71^10^0
43519539|*Gene Library|D015723|723|MH|RtM via: DNA Library;RtM via: cDNA Library|TI|MM|133^7^0
43519540|*Ecosystem|D017753|35643|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|887^10^0;463^9^0;151^10^0
43519540|*Soil|D012987|22698|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|230^4^0
43519540|*Water|D014867|7791|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|521^5^0
43519540|Mongolia|D008986|5001|MH|Forced Leaf Node Lookup:mongolia|TI|MM|114^8^0
43519540|*Forests|D065928|30993|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|537^6^0;295^6^0;144^6^0;77^7^0
43519540|*Carbon Cycle|D057486|19266|MH|RtM via: carbon fixation|TI|MM;RC|820^11^0
43519540|*Desert Climate|D003889|7842|MH|RtM via: Desert Climate|TI|MM|719^12^0
43519540|*Seasons|D012621|4470|MH|RtM via: Winter|TI|MM;RC|202^6^0
43519510|*Liverworts|D035926|13844|ET|Entry Term Replacement for "Hepatophyta";RtM via: Marchantiidae;RtM via: Order Jungermanniales;RtM via: Metzgeriales;RtM via: Marchantiophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:liverworts|TI|MM;RC|296^13^0;413^15^0;396^12^0;257^9^0;115^10^0
43519510|*Flavonoids|D005419|2030|MH|RtM via: Flavonoids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|430^9^0;226^9^0;66^10^0
43519510|*Phenols|D010636|930|MH|RtM via: Substance with phenol structure|TI|MM;RC|93^8^0
43519510|*Anemone|D031883|333|MH|RtM via: Anemone americana|TI|MM|257^9^0
43519528|*Data Analysis|D000078332|334|MH|RtM via: Data Analysis;Forced Leaf Node Lookup:data analysis|TI|MM|117^13^0
43519416|Humans|D006801|8057983|CT|Forced Humans: individuals|TI|MM
43519416|*Inflorescence|D056626|340505|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|1335^13^0;1198^13^0;518^13^0;179^13^0
43519416|*Discriminant Analysis|D016002|334067|MH|RtM via: Discriminant Analysis;Forced Leaf Node Lookup:discriminant analysis|TI|MM|280^21^0
43519416|Hungary|D006814|332588|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|120^7^0
43519416|*Research Design|D012107|4344|MH|RtM via: univariate statistics;RtM via: Test Method|TI|MM|244^19^0;939^6^0
43519416|*Cluster Analysis|D016000|3126|MH|RtM via: Complete Linkage Cluster Analysis|TI|MM;RC|922^16^0
43519416|*Genetic Linkage|D008040|2718|MH|RtM via: genetic linkage|TI|MM;RC|931^7^0
43519416|Analysis of Variance|D000704|1000|MH|Forced Non-Leaf Node Lookup:analysis of variance||MM|255^20^0
43504899|*Soil|D012987|22393|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1273^4^0;545^4^0;309^4^0
43504899|*Grass|D006109|14422|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM;RC|854^5^0
43504899|*Grassland|D065948|8470|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|814^10^0;108^9^0;737^9^0;935^9^0
43504899|*Sand|D000080463|7048|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|929^5^0;162^5^0
43504899|*Rivers|D045483|6298|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|213^6^0
43504899|*Temperature|D013696|5887|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1179^11^0
43504899|O,O-diisopropyl-S-benzylthiophosphate|C009897|2714|NM|Forced SCR Leaf Node Lookup:ibp|TI|MM|41^3^0
43504899|*Humidity|D006813|2713|MH|Forced Leaf Node Lookup:humidity|TI|MM|1223^8^0
43504899|*Plant|D010944|6960|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|504^5^0;405^5^0
43504899|*Forest|D065928|6456|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|180^6^0
43504899|Nutrients|D000078622|1000|MH|Forced Non-Leaf Node Lookup:nutrients||MM|1080^9^0;687^8^0
43504899|Minerals|D008903|1000|MH|Forced Non-Leaf Node Lookup:minerals||MM|679^7^0;1072^7^0
43519105|*Musci|D044002|21268|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;RtM via: class Musci;checkForceMH Boosted;Forced Non-Leaf Node Lookup:musci|TI|MM;RC|80^5^0
43519105|Hungary|D006814|3767|MH|RtM via: Hungary;RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians;Forced Leaf Node Lookup:hungary|TI|MM;RC|1586^7^0;1036^7^0;756^7^0;807^9^0;291^9^0
43519105|*Bryopsida|D019068|17535|MH|RtM via: Pottiaceae;RtM via: Syntrichia ruralis;RtM via: Tortula|TI|MM;RC|87^10^0;838^15^0;191^15^0;1215^7^0;43^7^0
43519105|*Environment|D004777|306|MH|RtM via: Warm zone|TI|MM|931^4^1;946^4^1
43519105|*Health Services|D006296|273|MH|RtM via: Morphology Method|TI|MM|355^21^0
43519105|*Names|D009275|195|MH|RtM via: Name;RtM via: Person Name|TI|MM|1391^5^0
43504901|*Geology|D005844|2721|MH|RtM via: Geology;Forced Leaf Node Lookup:geology|TI|MM;RC|474^7^0
43504901|pulsatillae|C540801|961|NM|RtM via: pulsatillae;Forced SCR Leaf Node Lookup:pulsatillae|TI|MM|1077^11^0
43504901|*Climate|D002980|4146|MH|RtM via: Climate|TI|MM;RC|483^7^0
43504901|*Environment|D004777|1308|MH|RtM via: Valley|TI|MM|222^6^0
43504901|*Drugs, Chinese Herbal|D004365|960|HM|RtM via: pulsatillae|TI|MM|1077^11^0
43519139|Africa|D000349|369|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM;RC|74^6^0
43519139|*Bryopsida|D019068|147|MH|RtM via: Syrrhopodon;RtM via: Syrrhopodon prolifer|TI|MM|239^11^0;21^20^0
43519284|Humans|D006801|4204|CT|CT Text Lookup: individuals|TI|MM;RC|887^11^0
43519284|*Information Theory|D007257|944|MH|RtM via: Information Theory;Forced Leaf Node Lookup:information theory|TI|MM|342^18^0;91^18^0
43519284|*Grid Cells|D000071038|428|MH|RtM via: Grid Cells;Forced Leaf Node Lookup:grid cells|TI|MM|850^10^0
43519284|*Plant|D010944|3204|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|277^5^0
43519284|Biodiversity|D044822|884|MH|||RC
43519284|*Research|D012106|627|MH|RtM via: Study|TI|MM|147^7^0
43519143|*Heredity|D040941|3443|MH|RtM via: Heredity;Forced Leaf Node Lookup:heredity|TI|MM|280^8^0
43519143|*Physiological Phenomena|D010829|1875|MH|RtM via: Reflecting|TI|MM|333^9^0
43519143|*Group Processes|D006126|1653|MH|RtM via: Collective behavior|TI|MM|1016^20^0
43519143|*Reproduction|D012098|1098|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|290^12^0
43519143|*Gene Expression Regulation|D005786|963|MH|RtM via: Gene Expression Regulation|TI|MM|816^15^0
43519431|*Fractals|D017709|1884|MH|RtM via: Fractals;Forced Leaf Node Lookup:fractals|TI|MM;RC|395^7^0;41^7^0
43519431|*Mathematics|D008433|1248|MH|RtM via: Geometry|TI|MM;RC|128^11^0
43519431|*Generalization, Psychological|D005793|90|MH|RtM via: Generalization, Psychological|TI|MM|264^14^0
43519208|*Desiccant|D058427|309|ET|Entry Term Replacement for "Hygroscopic Agents";RtM via: Desiccants;checkForceMH Boosted|TI|MM|25^9^0
43519208|Calopadia subcoerulescens|C000664850|253|NM|Forced New Lookup:calopadia subcoerulescens|TI|MM|1010^25^0
43519208|*Ascomycota|D001203|2376|MH|RtM via: Calopadia subcoerulescens;RtM via: Arthonia;RtM via: Bacidia;RtM via: Badimia;RtM via: Byssoloma;RtM via: Echinoplaca;RtM via: Pseudosagedia;RtM via: Asterothyrium;RtM via: Porina|TI|MM|1010^25^0;706^8^0;947^7^0;821^7^0;854^9^0;1051^11^0;1374^13^0;1525^13^0;1396^13^0;1166^6^0
43519208|*Islands|D062312|741|MH|RtM via: Islands|TI|MM|405^6^0
43519208|*Forests|D065928|573|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|358^7^0
43519208|*Immunoglobulin Isotypes|D007132|27|MH|RtM via: Immunoglobulin Isotypes|TI|MM|231^8^0
43504898|Humans|D006801|61000|CT|Forced Humans: university|TI|MM
43504898|*Triticum|D014908|38217|MH|RtM via: Triticum;RtM via: Triticum aestivum;RtM via: Wheat (Dietary);RtM via: Wheat - grass (plant);Forced Leaf Node Lookup:wheat;checkForceMH Boosted|TI|MM;RC|888^5^0;324^5^0;121^5^0
43504898|*Soil|D012987|31356|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|933^4^0;492^4^0;539^4^0
43504898|*Biomass|D018533|21054|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|859^7^0;645^7^0;474^7^0;306^7^0
43504898|*Seasons|D012621|18714|MH|RtM via: Seasons;RtM via: Winter;Forced Leaf Node Lookup:seasons|TI|MM;RC|684^6^0;231^6^0;881^6^0;317^6^0;114^6^0
43504898|*Universities|D014495|7569|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|197^10^0
43504898|*Agriculture|D000383|17472|MH|RtM via: Agriculture|TI|MM;RC|184^12^0
43504898|*Water|D014867|9339|MH|RtM via: water|TI|MM;RC|779^8^0
43504898|*Rains|D011891|5805|ET|Entry Term Replacement for "Rain";RtM via: Rain|TI|MM|803^5^0
43518941|*Grasses|D006109|12758|ET|Entry Term Replacement for "Poaceae";RtM via: Bouteloua eriopoda;RtM via: Bouteloua gracilis;RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|642^18^0;665^18^0;627^5^0;769^7^0
43518941|New Mexico|D009516|1142|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM;RC|589^10^0
43518941|*Grassland|D065948|1028|MH|Forced Leaf Node Lookup:grasslands|TI|MM|547^9^0;952^9^0
43518941|Desert Climate|D003889|1171|MH|||RC
43518941|Ecosystem|D017753|989|MH|||RC
43518941|*Research Design|D012107|813|MH|RtM via: Test Method|TI|MM|489^6^0;241^6^0
43518941|*Biological Phenomena|D001686|705|MH|RtM via: Tissue Growth|TI|MM|685^4^0
43519437|*Probability|D011336|3093|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM;RC|72^11^0
43519437|*Abstracting and Indexing|D000043|498|MH|RtM via: Index|TI|MM|433^5^0;34^5^0
43519437|*Physical Phenomena|D055585|186|MH|RtM via: Affinity|TI|MM|424^8^0
43519101|*Grassland|D065948|352|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|191^9^0
43519101|Ecosystem|D017753|298|MH|||RC
43519101|*Organizations|D009938|198|MH|RtM via: Utilities (organization)|TI|MM|56^7^0
43519101|*Research|D012106|153|MH|RtM via: Population Based Study|TI|MM|88^18^0
43519101|*Electrode|D004566|87|ET|Entry Term Replacement for "Electrodes";RtM via: electrode;Forced Non-Leaf Node Lookup:electrodes|TI|MM|317^9^0
43519351|*Soil|D012987|11463|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|661^4^0
43519351|*Rivers|D045483|9660|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|129^6^0
43519351|Hungary|D006814|4326|MH|RtM via: Hungary;RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians;Forced Leaf Node Lookup:hungary|TI|MM;RC|780^7^0;399^7^0;285^9^0
43519351|*Hydrology|D062070|1992|MH|Forced Leaf Node Lookup:hydrologies|TI|MM|629^10^0
43519351|*Forests|D065928|17697|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|922^7^0;519^6^0
43519351|*Climate|D002980|7950|MH|RtM via: Climate|TI|MM;RC|533^7^0
43519351|*Names|D009275|228|MH|RtM via: Name;RtM via: Person Name|TI|MM|683^5^0
43519088|*Grassland|D065948|518|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|25^9^0
43519088|*Clustering|D016000|2421|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|426^10^0
43519088|*Research Design|D012107|597|MH|RtM via: Test Method|TI|MM|344^6^0
43519088|*Health Services|D006296|483|MH|RtM via: Test Method|TI|MM|344^6^0
43519537|*Sphagnopsida|D044003|12942|MH|RtM via: Sphagnum;Forced Leaf Node Lookup:sphagnums;checkForceMH Boosted|TI|MM;RC|60^8^0
43519537|*Wetlands|D053833|8289|MH|RtM via: Bog;Forced Leaf Node Lookup:bogs|TI|MM;RC|69^4^0;229^4^0
43519537|*Water Quality|D060753|4389|MH|RtM via: Water Quality;Forced Leaf Node Lookup:water quality|TI|MM;RC|375^13^0
43519537|*Water|D014867|2364|MH|RtM via: water;checkForceMH Boosted|TI|MM;RC|276^5^0
43519537|*Conservation of Natural Resources|D003247|5115|MH|RtM via: Natural regeneration|TI|MM;RC|213^12^0
43519537|*Microclimates|D008834|1374|ET|Entry Term Replacement for "Microclimate";RtM via: Microclimate|TI|MM|357^13^0
43519537|*Green Plants|D057948|696|ET|Entry Term Replacement for "Viridiplantae";RtM via: Green Plants|TI|MM|138^5^1;149^6^1
43519537|*Rotation|D012399|159|MH|RtM via: Replacement|TI|MM|44^8^0
43519537|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|213^12^0
43519541|*Soils|D012987|5591|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|719^5^0
43519541|*Convection|D018481|4913|MH|RtM via: Convection;Forced Leaf Node Lookup:convection|TI|MM;RC|571^10^0
43519541|*Water|D014867|2591|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|521^5^0
43519541|*Hot Temperature|D006358|2438|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM;RC|367^4^0
43519541|*Anisotropy|D016880|1334|MH|RtM via: Anisotropy;Forced Leaf Node Lookup:anisotropy|TI|MM|477^10^0
43519541|*Physical Phenomena|D055585|3216|MH|RtM via: Energy, Physics;RtM via: Flow;RtM via: Force|TI|MM|226^6^0;501^5^0;564^6^0
43519541|*Organization|D009938|444|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|833^12^0
43519541|*Eating|D004435|339|MH|RtM via: Adequate Daily Fluid Intake;RtM via: Adequate Daily Salt Intake|TI|MM|788^8^0
43519438|Wales|D014852|138|MH|RtM via: Country of Wales;Forced Leaf Node Lookup:wales|TI|MM|402^5^0
43519438|*Grassland|D065948|135|MH|Forced Leaf Node Lookup:grasslands|TI|MM|368^10^0
43519438|Ecosystem|D017753|701|MH|||RC
43519529|*Soil|D012987|14293|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|893^4^0;719^4^0;1019^4^0
43519529|*Quercus|D029963|12654|MH|RtM via: Quercus petraea;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|169^15^0;164^3^0
43519529|*Water|D014867|4963|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|604^5^0
43519529|*Environmental Biomarkers|D000074062|4910|MH|RtM via: Environmental Biomarkers;Forced Leaf Node Lookup:bioindicators;checkForceMH Boosted|TI|MM|819^13^0
43519529|*Radius|D011884|1537|MH|RtM via: Bone structure of radius;Forced Leaf Node Lookup:radius|TI|MM|520^6^0
43519529|*Water Supply|D014881|2565|MH|RtM via: Water Supply;Forced Non-Leaf Node Lookup:water supply|TI|MM|898^12^0
43519529|Trees|D014197|1449|MH|||RC
43519529|*Research|D012106|486|MH|RtM via: Study|TI|MM|728^7^0;111^7^0
43518945|*Entropy|D019277|1498|MH|RtM via: Entropy;Forced Leaf Node Lookup:entropy|TI|MM|707^7^0
43518945|*Computer Simulation|D003198|1806|MH|RtM via: Computer simulation|TI|MM|486^10^0
43518945|*Mathematics|D008433|1302|MH|RtM via: Mathematics|TI|MM;RC|32^12^0
43518945|*Data Aggregation|D000078303|726|MH|RtM via: Data Aggregation|TI|MM|533^10^1;561^4^1
43518945|*Research Design|D012107|717|MH|RtM via: Test Method|TI|MM|681^6^0
43519511|*Mosses|D044002|13116|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM;RC|1477^6^0;1351^6^0;739^6^0;191^4^0
43519511|*Humus|D012987|11859|ET|Entry Term Replacement for "Soil";RtM via: Humus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:humus|TI|MM;RC|1981^5^0;1259^5^0;900^5^0;237^5^0;158^4^0
43519511|*Nitrites|D009573|10485|MH|RtM via: Nitrites;RtM via: nitrite ion;Forced Leaf Node Lookup:nitrites;checkForceMH Boosted|TI|MM|1613^7^0
43519511|*Sand|D000080463|8529|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|618^4^0
43519511|*Nitrates|D009566|8496|MH|RtM via: Nitrates;Forced Leaf Node Lookup:nitrate;checkForceMH Boosted|TI|MM|1708^7^0
43519511|*Water|D014867|5943|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|1124^5^0;705^5^0
43519511|Carbon-11|C000615233|5413|NM|Forced SCR Leaf Node Lookup:11c;Forced Isotope Lookup:11c|TI|MM|479^3^0
43519511|*Carbon Radioisotopes|D002250|5412|MH|Forced Isotope Lookup:11c|TI|MM
43519511|*Ammonium|D064751|4542|ET|Entry Term Replacement for "Ammonium Compounds";RtM via: ammonium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ammonium|TI|MM|1503^8^0
43519511|*Temperature|D013696|4485|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|456^11^0
43519511|*Potassium|D011188|3393|MH|RtM via: potassium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:potassium|TI|MM|1876^9^0;1434^9^0;1399^9^0
43519511|*Seasons|D012621|9519|MH|RtM via: Autumn;RtM via: spring (season)|TI|MM;RC|1732^6^0;1293^6^0;1072^6^0;1956^6^0;1279^6^0;1058^6^0
43519511|*Climate|D002980|7917|MH|RtM via: Climate|TI|MM|503^7^0
43519511|*Nitrogen Oxides|D009589|2049|MH|RtM via: Nitrate|TI|MM|1708^7^0
43519511|*Phosphorus|D010758|1851|MH|RtM via: phosphorus|TI|MM|1890^11^0;1782^11^0
43519511|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|210^2^0;628^2^0;890^2^0;980^2^0;1103^2^0;1973^2^0
43519487|Animals|D000818|6376|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)|TI|MM
43519487|Humans|D006801|6376|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)|TI|MM
43519487|*Carex Plant|D031255|4185|MH|RtM via: Carex bigelowii;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|85^15^0
43519487|*Viverridae|D045949|2781|MH|RtM via: Genets;Forced Leaf Node Lookup:genets;checkForceMH Boosted|TI|MM|1669^5^0;136^6^0
43519487|Iceland|D007055|945|MH|RtM via: Iceland;Forced Leaf Node Lookup:iceland|TI|MM|1515^7^0;213^7^0
43519487|*Preliminary Data|D000074286|942|MH|Forced Leaf Node Lookup:preliminary data|TI|MM|1541^16^0
43519487|*Genotypes|D005838|5376|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM;RC|991^9^0
43519487|Genetics, Population|D005828|2421|MH|||RC
43519487|*Ethnic Groups|D005006|1368|MH|RtM via: Scandinavian|TI|MM|1585^12^0
43519487|Clone Cells|D002999|1000|MH|Forced Non-Leaf Node Lookup:clones||MM;RC|128^6^0;536^6^0;1054^6^0;1108^6^0;1151^6^0;1165^6^0;1242^6^0;1305^6^0;1419^6^0;494^5^0
43519477|Animals|D000818|2685|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)|TI|MM
43519477|*Aralia|D027983|1685|MH|RtM via: Aralia nudicaulis;Forced Leaf Node Lookup:aralia nudicaulis;checkForceMH Boosted|TI|MM;RC|663^17^0
43519477|*Viverridae|D045949|695|MH|RtM via: Genets;Forced Leaf Node Lookup:genets;checkForceMH Boosted|TI|MM|125^6^0
43519477|*Smilax|D032281|458|MH|Forced Leaf Node Lookup:sarsaparillas;checkForceMH Boosted|TI|MM|690^12^0
43519477|*Schisandra|D032141|513|MH|RtM via: Schisandra glabra|TI|MM|685^17^0
43519477|*Inhibition, Psychological|D007266|282|MH|RtM via: Psychological inhibition|TI|MM|569^10^0
43519181|*Ecosystem|D017753|4150|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|838^9^0
43519181|Hungary|D006814|967|MH|RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians|TI|MM|444^9^0
43519181|*Ecology|D004463|8910|MH|RtM via: Ecology|TI|MM;RC|952^7^0
43519181|*Natural History|D019021|6678|MH|RtM via: Natural History|TI|MM;RC|612^15^0
43519181|*Earth, Planet|D018534|1398|MH|RtM via: Earth, Planet|TI|MM|391^5^0
43519181|*Books|D001877|699|MH|RtM via: Books;Forced Non-Leaf Node Lookup:books|TI|MM;RC|324^5^0
43519282|*Confusion|D003221|1743|MH|RtM via: Clouded consciousness;RtM via: Confusion|TI|MM|344^10^0
43519282|*Generalization, Psychological|D005793|564|MH|RtM via: Generalization, Psychological|TI|MM|529^14^0
43519282|*Spatial Analysis|D062206|219|MH|RtM via: Spatial Analysis|TI|MM|644^5^1;657^8^1;393^5^1;406^8^1;21^5^1;34^8^1
43519282|*Rotation|D012399|189|MH|RtM via: Replacement|TI|MM|236^7^0
43519149|*Gene Frequency|D005787|19254|MH|RtM via: Gene Frequency|TI|MM;RC|397^19^0
43519149|*Biological Evolution|D005075|6816|MH|RtM via: Biological Evolution|TI|MM;RC|874^12^0
43519149|*Clustering|D016000|3234|ET|Entry Term Replacement for "Cluster Analysis";RtM via: Complete Linkage Cluster Analysis;RtM via: Single Linkage Cluster Analysis;RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM|94^16^0;620^14^0;78^14^0;460^10^0;55^10^0
43519543|*Soil|D012987|17181|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|94^4^0
43519543|*Altitude|D000531|12879|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|735^8^0
43519543|*Conifers|D064028|11670|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted|TI|MM;RC|1155^10^0
43519543|*Olea|D031658|7263|MH|RtM via: Olives - dietary;Forced Leaf Node Lookup:olives;checkForceMH Boosted|TI|MM|594^5^0
43519543|Greece|D006115|6777|MH|RtM via: Greece;RtM via: Greeks;Forced Leaf Node Lookup:greece;Forced Leaf Node Lookup:greeks|TI|MM|1587^6^0;483^6^0;1962^5^0;1768^5^0;831^5^0;118^5^0;615^6^0
43519543|Balkan Peninsula|D063368|3300|MH|Forced Leaf Node Lookup:balkans|TI|MM|1750^6^0
43519543|*Forests|D065928|17373|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|988^7^0;1048^7^0;1108^7^0;1166^7^0;1194^7^0
43519543|*Plants|D010944|9759|MH|RtM via: Plants|TI|MM;RC|687^6^0
43519184|Animals|D000818|4814|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
43519184|*Predatory Behavior|D011235|3814|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|263^9^0;197^9^0
43519184|*Sympatry|D061350|2775|MH|RtM via: Sympatry|TI|MM|139^9^0;69^9^0
43519184|Genetic Speciation|D049810|537|MH|||RC
43519413|*Orchidaceae|D029595|216|MH|RtM via: Cypripedium calceolus;Forced Non-Leaf Node Lookup:cypripedium|TI|MM|312^21^0
43519413|*Poaceae|D006109|84|MH|RtM via: Sesleria|TI|MM|455^8^0
43519207|*Liverworts|D035926|41612|ET|Entry Term Replacement for "Hepatophyta";RtM via: Frullaniaceae;RtM via: Marchantiophyta;RtM via: Metzgeriaceae;RtM via: Radulaceae;RtM via: Lejeuneaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:liverworts|TI|MM;RC|439^13^0;316^10^0;409^13^0;388^10^0;353^12^0
43519207|*Rainforest|D065947|14102|MH|RtM via: Tropical Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM;RC|74^20^0;83^11^0
43519207|*Lichens|D008011|12619|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|795^7^0
43519207|*Frullania|D037961|7432|MH|Forced Leaf Node Lookup:frullanias;checkForceMH Boosted|TI|MM|454^9^0
43519207|Costa Rica|D003364|3890|MH|RtM via: Costa Rica;Forced Leaf Node Lookup:costa rica|TI|MM;RC|614^10^0;98^10^0
43519207|*Bryophyta|D044002|23784|MH|RtM via: Mosses|TI|MM;RC|849^10^0;475^4^0;291^10^0;53^9^0
43519207|*Bryopsida|D019068|8031|MH|RtM via: Crossomitrium patrisiae;RtM via: Hookeriaceae|TI|MM;RC|492^23^0;517^12^0
43519207|*Plant Leaves|D018515|1536|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|235^4^0
