10.2307/2484573|Female|D005260|5409|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2996464|*Temperature|D013696|96491|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1257^11^0;467^11^0
10.2307/2996464|*Plant Bark|D024301|95544|MH|Forced Leaf Node Lookup:bark|TI|MM;RC|1725^4^0
10.2307/2996464|Florida|D005431|95471|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|262^7^0
10.2307/2996464|*Bromeliaceae|D031229|37638|MH|RtM via: Catopsis;RtM via: Catopsis berteroniana;RtM via: Guzmania;RtM via: Guzmania monostachia|TI|MM;RC|1108^8^0;136^21^0;1015^8^0;96^20^0
10.2307/2996464|*Habitats|D017753|14475|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1229^7^0;1194^8^0;420^7^0;32^7^0;85^7^0;540^7^0;1326^7^0
10.2307/2996464|*Bryophyta|D044002|3276|MH|RtM via: Mosses|TI|MM|1698^10^0
10.2307/2996464|*Specificities, Host|D058507|2670|ET|Entry Term Replacement for "Host Specificity";RtM via: Host Specificity|TI|MM;RC|520^12^0
10.2307/2996464|*Seeds|D012639|2148|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1646^5^0
10.2307/2483460|*Fossils|D005580|3878|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|43^6^0
10.2307/2483460|*Coal|D003031|689|MH|RtM via: Coal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coal|TI|MM|234^4^0
10.2307/2483460|*Oomycetes|D009868|2328|MH|RtM via: Order Peronosporales|TI|MM|389^14^0
10.2307/2483460|*Chytridiomycota|D008411|2118|MH|RtM via: Chytridiales|TI|MM;RC|408^12^0
10.2307/2483460|*Plant Roots|D018517|1098|MH|RtM via: Plant Roots|TI|MM;RC|215^5^0
10.2307/2483460|Illinois|D007087|81|MH|RtM via: Illinois (geographic location)|TI|MM|301^8^0
10.2307/2482481|*Diploidy|D004171|8915|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|622^7^0;483^8^0
10.2307/2482481|*Islands|D062312|3031|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|573^7^0
10.2307/2482481|Alaska|D000413|2413|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|605^6^0
10.2307/2482481|Oregon|D009922|2299|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM;RC|595^6^0
10.2307/2482481|British Columbia|D001955|1513|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM;RC|129^16^0
10.2307/2482481|*Polyploid|D011123|6405|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM;RC|534^10^0;82^9^0
10.2307/2482481|*Chromosomes|D002875|4224|MH|RtM via: Chromosome number;RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM;RC|713^17^0;425^18^0;749^11^0
10.2307/2482481|*Cytological Techniques|D003584|1995|MH|RtM via: Cytological Techniques|TI|MM|224^8^0
10.2307/2482481|*Plant|D010944|1740|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|201^5^0
10.2307/2482596|*Islands|D062312|2180|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|202^7^0
10.2307/2482596|*Peperomia|D036941|349|MH|RtM via: Peperomia;Forced Leaf Node Lookup:peperomias;checkForceMH Boosted|TI|MM;RC|63^9^0
10.2307/2482596|Fiji|D005367|191|MH|RtM via: Fiji;Forced Leaf Node Lookup:fiji|TI|MM;RC|78^4^0
10.2307/2482596|Animal Distribution|D063147|110|MH|||RC
10.2307/2482596|Ecosystem|D017753|80|MH|||RC
10.2307/2484355|*Diploidy|D004171|18793|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|323^7^0
10.2307/2484355|*Triploidy|D057885|6865|MH|RtM via: Triploidy syndrome;Forced Leaf Node Lookup:triploids|TI|MM|365^8^0
10.2307/2484355|*Cactaceae|D029421|4027|MH|RtM via: Sclerocactus;RtM via: Cactaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactaceae|TI|MM;RC|308^12^0;110^9^0
10.2307/2484355|Mexico|D008800|1990|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|170^6^0
10.2307/2484355|*Chromosomes|D002875|3192|MH|RtM via: Meiotic chromosome;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|39^18^0;47^10^0
10.2307/2484355|Southwestern United States|D015206|183|MH|RtM via: Southwestern United States|TI|MM|130^26^0
10.2307/2482410|United States|D014481|24188|CT|RtM via: United States;Forced Non-Leaf Node Lookup:united states|TI|MM;RC|145^13^0
10.2307/2482410|*Trees|D014197|23188|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|412^4^0
10.2307/2482410|*Wood|D014934|6761|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|311^4^0
10.2307/2482410|*Ice|D007053|4102|MH|Forced Leaf Node Lookup:ice;checkForceMH Boosted|TI|MM;RC|173^3^0
10.2307/2482410|*Forest|D065928|21567|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|461^6^0
10.2307/2482410|Ecosystem|D017753|861|MH|||RC
10.2307/2482410|*Biochemical Phenomena|D001669|483|MH|RtM via: Resistance Process|TI|MM|402^9^0;214^10^0
10.2307/2482410|*Acceleration|D000054|120|MH|RtM via: Acceleration;Forced Non-Leaf Node Lookup:accelerations|TI|MM|576^12^0
10.2307/2484223|Bees|D001516|58144|CT|RtM via: Andrena carlini;RtM via: Bees;Forced Leaf Node Lookup:bee|TI|MM;RC|698^15^0;694^3^0
10.2307/2484223|Animals|D000818|58144|CT|RtM via: Andrena carlini;RtM via: Bees;Insect;CT Treecode Lookup: B01.050.500.131 (Insect)|TI|MM;RC|698^15^0;694^3^0
10.2307/2484223|*Reproductive Isolation|D060047|22638|MH|RtM via: Reproductive Isolation;Forced Leaf Node Lookup:reproductive isolations|TI|MM;RC|889^22^0
10.2307/2484223|*Gene Flow|D051456|19482|MH|RtM via: Gene Flow;Forced Lookup:gene flow;Forced Leaf Node Lookup:gene flow|TI|MM;RC|844^9^0
10.2307/2484223|*Natural Products|D001688|5727|ET|Entry Term Replacement for "Biological Products";RtM via: Natural Products;checkForceMH Boosted|TI|MM|1021^7^1;1034^10^1
10.2307/2484223|Minnesota|D008910|5604|MH|RtM via: Minnesota;Forced Leaf Node Lookup:minnesota|TI|MM|115^9^0
10.2307/2484223|*Pollination|D054817|57144|MH|RtM via: Pollination|TI|MM;RC|936^11^0;654^10^0;443^10^0;343^10^0
10.2307/2484223|*Pollen|D011058|15780|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|546^6^0
10.2307/2484223|*Sympatry|D061350|10032|MH|RtM via: Sympatry|TI|MM;RC|130^9^0
10.2307/2484223|*Insect|D007313|8931|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|647^6^0
10.2307/2484223|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|45^7^0
10.2307/2484223|Clone Cells|D002999|1000|MH|Forced Non-Leaf Node Lookup:clones||MM|607^5^0
10.2307/2560359|*Capsicum|D002212|2671|MH|RtM via: Capsicum;RtM via: Chili Pepper (dietary);Forced Leaf Node Lookup:capsicum;checkForceMH Boosted|TI|MM;RC|279^8^0;89^8^0
10.2307/2560359|*Electrophoresis, Starch Gel|D004592|947|MH|RtM via: Electrophoresis, Starch Gel;Forced Leaf Node Lookup:starch gel electrophoresis|TI|MM;RC|137^26^0
10.2307/2560359|*Electrophoreses|D004586|1455|ET|Entry Term Replacement for "Electrophoresis";RtM via: Electrophoresis|TI|MM;RC|401^15^0;320^19^0
10.2307/2560359|*Flower|D035264|627|ET|Entry Term Replacement for "Flowers";RtM via: Flowers|TI|MM;RC|72^8^0
10.2307/2560359|*Domestication|D000071278|612|MH|RtM via: Domestication|TI|MM|597^12^0
10.2307/2560359|*Publications|D011642|255|MH|RtM via: Publications|TI|MM|468^10^0
10.2307/2484288|*Solidago|D036624|18406|MH|RtM via: Solidago;RtM via: Solidago juncea;Forced Leaf Node Lookup:solidago;checkForceMH Boosted|TI|MM;RC|572^8^0;247^15^0
10.2307/2484288|*Soils|D012987|13853|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|145^5^0
10.2307/2484288|*Agropyron|D031702|10333|MH|RtM via: Genus Agropyron;Forced Leaf Node Lookup:agropyrons;checkForceMH Boosted|TI|MM;RC|434^9^0;220^9^0
10.2307/2484288|*Water|D014867|6194|MH|RtM via: water;checkForceMH Boosted|TI|MM;RC|376^7^0
10.2307/2484288|*Salts|D012492|4540|MH|Forced Leaf Node Lookup:salts;checkForceMH Boosted|TI|MM;RC|47^5^0
10.2307/2484288|*Biomass|D018533|3578|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|487^7^0
10.2307/2484288|*Elymus|D031749|4461|MH|RtM via: Elymus trachycaulus|TI|MM;RC|220^22^0
10.2307/2484288|*Plant Leaves|D018515|1563|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|540^6^0
10.2307/2484288|*Therapies, Investigational|D035703|780|MH|RtM via: Therapies, Investigational|TI|MM|668^20^0
10.2307/2995894|*Gametogenesis, Plant|D056130|20703|MH|RtM via: Megasporogenesis;Forced Leaf Node Lookup:megasporogenesis|TI|MM;RC|224^16^0
10.2307/2995894|*Ovule|D056771|19395|MH|RtM via: Plant Ovule;RtM via: Female Gametophytes;Forced Leaf Node Lookup:female gametophytes;Forced Leaf Node Lookup:ovules|TI|MM|174^5^0;697^18^0;28^18^0
10.2307/2995894|*Polygonum|D028502|6669|MH|RtM via: Polygonum;Forced Leaf Node Lookup:polygonums;checkForceMH Boosted|TI|MM|682^9^0
10.2307/2995894|*Wetlands|D053833|3309|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM|124^5^0
10.2307/2995894|*Flowers|D035264|13194|MH|RtM via: Flowers;RtM via: Pistil;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|301^7^0;278^10^0
10.2307/2995894|*Seeds|D012639|4614|MH|RtM via: Juncus roemerianus|TI|MM;RC|136^18^0
10.2307/2995894|*Integumentary System|D034582|2826|MH|RtM via: Integumentary system|TI|MM|313^11^0
10.2307/2995894|*Urogenital System|D014566|2748|MH|RtM via: Genital system|TI|MM|78^19^0
10.2307/2995894|*Reproductive System|D005835|2010|ET|Entry Term Replacement for "Genitalia";RtM via: Genitalia;Forced Non-Leaf Node Lookup:reproductive system|TI|MM|78^19^0
10.2307/2995894|*Mother Cell|D013234|735|ET|Entry Term Replacement for "Stem Cells";RtM via: Stem cells;Forced Non-Leaf Node Lookup:mother cell|TI|MM|474^11^0;509^11^0
10.2307/2484358|*Hordeum|D001467|110049|MH|RtM via: Barley (Dietary);RtM via: Hordeum;RtM via: Hordeum vulgare;Forced Leaf Node Lookup:hordeum vulgare;Forced Leaf Node Lookup:barley;checkForceMH Boosted|TI|MM;RC|333^6^0;127^15^0
10.2307/2484358|*Secale|D012434|88062|MH|RtM via: Secale cereale;Forced Leaf Node Lookup:secale cereale;Forced Leaf Node Lookup:rye;checkForceMH Boosted|TI|MM;RC|355^3^0;196^14^0
10.2307/2484358|*Triticum|D014908|83943|MH|RtM via: Triticum;RtM via: Triticum aestivum;RtM via: Wheat (Dietary);RtM via: Wheat - grass (plant);Forced Leaf Node Lookup:triticum vulgare;Forced Leaf Node Lookup:wheat;checkForceMH Boosted|TI|MM;RC|252^5^0;102^8^0
10.2307/2484358|*Avena|D018554|55974|MH|RtM via: Avena sativa;Forced Leaf Node Lookup:avena sativa;Forced Leaf Node Lookup:oat;checkForceMH Boosted|TI|MM;RC|158^12^0;347^3^0
10.2307/2484358|*Zea mays|D003313|50535|MH|RtM via: Maize;RtM via: Zea;RtM via: Zea mays;Forced Leaf Node Lookup:zea mays;Forced Leaf Node Lookup:corn;checkForceMH Boosted|TI|MM|341^4^0;178^8^0
10.2307/2484358|indoleacetic acid|C030737|23043|NM|RtM via: Indoleacetic acid;Forced SCR Leaf Node Lookup:indole-3-acetic acid|TI|MM|28^20^0
10.2307/2484358|*Dactinomycin|D003609|20762|MH|RtM via: dactinomycin;Forced Leaf Node Lookup:actinomycin d;checkForceMH Boosted|TI|MM|414^13^0
10.2307/2484358|*Cotyledon|D018548|15739|MH|RtM via: Coleoptile;Forced Leaf Node Lookup:coleoptiles|TI|MM|79^10^0
10.2307/2484358|*Puromycin Dihydrochloride|D011691|10879|ET|Entry Term Replacement for "Puromycin";RtM via: Puromycin Dihydrochloride;checkForceMH Boosted;Forced Non-Leaf Node Lookup:puromycin dihydrochloride|TI|MM|387^25^0
10.2307/2484358|*Streptomycin Sulphate|D013307|10792|ET|Entry Term Replacement for "Streptomycin";RtM via: streptomycin sulfate;checkForceMH Boosted;Forced Non-Leaf Node Lookup:streptomycin sulfate|TI|MM|433^20^0
10.2307/2484358|*Indoleacetic Acids|D007210|23042|HM|RtM via: Indoleacetic acid|TI|MM|28^20^0
10.2307/2484358|Edible Grain|D002523|2787|MH|||RC
10.2307/2484358|*Biological Phenomena|D001686|1224|MH|RtM via: Tissue Growth|TI|MM|466^6^0;242^6^0;62^6^0
10.2307/2484358|*Water|D014867|1131|MH|RtM via: Distilled water;Forced Non-Leaf Node Lookup:water|TI|MM|495^15^0;505^5^0
10.2307/2484488|Adult|D000328|9061|CT|Forced Leaf Node Lookup:adults|TI|MM|85^5^0;338^5^0
10.2307/2484488|Humans|D006801|9061|CT|Lookup: Aged Rule|Lookup: Aged Rule|MM
10.2307/2484488|gibberellic acid|C007842|4326|NM|RtM via: gibberellic acid;Forced SCR Leaf Node Lookup:gibberellic acid|TI|MM|195^16^0
10.2307/2484488|*Plant Leaves|D018515|8061|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|440^4^0;360^6^0;292^6^0;270^4^0;246^6^0;91^6^0;37^6^0;326^6^0
10.2307/2484488|*Gibberellins|D005875|4325|HM|RtM via: gibberellic acid|TI|MM|195^16^0
10.2307/2484488|*Arecaceae|D028023|3795|MH|RtM via: Arecaceae;RtM via: Caryota mitis|TI|MM|567^5^0;47^13^0
10.2307/2482925|Animals|D000818|30493|CT|Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)|TI|MM
10.2307/2482925|*Ovule|D056771|29493|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM;RC|453^5^0
10.2307/2482925|*Endosperm|D056625|20034|MH|RtM via: Endosperm;Forced Leaf Node Lookup:endosperms|TI|MM;RC|1763^11^0;1673^9^0;1465^9^0;1358^9^0;926^9^0;1514^9^0
10.2307/2482925|*Striga|D034362|18864|MH|RtM via: Striga gesnerioides;Forced Leaf Node Lookup:striga;checkForceMH Boosted|TI|MM|64^20^0;1978^6^0;104^6^0
10.2307/2482925|*Orobanche|D031672|18396|MH|RtM via: Orobanche;Forced Leaf Node Lookup:orobanches;checkForceMH Boosted|TI|MM|2004^9^0
10.2307/2482925|*Cistanche|D031671|13020|MH|RtM via: Cistanche;Forced Leaf Node Lookup:cistanches;checkForceMH Boosted|TI|MM|2015^9^0
10.2307/2482925|*Pollen Tube|D053205|12228|MH|RtM via: Pollen Tube;Forced Leaf Node Lookup:pollen tubes|TI|MM|1915^11^0
10.2307/2482925|*Parasites|D010271|11745|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|55^8^0
10.2307/2482925|*Polygonum|D028502|11490|MH|RtM via: Polygonum;Forced Leaf Node Lookup:polygonums;checkForceMH Boosted|TI|MM;RC|902^9^0
10.2307/2482925|*Cotyledon|D018548|5721|MH|Forced Leaf Node Lookup:cotyledons|TI|MM;RC|1815^10^0
10.2307/2482925|*Cell Nucleus|D002467|8223|MH|RtM via: Cell Nucleus|TI|MM;RC|1092^7^0;218^6^0
10.2307/2482925|*Seeds|D012639|7479|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|1905^4^0;1831^4^0;1739^5^0
10.2307/2482925|*Cell Differentiation|D002454|6108|MH|RtM via: Cell Differentiation process|TI|MM;RC|590^14^0
10.2307/2482925|*Integumentary System|D034582|5319|MH|RtM via: Integumentary system|TI|MM|1433^10^0
10.2307/2482925|*Mother Cell|D013234|2745|ET|Entry Term Replacement for "Stem Cells";RtM via: Stem cells;Forced Non-Leaf Node Lookup:mother cells|TI|MM|708^11^0;284^11^0
10.2307/2482925|*Endothelium|D004727|1440|MH|RtM via: Endothelium;Forced Non-Leaf Node Lookup:endotheliums|TI|MM;RC|575^11^0
10.2307/2482869|Humans|D006801|12727|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)|TI|MM
10.2307/2482869|*Fossils|D005580|11727|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|34^7^0
10.2307/2482869|*African Americans|D001741|786|MH|RtM via: African American;Forced Leaf Node Lookup:blacks|TI|MM|98^5^0
10.2307/2482869|Greenland|D006116|780|MH|RtM via: Greenland;Forced Leaf Node Lookup:greenland|TI|MM|493^9^0
10.2307/2482869|*Epidermal Cells|D000078404|2535|MH|RtM via: Epidermal cells|TI|MM|260^9^0
10.2307/2482869|*Plant|D010944|1236|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|28^5^0
10.2307/2482869|*Epidermis|D004817|864|MH|RtM via: Epidermis;RtM via: Epidermal;Forced Non-Leaf Node Lookup:epidermis|TI|MM|308^9^0;260^9^0;184^19^0
10.2307/2484716|Humans|D006801|50932|CT|Forced Leaf Node Lookup:humans;American Natives;CT Treecode Lookup: M01.686 (American Natives);CT Text Lookup: human|TI|MM|989^5^0
10.2307/2484716|*Lightning|D008030|18782|MH|RtM via: Lightning (phenomenon);Forced Leaf Node Lookup:lightnings|TI|MM;RC|920^9^0
10.2307/2484716|*Conifers|D064028|15380|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted|TI|MM;RC|741^10^0
10.2307/2484716|Maine|D008281|7412|MH|RtM via: Maine (geographic location);Forced Leaf Node Lookup:maine|TI|MM|52^5^0
10.2307/2484716|New Hampshire|D009513|7412|MH|RtM via: New Hampshire;Forced Leaf Node Lookup:new hampshire|TI|MM|62^13^0
10.2307/2484716|*Incidence|D015994|6398|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|249^9^0
10.2307/2484716|*American Natives|D000086562|6305|MH|Forced New Lookup:native american|TI|MM|963^15^0
10.2307/2484716|*Fires|D005390|49932|MH|RtM via: Fire - disasters|TI|MM;RC|1006^4^0;1055^5^0;878^4^0;637^4^0;387^4^0;244^4^0;35^4^0
10.2307/2484716|*Forests|D065928|40779|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|752^7^0;453^7^0;424^6^0;553^7^0;609^7^0
10.2307/2484716|*Picea|D028222|11364|MH|RtM via: Picea|TI|MM;RC|647^6^0;598^6^0
10.2307/2484716|*Pinus|D028223|10815|MH|RtM via: Pinus <genus>|TI|MM;RC|438^4^0
10.2307/2484716|*Burn|D002056|663|ET|Entry Term Replacement for "Burns";RtM via: Burn injury;Forced Non-Leaf Node Lookup:burn|TI|MM|760^4^0;506^6^0;370^6^0
10.2307/2484716|New England|D009511|1320|MH|RtM via: New England|TI|MM|675^11^0
10.2307/2484226|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B05.500 (Life Cycle)||MM
10.2307/2484226|*Seedlings|D036226|29202|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1025^9^0;302^8^0
10.2307/2484226|*Trees|D014197|23809|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|152^5^0
10.2307/2484226|*Droughts|D055864|20021|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|1183^7^0;661^7^0
10.2307/2484226|*Germination|D018525|19957|MH|RtM via: Germination;Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM|1381^11^0;1376^16^0
10.2307/2484226|*Soil|D012987|11357|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|595^4^0
10.2307/2484226|*Water|D014867|10178|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|580^5^0
10.2307/2484226|*Seasons|D012621|8189|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|1113^6^0;1212^6^0
10.2307/2484226|*Seed|D012639|4185|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM|1376^4^0
10.2307/2484226|*Anacardiaceae|D027926|35124|MH|RtM via: Schinus molle;RtM via: Schinus terebinthifolius;Forced Non-Leaf Node Lookup:schinus|TI|MM;RC|83^13^0;101^24^0
10.2307/2484226|*Plant Leaves|D018515|10506|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|859^6^0;481^4^0;605^4^0
10.2307/2484226|California|D002140|3666|MH|RtM via: California;Forced Non-Leaf Node Lookup:california|TI|MM|1132^10^0;290^10^0;170^10^0
10.2307/2484226|*Adaptation, Physiological|D000222|3075|MH|RtM via: Adaptation|TI|MM;RC|650^7^0
10.2307/2484226|*Life Cycle|D008018|942|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages;Forced Non-Leaf Node Lookup:life cycles|TI|MM|1355^10^0
10.2307/2996125|*Ponds|D061005|20396|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM;RC|1333^5^0;683^4^0;520^4^0;351^4^0;142^4^0;48^5^0;210^4^0;1225^4^0
10.2307/2996125|*Trees|D014197|14433|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1036^5^0;958^4^0
10.2307/2996125|*Charcoal|D002606|11669|MH|RtM via: charcoal;Forced Leaf Node Lookup:charcoal;checkForceMH Boosted|TI|MM|1595^8^0
10.2307/2996125|*Carbon|D002244|10624|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM;RC|291^6^0
10.2307/2996125|*Introduced Species|D058865|9932|MH|RtM via: Introduced Species;Forced Leaf Node Lookup:introduced species;checkForceMH Boosted|TI|MM|621^18^0
10.2307/2996125|*Diatoms|D017377|9281|MH|RtM via: Diatoms;Forced Leaf Node Lookup:diatoms;checkForceMH Boosted|TI|MM|1465^7^0
10.2307/2996125|*Pinus|D028223|5938|MH|RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1119^5^0
10.2307/2996125|*Angiosperm|D019684|5755|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|947^10^0
10.2307/2996125|*Fossils|D005580|4555|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|1458^6^0
10.2307/2996125|*Freshwater|D005618|18132|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM;RC|1572^10^0
10.2307/2996125|*Water Table|D060587|6657|ET|Entry Term Replacement for "Groundwater";RtM via: Water Table;Forced Non-Leaf Node Lookup:water tables|TI|MM|1419^11^0;1316^11^0;549^11^0
10.2307/2996125|*Hydrology|D062070|6264|MH|RtM via: Hydrology|TI|MM|1380^14^0;478^12^0
10.2307/2996125|*Forests|D065928|4686|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1189^7^0;1259^7^0
10.2307/2996125|*Pollen|D011058|924|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1015^6^0;1125^6^0;851^6^0;611^6^0;389^6^0
10.2307/2996125|Prednisolone|D011239|1000|MH|Forced Non-Leaf Node Lookup:predate||MM|1213^7^0
10.2307/2484541|Humans|D006801|4034740|CT|Forced Humans: individuals|TI|MM
10.2307/2484541|*Potamogetonaceae|D031821|342559|MH|RtM via: Potamogeton richardsonii;Forced Leaf Node Lookup:potamogetons;checkForceMH Boosted|TI|MM;RC|134^24^0
10.2307/2484541|*Hydrocharitaceae|D031321|6849|MH|RtM via: Vallisneria americana|TI|MM;RC|108^21^0
10.2307/2484541|*Plant Leaves|D018515|4146|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|376^3^0;306^4^0;41^4^0;57^4^0;340^4^0
10.2307/2995982|*Taxodium|D032489|29660|MH|RtM via: Taxodium;RtM via: Taxodium distichum;Forced Leaf Node Lookup:taxodiums;checkForceMH Boosted|TI|MM;RC|1164^8^0;700^18^0
10.2307/2995982|*Acer|D031002|27899|MH|RtM via: Acer rubrum;Forced Leaf Node Lookup:acer;checkForceMH Boosted|TI|MM;RC|1130^11^0;667^11^0
10.2307/2995982|*Quercus|D029963|25847|MH|RtM via: Quercus phellos;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM;RC|1320^15^0;1012^15^0
10.2307/2995982|*Liquidambar|D031317|24188|MH|RtM via: Liquidambar styraciflua;Forced Leaf Node Lookup:liquidambar styraciflua;checkForceMH Boosted|TI|MM;RC|1295^23^0;881^23^0
10.2307/2995982|*Fraxinus|D031661|23246|MH|RtM via: Fraxinus pennsylvanica;Forced Leaf Node Lookup:fraxinus;checkForceMH Boosted|TI|MM;RC|1106^22^0;643^22^0
10.2307/2995982|*Soil|D012987|22012|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1079^4^0;922^4^0;543^4^0;389^4^0;174^4^0
10.2307/2995982|*Betula|D029662|16874|MH|RtM via: black birch;Forced Leaf Node Lookup:betulas;checkForceMH Boosted|TI|MM|1351^12^0
10.2307/2995982|*Salts|D012492|14081|MH|RtM via: Salts;Forced Leaf Node Lookup:salts;checkForceMH Boosted|TI|MM|366^5^0
10.2307/2995982|*Nitrates|D009566|14015|MH|RtM via: Nitrates;Forced Leaf Node Lookup:nitrate;checkForceMH Boosted|TI|MM|337^7^0
10.2307/2995982|*Ulmus|D034403|13751|MH|RtM via: Ulmus americana;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|1143^15^0;684^15^0
10.2307/2995982|*Water|D014867|10582|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|279^5^0
10.2307/2995982|*Wetlands|D053833|10084|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps|TI|MM|782^6^0
10.2307/2995982|*Rivers|D045483|9148|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM|48^6^0
10.2307/2995982|*Seasons|D012621|8023|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|947^6^0;987^6^0
10.2307/2995982|Virginia|D014768|6268|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM|95^8^0
