biolenviprocria.117b.2.91|Total soil respiration (R
20728585|Up until about 80 years ago it was believed that hard water was inimical to Margaritifera margaritifera. Once found in the calcium-rich waters of the Barrow, Nore and Suir rivers, the hard-water form of M. margaritifera has become extinct in all but one of these rivers in the past 50 years. The surviving depleted population in the Nore is threatened with the same fate. In an experiment to test the hypothesis that the species was not strictly calcifuge, specimens were transferred from a soft-water river to the hard-water Nore and then returned to their natal water after six months. An examination of the mussel's distribution in Ireland shows that, as well as living in its usual soft-water habitat, it lives in rivers of varying degrees of hardness; 21% of the site occurrences in southern Irish rivers fall within the range of what could be described as slightly hard to hard waters. Other evidence presented, including locations where M. margaritifera has become extinct, points to it being formerly relatively widely distributed in moderately hard waters throughout Ireland. The mussel, which is protected under national and EU legislation, appears to be most threatened in its hard-water habitats. The study findings may have important positive implications for any proposed restocking programmes.
biolenviprocria.114B.3.281|Small inland water bodies (streams and ponds) are abundant in most European countries. Eighty per cent of the millions of kilometers of river network in Europe consist of small rivers, commonly known as headwaters, creeks, streams, brooks or wadeable rivers, and there are many hundred thousands of small lakes and ponds. Small water bodies are ecologically very important. They support specific and important hydrological, chemical and biological processes. Unfortunately, due to human activities, the ecological condition of small water bodies is poor in many places in Europe. There is now an urgent need to raise awareness about their ongoing destruction and their many beneficial functions to society. This will increase political recognition of their importance for maintaining a healthy and diverse aquatic environment. Coordinated activities with the protected habitats under the nature directives and EU Water Framework Directive activities should help to ensure the protection of these valuable small water bodies.
20500056|This paper presents an analysis of two sampling methods used to examine population size and age structure of freshwater crayfish in the River Nore catchment, Ireland. Results indicate high densities of crayfish in this river system (20-45 per m). The combination of the two sampling methods employed (traps and enclosures) provided data on all size classes, reduced sampling selectivity and allowed estimates to be made on population densities, including juveniles.
20728592|Greece harbours 85 Annex I habitat types and 30 additional types selected from a national perspective. There are 359 Natura 2000 sites containing 92 habitat types in Greece, of which 78 (21.7%) have been included in the area of responsibility of management institutions. To establish priority concepts for policy-makers and provide monitoring guidelines we have used the following criteria: total national distribution, degree of national responsibility and present and potential threats. Based on the total number of their occurrences in the Greek Natura 2000 sites, 30 of the 92 habitat types are considered rare, 13 infrequent, 24 scattered and 25 widespread or abundant. A reference list with 42 threat categories and their impact on the Greek habitat types is presented here for the first time. Greece takes a high responsibility for the following habitats: 16 endemic types; 14 important for endemic species; 17 types for which Greece forms the centre of the overall range; 12 widespread types with the largest stands in Greece; 26 types considered rare throughout Europe; 25 that occur in Greece on the edge of the overall range; and 35 that may be assigned a particular quality as stepping stones within the Natura 2000 network.
20694893|Many countries, including Ireland, were ill-prepared for the requirements of the Water Framework Directive (WFD) regarding the use of fish as a biological element. Examination of archival data proved uninformative. Details of species composition, distribution and density were fragmented and non-standard. No monitoring programme or strategic stock assessment existed, and information of the type required by the WFD was not available. This paper describes the research undertaken in Ireland since 2000 to deliver standardised WFD survey methods and protocols with which to create essential WFD-compliant data on fish communities in rivers, lakes and transitional waters. Three research projects, one in each surface water category, are discussed, as are initial developments towards fish-classification schemes, surveillance monitoring, and participation and advances in the intercalibration process.
23188048|Seven alien aquatic plants occur on the Shannon Navigation. Six ornamental plants have been recorded in Lough Derg. Two, Elodea canadensis and Lemna minuta, are widely distributed in the lough, locally abundant within the Navigation and the only alien plants found in Lough Ree. The species with the greatest impact, Elodea nuttallii, was first recognised in 2004 in harbours and cuts about the southern region of Lough Derg. It spread northwards by drifting fragments and almost certainly by leisure craft. Likewise, the fertile water violet, Hottonia palustris, originally found on the eastern side of the lake, has become abundant in sheltered shallows, reedbeds, canals and drains on the western side of the lake and continues to spread northwards and southwards. Confined populations of Stratiotes aloides occur only on the western side of Lough Derg and may have been there for several years. An isolated population of a pink cultivar of Nymphaea alba, present for at least four decades, occurs in Lough Derg beside a lakeside domaine. Since the introduction of the zebra mussel, Dreissena polymorpha, in c. 1993/4 there have been increases in water transparency that have presumably enabled some macrophytes to extend their ranges into deeper water. Given the likelihood of further range expansions or new introductions, regulation of the sale and distribution of alien aquatic species is needed to prevent further exotic plants from entering Irish waterways.
20500191|Examination of the abundance of plant species occurring in limestone terrain at Mullagh More, in the Burren, Co. Clare, indicates that 'shade' plants are not restricted to microenvironmental conditions with reduced light levels (grikes), but are also common in exposed situations. Investigations of three species found in exposed locations (Teucrium scorodonia L., Mycelis muralis L. Dumort. and Corrylus avellana L.) indicate that they all have a limited capacity to acclimate their maximum photosynthetic rate (
20694889|The EU Water Framework Directive (WFD) aims to promote common approaches, standards and measures for water management on a systematic and comparable basis throughout the EU. All waters must be managed on the basis of natural geographical areas called river basin districts (RBDs). Within the EU many RBDs are shared by member states. These cross-border districts are called international RBDs (IRBDs), in accordance with Article 3.3 of the WFD. Member states are required to coordinate their efforts in these international districts, with the aim of producing a single river basin management plan covering each entire district (Article 13.2). There are three IRBDs on the island of Ireland, all straddling the border between the Republic of Ireland and Northern Irelandthe North Western, Neagh Bann and Shannon districts. The competent authorities identified in the Republic of Ireland and Northern Ireland with responsibility for implementation of the directive have taken significant steps to harmonise the approaches adopted in the two jurisdictions. So far, the competent authorities have maintained a high level of coordination and have successfully met all of the directive's milestones.
42912433|A pot experiment was conducted to compare three strategies of chemically enhanced phytoremediation using alfalfa (Medicago sativa L.) treated with potassium dihydrogen phosphate-disodium hydrogen phosphate (PDP-SDP), potassium dihydrogen phosphate-sodium hydroxide (PDP-SH), and disodium hydrogen phosphate-citric acid (SDP-CA). It was found that: the average biomass of alfalfa treated with PDP-SDP, PDP-SH and SDP-CA were 2.59-, 1.22- and 1.44-fold higher than controls, respectively. However, the application of PDP-SH had a passive effect on root growth. The Bio-Concentration Factor (BCF) values and Translocation Factor (TF) values of Zn in alfalfa plants were increased after the soils were treated with PDP-SDP, PDP-SH and SDP-CA. With the addition of PDP-SDP the accumulation of Cd, Cr, Cu and Zn in shoots of alfalfa plants were 2.30-, 1.75-, 2.04- and 4.60-, for PDP-SH 1.07-, 1.71-, 0.82- and 1.56-, and for SDP-CA 1.53-, 0.82-, 1.02- and 2.83-fold higher, respectively, than the untreated controls. The results indicate that the application of PDP-SDP, PDP-SH and SDP-CA could be used for enhancing phytoremediation of Zn using alfalfa, and PDP-SH and SDP-CA could be used for enhancing the phytoremediation of Cr and Cd using alfalfa.
20500096|Zooplankton was sampled almost monthly over a two-year period in and immediately outside Lough Hyne Marine Nature Reserve, Co. Cork, Ireland. In the laboratory, echinoderm larvae were isolated and counted at class level. Mean numbers of all echinoderm larvae and of the separate classes thereof were calculated for the three sites sampled. Echinoderm larvae showed peaks of abundance in spring and summer and were virtually absent in winter. Peaks of abundance at sites in Lough Hyne occurred in July and consisted mainly of asteroid larvae. Peaks of abundance in a coastal site immediately outside Lough Hyne consisted mainly of ophiuroid larvae. Holothuroid larvae were rare, and crinoid larvae were not found. The results of three-factor ANOVA with date, class and site as fixed factors revealed differences between the separate classes and between sites. The environmental parameters of each site--substrata, water exchange, current--and associated echinoderm benthos appeared to influence the echinoderm plankton.
20500009|A unique dataset of the distribution and abundance of all microarthropods (Acarina and Collembola) collected from fungal fruiting bodies (sporophores) from a wide range of fungal species is presented. A very diverse fauna of 323 species was identified from 65,000 microarthropods collected from 40 species of fungi, ranging from very ephemeral agarics to essentially perennial bracket fungi. A functional classification of the fauna is outlined with information on the basic biology and trophic status of the major groups and potential interactions with their fungal hosts. Classic species--area relationships were demonstrated for the fauna of two species, the perennial bracket fungus Fomes annosus and the ephemeral agaric Clitocybe flaccida. Although dry weight of the sporophore was a significant determinant of size and diversity of microarthropod assemblages, it accounted for a relatively small amount of the variance. Characteristic faunas were not detected for any species or higher taxon of fungus, suggesting that faunas of sporophores containing toxic chemical metabolites were no different from those of the most 'palatable' fungi. The degree of temporal heterogeneity associated with host sporophores (a perennial bracket or more ephemeral species) was the single most important determinant of assemblage structure. In several fungal species, an increased number of sites produced a significant increase in the abundance and diversity of the attendant fauna (-diversity). The utility of the analogy drawn between fungi, higher plants and their faunas is discussed and a comparison made of theory and data from these two independent systems.
41714046|The most common technique used to survey Arctic char, Salvelinus alpinus (L.), in Ireland is gill netting, which is a lethal method of sampling. This paper reports on the use of snorkelling as a potential alternative, non-destructive technique for monitoring the recruitment of Arctic char in Ireland. Snorkelling allows for the positive identification of spawning beds in littoral areas, their characterisation, visual assessment of their ecological condition and monitoring throughout the incubation period. Data are reported from Coomasaharn Lough in County Kerry.
20499972|The home range sizes of eight adult Irish hares on a coastal grassland habitat were studied using radiotracking. The total home ranges of male hares had a median size of 50ha and ranged between 30ha and 70ha, whereas female total ranges had a median size of 21.5ha and ranged between 12ha and 50ha. This difference, however, was not significant. Range sizes did not change significantly across the year for either males or females. There was no significant difference between the sizes of day and night ranges for either males or females. Male day ranges were significantly larger than female day ranges while there was no significant difference between the sexes in night ranges. There was a large, though variable, degree of overlap (20-84%) between day and night range areas. Hares showed no signs of dispersing from areas in which they were originally caught. Range sizes in this study were substantially smaller than those reported for mountain hares on montane habitats in other countries but were similar to home ranges of brown hares on grassland habitats elsewhere.
biolenviprocria.114.2.61|A key concern in farming systems that seek to maximise the grass content of livestock diets is the management of grazing so as to avoid damage to soil structure during periods with high antecedent soil moisture conditions. The aim of this study was to investigate, under the current codes of good agricultural practice, the impact of two contrasting grazing systems on soil structure and nutrient export from grazed grasslands. The two grazing treatments were (1) WinterCalf treatment, involving winter-calving Holstein-Friesian dairy cows, which had a mean start of turnout date of 28 March, and were offered 5.0kg concentrate/cow/day throughout a 214-day grazing season; and (2) SpringCalf treatment, involving spring-calving Jersey  Holstein-Friesian dairy cows, which had a start of turnout date of 17 February, and were offered between 1.0 and 2.0kg concentrate/cow/day throughout a 260-day grazing season. Maximum reliance on grazed grass was a key objective of the latter system. Mean stocking rates during the grazing season were 5.1 and 4.3 cows per hectare with WinterCalf and SpringCalf systems, respectively. The experimental site was divided into four replicated blocks (A, B, C and D), with each block containing two grazing plots (425m
20499898|Brown earths from a cultivated field at Slievenaboley are described. Experimental studies of mass-specific magnetic susceptibility were carried out on samples produced by mixing podsol horizons from upslope of the field, together with heating to different temperatures. Results indicate that the brown earths could have derived from the podsols by a combination of enclosure, cultivation and periodic firing of vegetation and topsoil layers.
42912434|Surveying of brook lamprey (Lampetra planen Bloch) spawning activity was undertaken within a number of Irish river catchments during 2004-2011. Presence of adult fish, redd construction and spawning activity is reported. Additional data pertaining to spawning redd physical attributes and riverine conditions were collected at selected sites. Lampetra planen redds were, in general, relatively shallow excavations, averaging 3.5cm depth into the river bed substrate. Redds were typically 8-10cm in diameter with excavated substrate generally forming low mounds, 1-2cm in height, immediately downstream. Active redds were most frequently located in shallow ( 10cm water depth) fast-flowing (0.20m s ) sections of watercourses. Because of excavation, water velocities were significantly lower inside redd structures when compared with velocities outside. Implications for conservation monitoring are discussed.
20504515|The diet of thirteen species of demersal fish, based on four trawl samples yielding 319 fish from an area with a sandy/mud substratum in the Irish Sea, was investigated by stomach content analysis. Two major feeding groups were distinguished. The first major group exploited mainly infaunal/epifaunal food types such as polychaetes, bivalves and echinoderms. The second group preyed predominantly on more mobile prey organisms such as decapods, mysids, copepods and fish. As their length increased, most fish species showed a change in dietary emphasis and some fish species appeared to become more specialised in their diets. Fish species with close dietary similarities had similar mouth length/standard length dimensions.
23033881|An investigation of the lichens Lobaria pulmonaria and L. virens on the trunks of mature oak (Quercus spp) revealed differences in their ecological preferences. These species were found to occupy significantly different niches, with L. pulmonaria occurring in the more exposed sites. The niche widths were similar with respect to exposure and there was a high degree of overlap between the species, although they did not differ significantly in aspect preference. The chlorophyll content and biomass per unit area was similar for both species, but they showed strong morphological differences that could influence light capture. Fertility, measured as apothecium abundance, was greater in L. virens, but L. pulmonaria reproduced both asexually and asexually in this region. A recent decline in the abundance of Lobaria scrobiculata and the potential effects of deer grazing on the lichen flora are discussed.
20504524|Like many states in the European Union, Ireland has yet to fully commit itself to genetically modified (GM) crop technology. The general position of the Irish Government is 'positive but precautionary'. However, with the European-wide de-facto moratorium on commercial production of GM crops now ended, many strategically important decisions regarding the commercial deployment of such crops and their co-existence with conventional/organic crops need to be considered. To date, little research on the environmental impact of GM crops has been carried out in Ireland, and the provision of relevant local information lags far behind that available in other countries in the European Union. In this paper, we discuss much of the new ecological and economic data that have emerged since the moratorium on GM crops was introduced in 1998, assess the likely impacts of pest-oriented GM crops should they be introduced to Ireland and examine criteria for post-release monitoring. We also describe the likely commercial demand for these crops and the consequent priorities for ecological research. We argue that the impact of GM technology needs to be assessed in relation to the environmental impact of modern agriculture as a whole. Public unease in relation to this technology may be addressed if adequate resources are made available for independent Irish research on the issue.
42912435|A lacease (lac-L) was purified from the culture supernatant of Pycnoporus sp. SYBC-L3 in submerged fermentation and its partial properties were characterised. A purification of about 4.67-fold was achieved with an overall yield of 28% using ammonium sulphate precipitation, Sephadex G-25 and Q-Sepharose Fast Flow. The molecular mass of lac-L was estimated as 58kDa by sodium dodecyl sulphatepolyacrylamide gel electrophoresis with the N-terminal amino acid sequence of AIGPVADLTLTNAAV. Lac-L showed high temperature optima (55-75 C) and acidic pH optima (3.5-4.5) to oxidise four different substrates. The best substrate for lac-L was found to be 2,2-azino-bis(3-ethylbenzthiazoline-6-sulphonic acid) (Km = 0.1mM, Vmax = 1484U mg) followed by 2,6-dimethoxyphenol (Km = 0.5mM, Vmax = 500 U mg), Gua (Km = 1.38mM, Vmax = 125U mg) and syringaldazine (Km = 8.16mM, Vmax = 2.58U mg). The half-life of lac-L was 5h and 3h at 60 C and 70 C, respectively, which was longer than many other Pycnoporus laceases. The lac-L retained 80% of initial activity after 24h of incubation in the 6.0-9.0 pH range. The lac-L was tolerant towards most metal ions except Fe, Fe and Ag. Lac-L can effectively decolorise Remazol Brilliant Blue R, Mordant Red 5G, Weak Acid Blue 25, and Acid Blue 129 without any mediators.
biolenviprocria.116B.1.1|The fully marine Lough Hyne in south-west Ireland was designated a marine nature reserve in 1981 because of its high species and habitat diversity as well as intense fishing pressure. Considerable research has described the fish species in the Lough, their behaviour and distributions. Following the population demise of purple urchins in the Lough, the fish communities inhabiting the shallow sublittoral zone, particularly benthic and hyperbenthic fishes, which could be potential predators of sea urchins, were characterised. Three sites were chosen in different parts of Lough Hyne that historically supported dense urchin populations. In August to September 2014, fish density was estimated by snorkel surveying 50m band transects, noting water depth, habitat type and the number of fish by family for each 5m section. The two-way factorial survey design included time of day (morning, midday, late afternoon) and tide (high vs low) as factors with six surveys per transect. Numerically, gobies were the most abundant benthic to hyperbenthic fish in the shallow subtidal habitats; wrasses were the second most abundant. While all factors of site, tide, time and weather had significant effects on fish densities, site was most significant. This pattern indicated that gobies and wrasses were distributed more according to habitat type than small-scale depth and temporal variations, but further work should be done to elucidate nocturnal-diurnal effects and large-scale, seasonal effects. In the absence of direct evidence of predation effects before and after 1981, coupled with observational and/or gut content data, the role of fish predation as the major causal mechanism of urchin demise in the Lough was not supported.
20728565|Svalbard is an archipelago at the north-western edge of the Barents Sea. Despite its extreme northerly position, the climate is relatively mild in the western part of the archipelago. This is due to the warm North Atlantic Current reaching Spitsbergen, the largest island, causing temperatures there to frequently fluctuate around freezing, even in winter. Svalbard ecosystems share some attributes typical of islands. However, in spite of the limited land area there is large heterogeneity among ecosystems on different spatial scales: three out of five Arctic bioclimatic subzones occur in the archipelago, stretching from extremely low productive polar deserts to relatively productive tundra. Plant community data presented in this paper demonstrate that plant communities in mesic (zonal) habitats are well differentiated among the different bioclimatic subzones. Within a subzone, strong community differentiation occurs between mesic and ridge habitats in the two warmest zones, but not in the coldest, the polar desert. Relative to 'mainlands', species diversity is low on Svalbard and terrestrial food webs are simple, with strong links to marine food webs. However, fully accounting for the invertebrate components of the food webs reveals a considerable complexity that may contribute to ecosystem robustness. Fragility of the terrestrial ecosystems on Svalbard is discussed in terms of island characteristics. It is concluded that these ecosystems are robust in terms of temporal variation in herbivore populations and climate, but are fragile in terms of human disturbance. Their fragility in terms of climate change is still an open question that needs more thorough evaluation.
20499879|Cuscuta epithymum (L.) L. (common dodder) has been found growing in a limestone pavement habitat in the Burren Lowlands (H9) in County Clare, western Ireland. The species is relatively rare in Ireland and is confined to sixteen coastal vice-counties. On limestone pavement Cuscuta is found in vegetation belonging to the Asperulo-Seslerietum, an association assigned to the chalk grassland class Festuco-Brometea. The vegetation of the limestone pavement habitat is compared with mature dune grassland at Fanore, also in the Burren region, where extensive populations of Cuscuta occur in vegetation assigned to the Camptothecio-Asperuletum, another association belonging to the same class. While there are species differences between the communities in these contrasting habitats, there is considerable floristic overlap. Cuscuta epithymum is catholic in its selection of host plants at these sites. The hosts common to the two sites include Achillea millefolium, Lotus corniculatus, Thymus praecox, Asperula cynanchica, Trifolium pratense and Viola species. There are fourteen additional hosts on the limestone pavement, and fifteen confined to the mature dune grassland site. Despite the catholicity of host selection, the rarity of Cuscuta in Ireland suggests that establishment is a critical determinant of the species' distribution, and depends on the initial infection of a primary host in an appropriate habitat with suitable environmental conditions.
20500064|The diet of otters Lutra lutra on the north-east coast of Inishmore was investigated by analyses of monthly collections of droppings. The diet comprised a total of 70% by weight of rockling and wrasse (Labridae) in almost equal quantities. Eel Anguilla anguilla, sea scorpion (Cottidae), blenny (Blenniidae) and Mollusca all contributed 3-8%. Minor items included other littoral/sublittoral fish and invertebrates, some of which may have been present in the guts of prey fish. Rockling and wrasse are considered preferred prey and were consumed more often on Inishmore, where shores are more exposed and there is less sand than on the mainland. Eel, however, was eaten less often on Inishmore, presumably because of an absence of freshwater run-off. Many of the eels and most of the three-spined sticklebacks Gasterosteus aculeatus were probably caught in brackish lakes. Seasonal variation in prey included a rise in consumption of wrasse in winter, probably because they are then semi-torpid amongst rocks, as well as a fall in eels (which in winter bury themselves in sediment), blennies, butterfish Pholis gunnellus and conger eel Conger conger. The sea urchin Paracentrotus lividus is eaten most often in winter, when the gonads are largest and firmest.
biolenviprocria.117b.1.1|
               
41714035|The inconspicuous intertidal sea anemone Anthopleura thallia is redescribed based on recent collections in England and Ireland. The redescription includes a complete account of the types and sizes of cnidae, and documents variability in colouration and pattern within and among populations. This is the first record of the species in Ireland. Anthopleura thallia is sympatric with the better-known and widespread species Aulactinia verrucosa, and the two may co-occur at a single site; they differ colouration, reproductive biology, internal anatomy and the types of cnidae in the body.
biolenviprocria.115B.2.97|
               
20694900|A series of studies have been completed by river basin districts to arrive at a comprehensive list of measures that will assist in achieving Water Framework Directive objectives. Each study addressed a key pressure on the water environment. The measures are available for public consultation in the draft river basin management plans, and the final set of measures for each waterbody for the first six-year cycle of river basin management will be determined in the final plans. The most relevant and cost-effective measures will be chosen from the list for implementation. Procedures for consideration of potential measures and their projected timescale are described. The measures comprise 'basic measures', largely based on existing European legislation and policies, and 'supplementary measures', additional measures needed where basic measures are not capable of achieving objectives in the timescale required. Studies completed on three pressureshigh-status sites, forest and water, and unsewered wastewater systemsare presented, and the full list of pressures and their measures are listed. A 'climate-check' of the measures is also considered.
20500183|Port Bn Nature Reserve, a peatland in south-western Ireland, is a complex system of cutover lowland blanket bog, wet meadow, willow scrub, heathland and riparian vegetation. The plant communities of the reserve were sampled and described using the Braun-Blanquet stratified random sampling technique, with a view to compiling an ecological inventory of the site to aid future conservation management. A total of 99 species of vascular plants were recorded from an area of twelve hectares. Ordination of the relev data was carried out using detrended correspondence analysis (DCA). The presentation of the vegetation data follows the Braun-Blanquet system. The vegetation described ranged across four phytosociological classes and was placed in seven different plant communities: Narthecio-Ericetum tetralicis, Ulici gallii-Ericetum cinereae, Senecioni-Juncetum acutiflori, Valeriano-Filipenduletum, Myricetum gale, Osmundo-Salicetum atrocinereae and Oenanthe crocata-Salix x calodendron. Each of these communities is discussed in terms of their occurrence at Port Bn and elsewhere in Ireland. In addition, the problems regarding conservation management of the reserve are outlined, with natural succession identified as the largest threat to the reserve's plant communities.
biolenviprocria.117b.1.1|Vacutainers are widely used for water-sample collection. Possible interferences due to the adsorption/release of analytes at the internal surface of vacutainers could affect the solute concentrations in filtrates. To gauge their suitability for storage of conventional analytes, the stability of NO
20728586|The Australasian barnacle Elminius modestus Darwin was assessed on 89 shores around the Irish coast using abundance scale (ACFOR) methodology. In 2003, E. modestus was present on 43 shores (48%), with a rating of abundant on two shores, and a rating of common on seven shores. Elminius modestus was significantly more abundant on sheltered shores than on moderately exposed or exposed shores. There has been a statistically significant increase in E. modestus since surveys carried out in 1958 and 1995.
20500026|The meteorological series maintained at Armagh Observatory began in 1795 and are the longest in Ireland and among the longest in the British Isles. Here we present the monthly mean daily precipitation recorded at Armagh since 1838. Variations in the distribution of the rainfall during the year, over this period, are apparent, with a tendency for drier summers in recent decades. We find a significant correlation between the mean seasonal rainfall and the North Atlantic Oscillation index during autumn and winter, and there appears to be a negative correlation between the summer rainfall and the North Atlantic Oscillation index for the previous winter. A search for periodicities has been made and no evidence of an eleven-year cycle similar to the Sunspot cycle has been found. However, Fourier analysis reveals an approximate seven-year cycle in summer rainfall. We examine the evidence that this cycle may be linked either to the Taurid meteor stream or to the North Atlantic Oscillation.
biolenviprocria.115B.1.59|We report three new occurrences of
20500105|W. A. Watts pioneered palaeoecological investigations in the grasslands of the northern Great Plains in central North America. He showed from fossil data that Picea forest covered the plains during the late Pleistocene, as biogeographical evidence suggests. This forest gave way to prairie with some deciduous woodland in the eastern part of the region at the beginning of the Holocene. Greatly fluctuating but on average high amounts of Ambrosia-type and Chenopodiaceae/Amaranthaceae pollen are found throughout the middle Holocene. These high values of Ambrosia-type pollen are puzzling because today Ambrosia is more common in wetter climates to the east of the Great Plains; however, lake levels indicate that the middle Holocene was drier than today. Differences in the seasonality of precipitation may provide the explanation--lake levels respond to precipitation in the period from autumn through to spring, whereas Ambrosia responds to growing-season moisture. High interannual variability in growing-season precipitation may explain the greatly fluctuating values of Ambrosia during the middle Holocene.
20728604|It is widely accepted that anthropogenically driven climate change is having a significant impact on the natural environment of Ireland and this will accelerate in the future. The changes have been attributed to increasing concentrations of greenhouse gases in the atmosphere, of which carbon dioxide (CO) is the main contributor. There is now increasing evidence that elevated CO will directly alter the structure of plant communities although this will depend on the availability of major nutrients, particularly nitrogen. Changes in plant phenology will also occur as a result of warming, resulting in changed patterns of development of vegetation and in particular longer growing seasons for plants. Climate plays a pivotal role in determining the geographic distribution of plant species and climate 'envelopes' describe the potential range of climatic conditions over which species and ecosystems occur. As the climate changes these climate envelopes will move and, based on available evidence, the predicted change in climate is expected to have significant effects on the distribution of species and ecosystems. Modelling of climate envelope movements show that some of the key Irish habitats, particularly peatlands, are likely to be vulnerable and may be eliminated by climatic change predicted during the rest of this century.
23188064|Endocrine disrupting chemicals (EDCs) are chemicals that have the ability to mimic or disrupt the endocrine system in wildlife. Many of these EDCs are present in treated Irish sewage effluents and landfill leachate and have recently been identified in Irish rivers. The effects of exposure to EDCs were investigated in Irish brown trout (Salmo trutta), sampled from selected Irish rivers downstream of Irish wastewater treatment plants (WWTPs) with control fish sampled upstream of the same WWTP. The effects were also investigated in Irish roach (Rutilus rutilus) sampled downstream of Irish WWTPs. Control roach were sampled from a pristine salmon fishery river (River Deel) located in the west of Ireland. Histopathological and macroscopic analyses of downstream trout showed no adverse reproductive effects, compared to control fish sampled upstream of the WWTP. Statistically significant (p <0.05) populations of wild roach from three sampled Shannon basin rivers were, however, observed to be phenotypically intersex (ovo-testis) when compared to the control river. This, it is hypothesised, is as a direct result of exposure to WWTP effluents. The results reported herein are the first observations of intersex fish in Irish rivers.
20500086|A time course study was carried out to examine the interrelationships of selected microbiological and biochemical variables in the N mineralisation process in soil. The soil was a clay loam (pH 5.9, 4.1% organic C and 0.36% total N) and the incubation was conducted outdoors under natural diurnal and seasonal variations in temperature. Soil moisture content was maintained at 55% water-holding capacity throughout the incubation. Two periods of net N mineralisation were observed. The first was accompanied by a sharp decrease in the size of the biomass and by increases in soil respiration and casein protease activity. In contrast, the second increase in mineral N was accompanied by decreasing values for soil respiration and metabolic quotient, but an increase in biomass C. This suggests that the two periods of net N mineralisation arose from different sets of events. It is suggested that the initial period of net N mineralisation arose from the development of microbial populations that consumed nitrogen-rich labile organic substrate released from dead microbial cells. As the simpler lytic products were consumed, populations capable of using more complex C sources evolved. These populations are postulated to have had a lower N requirement, which led to the second period of net N mineralisation.
biolenviprocria.114B.3.265|Turloughs are temporary ponds on karstic limestone, filled from groundwater after rain and draining away again underground. The periodicity of inundation varies, providing an added stress to fauna and flora. Most studied turloughs are in Counties Galway, Mayo and Clare. This paper describes characteristic plants of three County Limerick turloughs and discusses a partial list of water beetles collected from one of them, Lough Selleher.
20500014|The amount of carbon stored in vegetation and soils (including peat) in Northern Ireland has been estimated and the distributions mapped on a 1km  1km grid as part of a national inventory. This was funded by Government to help meet some of its commitments under the UN Framework Convention on Climate Change. Knowing the sizes of the carbon stores (reservoirs) and the factors influencing them will help in developing policies to protect and enhance them as a contribution to the amelioration of global warming. To calculate these carbon stores, the area and carbon density of each vegetation and soil type were required. Similar data sources and methods were used to those in complementary inventories in Great Britain, but modifications were required in Northern Ireland, including the use of CORINE land cover (classification and maps) and the development of a soil carbon database. The total amount of carbon stored is estimated to be 4.4Mt in vegetation (5.1Mt, allowing for forests underestimated by CORINE) and 386Mt in soils. Forests account for 55% of the carbon in vegetation, and peat for 42% of that in soils--a product of their relatively high carbon densities.
20500197|A study of the physico-chemical characteristics of the Caher River, Co. Clare, was carried out at two sites between October 1999 and April 2000. The Caher is an alkaline system with pH values in excess of 8.0. Phosphate and nitrogen concentrations showed no evidence of eutrophication. Conductivity values were at the lower end of the range expected for a limestone region. Calcium concentrations were relatively high, and precipitation of calcium carbonate was evident for much of the lower course of the river. However, other ions such as magnesium and potassium were present in low concentrations when compared to other limestone areas. A total of 80 macroinvertebrate taxa were recorded. The upstream site (Site 1) supported a more diverse community. The compacted nature of the substratum at Site 2, located downstream of Site 1, would restrict habitat availability and preclude the establishment of some interstitial dwelling fauna. The macroinvertebrates recorded in the Caher were, for the most part, fairly typical of clean-water rivers in Ireland, being represented by taxa that are relatively common throughout the island. One noteworthy exception was the unusually high abundance of the plecopteran Dinocras cephalotes. This predatory species is uncommon in Ireland and, even where it occurs, the numbers present are generally low. The Caher River, with its excellent water quality, has high ecological status, deserving special protection as a biodiversity refuge.
20500121|Humic substances are an extremely important soil component because they constitute a stable fraction of carbon and improve water-holding capacity, pH buffering and thermal insulation. To understand the role of humic substances (HS) in carbon dynamics, it is necessary to evaluate how concentrations and characteristics vary with location. To this end, we extracted, fractionated, quantified and characterised HS from six peat and peaty mineral soils from the Vartry catchment. The extraction procedure was an adaptation of the International Humic Substance Society method. We then isolated samples using XAD-8 resin columns and dialysis analysed them for water, ash, elements (carbon, hydrogen, nitrogen, oxygen), amino acids and carbohydrates, and by Fourier-transform infrared spectroscopy. Although the characterisation of the HS could not reveal details of chemical processes, we were able to identify a number of characteristics that pointed to differences between forested and non-forested sites. In general, the HS at forested sites indicated more humified organic matter and quite different decomposition processes. The results indicate a need to extend research into HS to allow a more detailed evaluation of the effect of forestation on soil organic matter dynamics.
23033937|Although peat slope failures have occurred in Ireland for many thousands of years, their causal factors and the triggering mechanisms involved are poorly understood. A particular barrier to quantitative assessment of the risk of failures is the lack of knowledge of the geotechnical properties of peat and its role in failures. In order to advance the understanding of these issues case history data is invaluable. This paper describes a case study from the Wicklow mountains where a desk and remote sensing based study was used to identify peat slope failures. Subsequently, detailed field studies were carried out at two failure locations. It was found that although the full causal factors at the time of failure are unknown, a common factor was that the failure took place in a zone of highly decomposed and relatively low-fibre-content peat. A revision of the standard test method for fibre content for use in peat soils is proposed.
