10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3242279|A taxonomic study of the moss genus Trichodon in North America recognizes one species, T. cylindricus (Hedw.) Schimp., and one variety, T. cylindricus var. oblongus (Lindb.) Podp. The taxa are described, illustrated and their distributions mapped.
23321033|A new species, Lecidella oceanica Lu L. Zhang & Xin Y. Wang, is described here. The new species has been collected from the southwest coast of South Korea and is characterized by small, subimmersed or sessile apothecia, colorless hypothecium and the presence of capistratone, isoarthothelin and thiophanic acid. We also report L. asema is for the first time from South Korea and new localities for L. enteroleucella.
10.2307/3242088|Photochemical activities and
10.2307/3241116| Several kinds of elements take part in the formation of the ascocarps of the Discolichens. Some are primary elements, either carpocentral (= subhymenial net + paraphysoid net) or pericentral (= roof + floor + pericentral muff), that are differentiated from a plexus of primordial hyphae and that all together constitute the primary corpus of the apothecium. This primary corpus grows in diameter, especially by formation at its circumference of new primordial, carpocentral, or pericentral elements, all of which together form a peribase. The primary corpus generally has epicentral filaments, most of them being primary paraphyses, the others remaining extrahymenial. In some species there are added to these primary elements, or substituted for them, secondary ones (i.e., a parathecial apparatus, either typical or not) that, formed by extrahymenial filaments which elongate, branch out and give rise to secondary paraphyses. During the development of the ascocarps several of these elements are built up. According to species, however, many variations are noticed because some elements may be lacking or only transitory or present peculiar characters. Six apothecial types can be distinguished: the "graphidian" type (without secondary elements), the "lecanorian" type (with a typical parathecial apparatus), the Baeomyces type (with a hypocentral podium without secondary formations, but the pericentral floor being changed into a stipitate and capitate podium), the Cladonia type (with a "discopodian" podetium), the Pertusaria type (with polycarpic verrucae), and the Thelotrema type (with a lateral wall furnished with hanging filaments). The first four types form a typological series analogous to the one described by Bellemre (1967) in the nonlichen-forming inoperculate Discomycetes. The two others are anomalous types which are difficult to explain. 
10.2307/3243653|Sphagnum flavicomans (Card.) Warnst. is reported from three sites in the Southern Appalachian Mountains. These sites include the highest elevation of occurrence (~ 1,878 m) and the southernmost location for this species. The occurrence of S. flavicomans in such highly non-oceanic environments is surprising and indicates that the species has a broader environmental tolerance than previously believed.
10.2307/3242514| Polytrichum commune Hedw. spores were analyzed quantitatively and shown to contain the following carotenoids: carotenes (555.98  11.6 g/g spores), violaxanthin (77.37  1.9), lutein (+ antheraxanthin) (622.49  12.4), neoxanthin (313.88  12.3) and zeaxanthin (185.25  7.3). 
10.2307/3241673|Haplomitrium hookeri (Sm.) Nees is reported from the alpine regions of coastal western North America from northern Washington to southeastern Alaska. The species is locally abundant in alpine heather meadows or upon exposed mountain ridges and sporophytes are frequent. In some high-alpine habitats susceptible to seasonal desiccation, the leaves of the plants are imbricate and compact clones up to several centimeters in diameter occur regularly. Two-celled slime papillae are common throughout the plants and secrete protective coatings in regions of young growth and development. Chlorophyllose cells contain a mixture of fusiform, lunulate, spheroid, and triangulate oil bodies. The larger oil bodies are frequently formed of numerous small spherules.
10.2307/3240634|Collections of Anzia ornata (Zahlbr.) Asah. are reported from Winston, Shelby, and Tallapoosa Counties, Alabama.
10.2307/3241754|Eighty taxa of liverworts, including five not previously reported from the region, are listed from an area of approximately 11,520 km
10.2307/3243409|We tested the hypothesis that establishment of Splachnum gametophytes is limited to neutral substrates by examining the effect of hydrogen ion concentration on spore germination, protonemal growth, and gametophore production in Splachnum ampullaceum, S. luteum, and S. sphaericum. Decreased germination was observed in S. sphaericum spores grown at pH 4 as compared to pH 7. Splachnum ampullaceum and S. luteum, however, exhibited no spore germination response to pH. Protonemal growth and gametophore production were inhibited at pH 4 compared to pH 7 in all taxa. Numbers of cells and protonemal branches per filament, chlorophyll a content, and total protein content were significantly reduced at pH 4. In addition, dark oxygen uptake was higher and light-dependent oxygen evolution was lower in protonema of S. ampullaceum grown at pH 4. In vivo [
3244344|Culbersonia americana, a new foliose lichen genus and species, is described from the mountains of Arizona and Peru. Although it has a unique set of identifying characters and apparently belongs to the family Physciaceae, all the material seen so far lacks apothecia, and evidence for familial placement for now remains inconclusive.
10.2307/3243969| Ten species of Calymperes and 13 taxa of Syrrhopodon, collected recently by William R. Buck, are reported from a small area in French Guiana, pointing out the high diversity of these genera in a restricted area of moderate elevation. Calymperes guildingii, C. mitrafugax, C. rubiginosum, C. smithii, Syrrhopodon cryptocarpos, S. hornschuchii, and S. prolifer var. papillosus are reported new to French Guiana. The sporophyte of S. incompletus var. lanceolatus is described for the first time, and that of S. graminicola is described for the first time since the species was described in 1848 (as C. disciforme C. Mll.). A fourth collection of the extremely rare S. elatus is reported. 
40732293|The macrolichens are a conspicuous component of the montane rainforest of Gran Piedra, Santiago de Cuba. This study aims at comparing the species composition, frequency and cover area of epiphytic macrolichens between the north and south slopes, as well as to determine the variation in species composition and frequency of epiphytic macrolichens in communities along and around the tree trunk. Six plots were sampled; three on the north-facing slope and three on the south slope. We found 21 species of macrolichens.Sticta beauvoisiiy Hypotrachyna lineariloba and Pannarla tavaresii are new records for Cuba. Differences were observed in species composition between slopes, whereas neither the species composition nor the frequency changed significantly with cardinal orientation or vertical distribution on the trunk. Heterodermia leucomelaena and Leptogium austroamericanum were considered as indicators of the north slopes, and Cladonia ceratophylla of the south slope.
10.2307/3243694|In the Eastern Brook Lakes Watershed in the Sierra Nevada Mountains of California, over 100 species of lichens were found; at least 30 are new records for California. The majority occurred on granidiorite rock. Analysis of data from 60 line-intercept transects showed that the overall dominant lichens on rock were the Lecidea atrobrunnea and Aspicilia caesiocinerea complexes.
10.2307/3244471|The rare moss Grimmia brittoniae Williams was recently rediscovered at its type locality and discovered at two additional locations, bringing the total number of known locations to four. This distinct moss is restricted to calcareous rock outcrops at low elevations in northwestern Montana, including areas threatened by past and present development.
3244948|A key to the forty-seven taxa in the lichen genus Pertusaria known and accepted from China is presented. The following five species are reported as new to China: P. carneopallida, P. hemisphaerica, P. monogona, P. plittiana, P. pycnothelia, P. trachythallina, and P. xanthodes. Specimens representative of each taxon are cited. Pertusaria albovelata is synonymized with P. velata. Pertusaria huangshanensis S. Yu & J. Wu ex Q. Ren sp. nov. is described.
43188828|Infra-specific variation in phenotypes of bryophytes is rarely shown to be spatially or ecologically structured. By using a morphometrics approach based on more than 2,300 measurements of nine gametophyte characters taken from 63 specimens across the global range of Syrrhopodon leprieurii Mont. (Calymperaceae), we demonstrate through partial and total Mantel analyses that phenotypes vary significantly over distance and elevation. Furthermore, S. leprieurii specimens of montane and spatially isolated (island) regions (such as the Andes and Cuba) exhibit disproportionately greater morphological differentiation over relatively shorter distances when compared to those from lowland rainforests of the greater Amazon basin. Structured morphological variation among bryophyte populations is uncommon and we suggest that, in light of results from studies of other Neotropical plant taxa, more pronounced differentiation in niche structure in this region may account for such variability.
43188696|Evidence for naturally occurring programmed cell death in Marchantia polymorpha tuberculate rhizoids as a function of age is described. Membrane degradation and DNA fragmentation, two major events that occur during programmed cell death, are detected and quantified using Trypan Blue staining and the TUNEL Assay. Membrane permeability and DNA fragmentation both increase as the tuberculate rhizoids aged. Spermine suppressed this response; hydrogen peroxide accelerated it. This research has advanced the study of PCD by demonstrating that nutrient recycling of the thallus and tuberculate rhizoids of Marchantia polymorpha are interrelated.
10.2307/3242567| Fissidens desertorum (C. Muell.) Par., Fissidens grandifolius Broth. & P. Ward., Archidium ohionse Schimp. and Bryum coronatum were collected near the town of Niamey, and are new to the Republic of Niger. 
10.2307/3241731|Orthotrichum epapillosum Lawt. & Herm. is described as a new species from California. It differs from other species with immersed stomata, in its epapillose leaf cells. The calyptra is without hairs and the apices of mature leaves are broad and rounded.
10.2307/3241977|Preliminary analysis of the lipids of the sperm masses of three mosses has been accomplished by thin-layer chromatography. The components in Mnium affine Bland. differ from those in Atrichum undulatum Hedw. P.-Beauv. and Polytrichum attenuatum Mentz., which resemble each other. This situation corresponds to a difference in the physical condition of the extruded sperm masses (coherent in Mnium, dispersed in Atrichum and Polytrichum).
10.2307/3244432| Lobaria oregana (Tuck.) Mll. Arg. and L. pulmonaria (L.) Hoffm. are parapatric in western North America. However, L. pulmonaria is more widely distributed than L. oregana; in western Oregon, L. pulmonaria occurs in the Willamette Valley and forests of the Cascades and Coast Ranges, while L. oregana is largely restricted to the mountain forests. To determine whether distribution patterns are related to differential environmental tolerances, we examined responses to heat and desiccation and growth responses of transplanted thalli. Heat tolerances were tested by exposing thalli (air-dry or moist) to temperatures ranging from 24-40C (3C intervals) and 25-60C(5C intervals) for 1 hr. Sensitivity was assessed by measuring electrical conductivity of deionized water in which thalli were immersed, which reflects membrane damage. Heat tolerances of the two species did not differ. Lobaria pulmonaria from the Willamette Valley was apparently less desiccation tolerant than L. oregana from upper canopies in the Cascade Mountains. Intraspecific differences in desiccation tolerance depended on the environment from which thalli were collected and were as great as interspecific differences. Thus, differences in distribution between the two species do not appear to be due simply to differential heat or desiccation tolerances. Lobaria oregana from upper canopies in the Cascades grew more slowly than L. pulmonaria from lower tree trunks in the Willamette Valley when both were transplanted to the Willamette Valley for 18 weeks. However, survival of the two species did not differ 9 weeks after transplanting to the Willamette Valley. 
10.2307/3240814|Herpothallon sanguineum, a conspicuous lichen previously thought to reach its northern limit in the United States in southern Georgia, actually ranges north through eastern South Carolina to Smith Island in southeastern North Carolina.
10.2307/3241245|Cladonia yunnana (Vain.) Abb. is reported for the first time from North America.
10.2307/3242819|A review and synthesis of the available literature is presented concerning the structure of the moss gametophyte as it is adapted to the environment and the survival of the moss. New observations are made, when appropriate, and a number of new hypotheses are given. Spore germination patterns, protonemal structure, life span and methods of vegetative propagation are all related to the nature of the habitat. Multicellular spores and swollen protonemal cells are strongly correlated to environments subject to periods of desiccation. Highly specialized protonemata are found in deeply shaded environments; "typical" protonema, with strongly elongate cells, tends to characterize taxa of mesic sites or of terrestrial habitats where moisture conditions are favourable for at least part of most days in the growing season. The gametophore exhibits several growth forms that are environmentally restricted or, in some cases, are apparently moulded by the environment, thus the phenotype is variable. Gemma production in many mosses is vigorous while the gametophore remains vegetative. When sex organs are produced, gemma production tends to be reduced or to cease. Water uptake in the gametophore involves ectohydric and endohydric systems. In ectohydric systems, water movement is influenced by leaf shape, arrangement, orientation and detailed anatomy, to branch arrangement, nature of cortical cells, presence of rhizoids or paraphyllia. Surface ornamentation of leaves, stems and rhizoids are important in habitat specificity. In endohydric mosses, hydrome and leptome systems are sometimes significant in habitat specificity, especialy in the subclass Polytrichidae. Detailed experimental research concerning adaptive significance of moss gametophyte morphology remains scanty, thus most generalizations are tentative.
10.2307/3243353|Eight corticolous and one saxicolous species of Porina from India are discussed. Porina chlorotica var. carpinea (Pers.) Keissler is a new record for India and P. subhibernica Upreti is described as a new species.
10.2307/3243626|The presence of Bryoerythrophyllum ferruginascens (Stirt.) Giac. is confirmed for eastern North America.
10.2307/3241860|In this, the first in a series of papers analyzing the floristic composition and refugial qualities of sandstone canyons in southern Illinois, the bryo-lichen communities of Little Grand Canyon in Jackson County are statistically studied. Sampling was done by mapping the vegetation in 144 quadrats, each 50 cm x 50 cm, along 6 horizontal lines. The 79 species found in the canyon are analyzed for frequency, basal area, relative frequency, relative dominance and importance values. Isopterygium elegans (Brid.) Lindb., Thuidium delicatulum (Hedw.) B.S.G. and Leucobryum albidum (Brid. ex P. Beauv.) Lindb. are the most abundant mosses in the flora, Jubula pennsylvanica (Steph.) Evans and Conocephalum conicum (L.) Und., the most abundant liverworts, and Lepraria membranacea (Dicks.) Vain., the most abundant lichen. Comparison of 6 environmentally different subareas suggests that microclimate affects the distribution of both ubiquitous species like those listed above and more restricted species like Bazzania trilobata (L.) S.F. Gray, Leucolejeunea unciloba (Lindenb.) Evans, Kurzia sylvatica (Evans) Gro. and Plagiochila sharpii Blomq. Overall, 23% of the floristic elements are common throughout the canyon, while 50% are restricted to only one of four distributional subareas. Differences in aspect and vertical stratification appear to be the most significant factors regulating distribution of these restricted species.
20485822|Pertusaria wulingensis Z. T. Zhao & Z. S. Sun sp. nov. is described from collections from Guizhou and Hunan provinces, China. The species is characterised by the pinkish pruinose disciform apothecia, the distinctly zoned margin and the presence of psoromic acid. It is known from mixed evergreen and deciduous broadleaf forest at elevations of 1240-1500 m.
10.2307/3242416|The chlorophyll content of Cladonia arbuscula (Wallr.) Rabenh. thalli and of a Trebouxia phycobiont isolated from Cladina stellaris (Opiz) Brodo increased after the organisms were exposed for one week to an ozone concentration of 0.1 ppm. Concentrations of ozone above 0.1 ppm did not significantly affect the chlorophyll content relative to those of the controls. There were no discernible morphological effects that could be attributed to ozone exposure.
10.2307/3242883|The island of Newfoundland, Canada, has a comparatively diverse moss flora, consisting of 445 species. There are substantial differences between its flora and those of adjacent regions: Labrador to the north, and the Canadian Maritime Provinces to the southwest. Of the moss species found in Newfoundland, 32% (140 species) do not occur in Labrador, and 28% (125 species) do not occur in the Maritime Provinces. Sixty-one species (14% of the moss flora) present in Newfoundland do not occur in either Labrador or the Maritimes. The strong bryogeographic isolation of Newfoundland indicates that the origins of its moss flora may have followed a more complex pattern than in neighboring regions. Dispersal of mosses to and within northeastern North America is discussed, and Newfoundland's critical position in this regard is assessed and discussed. Possible ways in which species have increased or decreased their distributions since the last glaciation are also discussed.
10.2307/3243722| The Campylopus flora of Hawaii consists of nine species, six of them previously regarded as endemic. Recent taxonomic revisions reveal that several so-called endemic species are synonymous with species widespread in southeast Asia. Campylopus skottsbergii Broth. is synonymous with C. hemitrichius (C. Mll.) Jaeg., which is here treated as a new subspecies of C. schmidii; C. fumarioli C. Mll. is a synonym of C. laxitextus Lac.; and C. boswellii (C. Mll.) Par. is identical with C. crispifolius Bartr. Campylopus hawaiicus also occurs in New Caledonia and Tahiti where it had been described as C. rubricaulis Broth. & Par. This reduces the level of endemism of Campylopus in Hawaii to 30%. Of the nonendemic species, three are widespread in southeast Asia, three have a narrower Indonesian-Malayan range, and one is distributed in Oceania. Thus Hawaii has been colonized by species of Campylopus from southeast Asia. The endemic species show no apparent relation to and cannot be derived from any other ancestral species of Campylopus. Their origin remains therefore doubtful. 
10.2307/3243346| A common species in eastern Asia, Ptychomitrium polyphylloides (C. Mll.) Jaeg. is synonymous with P. gardneri Lesq. from western North America. Ptychomitrium leibergii Best, from North America, is synonymous with P. sinense (Mitt.) Jaeg., which is widespread in eastern Asia. Both P. sinense and P. gardneri have disjunct East Asian-North American distributions. These two species are nearly sympatric in eastern Asia, but one occurs in dry forests of western North America while the other is confined to dry areas of south-central North America. 
10.2307/3242587|Leucophanes is a genus of mainly palaeotropical turf forming mosses. Populations consist of acrocarpous, branched or unbranched gametophores. In the latter, the turfs are formed by layers of individual plants each attached by rhizoids to the plant beneath it. These fully grown epigametophytic plants are of the same gender as the supporting plant. It is suggested that this particular growth habit is an adaptation to continue turf existence by the development of various strategies of vegetative reproduction, e.g., germination of leaf tip gemmae and readily detachable short branching systems. This is of importance in species for which sexual reproduction has not been demonstrated and which have few or no subterminal innovations. Growth habit and structural features displayed by the gametophytes of Leucophanes are also adaptations for water retention. It is most likely that the life-form characteristic of this genus developed in relation to environmental stresses imposed by the corticolous habit in seasonally dry tropical forests.
10.2307/3243150|Eight mosses are reported from Nigeria for the first time. These are Weissia controversa Hedw., Schoenobryum robustum (Broth, in Mildb.) Manuel, Thuidium chenagonii C. Muell. ex Ren. & Card., Entondon geminidens (Besch.) Par., Pylaisiobryum abyssinicum (C. Muell.) Wijk & Marg., Hypnum cupressiforme Hedw., Campylopus hensii Ren. & Card, and Mittenothamnium elegantulum (C. Muell.) Card. All except the last two species are from the Nigerian highlands.
20110750|The concept of transient assemblage dynamics (TAD) is introduced relating to the fine-scale temporal and spatial variability in substrate locations that result in greater unpredictability in bryophyte-microhabitat relationships within certain sites. An analytical test for the occurrence of TAD in a subalpine forest floor bryophyte community is outlined based on a multivariate comparison of within-plot (
10.2307/3244028|Cladonia carneola (Fr.) Fr., hitherto unreported from California, is reported from two localities in the state. Both localities lie at 500 m elevation or less. These localities are widely separated from other populations of C. carneola in western North America, which have been reported from much higher elevations. The relictual presence of C. carneola in unique habitats in coastal California is discussed.
10.2307/3241239|Enlarged sporocytes containing 5-8 spores were detected in about 10% of the sporocytes in two separate gatherings of Dicnemoloma pallidum. These sporocytes may have resulted from fusion of cells without subsequent nuclear fusion and doubling of the chromosome number.
41289803|Rinodina campestris, R. megistospora and R. terricola are described as new to science. Rinodina boleana is recorded for the first time from North America and is compared in detail to R. pyrina and R. imshaugii and all are shown to possess Dirinaria-type spores.
10.2307/3241840|Calypogeia sullivantii, Cololejeunea contractiloba, C. minutissima subsp. myriocarpa, Petalophyllum ralfsii, and Riccia albida are new for Louisiana and Radula bolanderi is new for New Mexico.
10.2307/3242588|A review of recent and historical specimens of Calymperes (Musci: Calymperaceae) from various regions of the Old World tropics, including primarily Malaysia, Oceania, and Australia, reveals only 16 well-defined species, in spite of the numerous names reported from the general area as new species. A key, synonymy, diagnostic features, reference to illustrations, and differentiation from similar species are given for these 16 species, together with an index to all names cited.
10.2307/3243688|Concentrations of ten elements were studied in two morphologically similar species of foliose lichens (Flavoparmelia baltimorensis and F. caperata) that grow on tree bark and granite boulders in Rhode Island, to document the influence of substrates on thallus element content. There were large differences in the concentrations of phosphorus, potassium, calcium, and zinc between F. baltimorensis thalli growing on granite boulders and thalli growing on adjacent Quercus bark. The large differences in calcium concentrations between epiphytic (0.08% Ca) and epilithic (0.73% Ca) F. baltimorensis thalli were due to substrate differences rather than atmosphere or precipitation differences. Concentrations of nitrogen, potassium, calcium, copper, iron, and zinc were higher in F. baltimorensis and F. caperata thalli growing on Q. borealis bark than in thalli growing on Q. alba bark. Comparisons between lichen thalli growing on different Quercus species corroborated the influence of substrate element content on thallus element concentrations for some elements, but not others. Zinc was the only element that was significantly higher in one Flavoparmelia species than the other when both grew on the same bark substrate. Leaching experiments indicated that the ten elements measured were not easily leached from F. baltimorensis thalli and that these thalli did not contain high amounts of soluble surface deposits when collected. Phosphorus (250% higher in winter than summer) and sodium (27% higher in summer than winter) exhibited the highest temporal variations in F. baltimorensis thalli.
10.2307/3242119|Distributional data are presented for 15 species of mosses in Pennsylvania. The occurrence of Hyophila involuta (Hook.) Jaeg. & Sauerb. in the flora is confirmed. Campylium chrysophyllum (Brid.) J. Lange var. brevifolium (Ren. & Card.) Grout is reported for the first time from the state.
10.2307/3242908|Tracer experiments using exogenous
41289813|The lichen species Verrucaria tavaresiae is associated with Petroderma maculiforme, an unusual photobiont belonging to the brown algae. This marine ascomycete has so far been found only on the coast of Central California, although its photobiont has a much broader geographical distribution. Morphological and ecological characters have led a previous author to attribute this marine fungus to Verrucaria, a genus including other species colonizing the intertidal zone of rocky seashores. Phylogenetic inferences from two nuclear and one mitochondrial loci confirm the placement of Verrucaria tavaresiae within the lichen family Verrucariaceae and more specifically within the marine genus Wahlenbergiella. The new combination Wahlenbergiella tavaresiae (R. L. Moe) Gueidan, Ths & Prez-Ortega is therefore proposed here.
10.2307/3242562|Eight mosses are reported from Nigeria for the first time. These are Weissia controversa Hedw., Schoenobryum robustum (Broth. in Mildb.) Manuel, Thuidium chenagonii C. Muell. ex Ren. & Card., Entondon geminidens (Besch.) Par., Pylaisiobryum abyssinicum (C. Muell.) Wijk & Marg., Hypnum cupressiforme Hedw., Campylopus hensii Ren. & Card. and Mittenothamnium elegantulum (C. Muell.) Card. All except the last two species are from the Nigerian highlands.
10.2307/3241497|Low light intensity (5-10 foot-candles) inhibits the production of gemma cups in Marchantia nepalensis. Under 200 foot-candles gemma cups and gemmae are formed; their production is increased by a higher light intensity (600 foot-candles). Sucrose in the medium brings about in situ germination of gemmae, and this effect is enhanced by increased light intensity.
10.2307/3242586|Tayloria hornschuchii (Grev. et Arnott) Broth. is described for the first time as having either axillary or rhizoidal propagula or both and is reported for the first time from the Canadian Arctic Archipelago on Northeastern Ellesmere Island, N. W. T. A gametophytic comparison is made between T. hornschuchii and T. froelichiana (Hedw.) Mitt. to distinguish specimens without sporophytes. Leaf cell lengths prove to be a dependable character, with T. hornschuchii having significantly shorter basal and apical cell lengths. Propagula have never been found on T. froelichiana. North American distribution maps show T. froelichiana as low arctic-alpine and T. hornschuchii as high arctic-alpine.
10.2307/3241899|Lophozia incisa, a fleshy mesophytic hepatic, has a remarkable reaction to desiccation. When dry the fleshy stems become thin, broad, flat and thallus-like, with the much shrunken leaves arranged obliquely on the upper surface. When sterile such dry plants closely resemble Fossombronia. A recent report of two collections of F. foveolata from central Alaska is based on the dry state of L. incisa, which may be identified by its ability to regain its normal morphological characteristics when moistened and by the presence of lophozioid gemmae, a feature lacking in Fossombronia.
3244694|The new genus Kachbrenneriella Diederich & M. S. Christ. is described to accommodate the lichenicolous hyphomycete Torula cyanescens Kalchbr., and the new combination K. cyanescens (Kalchbr.) Diederich & M. S. Christ. is proposed. As the type specimen is considered to be lost, a neotype is designated. The fungus forms a whitish tomentum on Usnea thalli, composed of erect conidiophores on which hyaline, catenate conidia develop, and is known from Europe, Canada, and Papua New Guinea.
10.2307/3241412|The Raymond E. Hatcher collections of Hepaticae and Anthocerotae (413 specimens) are reported from the following areas in the Magellanian region of Chile: 1) a deciduous Nothofagus forest, 2) an ecotonal area between evergreen and deciduous forests, and 3) an evergreen Nothofagus forest. Several new southern range extensions are discussed. Cephaloziella gemmata Engel is described as new and Leptophyllopsis irregularis (Steph.) Engel is a new combination.
3244686|Chaenotheca nitidula is described as a new species from northeastern North America. It is characterized by long, shining stalks; rather small, spheric, non-pruinose capitul; immersed thallus; and its association with Stichococcus as photobiont. In a phylogenetic analysis based on rDNA ITS1-5.8S-ITS2 sequences, C. nitidula was most closely related to Chaenotheca gracilenta and C. gracillima. It occurs on wood of conifers in old woodlands and has so far been recorded from Maine and New Brunswick.
40982984|The terricolous Acarospora orcuttii is described from three historical collections from San Diego in 1883 and 1884 by C. R. Orcutt in the Farlow Herbarium. The species looks similar to A. fuscescenSy but differs in the absence of gyrophoric acid, thinner paraphyses as well as several other characters. The species may be extinct. Terricolous lichen habitats are rare and threatened throughout coastal southern California. It is hoped some remaining populations may be discovered.
20110796|Barbula santessonii E. B. Bartram and B. fusca Mll. Hal., two neglected South American species are transferred to the genus Didymodon Hedw. Both species are described and distinguished from closely related species with which they may be confused. Each species is illustrated for the first time and its distribution mapped. Barbula fuscoviridis Broth. ex Thr. is synonymized with Didymodon fuscus.
10.2307/3243006|Germination responses of Sordaria fimicola and Cladonia cristatella ascospores were observed in the presence of three pure lichen acids on buffered media ranging in pH from 4 to 7. Acetone solutions of either vulpinic (VUL), evernic (EVE) or stictic (STC) acid were poured onto buffered agar at a concentration of 2.7 x 10
41486737|Hypothetically, the alpine and high elevation moss flora reached central Mexico by migration from northern latitudes following the western mountain ranges. Study of 774 specimens belonging to eighteen species of Grimmia identified four patterns of distribution in Mexico: species restricted to the Neovolcanic Belt, those mainly distributed in the northwestern states, widely distributed taxa, and endemic species. Track analysis showed that the generic distribution indeed followed the western mountains. Modeling was introduced to determine the potential ranges for most Mexican species of Grimmia and review the migration hypothesis. The resulting potential distribution maps using maximum entropy show that several species have discontinuous ranges in the northwestern states. Other taxa are restricted to the Neovolcanic Belt, and still others extend their potential distribution to stations in southern Mexico and Guatemala. Although the original hypothesis proposed that the high altitude moss flora was derived from temperate North America may still be acceptable, the South American distribution of various species indicate that migration may have also proceeded from the south.
10.2307/3244184| A complete list of the liverworts known from Xinjiang, China, comprising 28 genera and 56 species, is presented. Eleven genera and 30 species are new to Xinjiang, and five species, Cephaloziella hampeana (Nees) Schiffn., Asterella saccata (Wahl.) A. Evans, Riccia cavernosa Hoffm., Lophozia chichibuensis Inoue, and Lophozia jurensis K. Mll, are new to China. In addition, two species - Porella platyphylla (L.) Pfeiff. and Tritomaria exsectiformis (Breidl.) Loeske var. exsectiformis - are new to Kazakhstan. 
10.2307/3240807|The ground cover of bryophytes and lichens of 14 spruce-fir stands in coastal Maine was sampled by a line-intercept method. One hundred four species in 54 genera were found. They formed an average composite cover of 34% of which, in decreasing order, the most important were Calliergonella schreberi, Dicranum spp., Bazzania trilobata, Ptilidium spp., and Hylocomium splendens. The percentage of the ground covered with bryophytes and lichens varies widely among the stands and within individual stands.
10.2307/3242620|Previously known only from collections by E. Almquist in 1879 on the Vega Expedition, Staurothele discedens (Nyl.) Zahlbr. and Gyalidea lecideopsis var. convarians (Nyl.) Vezda are reported from new localities in northern Alaska. Polyblastia cucurbitula sp. nov., sometimes associated with them, occurs also in Alaska, British Columbia, and Yukon.
10.2307/3243178| The objective was to explore the range of isozymes detectable in two stands of Cetraria arenaria Krnef. established in stabilized sand dunes along the eastern shore of Lake Huron. Proteins in crude extracts were separated by isoelectricfocussing and tests were made for peroxidase, catalase, esterase, carbonic anhydrase, acid phosphatase, alkaline phosphatase, lactate dehydrogenase, malate dehydrogenase and glutamate dehydrogenase activity. Some gels were stained also with Coumassie Brilliant Blue, a general protein stain. Storage of acetone-extracted thallus pieces at -20C for as long as 10-12 months had little effect on the isozyme banding patterns. Most of the bands appeared to be common among samples collected in the same stand, but some notable within-stand differences were observed with respect to esterases and acid and alkaline phosphatases. Only minor quantitative differences in proteins were observed between the two stands. 
10.2307/3241367|Buxbaumia piperi Best, found in Humboldt and Siskiyou Counties, is reported from California for the first time.
10.2307/3240781|Column chromatographic separation of the constituents of Ramalina paludosa B. Moore yielded atranorin, usnic acid, cryptochlorophaeic acid (1.1%), and a new lichen substance, paludosic acid (0.097%). The new substance can be distinguished microchemically from the related compounds cryptochlorophaeic acid and merochlorophaeic acid. Spectral evidence and the hydrolytic degradation products identified by thin-layer chromatography indicate that paludosic acid is 4-O-demethylmerochlorophaeic acid, a lower homologue of cryptochlorophaeic acid with which it occurs.
10.2307/3244407|We monitored growth (as change in biomass) of Lobaria pulmonaria for approximately 3 years in western Oregon, re-weighing thalli eleven times over the 3 years. Thalli were grown as pendant transplants in a Fraxinus latifolia forest. Most transplants survived for the full 3 years, with only 12 out of the 60 thalli missing by the end; another 9 were eliminated from the data set due to breakage. While growth rates were highly variable most thalli grew rapidly; mean biomass increases were 28%, 47%, and 69% over the first one, first two, and all 3 years, respectively. Growth rates were not correlated with starting sizes of transplants, which ranged from 0.18 to 0.56 g, but differences among individuals' growth rates were consistent over time. Growth rates were strongly seasonal. Thalli did not grow significantly during summer and early fall, which are dry seasons in the study area. Thalli grew throughout the wet seasons (November to June) and, in the year during which growth was measured most frequently, growth rates were maximal in spring, contrasting with our expectation that rapid growth would begin with the onset of autumn rains.
10.2307/3244431|Scanning electron microscope,
10.2307/3241098|New distributional records are given for nine species of lichenized ascomycetes. Eight of the species are reported for North America for the first time: Caloplaca diphyodes (Nyl.) Jatta, Catillaria kansuensis Magn., C. sculpturata Magn., Cystocoleus ebeneus (Dill.) Thwaites, Lopadium fecundum Th. Fr., Parmelia mougeotii (Flot.) Schaer., Porina mammillosa (Th. Fr.) Vain., and Psorotichia minuta Magn.
10.2307/3240897|The chromosome number and meiotic pecularities have been studied for nine mosses: Andreaea rupestris Hedw., n=10; Polytrichum alpinum Hedw. arcticum (Wahlenb.) Brid., n=14; Tetraphis pellucida Hedw., n=8; Ditrichum pusillum (Hedw.) Britt., n=13; Dicranella heteromalla (Hedw.) Schimp., n=13+2-3frs.; Dicranodontium denudatum (Brid.) Britt., n=13; Grimmia doniana Sm., n=13; Tetraplodon angustatus Hedw., n=10; and Brotherella recurvans (Michx.) Fleisch., n=6. Six of these mosses are reported cytologically for the first time. The chromosome number for Tetraphis pellucida in North America is different from that in Finland. The role of one extra heterochromatic large bivalent, in relation to sex expression, is discussed for Tetraplodon angustatus.
10.2307/3243527|Pseudocrossidium steerei is described as a new species from the interandean region from the province of Pichincha, Ecuador.
