41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941084|*Cyclophosphamide|D003520|516|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|767^4^0
41941084|*Cisplatin|D002945|513|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|767^4^0
41941232|*Diploidy|D004171|24484|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|226^7^0;106^7^0
41941232|*Tetraploidy|D057891|19369|MH|RtM via: Tetraploidy;Forced Leaf Node Lookup:tetraploids|TI|MM;RC|354^10^0
41941232|*Chromosomes|D002875|16302|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM;RC|1080^10^0;591^11^0
41941232|*Hybridization, Genetic|D006824|14586|MH|RtM via: Crossbreeding|TI|MM;RC|24^10^0
41941232|*Meiosis|D008540|8748|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM;RC|881^7^0;762^7^0;176^7^0
41941232|*Genome|D016678|6960|MH|RtM via: Genome|TI|MM;RC|1287^6^0;1179^6^0;1234^7^0;1135^7^0;988^6^0;472^7^0
41941232|*Genomics|D023281|1542|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM|1135^7^0;472^7^0
41941232|Artificial Intelligence|D001185|1000|MH|Forced Non-Leaf Node Lookup:ai||MM|618^2^0
41941179|*Arachis|D010367|3443|MH|RtM via: Arachis hypogaea;Forced Leaf Node Lookup:arachis hypogaea;checkForceMH Boosted|TI|MM;RC|69^16^0
41941179|Bolivia|D001838|757|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|106^7^0
41941179|Ecuador|D004484|757|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|123^7^0
41941179|*Research Design|D012107|459|MH|RtM via: Test Method|TI|MM|378^6^0
41941179|*Health Services|D006296|267|MH|RtM via: Test Method|TI|MM|378^6^0
41941179|Seeds|D012639|148|MH|Forced Non-Leaf Node Lookup:seed||MM;RC|25^4^0;423^4^0
41941179|*Electrophoresis|D004586|132|MH|RtM via: Gel Electrophoresis (lab technique);Forced Non-Leaf Node Lookup:electrophoresis|TI|MM|162^19^0;166^15^0
41941304|Argentina|D001118|1119|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|430^9^0;264^9^0;198^9^0;82^9^0
41941304|*Solanum|D032322|306|MH|RtM via: Solanum vaillantii;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanums|TI|MM|276^18^0;21^18^0
41941304|*Geography|D005843|585|MH|RtM via: Geography|TI|MM|169^12^0
41941304|*Environment|D004777|429|MH|RtM via: Para (geographic area)|TI|MM|247^4^0
41941304|*Biological Phenomena|D001686|240|MH|RtM via: establishment and maintenance of localization|TI|MM|182^12^0
41941304|*Record|D011996|87|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|49^8^0
41941171|*Diploidy|D004171|9290|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|1430^7^0
41941171|*Turnera|D029647|6484|MH|RtM via: Turnera (plant);Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM|207^7^0;95^7^0
41941171|*Karyotyping|D007621|18603|MH|RtM via: Karyotype determination procedure|TI|MM;RC|1613^9^0;1488^9^0;1115^10^0;182^10^0
41941171|*Karyotype|D059785|18594|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|1613^9^0;1488^9^0;1115^10^0;182^10^0;1552^9^0
41941247|Humans|D006801|1687|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941247|*Flowers|D035264|687|MH|RtM via: Plant Calyx|TI|MM|265^5^0
41941247|*Plant Leaves|D018515|549|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|208^6^0
41941247|*Hispanic Americans|D006630|189|MH|RtM via: Paraguayan|TI|MM|100^10^0
41941247|*Sida Plant|D000076248|156|MH|RtM via: Sida <angiosperm>|TI|MM|385^4^0;135^4^0
41941340|Brazil|D001938|767|MH|RtM via: Bahia (organism);RtM via: Brazil;Forced Leaf Node Lookup:brazil;Forced Leaf Node Lookup:bahia|TI|MM|89^5^0;275^6^0;61^6^0
41941340|*Baccharis|D031175|287|MH|RtM via: Baccharis alleluia;Forced Leaf Node Lookup:baccharis;checkForceMH Boosted|TI|MM|323^18^0;112^18^0;260^9^0;48^9^0;135^9^0;344^9^0
41941340|*Environment|D004777|285|MH|RtM via: Bahia (geographic area);RtM via: Para (geographic area)|TI|MM|89^5^0;270^4^0
41941340|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|381^3^0
41941228|*Vernonia|D035741|5946|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM|1245^8^0;443^8^0;21^8^0
41941228|*Karyotyping|D007621|19194|MH|RtM via: Karyotype determination procedure|TI|MM;RC|1542^9^0;1322^10^0;936^10^0;487^9^0
41941228|*Karyotype|D059785|16218|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|1542^9^0;1322^10^0;936^10^0;487^9^0;578^9^0
41941228|*Hepatitis Delta Virus|D003698|390|MH|RtM via: Subviral Satellite|TI|MM|719^9^0
41941250|Argentina|D001118|1473|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|565^9^0;451^9^0;185^9^0;97^9^0
41941250|*Anagallis|D031823|1359|MH|RtM via: Anagallis;RtM via: Anagallis filiformis;Forced Leaf Node Lookup:anagallis;checkForceMH Boosted|TI|MM|691^9^0;319^9^0;370^20^0;21^20^0
41941250|*Record|D011996|291|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|110^8^0
41941250|*Environment|D004777|171|MH|RtM via: Para (geographic area)|TI|MM|643^4^0;576^4^0;443^4^0
41941265|Animals|D000818|4560|CT|Catfishes;CT Treecode Lookup: B01.050.150.900.493 (Catfishes)||MM;RC
41941265|*Apocynaceae|D029062|3560|MH|RtM via: Asclepiadeae;RtM via: Macroditassa;RtM via: Asclepiadoideae;RtM via: Apocynaceae;RtM via: Ditassa;RtM via: Metastelmatinae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM;RC|967^12^0;218^12^0;1088^12^0;836^12^0;346^12^0;80^12^0;927^15^0;868^15^0;178^15^0;112^15^0;856^11^0;100^11^0;1074^7^0;325^7^0;1003^15^0;254^15^0
41941265|*Altitude|D000531|1151|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|1294^8^0;541^8^0
41941265|*Sand|D000080463|1091|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|564^5^0
41941265|*Grassland|D065948|398|MH|Forced Leaf Node Lookup:savannas|TI|MM;RC|550^8^0
41941265|Brazil|D001938|350|MH|RtM via: Brazil;RtM via: brazilian;Forced Leaf Node Lookup:brazil|TI|MM;RC|1158^6^0;396^6^0;49^9^0
41941265|*Forest|D065928|675|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|438^6^0
41941265|*Restriction Mapping|D015183|576|MH|RtM via: Restriction Mapping|TI|MM|1208^4^0
41941265|*Catfishes|D002397|270|MH|RtM via: Conta|TI|MM|1101^5^0
41941090|*Saccharum|D031786|1106|MH|RtM via: Saccharum;Forced Leaf Node Lookup:sugarcanes;checkForceMH Boosted|TI|MM|626^9^0
41941090|*Saccharose|D013395|775|ET|Entry Term Replacement for "Sucrose";RtM via: sucrose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:saccharose|TI|MM|941^10^0;612^10^0;303^8^0;86^8^0
41941090|*Edible Grain|D002523|621|MH|RtM via: sugar cane|TI|MM|626^9^0
41941090|*Therapeutic Irrigation|D007507|471|MH|RtM via: Irrigation;RtM via: Irrigation-Route of Drug Administration|TI|MM|777^10^0;723^10^0
41941248|Colombia|D003105|4500|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM;RC|818^8^0;269^8^0
41941248|Argentina|D001118|3288|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|799^9^0;250^9^0
41941248|Mexico|D008800|1488|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|279^6^0
41941248|Philippines|D010679|1431|MH|RtM via: Philippines;Forced Leaf Node Lookup:philippines|TI|MM|318^11^0
41941248|Thailand|D013785|1005|MH|RtM via: Thailand;Forced Leaf Node Lookup:thailand|TI|MM|308^8^0
41941248|Texas|D013781|792|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|874^5^0;331^5^0
41941248|Florida|D005431|786|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|882^7^0;341^7^0
41941248|*Microscopy, Electron, Scanning|D008855|744|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM|106^28^0
41941248|South Africa|D013019|579|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|287^12^0
41941248|Brazil|D001938|1410|MH|RtM via: Brazil|TI|MM|810^6^0;261^6^0
41941248|India|D007194|429|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM|846^5^0;301^5^0
41941248|*Research|D012106|267|MH|RtM via: Study|TI|MM|69^7^0
41941248|*Pollen Grains|D011058|93|ET|Entry Term Replacement for "Pollen";RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|21^13^0
41941371|*Telophase|D013692|4357|MH|RtM via: telophase;Forced Leaf Node Lookup:telophases|TI|MM|135^9^0
41941371|*Anaphase|D000705|3595|MH|RtM via: Anaphase;RtM via: Mitotic Anaphase;Forced Leaf Node Lookup:anaphases|TI|MM|337^8^0;352^8^0
41941371|*Meiotic Prophase I|D049469|2731|MH|RtM via: Diakinesis;RtM via: diplotene;Forced Leaf Node Lookup:diakinesis|TI|MM|121^10^0;993^9^0;111^9^0
41941371|*Diploidy|D004171|2422|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM|398^7^0
41941371|ceftiofur|C053503|1714|NM|RtM via: Excede|TI|MM|1569^6^0
41941371|*Cephalosporins|D002511|1713|HM|RtM via: Excede|TI|MM|1569^6^0
41941371|*Mitosis|D008938|1224|MH|RtM via: Mitotic Telophase|TI|MM|135^9^0
41941371|*Polyploid|D011123|1068|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM|60^9^0
41941371|*Chromosomes|D002875|3315|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|839^10^0;248^11^0;94^11^0;444^10^0
41941371|*DNA|D004247|525|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|725^3^0;517^3^0
41941371|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1422^3^0
41941314|*Baccharis|D031175|268|MH|RtM via: Baccharis;Forced Leaf Node Lookup:baccharis;checkForceMH Boosted|TI|MM|437^9^0;53^9^0;98^9^0;505^9^0
41941314|Brazil|D001938|252|MH|RtM via: Brazil|TI|MM|455^6^0
41941314|*Environment|D004777|78|MH|RtM via: Para (geographic area)|TI|MM|450^4^0
41941314|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|739^3^0
41941436|Humans|D006801|3355|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941436|*Malvaceae|D019660|2355|MH|RtM via: Wissadula rostrata|TI|MM;RC|450^18^0;41^18^0
41941436|*Hispanic Americans|D006630|291|MH|RtM via: South American|TI|MM|747^14^0
41941436|*Microsurgery|D008866|81|MH|RtM via: Hook|TI|MM|497^4^0;88^4^0
41941436|Americas|D000569|3|MH|RtM via: Americas;Forced Non-Leaf Node Lookup:americas|TI|MM|673^8^0
43574290|*Nectars|D057048|2903|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM;RC|280^9^0;147^9^0
43574290|Venezuela|D014687|248|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM;RC|92^9^0
43574290|*Plant Leaves|D018515|1173|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|142^4^0
43574290|*Malvaceae|D019660|741|MH|RtM via: Byttneria|TI|MM|21^9^0
43574290|*Histological Techniques|D006652|84|MH|RtM via: Sectioning technique|TI|MM|52^7^0
41941443|Argentina|D001118|783|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|483^9^0;178^9^0
41941443|*Eriobotrya|D031983|663|MH|RtM via: Eriobotrya;Forced Leaf Node Lookup:eriobotryas;checkForceMH Boosted|TI|MM|405^10^0;76^10^0
41941443|*Rosaceae|D027824|531|MH|RtM via: Rosaceae (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|441^8^0;112^8^0
41941149|*Gametogenesis, Plant|D056130|13197|MH|RtM via: Megasporogenesis;RtM via: Microsporogenesis;Forced Leaf Node Lookup:microsporogenesis;Forced Leaf Node Lookup:megasporogenesis|TI|MM;RC|534^16^0;40^16^0;21^17^0
41941149|*Apomixis|D060832|6897|MH|RtM via: Apomixis;Forced Leaf Node Lookup:apomixis|TI|MM;RC|668^8^0
41941149|*Chromosome Pairing|D023902|9099|MH|RtM via: Chromosome Pairing;Forced Non-Leaf Node Lookup:chromosome pairings|TI|MM;RC|243^18^0
41941149|*Fertility|D005298|6111|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM;RC|86^9^0
41941149|*Reproduction|D012098|2493|MH|RtM via: Reproduction|TI|MM|605^10^0
41941149|*Research|D012106|765|MH|RtM via: Study|TI|MM|101^7^0
41941149|*Chromosomes|D002875|2313|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|158^17^0
41941242|Brazil|D001938|5437|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|541^6^0;238^6^0
41941242|Argentina|D001118|3442|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|649^9^0;300^9^0
41941242|Uruguay|D014583|1582|MH|RtM via: Uruguay;Forced Leaf Node Lookup:uruguay|TI|MM|639^7^0;288^7^0
41941242|*Immunoenzyme Techniques|D007124|303|MH|RtM via: Enzyme-Linked Lectin Assay|TI|MM|557^5^0
41941242|*Malvaceae|D019660|207|MH|RtM via: Monteiroa <angiosperm>|TI|MM|346^9^0;43^9^0
41941102|Animals|D000818|7358|CT|Ants;CT Treecode Lookup: B01.050.500.131 (Ants)|TI|MM
41941102|*Germination|D018525|6358|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|2217^11^0
41941102|*Humidity|D006813|6067|MH|RtM via: Exposure to Humidity;RtM via: Humidity;Forced Leaf Node Lookup:humidity|TI|MM|1793^8^0
41941102|*Photoperiod|D017440|4597|MH|RtM via: Photoperiod;Forced Leaf Node Lookup:photoperiods|TI|MM|1953^11^0
41941102|*Soil|D012987|4525|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1787^4^0
41941102|relacin|C580565|4002|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|811^7^0
41941102|*Manure|D008372|3841|MH|RtM via: Manure;checkForceMH Boosted|TI|MM|3100^8^0
41941102|*Fruit|D005638|3709|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|2960^6^0;2096^6^0
41941102|*Ants|D001000|3578|MH|Forced Leaf Node Lookup:ant;checkForceMH Boosted|TI|MM|2594^3^0
41941102|*Gossypium|D003368|3578|MH|Forced Leaf Node Lookup:cotton plants;checkForceMH Boosted|TI|MM|1666^12^0;3113^12^0
41941102|*Dipeptides|D004151|4001|HM|RtM via: relacin|TI|MM|811^7^0
41941102|*Body Weight|D001835|3030|MH|RtM via: Dry body weight (observable entity)|TI|MM|2742^10^0
41941102|*Environment|D004777|2946|MH|RtM via: Para (geographic area)|TI|MM|1455^4^0;1190^4^0
41941102|*Seeds|D012639|2385|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|2508^5^0
41941102|*Deoxyguanosine|D003849|2056|HM|RtM via: relacin|TI|MM|811^7^0
41941102|*Flowers|D035264|1734|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|2084^7^0;2261^6^0;2582^6^0
41941102|*Plant Leaves|D018515|1578|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|2070^6^0
41941204|Argentina|D001118|271|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|109^9^0
41941204|*Orchidaceae|D029595|1992|MH|RtM via: Spiranthinae;RtM via: Sarcoglottis;RtM via: Brachystele|TI|MM;RC|79^12^0;150^12^0;120^11^0
41941204|*Record|D011996|9|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|97^8^0
43574276|Animals|D000818|13062|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
43574276|*Arachis|D010367|5698|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM|406^7^0
43574276|*Lotus|D000070116|4776|MH|RtM via: Ornithopus|TI|MM|380^10^0
43574276|*Ethanol|D000431|1341|MH|RtM via: ethanol|TI|MM|916^7^0
43574276|*Coleoptera|D001517|531|MH|RtM via: Figura|TI|MM|648^6^0
43574276|*Chromosomes|D002875|87|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|21^18^0
41941403|Humans|D006801|5687|CT|Rural Population;CT Treecode Lookup: N01.600 (Rural Population)||MM;RC
41941403|Adult|D000328|5687|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|371^6^0
41941403|Male|D008297|5687|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|355^4^0
41941403|Female|D005260|5687|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|364^6^0
41941403|*Rural Population|D012424|4687|MH|RtM via: Rural Communities;Forced Leaf Node Lookup:rural communities;Forced Leaf Node Lookup:rural community|TI|MM|807^17^0;83^15^0;1031^5^0
41941403|*Ceremonial Behavior|D002562|2357|MH|RtM via: Ritual;Forced Leaf Node Lookup:rituals|TI|MM|907^7^0
41941403|Argentina|D001118|2171|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|1057^9^0;154^9^0
41941403|origen|C009784|1952|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|1586^6^0
41941403|South America|D013020|2148|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|828^13^0
41941403|*Azocines|D001392|1951|HM|RtM via: origen|TI|MM|1586^6^0
41941403|*Traditional Medicine|D008519|1761|ET|Entry Term Replacement for "Medicine, Traditional";RtM via: Traditional Medicine;Forced Non-Leaf Node Lookup:traditional medicine|TI|MM|750^20^0
41941403|VMBP protocol|C036046|1231|NM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941403|*Antineoplastic Combined Chemotherapy Protocols|D000971|417|HM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941403|*Bleomycin|D001761|438|HM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941403|*Cisplatin|D002945|1056|HM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941403|*Methotrexate|D008727|843|HM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941403|*Vincristine|D014750|1230|HM|RtM via: VMBP protocol|TI|MM|1199^4^0
41941131|Animals|D000818|9292|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941131|*Anethum graveolens|D028524|8292|MH|RtM via: Anethum graveolens;Forced Leaf Node Lookup:anethum graveolens;checkForceMH Boosted|TI|MM;RC|201^18^0
41941131|*Melia azedarach|D031586|7050|MH|RtM via: Melia azedarach;Forced Leaf Node Lookup:melia azedarachs;checkForceMH Boosted|TI|MM;RC|184^15^0
41941131|*Bromus|D031724|4026|MH|RtM via: Bromus inermis;Forced Leaf Node Lookup:bromus;checkForceMH Boosted|TI|MM|125^14^0
41941131|*Pennisetum|D031782|3873|MH|RtM via: Pennisetum purpureum;Forced Leaf Node Lookup:pennisetums;checkForceMH Boosted|TI|MM|162^20^0
41941131|*Dihydroergotamine|D004087|2166|MH|Forced Leaf Node Lookup:agit;checkForceMH Boosted|TI|MM|117^4^0
41941131|*Ipomoea|D027741|1953|MH|RtM via: Ipomoea morongii;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ipomoea|TI|MM|264^16^0
41941131|*Cenchrus|D031741|3915|MH|RtM via: Pennisetum purpureum|TI|MM|162^20^0
41941131|*Malpighiaceae|D029581|1248|MH|RtM via: Heteropterys|TI|MM|336^12^0
41941131|*Salmoniformes|D017858|63|MH|RtM via: Argentina sphyraena|TI|MM|47^9^0
41941143|*Parmeliaceae|D000068837|170|MH|RtM via: Parmeliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parmeliaceae|TI|MM|360^12^0;68^12^0
41941143|*Environment|D004777|144|MH|RtM via: Para (geographic area)|TI|MM|418^4^0;304^4^0
41941233|*Wood|D014934|6710|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|244^4^0;99^4^0
41941233|Lentinus velutinus|C000677243|882|NM|Forced New Lookup:lentinus velutinus|TI|MM|73^18^0
41941233|*Forest|D065928|10986|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|256^6^0
41941233|Trees|D014197|1244|MH|||RC
41941319|origen|C009784|154|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|252^6^0
41941319|*Gossypium|D003368|153|MH|RtM via: Gossypium ekmanianum;Forced Leaf Node Lookup:gossypiums;checkForceMH Boosted|TI|MM|208^20^0;65^20^0
41941319|*Azocines|D001392|153|HM|RtM via: origen|TI|MM|252^6^0
41941319|*Perfectionism|D000072639|147|MH|RtM via: Perfectionism|TI|MM|32^9^0
41941439|Brazil|D001938|5501|MH|RtM via: Brazil;RtM via: Minas Gerais;Forced Leaf Node Lookup:brazil|TI|MM;RC|531^6^0;211^6^0;643^12^0;517^12^0;276^12^0;197^12^0
41941439|*Environment|D004777|222|MH|RtM via: Para (geographic area)|TI|MM|560^4^0;455^4^0
41941438|Humans|D006801|2020|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941438|Argentina|D001118|485|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|401^9^0
41941438|*Phytolaccaceae|D029602|467|MH|RtM via: Phytolaccaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytolaccaceae|TI|MM|458^14^0;115^14^0
41941438|*Phytolacca|D029603|464|MH|RtM via: Phytolacca thyrsiflora;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytolaccas|TI|MM|411^22^0;68^22^0
41941438|*Text Messaging|D060145|1020|MH|RtM via: Text Messages|TI|MM|259^4^0
41941438|*Hispanic Americans|D006630|522|MH|RtM via: argentinian|TI|MM|171^11^0
41941438|*Photographies|D010781|336|ET|Entry Term Replacement for "Photography";RtM via: Photography;Forced Non-Leaf Node Lookup:photographies|TI|MM|282^13^0
41941438|*Environment|D004777|240|MH|RtM via: Para (geographic area)|TI|MM|487^4^0;387^4^0
41941098|*Cyclophosphamide|D003520|435|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|295^4^0
41941098|*Cisplatin|D002945|336|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|295^4^0
41941098|*Doxorubicin|D004317|234|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|295^4^0
41941192|*Vernonia|D035741|2677|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM|617^8^0;47^8^0
41941192|Argentina|D001118|1448|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|69^9^0
41941192|*Karyotyping|D007621|12768|MH|RtM via: Karyotype determination procedure|TI|MM;RC|189^9^0
41941192|*Karyotype|D059785|5865|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM|189^9^0
41941192|*X Chromosome|D014960|1479|MH|RtM via: X Chromosome|TI|MM|546^10^1;564^1^1
41941110|ammophos|C049682|5242|NM|RtM via: ammophos;Forced SCR Leaf Node Lookup:ammo-phos|TI|MM|965^9^0
41941110|*Manihot|D002365|1917|MH|RtM via: Manihot esculenta;Forced Leaf Node Lookup:manihot esculentas;checkForceMH Boosted|TI|MM|821^17^0
41941110|*Soil|D012987|1824|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1026^4^0
41941110|*Mineral|D008903|5241|ET|Entry Term Replacement for "Minerals";RtM via: ammophos;RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|965^9^0;610^7^0
41941110|*Body Weight|D001835|2577|MH|RtM via: Dry body weight (observable entity)|TI|MM|750^10^0
41941110|*Fertility|D005298|1083|MH|RtM via: Fertility|TI|MM|1031^9^0
41941110|*Environment|D004777|978|MH|RtM via: Para (geographic area)|TI|MM|526^4^0;448^4^0
41941110|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|508^3^0
41941202|*Cryptocarya|D031369|7131|MH|RtM via: Cryptocarya;Forced Leaf Node Lookup:cryptocaryas;checkForceMH Boosted|TI|MM;RC|21^11^0
41941202|*Lauraceae|D019770|7062|MH|RtM via: Lauraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lauraceae|TI|MM;RC|40^9^0
41941202|Argentina|D001118|639|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|86^9^0
41941384|*Rosaceae|D027824|658|MH|RtM via: Rosaceae (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|421^8^0;78^8^0
41941384|*Prunus|D027861|583|MH|RtM via: Prunus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:prunus|TI|MM|413^6^0;70^6^0
41941384|Argentina|D001118|538|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|451^9^0;111^9^0
41941384|*Indican|D007200|461|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|532^7^0
41941384|*Environment|D004777|168|MH|RtM via: Para (geographic area)|TI|MM|505^4^0;484^4^0;443^4^0
41941384|*Names|D009275|126|MH|RtM via: Common Name;RtM via: Generic Name;RtM via: Scientific Name|TI|MM|218^12^0;201^15^0
41941384|*Research|D012106|96|MH|RtM via: Study|TI|MM|287^7^0
41941299|Humans|D006801|1534|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941299|*Malvaceae|D019660|534|MH|RtM via: Malvaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvaceae|TI|MM|435^9^0;98^9^0
41941299|*Sida Plant|D000076248|426|MH|RtM via: Sida <angiosperm>|TI|MM|429^4^0;92^4^0
