43739795|Humans|D006801|43327867|CT|Forced Humans: people|TI|MM;RC
43739808|*Technology|D013672|1236|MH|RtM via: Technology;Forced Non-Leaf Node Lookup:technology|TI|MM|307^10^0
43739808|*Reproduction|D012098|819|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|5592^12^0
43739808|*Seed|D012639|651|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|998^4^0
43739808|Genetic Variation|D014644|1000|MH|Forced Non-Leaf Node Lookup:genetic variations;Forced Non-Leaf Node Lookup:genetic diversity||MM|692^17^0;1794^17^0
43739808|Socioeconomic Factors|D012959|1000|MH|Forced Non-Leaf Node Lookup:socio-economic||MM|386^14^0;510^14^0
43739808|Cloning, Molecular|D003001|1000|MH|Forced Non-Leaf Node Lookup:cloning||MM|299^7^0;813^7^0
43739808|Clone Cells|D002999|1000|MH|Forced Non-Leaf Node Lookup:clones||MM|3482^6^0;3851^6^0;4219^6^0;4457^6^0
43739808|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|6110^3^0;8524^3^0
42609313|Humans|D006801|1000|CT|Forced Humans:D Educational Personnel||MM
42609313|*Capacity Building|D057191|3366|MH|RtM via: Capacity Building;Forced Leaf Node Lookup:capacity building|TI|MM|452^17^0
42609313|*Ownership|D010067|2163|MH|RtM via: Ownership;Forced Leaf Node Lookup:ownership|TI|MM|162^9^0
42609313|*Forestry|D016468|1110|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|735^8^0;41^8^0;778^8^0
42609313|*Developing Countries|D003906|855|MH|Forced Leaf Node Lookup:developing countries|TI|MM|315^20^0;661^20^0
42609313|*Goals|D006040|1845|MH|RtM via: Clinical Trial Objective|TI|MM|604^9^0
42609313|*Learning|D007858|1830|MH|RtM via: Learning|TI|MM|481^8^0
42609313|*Educational Personnel|D000071195|990|MH|RtM via: Teaching principal|TI|MM|2559^9^0;1543^9^0
42609313|*Probability|D011336|978|MH|RtM via: Probability|TI|MM|2337^8^0
42609313|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2042^3^0;2099^3^0
43740347|*Information Technology|D000073256|3163|MH|RtM via: Information Technology;RtM via: communication and information technology;Forced Leaf Node Lookup:information technology|TI|MM|736^22^0
43740347|*Forestry|D016468|2509|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|943^8^0;441^8^0;258^8^0;98^8^0
43740347|validamycin A|C030790|872|NM|RtM via: Validacin;Forced SCR Leaf Node Lookup:validacin|TI|MM|2431^9^0
43740347|*Information Science|D007254|3774|MH|RtM via: Information Sciences|TI|MM|736^22^0
43740347|*Data Management|D000079803|2247|MH|RtM via: Databases|TI|MM|926^8^0
43740347|India|D007194|1005|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM|3086^5^0;2128^5^0;962^5^0;117^5^0
43740347|*Technology|D013672|819|MH|RtM via: Technology;Forced Non-Leaf Node Lookup:technology|TI|MM|693^10^0
43740347|*Policy|D057766|648|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|609^6^0;164^6^0
43740347|*Forest|D065928|444|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|482^6^0
43739781|Humans|D006801|42113143|CT|Forced Humans: people|TI|MM;RC
43739781|*Motivation|D009042|1706789|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|344^10^0
43739781|*Climate Change|D057231|1688141|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|66^14^0
43739781|*Carbon|D002244|1687436|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|394^6^0
43739781|*Conservation of Natural Resources|D003247|1686563|MH|Forced Leaf Node Lookup:deforestation|TI|MM|42^13^0;193^13^0;318^13^0;888^13^0;1203^13^0;1432^13^0;1567^13^0;2194^13^0;614^4^0;710^4^0;1875^4^0;1992^4^0;3272^4^0;3392^4^0
43739781|*Developing Countries|D003906|1686563|MH|Forced Leaf Node Lookup:developing countries|TI|MM|233^20^0
43739781|*Defense Mechanisms|D003674|3402|MH|RtM via: Compensation as a Defense Mechanism;RtM via: Compensation as a General Biological Function|TI|MM|1374^12^0;257^12^0
43739781|*Government|D006076|3243|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|945^10^0
43739781|*Treaty|D007391|2805|ET|Entry Term Replacement for "International Cooperation";RtM via: Treaties;Forced Non-Leaf Node Lookup:treaty|TI|MM;RC|152^6^0
43739781|*Policies|D057766|2625|ET|Entry Term Replacement for "Policy";RtM via: Policy;Forced Non-Leaf Node Lookup:policies|TI|MM|518^8^0
43739781|*Funds|D005376|1956|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:funds|TI|MM|1055^5^0
43739781|*People, Indigenous|D000081034|1473|ET|Entry Term Replacement for "Indigenous Peoples";RtM via: Indigenous Peoples;Forced Non-Leaf Node Lookup:indigenous peoples|TI|MM|1018^17^0
43739781|*Forests|D065928|1365|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|906^6^0;429^6^0;503^8^0;211^6^0;359^6^0;387^6^0;965^6^0;991^6^0
43739781|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1273^3^0
43739781|United Nations|D014480|1000|MH|Forced Non-Leaf Node Lookup:un||MM|132^2^0;1361^2^0;2041^2^0;2813^2^0;3540^2^0;3908^2^0
24310619|*Fertilizers|D005308|93436|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilizers;checkForceMH Boosted|TI|MM|50^10^0
24310619|*Trees|D014197|93229|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|209^5^0
24310619|*Dipterocarpaceae|D053958|93085|MH|RtM via: Shorea palosapis;Forced Leaf Node Lookup:shoreas;checkForceMH Boosted|TI|MM|1592^16^0;781^16^0;171^16^0
24310619|*Soil|D012987|47495|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|534^4^0;474^4^0
24310619|Philippines|D010679|46658|MH|RtM via: Philippines;RtM via: Leyte;Forced Leaf Node Lookup:philippines|TI|MM|722^11^0;106^11^0;1453^5^0;715^5^0;99^5^0
24310619|*Temperature|D013696|46019|MH|Forced Leaf Node Lookup:temperatures|TI|MM|539^12^0
24310619|Kinetochores|D018386|362824|MH|||RC
24310619|Chromosome Segregation|D020090|132507|MH|||RC
24310619|*Research and Development|D012106|465|ET|Entry Term Replacement for "Research";RtM via: Research and Development;Forced Non-Leaf Node Lookup:research and development|TI|MM|568^24^0
24310619|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|915^3^0
24310619|*Islands|D062312|2532|MH|RtM via: Islands|TI|MM|89^6^0
43740179|Malaysia|D008296|1526|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaysia|TI|MM|712^8^0
43740179|Indonesia|D007214|1433|MH|RtM via: Indonesia;Forced Leaf Node Lookup:indonesia|TI|MM|2741^9^0;2437^9^0;698^9^0;467^9^0
43740179|*Developing Countries|D003906|926|MH|Forced Leaf Node Lookup:developing countries|TI|MM|789^20^0
43740179|*Data Management|D000079803|3519|MH|RtM via: Databases|TI|MM|232^8^0
43740179|*Liberalism|D011057|3210|ET|Entry Term Replacement for "Politics";RtM via: Liberalism|TI|MM;RC|749^14^0;616^14^0;260^14^0;67^14^0
43740179|South America|D013020|1215|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|813^13^0
43740179|Asia|D001208|819|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM|2874^4^0;831^4^0
43740179|*Commerce|D003132|459|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|1741^8^0;1098^8^0
43740179|*Forest|D065928|51|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|882^6^0;544^6^0;383^6^0;96^6^0
24310675|Humans|D006801|214918|CT|Rural Population;CT Treecode Lookup: N01.600 (Rural Population)||MM;RC
24310675|*Parks, Recreational|D000068316|67704|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|4705^13^0;1051^13^0;401^13^0;636^13^0;169^14^0
24310675|*Acetyldigitoxins|D000112|67068|MH|RtM via: Adicin;Forced Leaf Node Lookup:adicin;checkForceMH Boosted|TI|MM|5754^6^0
24310675|*Social Capital|D066270|34377|MH|RtM via: Social Capital;Forced Leaf Node Lookup:social capital|TI|MM|5144^14^0;806^14^0
24310675|*Rural Population|D012424|34296|MH|RtM via: Rural Communities;Forced Leaf Node Lookup:rural communities|TI|MM|61^17^0
24310675|*Developing Countries|D003906|33534|MH|Forced Leaf Node Lookup:developing countries|TI|MM|28^20^0
24310675|*Tourism|D000085926|33534|MH|RtM via: Tourism;Forced New Lookup:tourism|TI|MM|838^7^0
24310675|Catheterization, Central Venous|D002405|213918|MH|||RC
24310675|Catheterization, Peripheral|D002406|117525|MH|||RC
24310675|*Attitudes|D001290|681|ET|Entry Term Replacement for "Attitude";RtM via: Attitude;RtM via: Opinions;Forced Non-Leaf Node Lookup:attitudes|TI|MM|2653^9^0;573^9^0;871^7^0
24310675|*Forest|D065928|195|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1828^6^0;1743^6^0;1463^6^0;89^6^0
24310675|Socioeconomic Factors|D012959|1000|MH|Forced Non-Leaf Node Lookup:socio-economic||MM|1623^14^0
24310675|Surveys and Questionnaires|D011795|1000|MH|Forced Non-Leaf Node Lookup:respondents||MM|1524^11^0
24310675|Perception|D010465|1000|MH|Forced Non-Leaf Node Lookup:perception||MM|587^10^0;2670^10^0
43740268|*Goals|D006040|252|MH|Forced Leaf Node Lookup:goals|TI|MM|392^5^0
43740268|*Surveys and Questionnaires|D011795|624|MH|RtM via: PANEL.SURVEY.SEEK|TI|MM|244^5^0
43740268|*Aggression|D000374|396|MH|RtM via: Butting|TI|MM|1166^4^0
43740268|*Cyclophosphamide|D003520|363|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|1317^4^0;1157^4^0
43740268|*Forest|D065928|105|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|542^6^0;273^6^0;25^6^0;726^6^0
24310496|relacin|C580565|74090|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2653^7^0
24310496|*Linear Models|D016014|36998|MH|RtM via: Linear Regression;Forced Leaf Node Lookup:linear regressions|TI|MM|634^18^0
24310496|*Conservation of Natural Resources|D003247|36005|MH|Forced Leaf Node Lookup:deforestation|TI|MM|46^13^0
24310496|*Democracy|D003709|36005|MH|Forced Leaf Node Lookup:democracy|TI|MM|33^9^0;263^9^0;568^9^0;698^9^0
24310496|*Developed Countries|D019049|36005|MH|Forced Leaf Node Lookup:high-income countries|TI|MM|905^21^0
24310496|*Developing Countries|D003906|36005|MH|Forced Leaf Node Lookup:less-developed countries|TI|MM|293^24^0;390^24^0;588^24^0
24310496|Skin Absorption|D012869|178539|MH|||RC
24310496|Administration, Cutaneous|D000279|127800|MH|||RC
24310496|*Dipeptides|D004151|74089|HM|RtM via: relacin|TI|MM|2653^7^0
24310496|*Deoxyguanosine|D003849|36584|HM|RtM via: relacin|TI|MM|2653^7^0
24310496|*Forest|D065928|438|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|475^6^0;350^6^0;163^6^0;440^6^0;508^6^0;734^6^0
43739593|Humans|D006801|27213033|CT|Forced Humans: professional;Forced Humans: university;Forced Leaf Node Lookup:professionals;checkForceMH Boosted|TI|MM;RC|184^12^0
43739593|Animals|D000818|27213033|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)|TI|MM
43739593|*Universities|D014495|1011109|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM;RC|937^10^0;783^10^0;373^10^0
43739593|*Forestry|D016468|1009039|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|886^8^0;544^8^0;359^8^0;197^8^0;52^8^0;262^8^0
43739593|CXCR4 protein, human|C527276|1008329|NM|RtM via: CXCR4 protein, human|TI|MM|2900^5^0
43739593|*Receptors, CXCR4|D019718|1008328|MH|RtM via: CXCR4 Receptors;RtM via: CXCR4 protein, human;Forced Leaf Node Lookup:fusin|TI|MM|2900^5^0
43739593|United Kingdom|D006113|1008217|MH|Forced Leaf Node Lookup:the uk|TI|MM|93^6^0;524^6^0
43739593|*Resource, Natural|D000067936|960|ET|Entry Term Replacement for "Natural Resources";RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|683^16^0
43739593|*Education, Professional|D004517|804|MH|RtM via: Education, Professional|TI|MM|184^12^1;206^9^1
43739593|*Agriculture|D000383|417|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|726^11^0;1790^11^0
43739593|*Coleoptera|D001517|147|MH|RtM via: Queda|TI|MM|2347^5^0
43739593|Socioeconomic Factors|D012959|1000|MH|Forced Non-Leaf Node Lookup:socioeconomic||MM|574^13^0
24309854|*Uncertainty|D035501|12330|MH|RtM via: Uncertainty;Forced Leaf Node Lookup:uncertainty|TI|MM|1019^11^0;780^11^0
24309854|*Health Expenditures|D005102|10797|MH|RtM via: Expenditures;Forced Leaf Node Lookup:expenditures|TI|MM|730^12^0
24309854|Sleep Wake Disorders|D012893|72183|MH|||RC
24309854|Sleep|D012890|48658|MH|||RC
24309854|*Policy|D057766|1140|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|1103^6^0
24309854|*Commerce|D003132|378|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|2611^8^0;2034^8^0;1785^8^0;1595^8^0;1379^8^0;1242^8^0;1421^8^0;1841^8^0
24309854|*Forest|D065928|174|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|545^6^0;251^6^0;103^6^0
24309854|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3358^3^0
43739754|*Forestry|D016468|2866|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|843^8^0;379^8^0;219^8^0;114^8^0
43739754|*Poverty|D011203|1855|MH|RtM via: Poverty;Forced Leaf Node Lookup:poverty|TI|MM|554^7^0
43739754|*Developing Countries|D003906|760|MH|Forced Leaf Node Lookup:developing countries|TI|MM|137^20^0
43739754|*Investment|D007449|2994|ET|Entry Term Replacement for "Investments";RtM via: Investments|TI|MM|205^10^0
43739754|*Public Policy|D011640|1248|MH|RtM via: foreign policy|TI|MM|684^13^1;705^6^1
43739754|*Environmental Policy|D058735|1041|MH|RtM via: Environmental Policy|TI|MM|917^18^0
43739754|*Forests|D065928|528|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|698^6^0;543^7^0;409^6^0;339^7^0
43739754|*Attitudes|D001290|501|ET|Entry Term Replacement for "Attitude";RtM via: Attitude;Forced Non-Leaf Node Lookup:attitudes|TI|MM|2067^9^0;951^9^0
43739605|Animals|D000818|4526|CT|Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass)|TI|MM
43739605|*Sample Size|D018401|3526|MH|RtM via: Sample Size;Forced Leaf Node Lookup:sample sizes|TI|MM|602^11^0
43739605|*Trees|D014197|2141|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|189^4^0;86^4^0
43739605|*Incidence|D015994|1054|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|56^9^0
43739605|*Bass|D001492|992|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|849^4^0
43739605|*Forest|D065928|1416|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|719^6^0;260^6^0
43739605|*Research Design|D012107|609|MH|RtM via: Simple Random Sampling|TI|MM|121^22^0
43739605|*Behavior Therapy|D001521|588|MH|RtM via: Behavioral Activation Intervention to Smoking Cessation and to Post-Cessation Weight Gain|TI|MM|849^4^0
43739605|India|D007194|426|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM|2068^5^0;294^5^0
43739605|Panama|D010176|0|MH|RtM via: Panama|TI|MM|1099^6^0;283^6^0
43739764|*Authorship|D001319|4422|MH|RtM via: Authorship;Forced Leaf Node Lookup:authorships|TI|MM;RC|184^11^0
43739764|*Forestry|D016468|3555|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|490^8^0
43739764|*Social Network Analysis|D000083482|1071|MH|Forced New Lookup:social network analysis|TI|MM|56^23^0;353^23^0;463^23^0
43739764|*Organization|D009938|4395|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures;RtM via: Utilities (organization)|TI|MM|272^12^0;452^7^0
43739764|*Data Management|D000079803|3621|MH|RtM via: Databases|TI|MM|728^8^0
43739764|*Life Style|D008019|2961|MH|RtM via: communes|TI|MM;RC|944^8^0
43739764|*Forest|D065928|609|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1371^4^0;569^6^0
43740366|Humans|D006801|7102|CT|Urban Population;CT Treecode Lookup: N01.600 (Urban Population)||MM;RC
43740366|*Urban Population|D014505|5599|MH|RtM via: Urban Population;Forced Leaf Node Lookup:urban populations|TI|MM;RC|252^17^0
43740366|*Wildfires|D000075923|4669|MH|RtM via: Wildfires;Forced Leaf Node Lookup:forest fires|TI|MM|381^12^0
43740366|*Ecosystem|D017753|4522|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|42^10^0
43740366|*Economic Development|D057217|3154|MH|RtM via: Economic Development;Forced Leaf Node Lookup:economic development|TI|MM|182^20^0
43740366|*Conservation of Natural Resources|D003247|1693|MH|Forced Leaf Node Lookup:deforestation|TI|MM|414^13^0;1201^13^0
43740366|Mediterranean Region|D019083|6102|MH|RtM via: Mediterranean Region;Forced Non-Leaf Node Lookup:mediterranean region|TI|MM|277^20^0
43740366|*Climate|D002980|3165|MH|RtM via: Climate|TI|MM|501^7^0
43740366|*Forests|D065928|2973|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|760^6^0;613^7^0;313^7^0;35^6^0
43740366|*Biodiversity|D044822|2832|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|136^12^0
43740366|*Policy|D057766|1293|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|670^6^0
43740366|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2130^3^0
43739787|Brazil|D001938|2796|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|2233^6^0;309^6^0
43739787|relacin|C580565|886|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2745^7^0;2767^7^0
43739787|*Conservation of Natural Resources|D003247|324|MH|Forced Leaf Node Lookup:deforestation|TI|MM|365^13^0;1285^13^0
43739787|Indonesia|D007214|324|MH|RtM via: Indonesia;Forced Leaf Node Lookup:indonesia|TI|MM|2242^9^0;320^9^0
43739787|*Dipeptides|D004151|885|HM|RtM via: relacin|TI|MM|2745^7^0
43739787|*Deoxyguanosine|D003849|498|HM|RtM via: relacin|TI|MM|2745^7^0
43739787|*Refraction, Ocular|D012029|462|MH|RtM via: ocular sphere|TI|MM|821^7^0
43739787|*Cyclophosphamide|D003520|438|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|1855^4^0
43739787|*Policy|D057766|426|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policies;Forced Non-Leaf Node Lookup:policy|TI|MM|864^4^0;933^6^0;586^4^0;570^4^0;495^6^0;280^4^0;109^8^0
43739787|*Forests|D065928|45|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1008^3^0;864^4^0;856^3^0;586^4^0;610^3^0;570^4^0;477^3^0;280^4^0;94^6^0;53^7^0
43739787|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1125^3^0
24310470|*Forestry|D016468|16713|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|712^8^0
24310470|*Informal Sector|D000070100|15276|MH|RtM via: Informal Sector;Forced Leaf Node Lookup:informal sector|TI|MM|650^15^0
24310470|*Fiscal Policy|D000070586|15006|MH|RtM via: Fiscal Policy;Forced Leaf Node Lookup:fiscal policies|TI|MM|118^15^0;65^15^0
24310470|*Tomography, X-Ray Computed|D014057|127503|MH|RtM via: Thermoacoustic Computed Tomography|TI|MM;RC|1051^4^0
24310470|Hematoma, Subdural, Chronic|D020200|83392|MH|||RC
24310470|*Certification|D002568|438|MH|RtM via: Certification;Forced Non-Leaf Node Lookup:certifications|TI|MM|1682^13^0;1294^13^0;721^13^0;393^13^0;1735^13^0
24310470|*Taxation|D013660|258|ET|Entry Term Replacement for "Taxes";RtM via: Taxation;Forced Non-Leaf Node Lookup:taxation|TI|MM|1856^8^0
24310470|Africa|D000349|0|MH|RtM via: African country|TI|MM|93^17^0
43739430|Animals|D000818|3655|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)|TI|MM
43739430|Profil|C546490|1045|NM|RtM via: Profil;Forced SCR Leaf Node Lookup:profil|TI|MM|1846^6^0
43739430|*Composite Resins|D003188|1044|HM|RtM via: Profil|TI|MM|1846^6^0
43739430|*Lepidoptera|D007915|891|MH|RtM via: Problema|TI|MM|3295^8^0
43739430|*Liberalism|D011057|663|ET|Entry Term Replacement for "Politics";RtM via: Liberalism|TI|MM|997^14^0
43739430|*Commerce|D003132|615|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|2192^8^0
43739430|*Certification|D002568|147|MH|RtM via: Certification;Forced Non-Leaf Node Lookup:certifications|TI|MM|2158^13^0;1425^13^0;1043^13^0;980^13^0;877^13^0;568^9^0;361^13^0;21^13^0;139^9^0
43739430|*Forest|D065928|135|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|919^6^0;259^6^0;85^6^0;149^6^0;338^6^0
42609192|*Trees|D014197|2327|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|321^4^0
42609192|*Wood|D014934|1231|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|110^4^0;140^4^0
42609192|relacin|C580565|978|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2367^7^0
42609192|Ghana|D005869|457|MH|RtM via: Ghana;Forced Leaf Node Lookup:ghana|TI|MM|1964^5^0;1728^5^0;950^5^0;348^5^0;132^5^0
42609192|*Prospective Studies|D011446|457|MH|Forced Lookup:prospective|TI|MM|728^11^0
42609192|*Forest|D065928|1719|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|753^6^0;595^6^0;572^6^0;448^6^0;56^6^0
42609192|*Dipeptides|D004151|977|HM|RtM via: relacin|TI|MM|2367^7^0
42609192|*Investments|D007449|744|MH|RtM via: Investments|TI|MM|740^9^0
42609192|*Industry|D007221|648|MH|RtM via: Industry|TI|MM|145^8^0
42609192|*Deoxyguanosine|D003849|619|HM|RtM via: relacin|TI|MM|2367^7^0
42609192|*Land Tenure|D012959|591|ET|Entry Term Replacement for "Socioeconomic Factors";RtM via: Land Tenure;Forced Non-Leaf Node Lookup:land tenure|TI|MM|237^11^0
42609192|*Attention|D001288|330|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|206^9^0
43739786|*Economic Development|D057217|2325|MH|RtM via: Economic Development;Forced Leaf Node Lookup:economic development|TI|MM|248^20^0
43739786|*Negotiating|D017008|1611|MH|RtM via: Mediation;Forced Leaf Node Lookup:negotiations|TI|MM|2692^12^0;1237^12^0
43739786|*Social Justice|D012935|1518|MH|RtM via: Justice;Forced Leaf Node Lookup:justice|TI|MM|2675^7^0
43739786|*Climate Change|D057231|1011|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|72^14^0
43739786|*Conservation of Natural Resources|D003247|696|MH|Forced Leaf Node Lookup:deforestation|TI|MM|118^13^0;1347^13^0;2820^13^0
43739786|*Developing Countries|D003906|696|MH|Forced Leaf Node Lookup:developing countries|TI|MM|21^20^0
43739786|Indonesia|D007214|696|MH|RtM via: Indonesia;Forced Leaf Node Lookup:indonesia|TI|MM|3937^9^0;867^9^0
43739786|*Defense Mechanisms|D003674|2190|MH|RtM via: Compensation as a Defense Mechanism;RtM via: Compensation as a General Biological Function|TI|MM|1780^13^0;1520^13^0;395^13^0
43739786|*Displacement, Psychological|D004208|1878|MH|RtM via: Psychologic Displacement|TI|MM|1065^8^0
43739786|*Industry|D007221|810|MH|RtM via: Industry|TI|MM|1010^8^0
43739786|*Fund|D005376|1350|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:fund|TI|MM|1321^4^0
24310616|variacin|C099477|75519|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|4122^8^0;3989^8^0;3844^8^0;3447^8^0;3243^8^0;2981^8^0
24310616|*Sample Size|D018401|39196|MH|RtM via: Sample Size;Forced Leaf Node Lookup:sample sizes|TI|MM|1279^11^0
24310616|*Color|D003116|37582|MH|Forced Leaf Node Lookup:colours|TI|MM|627^6^0
24310616|*Plant Bark|D024301|37582|MH|Forced Leaf Node Lookup:bark|TI|MM|715^4^0;847^4^0
24310616|Vanuatu|D009514|37582|MH|RtM via: Vanuatu;Forced Leaf Node Lookup:vanuatu|TI|MM|3148^7^0;2849^7^0;1820^7^0;1457^7^0;380^7^0;21^7^0;123^7^0;1530^7^0
24310616|*DNA Mutational Analysis|D004252|165264|MH|RtM via: Genetic Variation Analysis|TI|MM;RC|1327^17^0;1172^17^0;1055^17^0
24310616|*Bacteriocins|D001430|75518|HM|RtM via: variacin|TI|MM|4122^8^0;3989^8^0;3844^8^0;3447^8^0;3243^8^0;2981^8^0
24310616|Genetic Variation|D014644|1000|MH|Forced Non-Leaf Node Lookup:genetic variations||MM|1055^17^0;1172^17^0;1327^17^0
24310616|*Islands|D062312|852|MH|RtM via: Islands|TI|MM|372^6^0
24309829|Animals|D000818|233663|CT|Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass)|TI|MM
24309829|*Bass|D001492|60965|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|3263^4^0;2452^4^0
24309829|*Social Change|D012922|60485|MH|RtM via: Social Impact;Forced Leaf Node Lookup:social impacts|TI|MM|3138^3^0;772^3^0;675^13^0;809^14^0
24309829|*Carbon|D002244|34147|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|842^6^0;114^6^0;146^6^0
24309829|*Cost-Benefit Analysis|D003362|30136|MH|Forced Leaf Node Lookup:cost-effective|TI|MM|440^14^0;1030^14^0
24309829|Abscisic Acid|D000040|232663|MH|||RC
24309829|Plant Growth Regulators|D010937|98501|MH|||RC
24309829|*Forest|D065928|6891|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|107^6^0
