10.2307/2395210|Animals|D000818|8867|CT|Spiders;CT Treecode Lookup: B01.050.500.131 (Spiders)||MM;RC
10.2307/2666179|*Pollination|D054817|44680|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|1414^11^0
10.2307/2666179|*Fruit|D005638|24707|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|673^5^0;373^6^0
10.2307/2666179|Portugal|D011174|20495|MH|RtM via: Portugal;Forced Leaf Node Lookup:portuguese;Forced Leaf Node Lookup:portugal|TI|MM;RC|114^8^0;1130^10^0
10.2307/2666179|*Wood|D014934|11773|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|1282^4^0
10.2307/2666179|*Pollen|D011058|27888|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM;RC|1210^6^0;927^6^0;751^6^0;579^6^0;616^13^0
10.2307/2666179|*Flowers|D035264|20094|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|364^7^0
10.2307/2666179|*Insect|D007313|11199|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|1407^6^0
10.2307/2666179|*Plant Leaves|D018515|9588|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1291^6^0
10.2307/2666179|*Seeds|D012639|8805|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|381^5^0
10.2307/2666179|*Habit|D006184|216|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|1441^5^0
10.2307/2398846|*Erythrina|D004895|49468|MH|RtM via: Erythrina;Forced Leaf Node Lookup:erythrina;checkForceMH Boosted|TI|MM;RC|48^9^0
10.2307/2398846|erysovine|C571549|27228|NM|Forced SCR Leaf Node Lookup:erysovine|TI|MM|268^9^0
10.2307/2398846|erysopine|C571548|21476|NM|Forced SCR Leaf Node Lookup:erysopine|TI|MM|283^9^0
10.2307/2398846|erysodine|C097135|7788|NM|RtM via: erysodine;Forced SCR Leaf Node Lookup:erysodine|TI|MM|257^9^0
10.2307/2398846|*Gas Chromatography-Mass Spectrometry|D008401|4367|MH|RtM via: Gas Chromatography-Mass Spectrometry;Forced Leaf Node Lookup:gas chromatography-mass spectrometry|TI|MM|154^36^0
10.2307/2398846|*Glycosides|D006027|4358|MH|RtM via: Glycosides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycosides|TI|MM|139^10^0
10.2307/2398846|*Alkaloids|D000470|27227|MH|RtM via: erysopine;RtM via: erysovine;RtM via: Alkaloids;Forced Non-Leaf Node Lookup:alkaloids|TI|MM;RC|283^9^0;268^9^0;201^9^0;91^9^0
10.2307/2398846|*Dihydro-beta-Erythroidine|D004079|7787|HM|RtM via: erysodine|TI|MM;RC|257^9^0
10.2307/2666157|Bees|D001516|153290|CT|RtM via: Apis mellifera;RtM via: Bees;Forced Leaf Node Lookup:honeybees;Forced Leaf Node Lookup:bees|TI|MM;RC|1245^9^0;1641^4^0;1422^4^0;1236^4^0
10.2307/2666157|Animals|D000818|153290|CT|RtM via: Apis mellifera;RtM via: Bees;CT Text Lookup: bees;Forced Animals Added: Bees|TI|MM;RC|1245^9^0;1641^4^0;1422^4^0;1236^4^0
10.2307/2666157|*Plant Nectar|D057048|152290|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|814^6^0;683^6^0;597^6^0;68^6^0;476^6^0
10.2307/2666157|*Erythrina|D004895|47340|MH|RtM via: Erythrina;RtM via: Erythrina cristagalli;Forced Leaf Node Lookup:erythrina crista-galli;checkForceMH Boosted|TI|MM|1841^9^0;234^22^0
10.2307/2666157|*Fruit|D005638|34042|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|1055^5^0;995^6^0;896^6^0;1083^5^0
10.2307/2666157|*Trees|D014197|31645|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1312^5^0
10.2307/2666157|*Germination|D018525|29404|MH|Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM|1115^16^0;1120^11^0
10.2307/2666157|*Sugar|D000073893|18644|ET|Entry Term Replacement for "Sugars";RtM via: Sugars;RtM via: raw sugar;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|777^5^0
10.2307/2666157|Argentina|D001118|16286|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|262^9^0
10.2307/2666157|Uruguay|D014583|15449|MH|RtM via: Uruguay;Forced Leaf Node Lookup:uruguay|TI|MM|276^7^0
10.2307/2666157|*Seeds|D012639|5706|MH|RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM;RC|1181^5^0;1100^4^0;1006^5^0;1115^16^0;1073^5^0
10.2307/2666157|Plant Breeding|D000069600|9838|MH|Replacement of Breeding Plants Found||MM
10.2307/2666157|*Pollination|D054817|130125|MH|RtM via: Pollination|TI|MM;RC|1666^11^0;1587^10^0;1362^11^0;707^11^0
10.2307/2666157|*Flowers|D035264|42468|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1398^7^0;1169^7^0;723^7^0;635^7^0;407^7^0;180^6^0
10.2307/2666157|*Fabaceae|D007887|8289|MH|RtM via: Phaseoleae|TI|MM;RC|1801^10^0
10.2307/2666157|*Reproduction|D012098|7617|MH|RtM via: flowering|TI|MM;RC|561^9^0;289^9^0;28^9^0
10.2307/2666157|*Hexose|D006601|1125|ET|Entry Term Replacement for "Hexoses";RtM via: Hexoses;Forced Non-Leaf Node Lookup:hexoses|TI|MM|460^6^0
10.2307/2666157|Passeriformes|D046109|1000|MH|Forced Non-Leaf Node Lookup:passerines||MM;RC|1565^9^0
40035480|*Phylogeny|D010802|13533|MH|RtM via: Phylogeny;RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships|TI|MM;RC|25^26^0;1590^12^0
40035480|*Cordia|D031213|8790|MH|RtM via: Cordia lutea;RtM via: Cordia sebestena;RtM via: Cordia varroniifolia;RtM via: Cordia dentata;Forced Leaf Node Lookup:cordias;checkForceMH Boosted|TI|MM|1022^12^0;792^12^0;1322^16^0;846^19^0;1361^7^0;1464^6^0;1370^10^0;1386^10^0;1281^7^0;1290^10^0;1306^10^0;1155^7^0;1164^10^0;1180^10^0;1083^6^0;1069^6^0;959^6^0;872^6^0;814^6^0;744^6^0;549^6^0;1003^14^0;773^14^0;666^6^0;1125^6^0
40035480|*Wood|D014934|2763|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|1214^4^0
40035480|*Magnoliopsida|D019684|9663|MH|RtM via: Coldenia procumbens;RtM via: Cordiaceae;RtM via: Ehretiaceae;RtM via: Varronia|TI|MM|183^19^0;1566^10^0;323^10^0;267^10^0;55^10^0;228^11^0;515^8^0
40035480|*Ecology|D004463|1284|MH|RtM via: Ecology|TI|MM|484^7^0
40035480|*Pollen|D011058|942|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1192^6^0
10.2307/2399752|Humans|D006801|26579140|CT|Forced Humans: families|TI|MM;RC
10.2307/2399752|*Fossils|D005580|2243643|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|127^6^0;228^7^0
10.2307/2399752|*Phylogeny|D010802|2241414|MH|RtM via: Phylogenetic Reconstruction;RtM via: Phylogeny;Forced Leaf Node Lookup:phylogenies;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|4985^24^0;2230^9^0;2099^11^0
10.2307/2399752|*Trees|D014197|2237475|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|5058^4^0;4063^4^0;2333^4^0;1737^5^0;416^4^0;863^4^0
10.2307/2399752|*Wood|D014934|1119771|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|85^4^0
10.2307/2399752|*Wetlands|D053833|1119132|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps|TI|MM|474^6^0
10.2307/2399752|*Coal|D003031|1118508|MH|RtM via: Coal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coal|TI|MM|469^4^0
10.2307/2399752|*Biological Phenomena|D001686|2940|MH|RtM via: Tissue Growth|TI|MM|4488^6^0;4298^6^0;3463^6^0;3127^6^0;956^6^0
10.2307/2399752|*Physiological Phenomena|D010829|2922|MH|RtM via: Reflecting|TI|MM|3953^10^0
10.2307/2399752|*Tracheophyta|D064028|2865|MH|RtM via: Tracheophyta|TI|MM|143^15^0
10.2307/2399752|*Reproduction|D012098|1638|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM;RC|3060^12^0;2951^12^0;2178^12^0;1811^12^0;1039^12^0;521^12^0
10.2307/2399752|*Mutation|D009154|960|MH|RtM via: Mutation;Forced Non-Leaf Node Lookup:mutations|TI|MM|3388^8^0
10.2307/2399752|*Habit|D006184|252|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|3792^5^0;2338^5^0;963^5^0
10.2307/2399752|Dissociative Disorders|D004213|1000|MH|Forced Non-Leaf Node Lookup:dissociation||MM|1409^12^0
10.2307/2399752|Epigenesis, Genetic|D044127|1000|MH|Forced Non-Leaf Node Lookup:epigenetic||MM|3499^10^0
10.2307/2399768|Animals|D000818|142104|CT|Cestoda;CT Treecode Lookup: B01.050.500.500 (Cestoda)|TI|MM
10.2307/2399768|Male|D008297|142104|CT|Hypospadias;CT Treecode Lookup: C12.294.494 (Hypospadias)|TI|MM
10.2307/2399768|Humans|D006801|142104|CT|Hypospadias;CT Treecode Lookup: C12.294.494 (Hypospadias)|TI|MM
10.2307/2399768|*Caryophyllidae|D019684|141104|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Apiales;RtM via: Asterales;RtM via: Boraginales;RtM via: Cornales;RtM via: Menyanthaceae;RtM via: Order Scrophulariales;RtM via: Subclass Caryophyllidae;RtM via: Subclass Asteridae;RtM via: Magnoliopsida;RtM via: Angiosperm;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllidae|TI|MM;RC|539^7^0;408^7^0;548^9^0;632^11^0;394^8^0;781^13^0;605^15^0;211^14^0;838^9^0;486^9^0;351^9^0;265^9^0;124^9^0;339^6^0;244^11^0;231^7^0;55^10^0;176^9^0;435^9^0
10.2307/2399768|*Phylogeny|D010802|47946|MH|RtM via: Phylogenetic Analysis;RtM via: Molecular Phylogenetics;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analysis;Forced Leaf Node Lookup:phylogenies|TI|MM;RC|872^21^0;715^21^0;725^11^0
10.2307/2399768|*Fossils|D005580|25259|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|916^6^0
10.2307/2399768|*Lamiales|D000068378|22493|MH|RtM via: Lamiales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lamiales|TI|MM|622^8^0
10.2307/2399768|*Ericales|D020448|20642|MH|RtM via: Ericales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ericales|TI|MM|384^8^0
10.2307/2399768|*Solanales|D000076666|18902|MH|RtM via: Solanales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanales|TI|MM|649^9^0
10.2307/2399768|*Dipsacales|D000074766|14930|MH|RtM via: Dipsacales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dipsacales|TI|MM|527^10^0
10.2307/2399768|*Gentianales|D000070677|14930|MH|RtM via: Gentianales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gentianales|TI|MM|592^11^0
10.2307/2399768|*Oleaceae|D029592|11432|MH|RtM via: Oleaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oleaceae|TI|MM|796^8^0
10.2307/2399768|*Cestoda|D002589|1710|MH|RtM via: Subclass Caryophyllidae|TI|MM|211^14^0
10.2307/2399768|Plant Proteins|D010940|428|MH|||RC
10.2307/2399768|Scalp ear nipple syndrome|C536623|424|NM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Muscle Hypotonia|D009123|423|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Abnormalities, Multiple|D000015|126|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Ear, External|D004431|201|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Hypospadias|D007021|252|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Nipples|D009558|63|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|*Scalp|D012535|48|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|496^4^0;361^4^0
10.2307/2399768|LAT protein, Human herpesvirus 2|C477254|1000|NM|Forced SCR Human Protein Found: lat|TI|MM|367^3^0
10.2307/2399768|LAT protein, human|C110810|1000|NM|Forced SCR Human Protein Found: lat|TI|MM|367^3^0
40982877|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.150.900 (Vertebrate)||MM
40982877|*Neotyphodium|D055328|158797|MH|RtM via: Neotyphodium;Forced Leaf Node Lookup:neotyphodiums;checkForceMH Boosted|TI|MM;RC|566^12^0
40982877|*Ergot Alkaloids|D004876|78677|MH|RtM via: Ergot alkaloid peripheral vasodilators;RtM via: Ergot alkaloids, antimigraine;RtM via: ergot alkaloids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ergot alkaloids|TI|MM;RC|784^15^0
40982877|loline|C059478|49226|NM|Forced SCR Leaf Node Lookup:loline|TI|MM|765^6^0
40982877|*Symbiosis|D013559|42659|MH|RtM via: Symbiotic;RtM via: Mutualism;RtM via: Symbiosis;Forced Leaf Node Lookup:mutualism|TI|MM;RC|409^9^0;163^10^0;1680^9^0;1293^9^0;21^9^0
40982877|*Phylogeny|D010802|36517|MH|RtM via: Molecular Phylogenetics;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:molecular phylogenetics|TI|MM;RC|1217^22^0;1227^12^0
40982877|*Poaceae|D006109|33722|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|1356^5^0;1007^7^0;439^5^0;34^7^0;43^7^0
40982877|peramine|C499007|31913|NM|RtM via: peramine;Forced SCR Leaf Node Lookup:peramine|TI|MM|774^8^0
40982877|*Seedlings|D036226|31492|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1852^9^0
40982877|*Herbivory|D060434|17468|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|306^10^0
40982877|*Inflorescence|D056626|16301|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|1041^14^0;908^14^0
40982877|*Virulence|D014774|15536|MH|RtM via: Virulence;Forced Leaf Node Lookup:virulence|TI|MM|1727^9^0
40982877|*Pork Meat|D000080305|14744|MH|RtM via: Bacon;Forced Leaf Node Lookup:bacon|TI|MM|598^5^0
40982877|*Alkaloids|D000470|49225|MH|RtM via: Alkaloids;Forced Non-Leaf Node Lookup:alkaloids|TI|MM;RC|703^9^0
40982877|*Heterocyclic Compounds, 2-Ring|D006574|31912|HM|RtM via: peramine|TI|MM|774^8^0
40982877|*Polyamines|D011073|29569|HM|RtM via: peramine|TI|MM|774^8^0
40982877|*Vertebrate|D014714|10875|ET|Entry Term Replacement for "Vertebrates";RtM via: Vertebrates;Forced Non-Leaf Node Lookup:vertebrates|TI|MM;RC|278^10^0
40982877|*Seeds|D012639|5202|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|1842^5^0;1078^5^0;935^4^0
40982877|*Invertebrate|D007448|3372|ET|Entry Term Replacement for "Invertebrates";RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|293^12^0
40982877|*Diterpenes|D004224|3138|MH|RtM via: Diterpenes;Forced Non-Leaf Node Lookup:diterpenes|TI|MM;RC|812^10^0
40982877|*Indoles|D007211|1809|MH|RtM via: Indoles;RtM via: indole;Forced Non-Leaf Node Lookup:indoles|TI|MM|805^6^0
40982877|Mutation|D009154|1000|MH|Forced Non-Leaf Node Lookup:mutations||MM|1604^9^0
10.2307/2398854|*Moraea|D027621|3250|ET|Entry Term Replacement for "Iridaceae";RtM via: Homeria breyniana;RtM via: Moraea;RtM via: Moraea polyanthos;checkForceMH Boosted;Forced Non-Leaf Node Lookup:homeria|TI|MM;RC|344^15^0;963^7^0;987^6^0;874^7^0;145^7^0;457^17^0
10.2307/2398854|*Eye, Artificial|D005137|942|MH|RtM via: Ophthalmic conformer|TI|MM|114^7^0
10.2307/2398854|*Torso|D060726|930|MH|RtM via: Front of trunk|TI|MM|369^4^0
10.2307/2398854|*Eye Enucleation|D015353|537|MH|RtM via: Ophthalmic conformer|TI|MM|114^7^0
10.2307/2398854|*Name|D009275|402|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|537^4^0
40035495|Animals|D000818|31129|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)||MM;RC
40035495|*Phylogeny|D010802|4825|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analysis|TI|MM;RC|4339^12^0;4042^21^0;3557^21^0
40035495|Japan|D007564|3584|MH|RtM via: Japan;Forced Leaf Node Lookup:japan|TI|MM;RC|4281^5^0;175^5^0
40035495|Taiwan|D013624|2696|MH|RtM via: Taiwan;Forced Leaf Node Lookup:taiwan|TI|MM|235^6^0
40035495|*Asteraceae|D019659|30129|MH|RtM via: Diaspananthus;RtM via: Pertya;RtM via: Macroclinidium;RtM via: Myripnois;RtM via: Ainsliaea;RtM via: Mutisieae;RtM via: Hieracium|TI|MM;RC|4224^13^0;3908^6^0;3835^6^0;3709^6^0;3916^14^0;3748^14^0;3936^9^0;3727^9^0;4685^9^0;4466^9^0;4379^9^0;4132^9^0;4116^9^0;3876^9^0;3796^9^0;3582^9^0;2494^9^0;552^9^0;21^9^0;58^9^0;3225^9^0
40035495|*Flower|D035264|3540|ET|Entry Term Replacement for "Flowers";RtM via: Flowers|TI|MM;RC|443^8^0
40035495|*Plant Leaves|D018515|3354|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|300^6^0;421^6^0
40035495|*Lepidoptera|D007915|795|MH|RtM via: Platyphylla|TI|MM|3104^11^0;1113^11^0
40035495|China|D002681|669|MH|RtM via: China|TI|MM|160^5^0
3298573|*Brachypodium|D058431|164613|MH|RtM via: Brachypodium;RtM via: Brachypodium distachyon;Forced Leaf Node Lookup:brachypodium distachyon;checkForceMH Boosted|TI|MM|1035^12^0;1162^23^0
3298573|*Festuca|D031751|138054|MH|RtM via: Festuca ovina;RtM via: Festuca plicata;RtM via: Festuca unilateralis;RtM via: Festuca subgen. Vulpia;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|2499^13^0;2243^15^0;1919^19^0;2098^6^0;1790^6^0;1419^6^0;1225^6^0;615^6^0;318^6^0;44^6^0;2560^7^0;2520^7^0;2407^7^0;1818^7^0;1592^7^0;1407^7^0;1252^7^0;906^7^0;634^7^0;436^7^0;64^7^0;73^7^0;87^7^0;459^7^0
3298573|*Lolium|D008129|112557|MH|RtM via: Lolium (plant);Forced Leaf Node Lookup:lolium;checkForceMH Boosted|TI|MM|949^6^0
3298573|*Dactylis|D031745|108069|MH|RtM via: Dactylis;Forced Leaf Node Lookup:dactylis;checkForceMH Boosted|TI|MM|957^8^0
3298573|*Secale|D012434|106419|MH|RtM via: Secale;Forced Leaf Node Lookup:secale;checkForceMH Boosted|TI|MM|1007^6^0
3298573|*Phylogeny|D010802|98952|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analyses|TI|MM|2450^12^0;1068^21^0;22^12^0
3298573|*Poa|D031785|96912|MH|Forced Leaf Node Lookup:poa;checkForceMH Boosted|TI|MM|967^3^0
3298573|*Diploidy|D004171|53817|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM|1808^7^0
3298573|*Genetic Speciation|D049810|52890|MH|RtM via: Genetic Speciation;Forced Leaf Node Lookup:cladogenesis|TI|MM|2866^12^0
3298573|*Nucleotide|D009711|50169|ET|Entry Term Replacement for "Nucleotides";RtM via: Nucleotides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nucleotides|TI|MM|2569^10^0
3298573|*Base Sequence|D001483|48456|MH|Forced Leaf Node Lookup:dna sequences|TI|MM|220^13^0
3298573|*Bayes Theorem|D001499|48456|MH|Forced Lookup:bayesian|TI|MM|1128^8^0
3298573|Iodohippuric Acid|D007465|275634|MH|||RC
3298573|Radioisotope Renography|D011866|196603|MH|||RC
3298573|*Polyploid|D011123|6213|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM|1871^9^0
3298573|*Chloroplast|D002736|1023|ET|Entry Term Replacement for "Chloroplasts";RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM|270^11^0
3298573|Mediterranean Region|D019083|3|MH|RtM via: Mediterranean Region|TI|MM|2884^20^0
10.2307/2395234|Animals|D000818|67319|CT|Rodents;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodents);Marsupials;CT Treecode Lookup: B01.050.150.900.649.573 (Marsupials);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);CT Text Lookup: mammal|TI|MM;RC|253^7^0
10.2307/2395234|*Plant Nectar|D057048|66319|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|898^6^0
10.2307/2395234|*Pollination|D054817|63395|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|973^11^0;678^10^0;488^11^0;228^11^0
10.2307/2395234|*Proteaceae|D039105|50831|MH|RtM via: Protea;RtM via: Proteaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:proteaceae|TI|MM;RC|1173^6^0;572^6^0;381^6^0;181^10^0
10.2307/2395234|*Rodents|D012377|16877|ET|Entry Term Replacement for "Rodentia";RtM via: Rodent;checkForceMH Boosted|TI|MM;RC|561^7^0
10.2307/2395234|*Marsupials|D008394|12101|ET|Entry Term Replacement for "Marsupialia";RtM via: Superorder Marsupalia (organism);checkForceMH Boosted;Forced Non-Leaf Node Lookup:marsupials|TI|MM|874^10^0;529^10^0
10.2307/2395234|*Inflorescence|D056626|11594|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|594^13^0
10.2307/2395234|*Trees|D014197|10910|MH|RtM via: Trees (plant);checkForceMH Boosted|TI|MM|1078^8^0;520^8^0
10.2307/2395234|South Africa|D013019|9593|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM;RC|1134^12^0;410^12^0
10.2307/2395234|Australia|D001315|9158|MH|RtM via: Australia;Forced Leaf Node Lookup:australian;Geo Lookup:australian|TI;AB|MM|851^9^0;367^9^0;152^10^0;1067^10^0
10.2307/2395234|*Pollen|D011058|19398|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|910^6^0
10.2307/2395234|*Flowers|D035264|17865|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|949^7^0
10.2307/2395234|*Bird|D001717|7716|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|673^4^0
10.2307/2395234|*Mammals|D008322|3615|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM|998^7^0;253^7^0
10.2307/2395234|*Diet|D004032|2124|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM|919^4^0
10.2307/2395234|*Habit|D006184|381|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|651^5^0;286^5^0;112^5^0
40390056|Animals|D000818|6321|CT|Ephemeroptera;CT Treecode Lookup: B01.050.500.131 (Ephemeroptera)||MM;RC
40390056|*Rubiaceae|D019666|5321|MH|RtM via: Rubiaceae;RtM via: Tricalysia;RtM via: Coffeeae;RtM via: Diplospora;RtM via: Empogona;RtM via: Belonophora;RtM via: Argocoffeopsis;RtM via: Calycosiphonia;RtM via: Xantonnea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM;RC|82^9^0;669^10^0;606^10^0;381^10^0;138^10^0;72^8^0;794^10^0;258^10^0;883^8^0;744^8^0;236^11^0;180^14^0;203^14^0;322^9^0
40390056|*Phylogeny|D010802|2044|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships|TI|MM;RC|351^26^0
40390056|*Introns|D007438|722|MH|RtM via: Introns;Forced Leaf Node Lookup:introns|TI|MM|493^6^0;529^6^0
40390056|*Plastid|D018087|1011|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM|469^7^0
40390056|*Ascomycota|D001203|471|MH|RtM via: Lanceolata (fungus)|TI|MM|1848^10^0
40390056|*Serogroup|D065288|450|MH|RtM via: Australis|TI|MM|1275^9^0
40390056|*Ephemeroptera|D065133|342|MH|RtM via: Lanceolata (insect)|TI|MM|1848^10^0
10.2307/2399179|Humans|D006801|18053737|CT|Forced Humans: individuals|TI|MM
10.2307/2399179|*Turnera|D029647|1471665|MH|RtM via: Turnera hermannioides;Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM;RC|28^21^0
10.2307/2399179|*Pollination|D054817|762210|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|625^12^0;490^11^0
10.2307/2399179|*Ovule|D056771|740610|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|397^5^0
10.2307/2399179|*Diploidy|D004171|740274|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|1094^7^0;910^7^0;80^7^0;1025^7^0
10.2307/2399179|*Tetraploidy|D057891|735828|MH|RtM via: Tetraploidy;Forced Leaf Node Lookup:tetraploids|TI|MM|922^10^0
10.2307/2399179|*Sex Characteristics|D012727|734145|MH|RtM via: sexual dimorphism (cellular);Forced Leaf Node Lookup:dimorphism|TI|MM;RC|274^10^0
10.2307/2399179|*Sand|D000080463|732642|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|119^5^0
10.2307/2399179|Brazil|D001938|732591|MH|RtM via: Sergipe;RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|183^7^0;147^6^0
10.2307/2399179|*Plant Style|D035264|19662|ET|Entry Term Replacement for "Flowers";RtM via: Plant Style;RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|238^13^0;384^6^0
10.2307/2399179|*Pollen|D011058|18021|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|336^6^0;352^6^0
