42606754|Humans|D006801|3619|CT|Community Involvement;CT Treecode Lookup: N02.421.143 (Community Involvement)||MM;RC
42605249|Kenya|D007630|3661|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|398^5^0
42605249|Tanzania|D013636|3661|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania;Geo Lookup:kilimanjaro|TI;AB|MM|829^8^0
42605249|Coleoptera|D001517|1225|MH|||RC
42605249|*Sheep, Domestic|D034561|1050|MH|RtM via: Young sheep (organism)|TI|MM|901^4^0
42605249|*Agriculture|D000383|693|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|120^11^0
42605249|*Seed|D012639|426|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|745^4^0
42605249|*Outbreaks|D004196|69|ET|Entry Term Replacement for "Disease Outbreaks";RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|711^9^0
42605249|Australia|D001315|60|MH|RtM via: Australia|TI|MM|583^9^0
42607199|*Trees|D014197|5036|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|139^5^0
42607199|New Zealand|D009520|553|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|21^11^0
42607199|*Biodiversity|D044822|1455|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|196^12^0
42607199|*Food|D005502|1251|MH|RtM via: Food|TI|MM|80^4^0
42607199|*Regret|D004644|300|ET|Entry Term Replacement for "Emotions";RtM via: Regret|TI|MM|255^9^0
42607199|*Genotypes|D005838|114|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM|235^9^0
42606869|*Forestry|D016468|2174|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|771^8^0;730^8^0;231^8^0
42606869|*Policy|D057766|807|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|909^6^0
42606869|*Grants|D005381|567|ET|Entry Term Replacement for "Financing, Organized";RtM via: funding grant|TI|MM|1150^6^0
42606869|*Forest|D065928|450|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|865^6^0;546^6^0;65^6^0;160^6^0;895^6^0
42606869|*Microcomputer|D008838|336|ET|Entry Term Replacement for "Microcomputers";RtM via: Microcomputers;Forced Non-Leaf Node Lookup:microcomputers|TI|MM|483^13^0
42606869|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3318^3^0
42603254|*Picea|D028222|35122|MH|RtM via: Picea sitchensis;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|141^16^0;795^6^0;384^6^0;133^6^0
42603254|*Trees|D014197|19087|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|78^5^0
42603254|*Wood|D014934|4847|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|499^4^0
42603254|*Forest|D065928|5055|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|71^6^0
42603254|*Phenotype|D010641|3948|MH|RtM via: Trait|TI|MM;RC|544^6^0
42603254|*Ecotypes|D060146|1533|ET|Entry Term Replacement for "Ecotype";RtM via: Ecotype|TI|MM|303^8^0
42603254|*Genetic Techniques|D005821|855|MH|RtM via: Genetic Variation Analysis|TI|MM|50^17^0
42603254|Genetic Variation|D014644|1000|MH|Forced Non-Leaf Node Lookup:genetic variations||MM;RC|50^17^0
42603254|*Attention|D001288|9|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|572^9^0
42608282|Humans|D006801|3193|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
42608282|*Public Sector|D017150|1922|MH|RtM via: Public Sector;Forced Leaf Node Lookup:public sectors|TI|MM|279^13^0
42608282|*Forestry|D016468|860|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|32^8^0
42608282|*Wood|D014934|686|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|510^4^0
42608282|Australia|D001315|563|MH|Forced Leaf Node Lookup:australian;Geo Lookup:australian|TI;AB|MM|21^10^0
42608282|*Organization|D009938|2193|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures;RtM via: Corporation|TI|MM|166^12^0;311^9^0
42608282|*Policies|D057766|1740|ET|Entry Term Replacement for "Policy";RtM via: Policy;Forced Non-Leaf Node Lookup:policies|TI|MM|542^8^0;78^8^0
42608282|*Physical Phenomena|D055585|714|MH|RtM via: Force|TI|MM|893^6^0;343^6^0
42608282|*Continental Population Groups|D044469|531|MH|RtM via: Australian|TI|MM|21^10^0
42608282|RSUME protein, human|C525338|1000|NM|Forced SCR TIAB Human Protein Found: rsume|TI|MM|796^5^0
42608282|*Transcription Factors|D014157|1000|MH|Forced HM TIAB Human Protein SCR Found|TI|MM
43737737|*Trees|D014197|2999|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|96^5^0;151^5^0
43737737|*Lighting|D008029|1282|MH|RtM via: Lighting;Forced Leaf Node Lookup:illumination|TI|MM|184^12^0;577^12^0
43737737|CHOP protocol|C034587|5356|NM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine|TI|MM|1112^5^0
43737737|VAP-cyclo protocol|C036337|5356|NM|RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Vincristine|D014750|5355|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Cyclophosphamide|D003520|3192|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Antineoplastic Combined Chemotherapy Protocols|D000971|558|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Doxorubicin|D004317|1026|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Prednisone|D011241|1629|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine|TI|MM|1112^5^0
43737737|*Prednisolone|D011239|681|HM|RtM via: CHOP regimen|TI|MM|1112^5^0
43737737|*Forest|D065928|1602|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|387^6^0
42605222|*Forestry|D016468|42992|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|1406^8^0;1153^8^0;1023^8^0;1013^8^0;324^8^0;289^8^0;44^8^0
42605222|*Wood|D014934|4274|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|453^4^0;243^4^0
42605222|*Cost-Benefit Analysis|D003362|3761|MH|RtM via: Cost-Benefit Analysis;Forced Leaf Node Lookup:cost benefit analysis|TI|MM|1587^21^0
42605222|*Cellulose|D002482|3083|MH|RtM via: cellulose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cellulose|TI|MM|588^9^0
42605222|*Forest|D065928|10005|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|830^6^0
42605222|*Investment|D007449|2232|ET|Entry Term Replacement for "Investments";RtM via: Investments|TI|MM|1139^10^0;308^10^0
42605222|*Future|D005544|1698|ET|Entry Term Replacement for "Forecasting";RtM via: Future|TI|MM;RC|631^6^0
42605222|Elasticity|D004548|1000|MH|Forced Non-Leaf Node Lookup:elasticity||MM|645^10^0
42606640|*Forestry|D016468|7336|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|247^8^0
42606640|*Trees|D014197|5801|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1077^5^0;134^5^0
42606640|*Soil|D012987|2983|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|926^4^0
42606640|*Receptors, CXCR4|D019718|2732|MH|Forced Leaf Node Lookup:fusin;checkForceMH Boosted|TI|MM|3401^5^0
42606640|*Wood|D014934|2593|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|898^4^0;411^4^0
42606640|*Protoplasts|D011523|2209|MH|RtM via: Protoplasts;Forced Leaf Node Lookup:protoplasts|TI|MM|799^10^0
42606640|*Rejuvenation|D012060|1960|MH|RtM via: Rejuvenation;Forced Leaf Node Lookup:rejuvenation|TI|MM|649^12^0
42606640|*Haploidy|D006238|1789|MH|RtM via: Haploidy;Forced Leaf Node Lookup:haploids|TI|MM|748^7^0
42606640|*Forest|D065928|3312|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1070^6^0;919^6^0
42606640|*Genetic Techniques|D005821|1515|MH|RtM via: Gene Transfer|TI|MM|821^13^0
42606640|*Biotechnology|D001709|1251|MH|RtM via: Biotechnology;Forced Non-Leaf Node Lookup:biotechnologies|TI|MM|49^16^0;1192^14^0
42606640|*Reproduction|D012098|729|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|1558^12^0;677^11^0
42606640|*Embryonic Development|D047108|357|MH|RtM via: somatic embryogenesis;Forced Non-Leaf Node Lookup:embryogenesis|TI|MM|772^21^0;780^13^0
42606640|*Cryopreservation|D015925|219|MH|RtM via: Cryopreservation;Forced Non-Leaf Node Lookup:cryopreservation|TI|MM|840^16^0
42606640|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2613^3^0
42616710|Animals|D000818|8392|CT|Forced Non-Leaf Node Lookup:animals||MM|2155^6^0
42616710|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
42616710|*Quality of Life|D011788|5000|MH|RtM via: Perceived quality of life;RtM via: Quality of life;Forced Lookup:quality of life;Forced Leaf Node Lookup:quality of life|TI|MM|404^15^0
42616710|*Farmers|D000067565|4105|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|427^7^0
42616710|*Dihydroergotamine|D004087|2684|MH|RtM via: Seglor;Forced Leaf Node Lookup:agit;checkForceMH Boosted|TI|MM|926^4^0
42616710|Pakistan|D010154|1279|MH|RtM via: Pakistan;Forced Leaf Node Lookup:pakistan|TI|MM|829^8^0
42616710|*Life Style|D008019|7392|MH|RtM via: communes|TI|MM;RC|84^10^0
42616710|*Self-Help Groups|D012657|2169|MH|RtM via: Support Groups|TI|MM|281^22^0
42616710|*Organization|D009938|1434|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|953^12^0
42616710|*Animal Husbandry|D000822|789|MH|RtM via: Animal Husbandry;Forced Non-Leaf Node Lookup:animal husbandry|TI|MM|629^16^0
42616710|*Forests|D065928|576|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands;Forced Non-Leaf Node Lookup:forests|TI|MM|608^7^0;196^8^0
42608166|*Conifers|D064028|473|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted|TI|MM|303^10^0
42608166|*Cycadopsida|D032462|372|MH|RtM via: Division Coniferophyta (organism)|TI|MM|303^10^0
42608166|*Cyclophosphamide|D003520|348|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|437^4^0
42608166|*Cisplatin|D002945|258|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|437^4^0
42608166|*Doxorubicin|D004317|162|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|437^4^0
42608166|*Esthetics|D004954|96|MH|RtM via: Esthetics (discipline);Forced Non-Leaf Node Lookup:aesthetics|TI|MM|192^9^0
42608166|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|617^3^0
42604543|Humans|D006801|121000|CT|Forced Humans: individuals|TI|MM;RC
42604543|Adolescent|D000293|1000|CT|Forced Age Group: - A fifteen years old; Forced Age Group: is required by 15 years old||MM|19^21^0;1837^27^0
42604543|Young Adult|D055815|1000|CT|Forced Age Group: the stand was twenty years old||MM|897^30^0
42604543|Adult|D000328|1000|CT|Forced Age Group: the stand was twenty years old||MM|897^30^0
42604543|*Trees|D014197|25518|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|2280^5^0;1772^5^0;1466^5^0;1179^5^0;861^5^0;739^5^0;505^5^0;384^5^0;199^5^0;117^5^0;147^5^0;312^5^0;431^5^0;587^5^0;1573^5^0
42604543|Forestry|D016468|2958|MH|||RC
42604543|*Environment|D004777|1413|MH|RtM via: Acre (geographic area)|TI|MM|1926^4^0;1476^4^0;1189^4^0;996^4^0;851^4^0;729^4^0;515^4^0;301^4^0;123^4^0
42604543|*Verbenaceae|D029648|1347|MH|RtM via: Tectona|TI|MM|50^4^0
42604543|*Lamiaceae|D019686|903|MH|RtM via: Tectona|TI|MM|50^4^0
42608450|*Trees|D014197|4247|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1152^4^0;572^4^0
42608450|*Soil|D012987|3016|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1045^4^0
42608450|*Cordia|D031213|2402|MH|RtM via: Cordia alliodora;Forced Leaf Node Lookup:cordias;checkForceMH Boosted|TI|MM|2648^16^0;1296^16^0;45^16^0
42608450|*Islands|D062312|2188|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|97^7^0
42608450|*Phellinus|D000084682|2123|MH|RtM via: Phellinus;Forced New Lookup:phellinus;checkForceMH Boosted|TI|MM|2851^9^0;180^9^0;1438^9^0
42608450|*Cyclonic Storms|D055867|1768|MH|RtM via: Hurricanes;Forced Leaf Node Lookup:hurricanes|TI|MM|821^9^0
42608450|*Incidence|D015994|1330|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|718^9^0;524^9^0
42608450|*Follow-Up Studies|D005500|934|MH|Forced Leaf Node Lookup:follow up|TI|MM|357^9^0
42608450|Vanuatu|D009514|934|MH|RtM via: Vanuatu;Forced Leaf Node Lookup:vanuatu|TI|MM|2722^7^0;1369^7^0;116^7^0
42608450|*Forest|D065928|3057|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|999^6^0
42608450|*Weather|D014887|1869|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|783^7^0
42608450|VMBP protocol|C036046|1192|NM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Antineoplastic Combined Chemotherapy Protocols|D000971|165|HM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Bleomycin|D001761|432|HM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Cisplatin|D002945|867|HM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Methotrexate|D008727|678|HM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Vincristine|D014750|1191|HM|RtM via: VMBP protocol|TI|MM|3093^4^0
42608450|*Recrudescences|D012008|585|ET|Entry Term Replacement for "Recurrence";RtM via: Recrudescence;Forced Non-Leaf Node Lookup:recrudescences|TI|MM|2184^14^0
42608450|*Outbreaks|D004196|564|ET|Entry Term Replacement for "Disease Outbreaks";RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|883^9^0
42608450|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3344^3^0;3607^3^0
42608661|Humans|D006801|48889066|CT|Forced Humans: families|TI|MM;RC
42608661|Child, Preschool|D002675|1000|CT|Forced Age Group: ages 3.5 and 12.5 years||MM|261^23^0
42608661|Child|D002648|1000|CT|Forced Age Group: ages 3.5 and 12.5 years||MM|261^23^0
42608661|*Trees|D014197|3916847|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|973^5^0
42608661|*Indican|D007200|3915455|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|3286^7^0
42608661|New Zealand|D009520|1962709|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|145^11^0
42608661|Brazil|D001938|1959796|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|4043^6^0;2949^6^0;1183^6^0;127^6^0
42608661|Colombia|D003105|1959646|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM;RC|4051^8^0;2957^8^0;1191^8^0;135^8^0
42608661|*Specific Gravity|D013046|1959271|MH|RtM via: Specific Gravity;Forced Leaf Node Lookup:specific gravity|TI|MM|494^16^0
42608661|*Pinus|D028223|1959163|MH|RtM via: Pinus chiapensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|2912^16^0;1380^16^0;40^16^0
42608661|*Wood|D014934|1958944|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|484^4^0
42608661|*Soils|D012987|1958731|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|599^5^0
42608661|Mexico|D008800|1958449|MH|RtM via: Mexico;RtM via: Mexican;Forced Leaf Node Lookup:mexico|TI|MM;RC|1175^6^0;1017^6^0;197^7^0
42608661|Venezuela|D014687|1958392|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM|4061^9^0;2655^9^0;1201^9^0
42608661|South Africa|D013019|1958383|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|1215^12^0;158^12^0
42608661|Zimbabwe|D015030|1958266|MH|RtM via: Zimbabwe;Forced Leaf Node Lookup:zimbabwe|TI|MM|2995^8^0;1510^8^0;175^8^0
42608661|Guatemala|D006166|1957711|MH|RtM via: Guatemala;Forced Leaf Node Lookup:guatemala|TI|MM|3954^9^0;2424^9^0;1003^9^0
42608661|*Adaptation, Physiological|D000222|24045|MH|RtM via: Adaptation|TI|MM|777^5^0
42608661|*Drainage|D004322|1386|MH|RtM via: Drain device;RtM via: Drainage procedure|TI|MM|1989^6^0;591^7^0
42608661|*Organizations|D009938|1218|MH|RtM via: Organization administrative structures|TI|MM|1283^13^0
42608661|*Seeds|D012639|675|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|939^5^0;189^4^0
42607282|*Intention|D033182|1768|MH|RtM via: Intention - mental process;Forced Leaf Node Lookup:intentions|TI|MM|1071^10^0;173^10^0
42607282|*Remote Sensing Technology|D058998|790|MH|Forced Leaf Node Lookup:remote sensing|TI|MM|826^14^0
42607282|*Organizations|D009938|3522|MH|RtM via: Organization administrative structures;RtM via: Corporation|TI|MM|936^9^0;1627^5^0
42607282|*Policy|D057766|2331|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|207^6^0
42607282|*Academies and Institutes|D000047|1074|MH|RtM via: Institutes|TI|MM|583^9^0
42607282|*Drive|D004328|816|MH|RtM via: Initiative|TI|MM|1601^10^0;767^10^0
42607282|*Earth Sciences|D056448|153|MH|RtM via: Earth Sciences;Forced Non-Leaf Node Lookup:earth sciences|TI|MM|618^14^0
42606683|*Trees|D014197|3403|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|528^5^0
42606683|*Pinus|D028223|2945|MH|RtM via: Pinus patula;RtM via: Pinus caribaea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|155^12^0;1199^14^0
42606683|Tanzania|D013636|905|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania|TI|MM|1071^8^0;85^8^0
42606683|*Forest|D065928|1968|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|60^6^0
42606683|*Body Weights and Measures|D001837|1938|MH|RtM via: Height / growth measure|TI|MM|595^13^0;310^13^0
42606683|*Biological Phenomena|D001686|1734|MH|RtM via: Tissue Growth|TI|MM|145^6^0
42606683|VMBP protocol|C036046|1309|NM|RtM via: VMBP protocol|TI|MM|1020^4^0
42606683|*Antineoplastic Combined Chemotherapy Protocols|D000971|276|HM|RtM via: VMBP protocol|TI|MM|1020^4^0
42606683|*Bleomycin|D001761|654|HM|RtM via: VMBP protocol|TI|MM|1020^4^0
42606683|*Cisplatin|D002945|1116|HM|RtM via: VMBP protocol|TI|MM|1020^4^0
42606683|*Methotrexate|D008727|759|HM|RtM via: VMBP protocol|TI|MM|1020^4^0
42606683|*Vincristine|D014750|1308|HM|RtM via: VMBP protocol|TI|MM|1020^4^0
42609020|Animals|D000818|3868|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
42609020|*Trees|D014197|2868|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|274^5^0;160^5^0;372^5^0
42609020|*Aphids|D001042|1947|MH|RtM via: Aphids;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM|516^5^0
42609020|*Population Density|D011156|1857|MH|RtM via: Population Density;Forced Leaf Node Lookup:population densities|TI|MM|335^20^0
42609020|*Pinus|D028223|1482|MH|RtM via: Pinus patula;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1456^12^0;1245^12^0;619^12^0;46^12^0
42609020|relacin|C580565|1258|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|1425^7^0
42609020|*Forest|D065928|1911|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|141^6^0
42609020|*Dipeptides|D004151|1257|HM|RtM via: relacin|TI|MM|1425^7^0
42609020|*Research|D012106|879|MH|RtM via: Study|TI|MM|121^7^0
42609020|*Deoxyguanosine|D003849|693|HM|RtM via: relacin|TI|MM|1425^7^0
42609020|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1944^3^0
42604305|*Cambium|D058506|1073|MH|RtM via: Cambium;Forced Leaf Node Lookup:cambiums|TI|MM|490^7^0
42604305|*Malvaceae|D019660|573|MH|RtM via: Triplochiton scleroxylon|TI|MM;RC|60^24^0
42604305|*Reproduction|D012098|558|MH|RtM via: flowering|TI|MM;RC|371^9^0;236^9^0;126^9^0
42604305|*Nutrient|D000078622|99|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|533^8^0
42604305|Africa, Western|D000354|0|MH|RtM via: West African country|TI|MM|331^22^0
42609989|*Agar|D000362|3567|MH|RtM via: agar;Forced Leaf Node Lookup:agar;checkForceMH Boosted|TI|MM|1210^4^0;179^4^0;1215^4^0
42609989|*Fertilizers|D005308|936|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilisers;checkForceMH Boosted|TI|MM|656^10^0
42609989|*Pinus|D028223|522|MH|RtM via: Pinus oocarpa;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1139^13^0;126^13^0
42609989|*Culture Media|D003470|1902|MH|RtM via: Agar medium;RtM via: Culture Media|TI|MM|179^11^0;831^5^0;614^6^0
42609989|*Biological Phenomena|D001686|672|MH|RtM via: Tissue Growth|TI|MM|820^7^0
42609989|*Transplants|D019737|648|MH|RtM via: Transplanted tissue|TI|MM|702^13^0
42609989|*Cyclophosphamide|D003520|435|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2002^4^0;1482^4^0
42605293|Humans|D006801|2600|CT|Alaskan Natives;CT Treecode Lookup: M01.686 (Alaskan Natives)||MM;RC
42605293|Female|D005260|2600|CT|Labor, Obstetric;CT Treecode Lookup: G08.686.784.769.326 (Labor, Obstetric)||MM;RC
42605293|Pregnancy|D011247|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.326 (Labor, Obstetric)||MM
42605293|*Picea|D028222|1600|MH|RtM via: Picea sitchensis;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM|818^16^0;148^6^0
42605293|*Sample Size|D018401|907|MH|RtM via: Sample Size;Forced Leaf Node Lookup:sample sizes|TI|MM|355^11^0;206^12^0
42605293|*Trees|D014197|769|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|537^5^0;67^5^0;129^5^0
42605293|*Computer Simulation|D003198|347|MH|RtM via: Computer simulation;Forced Lookup:computer simulation|TI|MM|639^10^0;26^19^0
42605293|*Exercise|D015444|675|MH|RtM via: Exercise|TI|MM|46^8^0
42605293|*Disease Progression|D018450|384|MH|RtM via: Sequela of disorder|TI|MM|381^8^0
42605293|*Alaskan Natives|D000072957|357|MH|RtM via: Sitka Indians|TI|MM|1559^5^0;142^5^0
42605293|*Labor, Obstetric|D007743|147|MH|RtM via: Labor (Childbirth)|TI|MM|720^6^0
42605408|New Zealand|D009520|987|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|644^11^0;21^11^0
42605408|*Forest|D065928|13956|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|980^6^0;763^6^0;709^6^0;126^6^0
42605408|Trees|D014197|1289|MH|||RC
42605408|*Reconstructive Surgical Procedures|D019651|360|MH|RtM via: Surgical reduction|TI|MM|194^9^0
42603100|*Pinus radiata|D028223|18047|ET|Entry Term Replacement for "Pinus";RtM via: Pinus <genus>;RtM via: Pinus radiata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus radiata|TI|MM;RC|311^4^0;151^13^0
42603100|*Fungicides, Industrial|D005659|15463|MH|RtM via: Industrial fungicide;Forced Leaf Node Lookup:fungicides;checkForceMH Boosted|TI|MM;RC|657^10^0
42603100|*Spores, Fungal|D013172|15292|MH|RtM via: Conidia;Forced Leaf Node Lookup:conidia;checkForceMH Boosted|TI|MM;RC|547^7^0
42603100|*Wind|D014919|3845|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|641^4^0
42603100|Kenya|D007630|2759|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|174^5^0
42603100|Dothistroma pini|C000673943|2757|NM|Forced New Lookup:dothistroma pini|TI|MM|90^16^0
42603100|*Ascomycota|D001203|23730|MH|RtM via: Dothistroma;RtM via: Dothistroma pini|TI|MM;RC|21^11^0;90^16^0
42603100|*Crops, Agricultural|D018556|1029|MH|RtM via: Agricultural Crops|TI|MM|181^5^0;165^5^0
42603100|*Necrosis|D009336|162|MH|RtM via: Necrosis;Forced Non-Leaf Node Lookup:necrosis|TI|MM|500^8^0
42603046|*Forestry|D016468|7246|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|51^8^0
42603046|*Biological Phenomena|D001686|1011|MH|RtM via: Tissue Growth|TI|MM|1353^7^0;741^6^0
42603046|*Health Services|D006296|867|MH|RtM via: Test Method|TI|MM|1168^6^0;1095^6^0;370^6^0
42603046|*Publications|D011642|339|MH|RtM via: Scientific Publication|TI|MM|182^9^0
42603046|*Research Design|D012107|336|MH|RtM via: Test Method|TI|MM|1168^6^0;1095^6^0;370^6^0
42606992|*Trees|D014197|2842|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|671^4^0;241^4^0;153^4^0
