42901758|Animals|D000818|6458|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
42901237|*Taiga|D066188|706105|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|127^14^0
42901237|*Alleles|D000483|706036|MH|RtM via: Alleles;Forced Leaf Node Lookup:alleles|TI|MM|1095^6^0
42901237|*Esterases|D004950|705541|MH|RtM via: Esterases;checkForceMH Boosted|TI|MM|1823^9^0;564^9^0
42901237|Alaska|D000413|705466|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|1606^6^0;351^6^0
42901237|*Population Groups|D044382|2256|MH|RtM via: Study Population (group)|TI|MM;RC|322^16^0
42901237|*Natural Selection|D012641|1176|ET|Entry Term Replacement for "Selection, Genetic";RtM via: Natural Selection;Forced Non-Leaf Node Lookup:natural selection|TI|MM|1154^17^0
42901237|*Polymorphism, Genetic|D011110|579|MH|RtM via: Genetic Polymorphism|TI|MM|1003^13^0;291^13^0
42901237|*Dissent and Disputes|D034462|495|MH|RtM via: Disputes|TI|MM|1143^5^0
42901237|Electrophoresis|D004586|1000|MH|Forced Non-Leaf Node Lookup:electrophoresis||MM|482^15^0
42901237|Starch|D013213|1000|MH|Forced Non-Leaf Node Lookup:starch||MM|471^6^0
42901237|North America|D009656|249|MH|RtM via: North America|TI|MM|145^13^0
42902389|Humans|D006801|2874|CT|Postnatal Care;CT Treecode Lookup: E02.760 (Postnatal Care);Postnatal Care;CT Treecode Lookup: N02.421.143 (Postnatal Care);Postnatal Care;CT Treecode Lookup: N02.421.143.620 (Postnatal Care);Postnatal Care;CT Treecode Lookup: N02.421.585 (Postnatal Care)||MM;RC
42902389|Animals|D000818|2874|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks)||MM
42902389|Female|D005260|2874|CT|Forced Lookup:female;Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition);Postnatal Care;CT Treecode Lookup: N02.421.143.620 (Postnatal Care);CT Text Lookup: female;CT Text Lookup: her;Forced Non-Leaf Node Lookup:females|TI|MM;RC|672^6^0;992^6^0;682^3^0
42902389|Pregnancy|D011247|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.490 (Parturition)||MM
42902389|*Clutch Size|D052284|1874|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM|1150^11^0
42902389|*Ducks|D004372|1723|MH|RtM via: Anas platyrhynchos;Forced Leaf Node Lookup:duckling;checkForceMH Boosted|TI|MM|1707^18^0;720^8^0;345^18^0;335^8^0;405^8^0;552^8^0;828^8^0;1058^8^0
42902389|*Hot Temperature|D006358|731|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|639^4^0
42902389|*Temperature|D013696|587|MH|Forced Leaf Node Lookup:temperatures|TI|MM|786^11^0;837^11^0
42902389|*Care Givers|D017028|1674|ET|Entry Term Replacement for "Caregivers";RtM via: Caregiver|TI|MM|660^11^0
42902389|*Parturition|D036801|1044|MH|RtM via: hatching|TI|MM|514^8^0;51^8^0
42902389|*Postnatal Care|D011181|906|MH|RtM via: monitoring temperature|TI|MM|818^9^1;837^11^1
42902389|*Cyclophosphamide|D003520|576|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2508^4^0;2080^4^0
42902344|*Estuaries|D063366|885|MH|RtM via: Estuaries;Forced Leaf Node Lookup:estuary|TI|MM|1181^7^0
42902344|*Desiccation|D003890|456|MH|Forced Leaf Node Lookup:desiccation|TI|MM|1539^11^0
42902344|*Immersion|D007101|456|MH|Forced Leaf Node Lookup:immersions|TI|MM|419^9^0;979^9^0;1289^9^0
42902344|*Temperature|D013696|456|MH|Forced Leaf Node Lookup:temperatures|TI|MM|1521^11^0
42902344|*Research|D012106|744|MH|RtM via: Study|TI|MM|1075^7^0
42902344|*Seasons|D012621|624|MH|RtM via: spring (season);RtM via: Summer|TI|MM|1271^6^0;1104^6^0;1192^6^0
42902344|*Physical Examination|D010808|612|MH|RtM via: Physical Examination|TI|MM|1410^8^0
42902344|*Durable Medical Equipment|D004389|492|MH|RtM via: Physical restraint equipment (device)|TI|MM|1410^8^0
42902344|Oxygen|D010100|1000|MH|Forced Non-Leaf Node Lookup:oxygen||MM|1556^6^0
42902344|France|D005602|3|MH|RtM via: France|TI|MM|301^6^0
42901602|Adult|D000328|12094|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|402^6^0;933^5^0
42901602|Humans|D006801|12094|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human;CT Text Lookup: humans|TI|MM;RC|457^6^0
42901602|Animals|D000818|12094|CT|Simuliidae;CT Treecode Lookup: B01.050.500.131 (Simuliidae);Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Salmonids;CT Treecode Lookup: B01.050.150.900.493 (Salmonids);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals)|TI|MM
42901602|*Simuliidae|D012843|11094|MH|RtM via: Simuliidae;Forced Leaf Node Lookup:black flies;Forced Leaf Node Lookup:black fly;checkForceMH Boosted|TI|MM|939^11^0;670^11^0;542^11^0;410^11^0;148^11^0;96^11^0;1109^9^0
42901602|*Ecosystem|D017753|10777|MH|RtM via: Ecosystem;RtM via: Biome;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM|1544^9^0;896^10^0;1600^5^0;32^5^0;1942^8^0;331^8^0
42901602|*Pollination|D054817|8003|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|1002^11^0
42901602|*Parasites|D010271|7273|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|2256^9^0;568^9^0
42901602|*Bacillus thuringiensis|D001413|6487|MH|RtM via: Bacillus thuringiensis;Forced Leaf Node Lookup:bacillus thuringiensis;checkForceMH Boosted|TI|MM|2456^22^0;712^22^0
42901602|*Fertilizers|D005308|6088|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilisers;checkForceMH Boosted|TI|MM|3335^10^0
42901602|*Larvae|D007814|5054|ET|Entry Term Replacement for "Larva";RtM via: Larva;RtM via: Maggots (invertebrate);checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|1493^6^0;1250^6^0;698^6^0;347^6^0;1115^10^0;1119^6^0
42901602|*Rivers|D045483|5051|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1478^5^0
42901602|*Salmonids|D012487|4340|ET|Entry Term Replacement for "Salmonidae";RtM via: Salmonidae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salmonids|TI|MM|3062^9^0;1230^9^0
42901602|*Silk|D047011|3281|MH|RtM via: Silk;checkForceMH Boosted;Forced Non-Leaf Node Lookup:silk|TI|MM|1513^4^0
42901602|*Wilderness|D055814|2861|MH|Forced Leaf Node Lookup:wilderness|TI|MM|1091^10^0
42901602|*Invertebrates|D007448|7770|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|1416^13^0;1185^12^0
42901602|*Birds|D001717|4788|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|474^5^0
42901602|*Insects|D007313|4533|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|231^7^0
42901602|*Haemosporida|D016787|4038|MH|RtM via: Haemosporida|TI|MM|608^15^0
42901602|*Mammals|D008322|3687|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM|438^7^0
42901602|Conservation of Natural Resources|D003247|1000|MH|Forced Non-Leaf Node Lookup:nature conservation||MM|1037^19^0
42901602|Water|D014867|1000|MH|Forced Non-Leaf Node Lookup:water||MM|325^5^0
42900698|Animals|D000818|18488|CT|Weevils;CT Treecode Lookup: B01.050.500.131 (Weevils);Wasps;CT Treecode Lookup: B01.050.500.131 (Wasps);Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera);Moth;CT Treecode Lookup: B01.050.500.131 (Moth);Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
42900698|Pregnancy|D011247|18488|CT|RtM via: No history of induced termination of pregnancy|TI|MM|628^1^1;632^7^1
42900698|Female|D005260|1000|CT|Forced Female Turn Back On Pregnancy Found||MM|628^1^0
42900698|*Herbivory|D060434|17488|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivories;Forced Leaf Node Lookup:herbivory|TI|MM;RC|1470^9^0;3386^10^0
42900698|*Weevils|D048889|12342|MH|RtM via: Weevils;Forced Leaf Node Lookup:weevils;checkForceMH Boosted|TI|MM|1498^6^0;1274^6^0;1151^7^0;854^7^0;195^6^0
42900698|*Wasps|D014863|10087|MH|RtM via: Wasps;Forced Leaf Node Lookup:wasp;checkForceMH Boosted|TI|MM|1181^4^0
42900698|*Fruit|D005638|7306|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|3083^5^0;2437^6^0;2337^5^0;2200^5^0;1248^6^0;745^6^0;646^5^0;535^5^0
42900698|*Genista|D039761|7060|MH|RtM via: Genista versicolor;Forced Leaf Node Lookup:genistas;checkForceMH Boosted|TI|MM|1615^18^0;72^18^0
42900698|*Ovule|D056771|7045|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|2723^6^0;2255^6^0;2229^6^0;2102^6^0;963^5^0;1005^6^0;564^6^0;466^6^0;489^6^0;585^6^0;1057^6^0;2135^6^0;2756^6^0;2829^6^0
42900698|*Moth|D009036|6884|ET|Entry Term Replacement for "Moths";RtM via: Moths;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moth|TI|MM|139^4^0
42900698|*Larvae|D007814|6113|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|1505^6^0;1281^6^0;1224^6^0
42900698|*Fabaceae|D007887|4544|MH|RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM|1635^8^0;92^8^0
42900698|*Parasites|D010271|3635|MH|RtM via: Parasites;checkForceMH Boosted|TI|MM|1164^11^0
42900698|*Automobiles|D001336|3038|MH|Forced Leaf Node Lookup:car|TI|MM|3196^3^0
42900698|*Insects|D007313|6237|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|291^7^0;388^6^0
42900698|*Coleoptera|D001517|5592|MH|RtM via: Exapion compactum|TI|MM|1781^17^0;211^17^0;233^7^0
42900698|*Reproduction|D012098|4677|MH|RtM via: ripening;RtM via: seed maturation;RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|789^7^0;1361^11^0;675^12^0;1936^12^0;357^12^0
42900698|*Seeds|D012639|1488|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1440^5^0;1400^4^0;1096^4^0;1022^4^0;833^5^0;689^4^0;783^5^0;497^4^0;112^4^0;682^5^0;302^4^0;515^4^0;1368^4^0
42900698|Homicide|D006708|1000|MH|Forced Non-Leaf Node Lookup:killings||MM|764^7^0
42902327|*Lichens|D008011|3261|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|1480^7^0;652^7^0;184^6^0
42902327|*Herbivory|D060434|2077|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|1533^10^0;1396^10^0;1020^10^0;818^10^0
42902327|*Grass|D006109|1732|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM|309^5^0
42902327|*Grassland|D065948|1598|MH|Forced Leaf Node Lookup:prairies;Forced Leaf Node Lookup:meadows|TI|MM|1040^7^0;294^6^0
42902327|*Tundra|D065929|1914|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|77^6^0
42902327|*Habitats|D017753|1797|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|762^8^0;84^8^0
42902327|*Bryophyta|D044002|1722|MH|RtM via: Mosses|TI|MM|1462^10^0;637^10^0
42901290|Animals|D000818|8235|CT|Moth;CT Treecode Lookup: B01.050.500.131 (Moth)|TI|MM
42901290|*Herbivory|D060434|7235|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivories;Forced Leaf Node Lookup:herbivores;Forced Leaf Node Lookup:herbivory|TI|MM|2341^10^0;1511^10^0;1406^10^0;808^10^0;267^9^0;170^9^0;144^10^0;79^9^0;1679^10^0;1550^10^0
42901290|*Betula|D029662|4384|MH|RtM via: Betula Genus;Forced Leaf Node Lookup:birchs;checkForceMH Boosted|TI|MM|581^5^0;390^5^0
42901290|*Trees|D014197|3988|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1298^5^0;50^5^0
42901290|*Sugars|D000073893|3218|MH|RtM via: Sugars;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|1150^6^0;636^6^0
42901290|*Biomass|D018533|3193|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|1280^7^0;2900^8^0
42901290|*Hydrolyzable Tannins|D047348|2809|MH|RtM via: Gallotannins;Forced Leaf Node Lookup:gallotannins;checkForceMH Boosted|TI|MM|2404^12^0;868^12^0
42901290|*Moth|D009036|2558|ET|Entry Term Replacement for "Moths";RtM via: Epirrita autumnata;RtM via: Moths;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moth|TI|MM|523^18^0;517^4^0
42901290|*Glucose|D005947|2288|MH|RtM via: glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM|973^7^0;2543^7^0
42901290|*Amino Acids|D000596|2030|MH|RtM via: Amino Acids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:amino acids|TI|MM|623^11^0;852^11^0
42901290|*Seasons|D012621|2006|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|1061^6^0
42901290|*Betulaceae|D029401|2952|MH|RtM via: Betulaceae|TI|MM|581^5^0;390^5^0
42901290|*Biological Phenomena|D001686|2433|MH|RtM via: Tissue Growth|TI|MM|726^6^0;473^6^0
42901290|*Physiological Phenomena|D010829|2169|MH|RtM via: biologic consumption|TI|MM|738^11^0;489^11^0
42901290|*Biochemical Phenomena|D001669|1110|MH|RtM via: Resistance Process|TI|MM|789^10^0
42901290|*Plant Leaves|D018515|747|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|1275^4^0;1193^4^0;1024^4^0;941^4^0;890^6^0;677^4^0;721^4^0;669^6^0;450^4^0;371^6^0;297^4^0;30^6^0;1118^6^0;468^4^0;484^4^0;784^4^0;1225^4^0
42901705|Humans|D006801|9399727|CT|Forced Humans: man|TI|MM;RC
42901705|Male|D008297|9399727|CT|CT Text Lookup: man|TI|MM;RC|3398^3^0
42901705|Animals|D000818|9399727|CT|Ursidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ursidae);Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass)||MM
42901705|*Introduced Species|D058865|755739|MH|RtM via: Invasive Species;Forced Leaf Node Lookup:invasive species;checkForceMH Boosted|TI|MM|2338^16^0;1681^16^0;1217^16^0;636^16^0
42901705|*Ursidae|D001503|754608|MH|RtM via: Ursidae Family;Forced Leaf Node Lookup:bear;checkForceMH Boosted|TI|MM|1152^4^0
42901705|*Bass|D001492|753870|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|4514^4^0
42901705|*Population Density|D011156|378501|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM|1180^15^0
42901705|ETS translocation variant 6 protein|C087043|1732|NM|RtM via: ETV6 protein, human|TI|MM|5049^4^0
42901705|*Proto-Oncogene Proteins c-ets|D050783|1731|HM|RtM via: ETV6 protein, human|TI|MM|5049^4^0
42901705|*Probability|D011336|1020|MH|RtM via: Probability;RtM via: Chance|TI|MM|4621^8^0;2066^10^0;5168^7^0
42901705|*Behavior Therapy|D001521|780|MH|RtM via: System Support Mapping;RtM via: Behavioral Activation Intervention to Smoking Cessation and to Post-Cessation Weight Gain|TI|MM|1774^4^0;4514^4^0
42901705|*Repressor Proteins|D012097|285|HM|RtM via: ETV6 protein, human|TI|MM|5049^4^0
42901779|*Trees|D014197|6855|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|790^5^0;653^5^0;385^4^0
42901779|*Betula|D029662|5361|MH|RtM via: Betula Genus;Forced Leaf Node Lookup:betulas;checkForceMH Boosted|TI|MM|763^6^0
42901779|*Picea|D028222|5154|MH|RtM via: Picea;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM|1114^5^0;241^5^0;1604^5^0
42901779|*Taiga|D066188|4704|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|1234^14^0
42901779|*Wood|D014934|2988|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|731^4^0
42901779|*Abies|D028202|2742|MH|Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM|247^5^0;1610^5^0
42901779|*Parks, Recreational|D000068316|2487|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|507^13^0
42901779|*Forests|D065928|3348|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1130^7^0;926^6^0;825^6^0;751^6^0;552^6^0;623^7^0;350^6^0;263^7^0;59^6^0;174^7^0;914^6^0
42901779|*Betulaceae|D029401|3117|MH|RtM via: Betulaceae|TI|MM|763^6^0
42901779|*Pinus|D028223|1908|MH|RtM via: Picea excelsa|TI|MM|1604^11^0;241^11^0
42901779|*Wilderness|D055814|1869|MH|RtM via: Wilderness|TI|MM|315^10^0
42901779|Conservation of Natural Resources|D003247|1000|MH|Forced Non-Leaf Node Lookup:forest conservation||MM|59^19^0
42901779|Russia|D012426|0|MH|RtM via: Russia|TI|MM|342^6^0
42901736|Animals|D000818|11224|CT|Flycatcher;CT Treecode Lookup: B01.050.150.900.248 (Flycatcher);Calliphoridae;CT Treecode Lookup: B01.050.500.131 (Calliphoridae);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)|TI|MM
42901736|*Flycatcher|D020308|5742|ET|Entry Term Replacement for "Songbirds";RtM via: Flycatchers (bird);checkForceMH Boosted;Forced Non-Leaf Node Lookup:flycatchers|TI|MM|1270^11^0;1082^10^0;715^11^0;525^11^0;644^11^0
42901736|*Seasons|D012621|3594|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|973^6^0
42901736|*Calliphoridae|D000086542|3219|MH|RtM via: Calliphoridae;RtM via: Protocalliphora;Forced New Lookup:blow flies;checkForceMH Boosted|TI|MM|819^10^0;2333^15^0;803^15^0
42901736|*Mosses|D044002|3216|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM|492^6^0
42901736|*Quercus|D029963|3216|MH|Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|934^3^0;1104^3^0
42901736|*Grasses|D006109|2880|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM|556^7^0
42901736|gramine|C007884|1609|NM|Forced SCR Leaf Node Lookup:gramine|TI|MM|1973^7^0
42901736|*Plant Bark|D024301|1608|MH|Forced Leaf Node Lookup:bark|TI|MM|575^4^0
42901736|Plant Breeding|D000069600|2182|MH|Replacement of Breeding Plants Found||MM
42901736|*Forest|D065928|2292|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|952^6^0
42901736|*Reproduction|D012098|2055|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|1598^12^0;247^12^0;75^12^0
42901736|*Habitat|D017753|2013|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1095^7^0;925^7^0;2465^7^0;2672^7^0
42901736|*Ponte|D011149|36|ET|Entry Term Replacement for "Pons";RtM via: Pontine structure;Forced Non-Leaf Node Lookup:pontes|TI|MM|2248^5^0
42900864|Animals|D000818|9955|CT|Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass)|TI|MM
42900864|*Quercus|D029963|8955|MH|RtM via: Quercus coccinea;RtM via: Quercus alba;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|994^11^0;2426^12^0;731^14^0;1002^3^0;1219^3^0;1331^3^0;1392^3^0
42900864|*Acer|D031002|4687|MH|RtM via: Acer saccharum;Forced Leaf Node Lookup:acer saccharums;checkForceMH Boosted|TI|MM|2857^14^0;1117^14^0
42900864|*Ecosystem|D017753|4196|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|1518^10^1;1544^7^1;1335^10^0;1396^10^0
42900864|*Specific Gravity|D013046|3817|MH|RtM via: Specific Gravity;Forced Leaf Node Lookup:relative densities;Forced Leaf Node Lookup:relative density|TI|MM|1153^16^0;660^18^0
42900864|*Soils|D012987|3701|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|493^5^0
42900864|*Seedlings|D036226|3376|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1238^8^0;651^8^0
42900864|*Wetlands|D053833|3128|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM|2872^5^0;1132^5^0
42900864|*Bass|D001492|2818|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|2229^4^0
42900864|Ohio|D009820|1331|MH|RtM via: Ohio;Forced Leaf Node Lookup:ohio|TI|MM|1449^4^0;334^4^0;1706^4^0
42900864|*Forests|D065928|4584|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|142^7^0
42900864|*Woods|D014934|1446|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|74^5^0
42900864|*Politics|D011057|1089|MH|RtM via: Voting|TI|MM|2975^4^0;2551^4^0;2291^4^0
42901626|Animals|D000818|9901|CT|Beetle;CT Treecode Lookup: B01.050.500.131 (Beetle)|TI|MM
42901626|*Seasons|D012621|8901|MH|RtM via: Autumn;RtM via: Summer;RtM via: Seasons;Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM|943^6^0;519^6^0;1006^6^0;508^6^0;935^6^0;499^7^0;171^8^0;598^8^0;998^6^0
42901626|*Altitude|D000531|5229|MH|RtM via: Low altitude;RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|762^15^0;2387^8^0;2295^9^0;849^8^0;768^9^0
42901626|*Climate Change|D057231|3735|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|1418^14^0;1042^14^0;213^14^0;118^18^0
42901626|*Temperature|D013696|3615|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|668^11^0
42901626|*Beetle|D001517|2091|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM|1119^7^0;244^6^0;46^6^0
42901626|*Feasibility Studies|D005240|1251|MH|Forced Leaf Node Lookup:feasibility|TI|MM|1316^11^0
42901626|Spain|D013030|1251|MH|RtM via: Spain;Forced Leaf Node Lookup:spain|TI|MM|292^5^0
42901626|*Microclimates|D008834|4506|ET|Entry Term Replacement for "Microclimate";RtM via: Microclimate|TI|MM|1337^13^0;642^13^0
42901626|*Woodland|D065928|3648|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|974^8^0;732^8^0;373^8^0
42901626|*Habitat|D017753|2286|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|2657^8^0;2266^8^0;1145^7^0;1093^7^0;837^7^0;749^8^0;563^7^0;73^7^0;2355^8^0;1520^7^0;2076^7^0;2714^7^0
42901626|*Cold|D003080|1698|ET|Entry Term Replacement for "Cold Temperature";RtM via: Cold Temperature|TI|MM|927^7^0
42901854|Humans|D006801|11786248|CT|Forced Humans: individuals|TI|MM;RC
42901854|Female|D005260|11786248|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|323^6^0;1228^6^0;1526^6^0
42901854|*Sorbus|D031994|944829|MH|RtM via: Sorbus aucuparia;Forced Leaf Node Lookup:sorbus;checkForceMH Boosted|TI|MM|2141^16^0;461^16^0
42901854|*Fruit|D005638|472782|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|3107^6^0;2641^6^0;1287^6^0;924^6^0
42901854|*Pollination|D054817|3345|MH|RtM via: Pollination|TI|MM|932^10^0;373^11^0;203^11^0
42901854|*Reproduction|D012098|1818|MH|RtM via: flowering;RtM via: Reproduction|TI|MM|1602^9^0;1330^9^0;1148^9^0;1024^9^0;978^9^0;749^9^0;543^9^0;690^9^0;288^9^0;91^9^0;21^9^0;1533^12^0;1235^12^0;330^12^0;145^12^0;61^12^0
42901854|*Flowers|D035264|1218|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|912^7^0;645^8^0
42901854|*Seasons|D012621|1056|MH|RtM via: spring (season)|TI|MM|588^6^0
42901854|*Seed|D012639|936|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1366^4^0;1197^4^0;1061^4^0;402^4^0;257^4^0
42901854|*Probability|D011336|336|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|229^11^0
42901098|Female|D005260|6494|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|54^6^0;1531^6^0;1621^6^0;1862^6^0;1995^6^0
42901098|Animals|D000818|6494|CT|Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae)|TI|MM
42901098|*Salix|D032108|5494|MH|RtM via: Willow;RtM via: Salix scouleriana;Forced Leaf Node Lookup:willows;Forced Leaf Node Lookup:salix;checkForceMH Boosted|TI|MM|1658^6^0;657^7^0;106^7^0;2828^17^0;323^17^0
42901098|*Survivorship|D000073859|2278|MH|RtM via: survivorship;Forced Leaf Node Lookup:survivorship|TI|MM|830^12^0
42901098|*Larvae|D007814|1153|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|2064^6^0;2216^6^0;1806^6^0;1397^6^0;1230^6^0;184^6^0
