10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/1218122|*Alkaloids|C0002062|17250|MH|RtM via: Alkaloids;Forced Non-Leaf Node Lookup:alkaloids|TI|MM;RC|518^9^0
10.2307/1218122|*Flavonoids|C0596577|1941|MH|RtM via: flavanoid|TI|MM|540^10^0
10.2307/1218122|*Biomarkers|C0005516|402|MH|RtM via: Biological Markers|TI|MM|271^7^0
10.2307/1218124|*Hamamelididae|C0330209|16106|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Magnoliopsida;RtM via: Subclass Hamamelididae;RtM via: Urticales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hamamelididae|TI|MM;RC|71^13^0;361^9^0
10.2307/1218124|*Starch|C0038179|9158|MH|RtM via: Starch;checkForceMH Boosted;Forced Non-Leaf Node Lookup:starch|TI|MM;RC|415^6^0;217^6^0;475^6^0
10.2307/1218124|*Ulmus|C0330531|8005|MH|RtM via: Ulmus;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|318^5^0
10.2307/1218124|*Plastids|C0206524|46674|MH|RtM via: Plastids;RtM via: starch grain;Forced Non-Leaf Node Lookup:plastids|TI|MM;RC|390^8^0;258^8^0;199^8^0;475^13^0;558^8^0
10.2307/1218124|*Proteins|C0033684|3939|MH|RtM via: Proteins;RtM via: Storage proteins|TI|MM;RC|426^7^0;268^15^0
10.2307/1218124|*Statistical Distributions|C0038205|807|MH|RtM via: Uniform Distribution|TI|MM|168^20^0
10.2307/1218127|*Oncidium|C1011806|15192|ET|Entry Term Replacement for "Orchidaceae";RtM via: Oncidium;RtM via: Epidendrum;checkForceMH Boosted|TI|MM;RC|258^8^0;59^8^0;199^10^0;96^10^0
10.2307/1218129|*Orchidaceae|C0949956|2595|MH|RtM via: Schomburgkia|TI|MM;RC|88^12^0
10.2307/1218129|Species Specificity|C0037783|40|MH|||RC
10.2307/1218132|Animals|C0003062|1180|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)||MM;RC
10.2307/1218132|*Name|C0027365|180|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|254^4^0;88^4^0
10.2307/1218132|*Viverridae|C1135593|135|MH|RtM via: Prionodon <civet>|TI|MM|94^9^0
10.2307/1218132|*Bryopsida|C0996526|48|MH|RtM via: Prionodon <moss>|TI|MM|94^9^0
10.2307/1218133|*Fossils|C0016614|6706|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|161^6^0
10.2307/1218133|*Plants|C0032098|1950|MH|RtM via: Plants|TI|MM;RC|168^6^0
10.2307/1218133|*Names|C0027365|519|MH|RtM via: Name;RtM via: Person Name|TI|MM|128^5^0
10.2307/1218133|*Drugs, Generic|C0085155|513|MH|RtM via: Generic Drugs|TI|MM;RC|88^7^0
10.2307/1218138|*Book|C0006002|14355|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM;RC|562^4^0
10.2307/1218138|*Publications|C0034036|7353|MH|RtM via: Scientific Publication|TI|MM;RC|614^9^0;127^9^0
10.2307/1218138|*Writing|C0043266|1932|MH|RtM via: Writing (occupation or discipline)|TI|MM|50^7^0
10.2307/1218138|*Text Messaging|C3178908|558|MH|RtM via: Text Messages|TI|MM|605^4^0;440^4^0;349^4^0;204^4^0
10.2307/1219321|||||||
10.2307/1219322|Animals|C0003062|16142|CT|Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);CT Text Lookup: animal;CT Text Lookup: animals;CT Text Lookup: mammal|TI|MM;RC|325^7^0;155^7^0
10.2307/1219322|*Angiosperms|C0330209|15142|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|891^11^0
10.2307/1219322|*Selection Bias|C0036577|3439|MH|RtM via: Sampling Error;Forced Leaf Node Lookup:sampling errors|TI|MM|413^14^0
10.2307/1219322|*Insects|C0021585|13470|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|109^7^0
10.2307/1219322|*Mammals|C0024660|13146|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM;RC|155^7^0
10.2307/1219322|*Plants|C0032098|7620|MH|RtM via: Plants|TI|MM;RC|337^6^0
10.2307/1219322|*Body Weight|C0005910|1197|MH|RtM via: Body Weight;Forced Non-Leaf Node Lookup:body weights|TI|MM|597^11^0
10.2307/1219324|*Protestantism|C0033696|3199|MH|RtM via: Quaker;RtM via: Quaker religion;Forced Leaf Node Lookup:quakers|TI|MM|159^6^0
10.2307/1219324|Philadelphia|C0031525|2116|MH|RtM via: Philadelphia;Forced Leaf Node Lookup:philadelphia|TI|MM|413^12^0
10.2307/1219324|New Jersey|C0027971|2113|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM|187^10^0
10.2307/1219324|*Pharmacy|C0031336|23724|MH|RtM via: Pharmacy (field)|TI|MM|437^8^0
10.2307/1219324|*Pharmacies|C0031322|13098|MH|RtM via: Pharmacy facility|TI|MM|437^8^0
10.2307/1219324|*Pharmaceutical Services|C0031321|11691|MH|RtM via: Pharmaceutical Services|TI|MM|437^8^0
10.2307/1219324|*Universities|C0041740|501|MH|RtM via: College|TI|MM;RC|426^7^0
10.2307/1219326|Humans|C0086418|274410|CT|CT Text Lookup: workers|TI|MM;RC|245^7^0
10.2307/1219326|United States|C0041703|274410|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|130^8^0
10.2307/1219326|hyperoside|C0063223|273410|NM|RtM via: hyperoside|TI|MM|426^9^1;440^11^1
10.2307/1219326|isoquercitrin|C3891959|262364|NM|RtM via: Isoquercetin|TI|MM|473^11^1;487^9^1
10.2307/1219326|*Quercetin|C0034392|273409|MH|RtM via: Quercetin;RtM via: Isoquercetin;RtM via: hyperoside;Forced Leaf Node Lookup:quercetin|TI|MM;RC|500^9^0;473^11^1;487^9^1;426^9^1;440^11^1
10.2307/1219326|*Flavonoids|C0596577|167470|MH|RtM via: Flavonoids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|351^10^0
10.2307/1219326|*Compositae|C0446228|106969|ET|Entry Term Replacement for "Asteraceae";RtM via: Asteraceae;RtM via: Helenieae;RtM via: Senecioneae;RtM via: Crocidium;RtM via: Blennosperma;checkForceMH Boosted;Forced Non-Leaf Node Lookup:compositae|TI|MM;RC|150^10^0;285^9^0;838^11^0;316^11^0;299^9^0;139^9^0;265^12^0;101^12^0
10.2307/1219326|*Glycosides|C0017977|71014|MH|RtM via: Glycosides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycosides|TI|MM;RC|635^10^0
10.2307/1219326|luteolin-7-glucoside|C0083271|68783|NM|RtM via: luteolin-7-glucoside|TI|MM|533^10^1;546^9^1
10.2307/1219326|*Luteolin|C0065264|68782|MH|RtM via: luteolin-7-glucoside;Forced Leaf Node Lookup:luteolin|TI|MM|533^10^1;546^9^1
10.2307/1219326|*Glucosides|C0017765|48273|MH|RtM via: luteolin-7-glucoside;Forced Non-Leaf Node Lookup:glucosides|TI|MM;RC|533^10^1;546^9^1;487^9^0
10.2307/1219326|*Body Weight|C0005910|1638|MH|RtM via: Body Weight|TI|MM|704^6^0
10.2307/1219326|*Isomerism|C0022203|1362|MH|RtM via: Isomerism (chemical phenomenon)|TI|MM|463^8^0
10.2307/1219326|Galactosides|C0016956|1000|MH|Forced Non-Leaf Node Lookup:galactosides||MM|440^11^0
10.2307/1219326|Chile|C0008107|0|MH|RtM via: Chilean|TI|MM|93^7^0
10.2307/1219327|*Factor Analysis, Statistical|C0015483|3923|MH|RtM via: Analysis, Factor;Forced Leaf Node Lookup:factor analysis|TI|MM|174^15^0
10.2307/1219327|*Hybridization, Genetic|C0020202|20913|MH|RtM via: Crossbreeding|TI|MM;RC|331^13^0
10.2307/1219327|*Pollen|C0032385|5538|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|218^6^0
10.2307/1219327|*Nucleic Acid Hybridization|C1300517|3879|MH|RtM via: Nucleic acid hybridization procedure|TI|MM|331^13^0
10.2307/1219327|*Fertility|C0015895|3327|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM;RC|225^9^0
10.2307/1219327|*Flavonoids|C0596577|426|MH|RtM via: Flavonoids;Forced Non-Leaf Node Lookup:flavonoids|TI|MM|191^9^0
10.2307/1219329|Male|C0086582|13213|CT|CT Text Lookup: him|TI|MM;RC|366^3^0
10.2307/1219329|*Fruit|C0016767|2776|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|322^6^0
10.2307/1219329|*Apiaceae|C0524878|12213|MH|RtM via: Libanotis;RtM via: Cachrys;RtM via: Prangos|TI|MM;RC|512^9^0;376^9^0;31^9^0;594^7^0;457^7^0;91^7^0;677^7^0;150^7^0
10.2307/1219329|*Name|C0027365|1173|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|504^4^0
10.2307/1219329|*NG-Nitroarginine Methyl Ester|C0083536|1017|MH|RtM via: NG-Nitroarginine Methyl Ester|TI|MM|589^4^1;602^1^1
10.2307/1219329|*Publications|C0034036|429|MH|RtM via: Publications|TI|MM|239^10^0
10.2307/1219332|*Publication|C0034036|9486|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|127^11^0
10.2307/1219332|*Publishing|C0034037|3849|MH|RtM via: Publishing|TI|MM|127^11^0
10.2307/1219332|*Name|C0027365|2658|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|202^4^0
10.2307/1219332|*Hydrocharitaceae|C1001360|312|MH|RtM via: Halophila|TI|MM;RC|65^9^0
10.2307/1219335|Animals|C0003062|2401|CT|Hydrozoa;CT Treecode Lookup: B01.050.500.308 (Hydrozoa);Ctenophora;CT Treecode Lookup: B01.050.500.325 (Ctenophora)||MM;RC
10.2307/1219335|Male|C0086582|2401|CT|CT Text Lookup: he|TI|MM;RC|151^2^0
10.2307/1219335|*Hydrozoa|C0178442|1401|MH|RtM via: Sticherus|TI|MM;RC|431^9^0
10.2307/1219335|*Ctenophora|C0999736|867|MH|RtM via: Mertensia <ctenophore>|TI|MM|245^9^0;60^9^0
10.2307/1219335|*Tracheophyta|C0682475|231|MH|RtM via: Sticherus|TI|MM|431^9^0
10.2307/1219336|Newfoundland and Labrador|C1956182|16851|MH|RtM via: Labrador (geographic location);RtM via: Newfoundland (geographic location);Forced Leaf Node Lookup:newfoundland and labrador|TI|MM;RC|109^8^0;214^12^0;92^12^0
10.2307/1219336|Canada|C0006823|14427|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|228^6^0
10.2307/1218627|*Geography|C0017447|29895|MH|RtM via: Geography|TI|MM;RC|498^12^0
10.2307/1218627|*Habitat|C0871648|22173|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|784^7^0;595^7^0;542^7^0;222^7^0
10.2307/1218627|*Phylogeny|C0031797|16896|MH|RtM via: Phylogeny|TI|MM;RC|994^8^0
10.2307/1218627|*Environment|C0014406|13542|MH|RtM via: geographical area|TI|MM;RC|637^17^0
10.2307/1218627|South America|C0037713|786|MH|RtM via: South America|TI|MM|133^16^0
10.2307/1218627|*Longitudinal Studies|C0023981|291|MH|RtM via: Continuous|TI|MM|626^10^0
10.2307/1218628|Animals|C0003062|107815|CT|Holometabola;CT Treecode Lookup: B01.050.500.131 (Holometabola)||MM;RC
10.2307/1218628|*Rubiaceae|C0524885|41686|MH|RtM via: Rubiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM;RC|67^9^0
10.2307/1218628|*Genetic Fitness|C2717776|26419|MH|RtM via: Reproductive Fitness;Forced Leaf Node Lookup:reproductive fitness|TI|MM;RC|503^20^0
10.2307/1218628|*Sex Determination Processes|C0524972|22129|MH|RtM via: Protandry;Forced Leaf Node Lookup:protandry|TI|MM|487^9^0;211^9^0
10.2307/1218628|*Pollination|C1522786|106815|MH|RtM via: Pollination|TI|MM;RC|536^11^0
10.2307/1218628|*Plant Style|C1136228|37800|ET|Entry Term Replacement for "Flowers";RtM via: Plant Style|TI|MM;RC|554^13^0
10.2307/1218628|*Plants|C0032098|7281|MH|RtM via: Plants|TI|MM;RC|847^6^0;235^6^0
10.2307/1218628|*Holometabola|C1004458|4827|MH|RtM via: Halter <genus>|TI|MM|745^6^0
10.2307/1218629|Male|C0086582|19963|CT|CT Text Lookup: he|TI|MM;RC|526^2^0
10.2307/1218629|United States|C0041703|19963|CT|Forced Leaf Node Lookup:american|TI|MM|897^8^0
10.2307/1218629|*Ruellia|C1000823|18963|ET|Entry Term Replacement for "Acanthaceae";RtM via: Ruellia;checkForceMH Boosted|TI|MM;RC|1142^7^0;733^7^0;538^7^0;345^7^0;28^7^0
10.2307/1218629|*Ecotype|C3178911|9153|MH|RtM via: Ecotype;Forced Leaf Node Lookup:ecotypes|TI|MM|1026^7^0
10.2307/1218629|*Hybridization, Genetic|C0020202|8220|MH|RtM via: Crossbreeding|TI|MM|995^10^0;619^14^0
10.2307/1218629|*Phylogeny|C0031797|6399|MH|RtM via: Phylogeny|TI|MM;RC|1194^8^0
10.2307/1218629|*Social Segregation|C0680432|2469|MH|RtM via: Racial Segregation|TI|MM|850^9^0;477^9^0;228^9^0
10.2307/1218629|*Nucleic Acid Hybridization|C1300517|2460|MH|RtM via: Nucleic acid hybridization procedure|TI|MM|995^10^0;619^14^0
10.2307/1218631|United States|C0041703|3256|CT|RtM via: Americas Ethnicity|TI|MM;RC|178^9^0
10.2307/1218631|Panama|C0030266|2256|MH|RtM via: Panama;Forced Non-Leaf Node Lookup:panama|TI|MM;RC|108^6^0;158^6^0
10.2307/1218631|*Plant|C0032098|1635|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|72^5^0
10.2307/1218631|*Environment|C0014406|1551|MH|RtM via: Geographic canal|TI|MM;RC|165^5^0
10.2307/1218633|*Papaver|C0030348|19422|MH|RtM via: Papaver;RtM via: Papaver orientale;RtM via: Papaver macrostomum;Forced Leaf Node Lookup:papaver;checkForceMH Boosted|TI|MM;RC|81^7^0;491^17^0;392^17^0;314^17^0;239^19^0
10.2307/1218633|GZMB protein, human|C1567160|17029|NM|RtM via: GZMB protein, human|TI|MM|335^4^0;273^4^0;197^4^0
10.2307/1218633|*Granzymes|C1333877|17028|HM|RtM via: GZMB protein, human|TI|MM|335^4^0;273^4^0;197^4^0
10.2307/1218633|*Names|C0027365|63|MH|RtM via: Name;RtM via: Person Name|TI|MM|123^5^0
10.2307/1218635|*Pinus|C0330186|10363|MH|RtM via: Pinus <genus>;RtM via: Pinus <subgenus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|270^5^0
10.2307/1218635|*Larix|C0884985|3105|MH|Forced Leaf Node Lookup:larchs;checkForceMH Boosted|TI|MM;RC|156^5^0
10.2307/1218635|*Pinaceae|C0949848|23724|MH|RtM via: Pseudolarix amabilis|TI|MM;RC|183^21^0;77^20^0;149^12^0
10.2307/1218635|*Names|C0027365|78|MH|RtM via: Name;RtM via: Person Name|TI|MM|175^4^0;135^5^0
10.2307/1218637|*Euphorbiaceae|C0446243|12749|MH|RtM via: Euphorbiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM;RC|700^13^0;93^13^0
10.2307/1218637|*Polyploidy|C0032578|48786|MH|RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploidy|TI|MM;RC|810^10^0;917^10^0
10.2307/1218637|*Chromosomes|C0008633|17559|MH|RtM via: Chromosomes|TI|MM;RC|126^11^0
10.2307/1218637|*Aneuploidy|C0002938|15312|MH|RtM via: Aneuploidy;Forced Non-Leaf Node Lookup:aneuploidy|TI|MM|825^10^0
10.2307/1218637|*Malpighiales|C0996745|6504|MH|RtM via: Phyllantheae|TI|MM|757^12^0
10.2307/1218638|Animals|C0003062|1396|CT|Odonata;CT Treecode Lookup: B01.050.500.131 (Odonata)||MM;RC
10.2307/1218638|*Odonata|C0998370|396|MH|RtM via: Enallagma|TI|MM|39^9^0
10.2307/1218638|*Bignoniaceae|C0949932|105|MH|RtM via: Amphitecna|TI|MM|53^10^0
10.2307/1218638|*Name|C0027365|42|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|158^4^0
10.2307/1218643|*Chalk|C0205687|377|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Chalk;checkForceMH Boosted|TI|MM|61^7^0
10.2307/1218643|*Publication|C0034036|1797|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|216^11^0;580^9^0;168^9^0
10.2307/1218643|*Laboratory|C0022877|612|ET|Entry Term Replacement for "Laboratories";RtM via: Laboratory|TI|MM|731^10^0
10.2307/1218643|*Magnoliopsida|C0330209|279|MH|RtM via: Magnoliopsida|TI|MM|85^12^0
10.2307/1218643|*Methamphetamine|C0025611|192|MH|RtM via: Methamphetamine|TI|MM|61^7^0
10.2307/1218081|Humans|C0086418|9937|CT|CT Text Lookup: student;CT Text Lookup: students|TI|MM;RC|376^8^0
10.2307/1218081|*Biological Evolution|C0015219|8937|MH|RtM via: Biological Evolution|TI|MM;RC|177^12^0
10.2307/1218081|Phenotype|C0031437|280|MH|||RC
10.2307/1218081|*Face|C0015450|129|MH|RtM via: Structure of spectacle (body structure)|TI|MM|228^11^0
10.2307/1218081|*Students|C0038492|108|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|376^8^0
10.2307/1218083|Animals|C0003062|27682|CT|Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);Molluscs;CT Treecode Lookup: B01.050.500.644 (Molluscs);CT Text Lookup: mammal|TI|MM;RC|476^7^0
10.2307/1218083|*Phylogeny|C0031797|14802|MH|RtM via: Phylogeny;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|1423^9^0
10.2307/1218083|*Plankton|C0032071|4602|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM|511^8^0
10.2307/1218083|*Mammals|C0024660|26682|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM;RC|476^7^0
10.2307/1218083|*Molluscs|C0026391|14889|ET|Entry Term Replacement for "Mollusca";RtM via: Mollusca;Forced Non-Leaf Node Lookup:molluscs|TI|MM;RC|485^8^0
10.2307/1218083|*Sound|C0037709|3048|MH|RtM via: Sound - physical agent|TI|MM|1146^5^0
10.2307/1218083|*Extinction, Psychological|C0015347|1836|MH|RtM via: Extinction, Psychological|TI|MM|1466^7^0;367^7^0
10.2307/1218083|*Morphogenesis|C0026559|1764|MH|RtM via: Morphogenesis;Forced Non-Leaf Node Lookup:morphogenesis|TI|MM|1537^13^0
10.2307/1218083|*Mutations|C0026882|1029|ET|Entry Term Replacement for "Mutation";RtM via: Mutation;Forced Non-Leaf Node Lookup:mutations|TI|MM|1228^10^0;831^9^0
10.2307/1218083|*Attention|C0004268|513|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|167^9^0
10.2307/1218085|*Museums|C0026863|5111|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|528^6^0
10.2307/1218085|*Computer|C0009622|37764|ET|Entry Term Replacement for "Computers";RtM via: Computers|TI|MM;RC|764^8^0
10.2307/1218085|*Computer Program|C0037585|21879|ET|Entry Term Replacement for "Software";RtM via: Computer software;Forced Non-Leaf Node Lookup:computer programs|TI|MM;RC|916^16^0
10.2307/1218085|*Computer System|C0009612|21417|ET|Entry Term Replacement for "Computer Systems";RtM via: Computer Systems|TI|MM;RC|916^8^1;933^6^1
10.2307/1218085|*Records|C0034869|6105|MH|RtM via: Records|TI|MM|1033^9^0
10.2307/1218085|*Service, Information|C0021425|2574|ET|Entry Term Replacement for "Information Services";RtM via: Information Services;Forced Non-Leaf Node Lookup:information service|TI|MM|98^19^0
10.2307/1218085|*Systems Analysis|C0039152|2055|MH|RtM via: Systems Analysis;Forced Non-Leaf Node Lookup:systems analysis|TI|MM|984^16^0
10.2307/1218086|*Museums|C0026863|1971|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|870^6^0
10.2307/1218086|*Information Storage|C0242578|11046|ET|Entry Term Replacement for "Information Storage and Retrieval";RtM via: Data Storage|TI|MM;RC|302^19^0
10.2307/1218086|*Information Networks|C0021419|4590|ET|Entry Term Replacement for "Information Services";RtM via: Information Networks|TI|MM|738^20^0
10.2307/1218086|*Computer|C0009622|4119|ET|Entry Term Replacement for "Computers";RtM via: Computers;RtM via: computer network|TI|MM|723^8^0;630^8^0;409^8^0;750^8^1
10.2307/1218086|*Publications|C0034036|3357|MH|RtM via: Publications|TI|MM|893^12^0
10.2307/1218086|*Survey|C0038951|450|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|33^6^0
10.2307/1218088|*Bayes Theorem|C0004870|6659|MH|RtM via: Bayes Theorem;Forced Lookup:bayes|TI|MM;RC|240^5^1;247^7^1
10.2307/1218088|*Computer|C0009622|4782|ET|Entry Term Replacement for "Computers";RtM via: Computers|TI|MM;RC|94^8^0
10.2307/1218090|*Factor Analysis, Statistical|C0015483|2720|MH|RtM via: Analysis, Factor;Forced Leaf Node Lookup:factor analysis|TI|MM|642^15^0
10.2307/1218090|Colorado|C0009399|848|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|445^8^0
10.2307/1218090|*Computer|C0009622|8781|ET|Entry Term Replacement for "Computers";RtM via: Computers|TI|MM;RC|43^8^0
10.2307/1218090|*Access to Information|C0949571|747|MH|RtM via: Access to Information|TI|MM|402^6^1;415^11^1
10.2307/1218090|*Cell Differentiation|C0007589|189|MH|RtM via: Cell Differentiation process|TI|MM|227^15^0
10.2307/1218090|Computer Graphics|C0009601|1000|MH|Forced Non-Leaf Node Lookup:computer graphics||MM;RC|162^16^0;477^16^0
10.2307/1218090|*Information Center|C0021415|90|ET|Entry Term Replacement for "Information Centers";RtM via: Information Centers;Forced Non-Leaf Node Lookup:information centers|TI|MM|415^18^0
10.2307/1218091|Male|C0086582|21358|CT|CT Text Lookup: he|TI|MM;RC|286^2^0
10.2307/1218091|*Mythology|C0027143|6165|MH|RtM via: Mythology;Forced Leaf Node Lookup:mythology|TI|MM;RC|312^9^0
10.2307/1218091|*Anniversaries and Special Events|C0003098|4347|MH|Forced Leaf Node Lookup:dedications|TI|MM|1793^10^0
10.2307/1218091|*Delusions|C0011253|4347|MH|Forced Leaf Node Lookup:delusions|TI|MM|840^9^0
10.2307/1218091|*Motivation|C0026605|4347|MH|Forced Leaf Node Lookup:expectations|TI|MM|803^12^0
10.2307/1218091|*Prospective Studies|C0033522|4347|MH|Forced Lookup:prospective|TI|MM|504^11^0
10.2307/1218091|*Information Retrieval|C0079623|20358|ET|Entry Term Replacement for "Information Storage and Retrieval";RtM via: Information Retrieval;RtM via: Information Storage and Retrieval|TI|MM|1864^21^0
10.2307/1218091|*Publication|C0034036|16188|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|1276^11^0
10.2307/1218091|*Computers|C0009622|11385|MH|RtM via: Computers|TI|MM|1811^8^0;1594^9^0;1301^8^0;1187^8^0;1211^10^0;758^8^0;397^8^0;559^9^0;124^8^0
10.2307/1218091|*Publishing|C0034037|10317|MH|RtM via: Publishing|TI|MM|1276^11^0
10.2307/1218091|*Automation|C0004376|5817|MH|RtM via: Automation;Forced Non-Leaf Node Lookup:automations|TI|MM|1645^10^0
10.2307/1218091|North America|C0028405|168|MH|RtM via: North America|TI|MM|263^13^0
10.2307/1218094|*Phylogeny|C0031797|4646|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|1131^12^0
10.2307/1218094|*Mother Cell|C0038250|2916|ET|Entry Term Replacement for "Stem Cells";RtM via: Stem cells;Forced Non-Leaf Node Lookup:mother cells|TI|MM;RC|503^11^0;508^11^0
10.2307/1218094|*Seeds|C0036563|1302|MH|RtM via: Monocotyledon|TI|MM|1571^14^0;397^14^0;89^14^0
10.2307/1218095|*Quercus|C0330302|82406|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM;RC|156^7^0
10.2307/1218095|*Habitats|C0871648|8997|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|404^8^0
10.2307/1218095|*Plant Leaves|C0242724|8670|MH|RtM via: Plant Leaves|TI|MM;RC|327^4^0;187^4^0
10.2307/1218095|*Publications|C0034036|57|MH|RtM via: Publications|TI|MM|61^10^0
10.2307/1218097|Greece|C0018226|536|MH|RtM via: Greeks;Forced Leaf Node Lookup:greeks|TI|MM|120^5^0
10.2307/1218097|*Names|C0027365|7509|MH|RtM via: Name;RtM via: Person Name|TI|MM|467^5^0
10.2307/1218097|*Language|C0023008|2841|MH|RtM via: adjectives;RtM via: nouns|TI|MM;RC|106^10^0;96^5^0
10.2307/1218097|*Knowledge|C0376554|1110|MH|RtM via: Knowledge|TI|MM|144^9^0
10.2307/1218097|*Histological Techniques|C0019637|45|MH|RtM via: Sectioning technique|TI|MM|412^7^0
10.2307/1218099|*Sociology|C0037468|78|MH|RtM via: Sociology|TI|MM|54^12^0
10.2307/1218099|Phylogeny|C0031797|59|MH|||RC
10.2307/1218100|Male|C0086582|25567|CT|CT Text Lookup: he|TI|MM;RC|139^2^0
10.2307/1218100|*Mimosa|C0330828|21148|MH|RtM via: Mimosa;Forced Leaf Node Lookup:mimosas;checkForceMH Boosted|TI|MM|101^6^0
10.2307/1218100|Bahamas|C0004683|1826|MH|RtM via: Bahamas;Forced Leaf Node Lookup:bahamas|TI|MM|194^7^0
10.2307/1218100|*Fabaceae|C0023263|24567|MH|RtM via: Leucaena leucocephala;RtM via: Lysiloma sabicu;RtM via: Genus Leucaena|TI|MM;RC|305^21^0;164^11^0;355^15^0;267^8^0;404^8^0
10.2307/1218100|*Name|C0027365|1740|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|96^4^0
10.2307/1218100|*Publishing|C0034037|180|MH|RtM via: Publishing;Forced Non-Leaf Node Lookup:publishing|TI|MM|81^10^0
10.2307/1218702|*Symbiosis|C0039029|60903|MH|RtM via: Endosymbiosis;Forced Leaf Node Lookup:endosymbiosis|TI|MM;RC|1457^13^0;1277^13^0;848^13^0;91^13^0
10.2307/1218702|*Eukaryotes|C0684063|55131|ET|Entry Term Replacement for "Eukaryota";RtM via: Eukaryota;checkForceMH Boosted;Forced Non-Leaf Node Lookup:eukaryotes|TI|MM;RC|2133^10^0;1708^10^0;1029^10^0
10.2307/1218702|*Phylogeny|C0031797|49260|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|1933^12^0
10.2307/1218702|*Chloroplasts|C0008266|166170|MH|RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM;RC|1492^12^0;1223^11^0;538^12^0;208^12^0
10.2307/1218702|*Organelles|C0029219|141903|MH|RtM via: Organelles;Forced Non-Leaf Node Lookup:organelles|TI|MM;RC|1525^10^0;921^10^0;1040^10^0
